ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
RVMD,"Revolution Medicines, Inc.",1,0.96,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.66726,,0,0.619205,1,0.380795,161,0,specific_days,9,headwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+25.5;clinical_score:-15.3;momentum_score:-11.1,tier=A;reason=high_opt+catalyst_mid;cat_days=161;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|near_91_180|nonpos,0.023678237288135597,,-0.6191,161,1,-0.3741,0.0,8,8,buying,1.9576,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,161,False,specific_days,-0.140883,price_history,,8,1.35,price_history,,-0.448368,,46.0955,0.4254,-0.4123,-0.036068,mid,large,none,drug_developer,morningstar,,,,0,0.8553846190250828206341694274,40.38,45.56250000000000000000000000,77.0,10.00,36.24000000000000000000000000,58.40000000000000000000000000,35.117,-0.3665,2.0,621,6,1.0,0.0768,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,188,0.023678237288135597,0.33274,-0.4324,30.63,0.613879,0.2894
ANRO,"Alto Neuroscience, Inc.",2,0.4,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.418149,,0,0.665563,1,0.334437,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-14.6;smart_money_score:+12.5;financial_score:+7.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 40253000.0, ""cash_total"": 137816000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.08493776861352, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|pos,0.07398378082191781,,0.6307,41,1,-0.4722,1.4401,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1346.61,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.9516,-0.4123,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8333573290306565719250341318,50,41.25000000000000000000000000,61.0,59.60,33.98025083206594811435120897,56.42857142857142857142857143,33.9072,-0.4175,2.0,41,3,0.0,1.6129,2,2,0.0,0.3,0.5,other,0.7029,highly_crowded,1.0,118,0.07398378082191781,0.581851,0.2066,26.89,0.553381,0.1342
CLDX,"Celldex Therapeutics, Inc.",3,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.453737,,0,0.68543,1,0.31457,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-20.7;smart_money_score:+19.1;financial_score:+11.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.07398378082191781,,0.8574,0,1,-0.5699,1.2182,4,4,buying,0.3949,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.063755,price_history,,4,1.0619,price_history,,-0.336536,,57.7431,0.4801,-0.4123,0.075764,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,53.82,41.25000000000000000000000000,71.5,67.60,31.72937468315369525446891048,63.92857142857142857142857143,32.6497,-0.4706,3.0,,56,1.0,0.6014,3,0,0.0,0.4,0.95,oncology,-0.4728,uncrowded,1.0,128,0.07398378082191781,0.546263,0.1162,27.52,0.571174,0.1794
DNLI,Denali Therapeutics Inc.,4,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.464413,,0,0.711921,1,0.288079,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,financial_score:+23.7;clinical_score:-20.3;smart_money_score:+9.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07398378082191781,,0.8565,0,1,-0.6342,1.0724,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.150286,price_history,,3,1.2571,price_history,,-0.485278,,42.5752,0.5691,-0.4123,-0.072978,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,46.47,41.25000000000000000000000000,60.5,44.40,30.25083206594811435120897528,74.28571428571428571428571429,29.9078,-0.5862,3.0,279,11,1.0,0.3416,1,0,0.0,0.4,0.6,cns,-0.4728,uncrowded,1.0,131,0.07398378082191781,0.535587,0.0893,30.90,0.628114,0.3269
CMPX,"Compass Therapeutics, Inc.",5,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.596085,,0,0.65894,1,0.34106,,0,no_upcoming,9,tailwind,,L,momentum_tailwind,momentum_score:+26.4;clinical_score:-22.1;catalyst_score:-14.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 35889000.0, ""cash_total"": 219895000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 73.5250355262058, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 0}",mid|none|pos,0.03706145833333333,,-0.8117,444,1,-0.4682,1.449,0,0,neutral,-1.1679,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,913.08,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.199178,price_history,,0,0.3187,price_history,,-0.243719,,56.3381,,-0.4123,0.168581,mid,small,none,drug_developer,morningstar,,,,0,0.8411800818553888130968622101,82.61,41.25000000000000000000000000,,34.72,34.07111111111111111111111111,66.80000000000000000000000000,32.9481,-0.458,2.0,920,4,1.0,0.007,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,168,0.03706145833333333,0.403915,-0.2432,26.38,0.546263,0.1162
RCKT,"Rocket Pharmaceuticals, Inc.",6,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.631673,,0,0.678808,1,0.321192,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,momentum_score:+23.3;clinical_score:-22.7;catalyst_score:-13.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.03706145833333333,,0.3568,0,1,-0.5609,1.2387,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.249885,price_history,,3,1.4319,price_history,,-0.512215,,58.0688,0.6262,-0.4123,-0.099915,mid,small,sev1,drug_developer,morningstar,,,,0,0.7990352358437464820443543848,77.95,41.25000000000000000000000000,66.0,79.17,31.93777777777777777777777778,56.00000000000000000000000000,31.1648,-0.5332,2.0,834,8,1.0,0.0177,0,0,0.0,0.3,0.95,oncology,-1.6484,uncrowded,1.0,178,0.03706145833333333,0.368327,-0.3363,23.94,0.5,0.0
VIR,"Vir Biotechnology, Inc.",7,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.574733,,0,0.745033,1,0.254967,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+18.3;clinical_score:-16.1;catalyst_score:-1.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.07398378082191781,,0.8541,0,1,-0.7913,0.7156,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.228075,price_history,,2,0.8621,price_history,,-0.606885,,51.0473,0.7493,-0.4123,-0.194585,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,42.90,41.25000000000000000000000000,61.0,74.80,26.63162071017655227137472724,41.65532879818594104308390023,26.9776,-0.7099,3.0,154,14,1.0,1.4749,3,1,0.0,0.4,0.55,infectious_disease,0.7029,highly_crowded,1.0,162,0.07398378082191781,0.425267,-0.1884,23.23,0.482206,-0.0446
AURA,"Aura Biosciences, Inc.",8,0.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.592527,,0,0.718543,1,0.281457,,0,no_upcoming,9,headwind,deep_drawdown,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_>2000bps,financial_score:-22.0;smart_money_score:+17.5;catalyst_score:+6.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.03706145833333333,,-0.8249,549,1,-0.652,1.0319,2,2,selling,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.079948,price_history,,2,0.8141,price_history,,-0.498192,,40.365,0.5411,-0.4123,-0.085892,mid,small,sev2,drug_developer,morningstar,,,,0,0.8473825268817204301075268817,36.92,41.25000000000000000000000000,52.0,68.06,29.84000000000000000000000000,12.56000000000000000000000000,28.717,-0.6365,2.0,549,5,1.0,0.0103,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,167,0.03706145833333333,0.407473,-0.234,9.31,0.058719,-1.5656
INBX,"Inhibrx Biosciences, Inc.",9,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.61032,,0,0.758278,1,0.241722,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+24.6;clinical_score:-16.1;financial_score:-16.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.03706145833333333,,0.3469,0,1,-0.8296,0.6288,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.4123,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,37.50,25.75111111111111111111111111,25.75111111111111111111111111,25.0471,-0.7913,2.0,1075,5,1.0,0.0008,0,0,0.0,0.4,0.95,oncology,0.7029,highly_crowded,1.0,172,0.03706145833333333,0.38968,-0.2802,15.83,0.240214,-0.7056
SVRA,"Savara, Inc.",10,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.564057,,0,0.764901,1,0.235099,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+28.9;financial_score:-19.9;clinical_score:-14.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.07398378082191781,,0.8463,0,1,-0.9437,0.3697,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.247525,price_history,,3,0.4583,price_history,,-0.345745,,37.8791,0.6811,-0.4123,0.066555,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,39.28,41.25000000000000000000000000,66.5,58.80,23.12261676475126187484846481,17.66723356009070294784580499,21.7186,-0.9317,3.0,405,9,1.0,0.0513,0,0,0.0,0.4,0.5,respiratory,0.7029,highly_crowded,1.0,159,0.07398378082191781,0.435943,-0.1613,14.00,0.172598,-0.9439
REPL,"Replimune Group, Inc.",11,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.635231,,0,0.771523,1,0.228477,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-23.7;financial_score:+11.7;momentum_score:+8.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.03706145833333333,,-0.8462,1046,1,-1.001,0.2397,5,5,selling,0.7855,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.00413,price_history,,5,0.7332,price_history,,-0.440584,,60.1278,0.5897,-0.4123,-0.028284,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014295339696799550814149354,54.29,41.25000000000000000000000000,53.0,45.83,21.80444444444444444444444444,57.20000000000000000000000000,20.6814,-0.9755,2.0,1046,4,1.0,0.0002,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,179,0.03706145833333333,0.364769,-0.3457,17.91,0.346975,-0.3935
COGT,"Cogent Biosciences, Inc.",12,0.96,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.247331,,0,0.976821,1,0.023179,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+41.0;momentum_score:+39.7;clinical_score:-39.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.09811690510948905,,0.8015,0,1,-1.7308,-1.4169,7,7,buying,1.5669,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.277642,price_history,,7,0.8229,price_history,,-0.175986,,47.4461,2.489,-0.4123,0.236314,late,mid,sev1,drug_developer,morningstar,,,,0,0.8130890683379534771604194287,83.63,41.25000000000000000000000000,85,10.80,5,5,4.927,-1.6401,3.0,1075,5,1.0,0.0007,0,0,0.0,0.5,0.95,oncology,-0.4728,uncrowded,1.0,70,0.09811690510948905,0.752669,0.6829,7.08,0.037367,-1.7821
CGON,"CG Oncology, Inc.",13,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.236655,,0,0.963576,1,0.036424,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-43.7;smart_money_score:+34.3;financial_score:+15.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.09811690510948905,,0.7981,0,1,-1.7308,-1.4169,6,6,buying,1.1762,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.4123,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5,64.28571428571428571428571429,4.0632,-1.6766,3.0,1890,6,1.0,0.3196,0,1,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,67,0.09811690510948905,0.763345,0.7171,16.35,0.279359,-0.5847
CELC,Celcuity Inc.,14,0.96,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.229537,,0,0.956954,1,0.043046,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-45.0;smart_money_score:+33.0;momentum_score:+17.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|none|nonpos,0.09811690510948905,,0.7961,0,1,-1.7308,-1.4169,6,6,buying,1.1762,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.094849,price_history,,6,0.3559,price_history,,-0.478036,,55.8754,,-0.4123,-0.065736,late,mid,none,drug_developer,morningstar,,,,0,0.8124607582709490461241246076,67.82,41.25000000000000000000000000,83.0,14.80,5,52.85714285714285714285714286,4.227,-1.6697,3.0,1348,7,1.0,0.0534,0,0,0.0,0.3,0.95,oncology,-0.4728,uncrowded,1.0,65,0.09811690510948905,0.770463,0.7404,13.65,0.147687,-1.0464
ACRV,"Acrivon Therapeutics, Inc.",15,0.32,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.008897,,0,0.943709,1,0.056291,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_>2000bps,clinical_score:-40.6;financial_score:+25.4;smart_money_score:+15.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48428000.0, ""cash_total"": 129254000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.02791773354258, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",mid|none|nonpos,0.1,,-0.8884,1471,1,-1.7308,-1.4169,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,,-0.4123,,mid,micro,none,drug_developer,morningstar,,,drawdown,1,0.7221625544267053701015965167,50,41.25000000000000000000000000,61.0,50,5,71.00000000000000000000000000,3.877,-1.6844,2.0,1471,1,0.0,0.0,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,3,0.1,0.991103,2.3699,15.33,0.229537,-0.7404
AVIR,"Atea Pharmaceuticals, Inc.",16,0.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.435943,,0,0.784768,1,0.215232,,0,no_upcoming,9,headwind,deep_drawdown,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_>2000bps,financial_score:-21.1;smart_money_score:+18.2;catalyst_score:+10.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 103808000.0, ""cash_total"": 77344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.940813810110974, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",late|none|pos,0.07398378082191781,,0.845,0,1,-1.0622,0.1008,2,2,selling,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.307601,price_history,,2,0.6736,price_history,,-0.58209,,35.6011,0.5268,-0.4123,-0.16979,late,small,sev2,drug_developer,morningstar,,,,0,0.8879505054025792959219240153,33.63,41.25000000000000000000000000,49.0,89.20,20.39476294386034516960920452,9.716553287981859410430838996,19.9838,-1.0049,3.0,,9,1.0,0.5464,1,1,0.0,0.4,0.55,infectious_disease,0.7029,highly_crowded,1.0,123,0.07398378082191781,0.564057,0.1613,7.78,0.044484,-1.7009
VERA,"Vera Therapeutics, Inc.",17,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.364769,,0,0.923841,1,0.076159,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-39.6;smart_money_score:+24.6;financial_score:+23.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.09811690510948905,,-0.3744,937,1,-1.6339,-1.197,5,5,buying,0.7855,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.035788,price_history,,5,0.7939,price_history,,-0.507263,,35.3422,0.7858,-0.4123,-0.094963,late,mid,none,drug_developer,morningstar,,,,0,0.7832194538135132194538135132,44.29,41.25000000000000000000000000,71.5,50,7.230708192818885141836937113,70.00000000000000000000000000,5.8267,-1.6022,3.0,937,2,0.3333,0.0006,0,0,0.0,0.4,0.55,infectious_disease,0.7029,highly_crowded,1.0,103,0.09811690510948905,0.635231,0.3457,18.39,0.364769,-0.3457
