ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
ACLX,"Arcellx, Inc.",1,1.08,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.66041,,0,0.917178,1,0.082822,144,0,specific_days,9,neutral,deep_drawdown,L,tier_a_dev|sponsor_confirmed,smart_money_score:+40.4;clinical_score:-33.9;financial_score:-20.3,tier=A;reason=high_opt+catalyst_mid;cat_days=144;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_91_180|nonpos,0.004201241379310345,,0.5286,0,1,-1.5172,-1.7826,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,144,False,specific_days,0.132718,price_history,,7,1.483,price_history,,-0.459777,,42.1591,0.5575,-0.266684,-0.193093,late,mid,none,drug_developer,morningstar,,,,0,0.8816242164223572875700154928,47.55,45.56250000000000000000000000,80.0,43.44,5.696069965911731150019592951,19.30486968449931412894375858,4.5053,-1.667,3.0,1149,5,1.0,0.0856,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,194,0.004201241379310345,0.33959,-0.4136,14.42,0.18942,-0.88,0.00021,0.0,0.0,0.0,0.0,0.00021,0.0
REPL,"Replimune Group, Inc.",2,0.92,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.670648,,0,0.861963,1,0.138037,115,0,specific_days,9,headwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-28.7;smart_money_score:+14.2;financial_score:+10.0,tier=A;reason=high_opt+catalyst_near;cat_days=115;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",late|near_91_180|nonpos,0.004201241379310345,,0.5441,0,1,-1.3301,-0.6802,5,5,selling,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,115,False,specific_days,-0.220825,price_history,,5,1.4585,price_history,,-0.48359,,39.2077,0.5897,-0.266684,-0.216906,late,small,sev1,drug_developer,morningstar,,,,0,0.8335099569116105741236753232,36.61,45.56250000000000000000000000,53.0,65.53,10.10791728653218619199705932,48.80444444444444444444444444,10.4515,-1.414,3.0,1333,14,1.0,0.9178,0,2,0.0,0.5,0.95,oncology,0.6858,highly_crowded,1.0,197,0.004201241379310345,0.329352,-0.4417,11.55,0.107509,-1.2399,0.00021,0.0,0.0,0.0,0.0,0.00021,0.0
CELC,Celcuity Inc.,3,1.08,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.366894,,0,0.831288,1,0.168712,53,1,specific_days,9,neutral,deep_drawdown,L,tier_a_dev|sponsor_confirmed,clinical_score:-36.5;smart_money_score:+34.0;financial_score:+8.3,tier=A;reason=high_opt+catalyst_near;cat_days=53;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_31_90|nonpos,0.06114871186440678,,0.5485,0,1,-1.2273,-0.0748,6,6,buying,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,53,True,specific_days,0.003816,price_history,,6,1.2322,price_history,,-0.469974,,46.5837,,-0.266684,-0.20329,late,mid,none,drug_developer,morningstar,,,,0,0.8112449077402348430385813563,49.26,42.98293511111111111111111111,83.0,60.87,12.53050778689803689023438719,57.33333333333333333333333333,12.719,-1.3176,3.0,417,8,1.0,0.7476,1,1,0.0,0.3,0.95,oncology,-0.5032,uncrowded,1.0,108,0.06114871186440678,0.633106,0.3401,16.25,0.250853,-0.6718,0.003057,0.0,0.0,0.0,0.0,0.003057,0.0
LQDA,Liquidia Corporation,4,0.92,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.503413,,0,0.800613,1,0.199387,22,1,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+31.1;financial_score:-29.8;clinical_score:-25.3,tier=A;reason=high_opt+catalyst_near;cat_days=22;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|near_0_30|pos,0.021895363636363636,,0.5571,0,1,-1.1216,0.5479,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,22,True,specific_days,0.084984,price_history,,3,0.9708,price_history,,-0.076271,,57.7378,0.5778,-0.266684,0.190413,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,71.39,39.24674844444444444444444444,65.5,63.56,15.02245386986812035967805139,10.53086419753086419753086419,14.5938,-1.2378,3.0,22,4,1.0,1.2487,1,1,0.0,0.3,0.5,respiratory,0.6858,highly_crowded,1.0,148,0.021895363636363636,0.496587,-0.0086,9.41,0.073379,-1.4511,0.822945,0.82185,0.0,0.0,0.0,0.001095,0.0
NUVB,Nuvation Bio Inc.,5,0.92,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.506826,,0,0.788344,1,0.211656,23,1,specific_days,9,neutral,high_vol|deep_drawdown,L,tier_a_dev|sponsor_confirmed|high_risk,clinical_score:-31.1;financial_score:+28.9;catalyst_score:-8.5,tier=A;reason=high_opt+catalyst_near;cat_days=23;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|near_0_30|pos,0.021895363636363636,,0.5586,0,1,-1.0785,0.8018,6,6,selling,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,23,True,specific_days,0.103922,price_history,,6,1.241,price_history,,-0.454308,,50.3225,1.2485,-0.266684,-0.187624,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,51.95,38.61121111111111111111111111,53.0,76.37,16.03865186618533892339329124,76.00000000000000000000000000,16.6788,-1.1491,3.0,33,13,1.0,0.9766,2,1,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,149,0.021895363636363636,0.493174,-0.0171,16.91,0.28157,-0.5782,1.203795,1.2027,0.0,0.0,0.0,0.001095,0.0
CRSP,CRISPR Therapeutics AG,6,1.08,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.633106,,0,0.769939,1,0.230061,84,0,specific_days,9,headwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-33.3;financial_score:+28.9;smart_money_score:+15.1,tier=A;reason=high_opt+catalyst_near;cat_days=84;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_31_90|pos,0.006117508771929824,,0.5633,0,1,-1.013,1.1879,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,84,False,specific_days,0.021884,price_history,,3,1.3205,price_history,,-0.454183,,44.7496,0.5582,-0.266684,-0.187499,late,mid,none,drug_developer,morningstar,,,,0,0.8829993291806420699568758984,45.61,45.56250000000000000000000000,66.0,64.71,17.58375553544243660032805191,79.850,18.2129,-1.0838,3.0,59,12,1.0,1.147,2,1,0.0,0.3,0.95,oncology,0.2102,moderate,1.0,186,0.006117508771929824,0.366894,-0.3401,28.54,0.595563,0.2419,1.782156,1.78185,0.0,0.0,0.0,0.000306,0.0
TSHA,"Taysha Gene Therapies, Inc.",7,0.92,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.59215,,0,0.978528,1,0.021472,672,0,specific_days,9,tailwind,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,clinical_score:-51.5;smart_money_score:+28.5;momentum_score:+25.0,tier=B;reason=high_opt+catalyst_far;cat_days=672;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 66368000.0, ""cash_total"": 297344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.76277724204436, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",late|far_271_540|nonpos,0.01698906862745098,,-0.8628,672,1,-1.5468,-1.1312,9,9,buying,2.2865,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,881.38,0.85,1,0,1.0,0,1.0,0,672,False,specific_days,0.58787,price_history,,9,1.7007,price_history,,-0.489209,,58.6881,0.7836,-0.266684,-0.222525,late,small,none,drug_developer,morningstar,,,,0,0.8339015592273679311147312078,81.44,45.56250000000000000000000000,85,66.63,5,65.36000000000000000000000000,3.4593,-1.7115,3.0,1273,3,0.6667,0.0009,0,0,0.0,0.3,0.5,other,-1.2165,uncrowded,1.0,174,0.01698906862745098,0.40785,-0.2331,19.18,0.360068,-0.3583,0.000849,0.0,0.0,0.0,0.0,0.000849,0.0
DNTH,"Dianthus Therapeutics, Inc.",8,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.220137,,0,0.953988,1,0.046012,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-45.6;smart_money_score:+34.4;financial_score:+19.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 82077000.0, ""cash_total"": 402613000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 58.86370115866808, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|nonpos,0.0723424747081712,,-0.2833,80,1,-1.5468,-1.1312,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,501.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.070447,price_history,,8,1.4519,price_history,,-0.344816,,45.9006,,-0.266684,-0.078132,late,mid,none,drug_developer,morningstar,,,,0,0.8412233086301697346402103753,51.45,41.25000000000000000000000000,85,57.22,5,70.16666666666666666666666667,4.1009,-1.6842,3.0,1332,3,0.6667,0.5444,1,1,0.0,0.4,0.6,autoimmune,0.6858,highly_crowded,1.0,65,0.0723424747081712,0.779863,0.7717,20.34,0.411263,-0.2243,0.003617,0.0,0.0,0.0,0.0,0.003617,0.0
CNTA,Centessa Pharmaceuticals plc,9,0.55,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.203072,,0,0.947853,1,0.052147,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+42.6;clinical_score:-29.4;financial_score:-28.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.0723424747081712,,0.4949,0,1,-1.5468,-1.1312,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.107291,price_history,,7,1.3876,price_history,,-0.353652,,40.9647,0.5724,-0.266684,-0.086968,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882535922099513121957012231,43.18,41.25000000000000000000000000,77.0,64.19,5,5.669753086419753086419753087,4.0381,-1.6869,3.0,,8,1.0,0.2694,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,60,0.0723424747081712,0.796928,0.8307,12.79,0.131399,-1.1198,0.003617,0.0,0.0,0.0,0.0,0.003617,0.0
AVBP,"ArriVent BioPharma, Inc.",10,0.55,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.186007,,0,0.941718,1,0.058282,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-36.6;financial_score:+20.4;smart_money_score:+12.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 129930000.0, ""cash_total"": 300266000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.731794042946202, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|nonpos,0.0723424747081712,,0.1883,25,1,-1.5468,-1.1312,4,4,selling,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,986.33,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.11042,price_history,,4,0.9312,price_history,,-0.434465,,51.1471,0.6474,-0.266684,-0.167781,late,small,none,drug_developer,morningstar,,,,0,0.8371014743589743589743589744,45.61,41.25000000000000000000000000,54.0,71.70,5,62.00000000000000000000000000,4.9893,-1.6464,3.0,98,2,0.3333,0.8658,1,1,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,55,0.0723424747081712,0.813993,0.8927,18.99,0.356655,-0.3674,0.003617,0.0,0.0,0.0,0.0,0.003617,0.0
APGE,"Apogee Therapeutics, Inc.",11,1.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.950512,,0,0.935583,1,0.064417,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-40.7;smart_money_score:+25.3;momentum_score:+12.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 164761000.0, ""cash_total"": 527289000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.403918403020135, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",mid|none|nonpos,-0.0501221875,,-1.3783,480,1,-1.5468,-1.1312,6,6,buying,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,387.44,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.262243,price_history,,6,1.4038,price_history,,-0.389889,,52.382,0.4778,-0.266684,-0.123205,mid,mid,none,drug_developer,morningstar,,,,0,0.8076609600679694137638062872,58.41,41.25000000000000000000000000,71.0,81.63,5,52.71153846153846153846153846,3.3309,-1.7169,2.0,541,2,0.3333,0.0156,0,0,0.0,0.4,0.5,respiratory,0.6858,highly_crowded,1.0,279,-0.0501221875,0.049488,-1.6498,23.72,0.503413,0.0086,-0.002506,0.0,0.0,0.0,0.0,-0.002506,0.0
NUVL,"Nuvalent, Inc.",12,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.257679,,0,0.923313,1,0.076687,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,clinical_score:-43.3;smart_money_score:+25.0;financial_score:+24.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 275209000.0, ""cash_total"": 1371952000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 59.82153199931688, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|nonpos,0.0723424747081712,,-0.8211,602,1,-1.5172,-1.0618,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,435.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.03468,price_history,,5,1.159,price_history,,-0.377284,,46.2214,0.5143,-0.266684,-0.1106,late,mid,none,drug_developer,morningstar,,,,0,0.8880516029078774877845310452,50.16,41.25000000000000000000000000,74.0,51.32,5.696069965911731150019592951,73.66666666666666666666666667,4.5053,-1.667,3.0,1667,5,1.0,0.0018,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,76,0.0723424747081712,0.742321,0.6505,18.13,0.329352,-0.4417,0.003617,0.0,0.0,0.0,0.0,0.003617,0.0
MLTX,MoonLake Immunotherapeutics,13,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.24744,,0,0.904908,1,0.095092,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-36.0;financial_score:+16.6;smart_money_score:+13.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 196007000.0, ""cash_total"": 334517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 20.47990122801737, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 4}",late|none|nonpos,0.0723424747081712,,0.5353,0,1,-1.469,-0.9484,4,4,selling,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,513.23,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.004938,price_history,,4,0.901,price_history,,-0.316696,,47.4936,,-0.266684,-0.050012,late,small,none,drug_developer,morningstar,,,,0,0.8277566717165831488171541778,50.84,41.25000000000000000000000000,56.0,24.90,6.832807964795106270091445340,59.48000000000000000000000000,7.4044,-1.5436,3.0,39,2,0.3333,2.2864,2,2,0.1429,0.4,0.5,dermatology,0.6858,crowded,1.0,73,0.0723424747081712,0.75256,0.6826,14.11,0.179181,-0.9185,0.003617,0.0,0.0,0.0,0.0,0.003617,0.0
FULC,"Fulcrum Therapeutics, Inc.",14,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.226962,,0,0.892638,1,0.107362,,0,no_upcoming,9,tailwind,deep_drawdown|overbought_rsi,L,sponsor_confirmed|momentum_tailwind,clinical_score:-49.0;momentum_score:+38.7;financial_score:+16.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 60065000.0, ""cash_total"": 197533000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 39.463847498543245, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.0723424747081712,,0.5392,0,1,-1.4299,-0.8565,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,919.56,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.709489,price_history,,3,1.3325,price_history,,-0.448665,,71.7924,1.1313,-0.266684,-0.181981,late,small,none,drug_developer,morningstar,,,,0,0.8089258911819887429643527205,95.44,41.25000000000000000000000000,66.5,80.95,7.754682368770568264966067779,72.92000000000000000000000000,6.4356,-1.5849,3.0,,4,1.0,0.0296,0,0,0.0,0.4,0.55,infectious_disease,-0.5032,uncrowded,1.0,67,0.0723424747081712,0.773038,0.7489,16.65,0.264505,-0.6295,0.003617,0.0,0.0,0.0,0.0,0.003617,0.0
CGON,"CG Oncology, Inc.",15,0.55,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.199659,,0,0.874233,1,0.125767,,0,no_upcoming,9,neutral,high_beta|deep_drawdown,M,sponsor_confirmed|high_risk,clinical_score:-41.0;smart_money_score:+32.9;financial_score:+16.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.0723424747081712,,0.5426,0,1,-1.3704,-0.7165,6,6,buying,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.150544,price_history,,6,2.006,price_history,,-0.405608,,49.9179,0.7795,-0.266684,-0.138924,late,mid,none,drug_developer,morningstar,,,,0,0.8570204003356106915977466139,50.51,41.25000000000000000000000000,83.0,59.23,9.158300649515031088639902343,66.66666666666666666666666666,7.9676,-1.5197,3.0,388,8,1.0,0.0975,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,59,0.0723424747081712,0.800341,0.8428,18.02,0.319113,-0.4702,0.003617,0.0,0.0,0.0,0.0,0.003617,0.0
IKT,"Inhibikase Therapeutics, Inc.",16,0.23,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.97099,,0,0.837423,1,0.162577,,0,no_upcoming,9,neutral,deep_drawdown,S,cost_haircut_<=2000bps,clinical_score:-24.0;momentum_score:+17.4;smart_money_score:+13.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20270491.0, ""cash_total"": 39052511.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.118834763301983, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|none|nonpos,-0.0501221875,,-0.01,0,1,-1.2461,-0.4243,1,1,selling,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1865.77,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.105633,price_history,,1,1.4625,price_history,,-0.496222,,46.5764,,-0.266684,-0.229538,mid,micro,sev1,drug_developer,morningstar,,,,0,0.6292891794979962033326302468,53.51,41.25000000000000000000000000,49.5,87.50,12.08744247205785667324128862,24.00694444444444444444444444,10.4183,-1.4154,2.0,782,2,0.3333,0.0015,0,0,0.0,0.4,0.5,respiratory,0.6858,highly_crowded,1.0,285,-0.0501221875,0.02901,-1.8955,8.81,0.052901,-1.6174,-0.002506,0.0,0.0,0.0,0.0,-0.002506,0.0
TENX,"Tenax Therapeutics, Inc.",17,0.23,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.151877,,0,0.782209,1,0.217791,,0,no_upcoming,9,neutral,,S,cost_haircut_<=2000bps,clinical_score:-30.8;financial_score:+23.8;smart_money_score:+8.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|pos,0.1,,0.5595,0,1,-1.0568,0.0209,1,1,buying,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.210405,price_history,,1,0.3241,price_history,,-0.282216,,46.6774,,-0.266684,-0.015532,late,micro,none,drug_developer,morningstar,,,,0,0.8539473778574630210667861945,52.46,41.25000000000000000000000000,55.5,92.78,16.55091219930020217152329134,71.20949720670391061452513966,15.7225,-1.1898,3.0,510,5,1.0,0.0214,0,0,-0.1429,0.4,0.85,cardiovascular,-0.5032,uncrowded,1.0,45,0.1,0.848123,1.0284,24.12,0.506826,0.0171,0.03635,0.03135,0.0,0.0,0.0,0.005,0.0
