ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
COGT,"Cogent Biosciences, Inc.",1,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.266304,,0,0.969178,1,0.030822,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+48.6;clinical_score:-41.3;financial_score:-40.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.08495792504570385,,0.803,0,1,-1.7267,-1.4136,7,7,buying,1.55,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.503732,price_history,,7,0.7846,price_history,,-0.035904,,62.0317,2.489,-0.343943,0.308039,late,mid,sev1,drug_developer,morningstar,,,,0,0.8130890683379534771604194287,94.88,41.25000000000000000000000000,85,11.79,5,5.401111111111111111111111112,4.9263,-1.6436,3.0,1117,5,1.0,0.0005,0,0,0.0,0.5,0.95,oncology,-0.458,uncrowded,1.0,74,0.08495792504570385,0.733696,0.624,7.09,0.038043,-1.7739
CGON,"CG Oncology, Inc.",2,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.255435,,0,0.955479,1,0.044521,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-44.6;smart_money_score:+33.4;financial_score:+19.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.08495792504570385,,0.7995,0,1,-1.7267,-1.4136,6,6,buying,1.1625,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.343943,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5,68.71428571428571428571428571,3.9457,-1.685,3.0,1932,6,1.0,0.2252,0,1,0.0,0.3,0.95,oncology,0.7124,highly_crowded,1.0,71,0.08495792504570385,0.744565,0.6575,16.93,0.298913,-0.5275
CELC,Celcuity Inc.,3,0.62,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.248188,,0,0.94863,1,0.05137,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-40.6;smart_money_score:+37.4;financial_score:+10.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|none|nonpos,0.08495792504570385,,0.7976,0,1,-1.7267,-1.4136,6,6,buying,1.1625,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.119224,price_history,,6,0.6331,price_history,,-0.579953,,42.7857,,-0.343943,-0.23601,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,42.60,41.25000000000000000000000000,83.0,15.85,5,56.14285714285714285714285714,4.2263,-1.6732,3.0,1390,7,1.0,0.0376,0,0,0.0,0.3,0.95,oncology,-0.458,uncrowded,1.0,69,0.08495792504570385,0.751812,0.6802,13.23,0.150362,-1.0349
ELDN,"Eledon Pharmaceuticals, Inc.",4,0.34,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.603261,,0,0.928082,1,0.071918,631,0,specific_days,9,neutral,deep_drawdown,M,catalyst_far_lift|cost_haircut_>2000bps,clinical_score:-35.3;financial_score:+13.0;smart_money_score:+11.2,tier=B;reason=high_opt+catalyst_far;cat_days=631;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|nonpos,0.0076686428571428565,,-0.8415,325,1,-1.6831,-1.3255,1,1,neutral,-0.775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,631,False,specific_days,-0.101704,price_history,,1,0.5919,price_history,,-0.539765,,52.1938,,-0.343943,-0.195822,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592904001749398644216050733,48.29,45.56250000000000000000000000,52.5,84.29,6.006944444444444444444444442,54.37500000000000000000000000,4.5333,-1.6602,2.0,325,5,1.0,0.0726,0,0,0.0,0.3,0.55,metabolic,-0.458,uncrowded,1.0,167,0.0076686428571428565,0.396739,-0.2618,14.92,0.219203,-0.7749
VERA,"Vera Therapeutics, Inc.",5,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.382246,,0,0.921233,1,0.078767,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,clinical_score:-43.0;financial_score:+25.8;smart_money_score:+22.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.08495792504570385,,-0.3717,979,1,-1.6769,-1.3128,5,5,buying,0.775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.230141,price_history,,5,0.8509,price_history,,-0.441341,,52.459,0.7858,-0.343943,-0.097398,late,mid,none,drug_developer,morningstar,,,,0,0.7832194538135132194538135132,52.02,41.25000000000000000000000000,71.5,50,6.151927437641723356009070298,75.00000000000000000000000000,4.7732,-1.6501,3.0,979,2,0.3333,0.0004,0,0,0.0,0.4,0.55,infectious_disease,0.7124,highly_crowded,1.0,106,0.08495792504570385,0.617754,0.2996,18.43,0.360507,-0.3571
RAPT,"RAPT Therapeutics, Inc.",6,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.161232,,0,0.907534,1,0.092466,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-39.0;smart_money_score:+30.8;momentum_score:+20.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.1,,0.3176,0,1,-1.6092,-1.1759,5,5,buying,0.775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.219046,price_history,,5,1.3906,price_history,,-0.34908,,52.8135,1.4599,-0.343943,-0.005137,mid,small,none,drug_developer,morningstar,,,,0,0.7846554829993244764692636794,67.32,41.25000000000000000000000000,77.5,21.43,7.716049382716049382716049384,39.84027777777777777777777778,8.6316,-1.4871,2.0,4,4,1.0,0.973,1,1,0.0,0.4,0.95,oncology,0.7124,highly_crowded,1.0,45,0.1,0.838768,0.9894,14.99,0.222826,-0.7627
IMVT,"Immunovant, Inc.",7,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.306159,,0,0.900685,1,0.099315,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,clinical_score:-39.0;financial_score:+26.5;smart_money_score:+15.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 312251000.0, ""cash_total"": 994525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.220213866408756, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|none|nonpos,0.08495792504570385,,-0.3704,904,1,-1.6006,-1.1586,6,6,selling,1.1625,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,478.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.073084,price_history,,6,0.9811,price_history,,-0.463519,,46.4695,0.5723,-0.343943,-0.119576,late,mid,none,drug_developer,morningstar,,,,0,0.8870471353544998806397708284,50.11,41.25000000000000000000000000,62.0,10.98,7.913832199546485260770975050,73.42857142857142857142857142,6.588,-1.5734,3.0,904,5,1.0,0.001,0,0,0.0,0.4,0.6,autoimmune,0.2442,moderate,1.0,85,0.08495792504570385,0.693841,0.5068,21.69,0.429348,-0.178
CRSP,CRISPR Therapeutics AG,8,0.62,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.280797,,0,0.893836,1,0.106164,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-38.6;financial_score:+32.9;smart_money_score:+18.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.08495792504570385,,-0.0947,132,1,-1.5748,-1.1064,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.27037,price_history,,3,1.0901,price_history,,-0.462255,,44.7896,0.5582,-0.343943,-0.118312,late,mid,none,drug_developer,morningstar,,,,0,0.8829993291806420699568758984,39.65,41.25000000000000000000000000,66.0,59.46,8.510204081632653061224489800,80.0,7.4394,-1.5375,3.0,1032,6,1.0,0.0895,0,0,0.0,0.3,0.95,oncology,0.2442,moderate,1.0,78,0.08495792504570385,0.719203,0.5805,24.54,0.505435,0.0136
ACLX,"Arcellx, Inc.",9,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.005435,,0,0.886986,1,0.113014,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-36.6;smart_money_score:+33.9;catalyst_score:-4.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",mid|none|nonpos,0.1,,-0.861,755,1,-1.5336,-1.0229,7,7,buying,1.55,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.105959,price_history,,7,0.4852,price_history,,-0.207532,,54.1831,0.5575,-0.343943,0.136411,mid,mid,none,drug_developer,morningstar,,,,0,0.8080658198878590227714841515,49.40,41.25000000000000000000000000,80.0,10.00,9.463734567901234567901234566,50.25000000000000000000000000,8.34,-1.4994,2.0,1544,3,0.6667,0.0005,0,0,0.0,0.3,0.95,oncology,0.7124,highly_crowded,1.0,2,0.1,0.994565,2.5469,19.58,0.389493,-0.2806
LQDA,Liquidia Corporation,10,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.317029,,0,0.880137,1,0.119863,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+31.3;financial_score:-24.7;clinical_score:-23.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.08495792504570385,,0.8207,0,1,-1.4697,-0.8936,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.136142,price_history,,3,0.7225,price_history,,-0.274136,,49.4112,0.5778,-0.343943,0.069807,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688328621061459206900682880,43.92,41.25000000000000000000000000,65.5,23.17,10.94104308390022675736961451,9.514235323759133282942806758,9.1173,-1.4666,3.0,923,4,1.0,0.0011,0,0,0.0,0.3,0.5,respiratory,0.7124,highly_crowded,1.0,88,0.08495792504570385,0.682971,0.476,10.81,0.085145,-1.3713
ABCL,AbCellera Biologics Inc.,11,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.20471,,0,0.818493,1,0.181507,,0,no_upcoming,9,neutral,deep_drawdown,M,sponsor_confirmed|runway_short,financial_score:-26.6;smart_money_score:+24.6;clinical_score:-17.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 131295000.0, ""cash_total"": 128513000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 11.74573289158003, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 2}",late|none|nonpos,0.08495792504570385,,-0.1505,165,1,-1.1642,-0.2758,2,2,buying,-0.3875,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,821.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.072045,price_history,,2,0.8892,price_history,,-0.475164,,49.4966,0.7022,-0.343943,-0.131221,late,small,sev2,drug_developer,morningstar,,,,0,0.8628507403521044654308033112,50.30,41.25000000000000000000000000,60.5,46.75,18.00000000000000000000000000,9.267642127724432251181222374,16.7308,-1.145,3.0,,3,0.6667,0.2528,0,1,0.0,0.4,0.55,infectious_disease,0.7124,highly_crowded,1.0,57,0.08495792504570385,0.79529,0.8249,8.14,0.052536,-1.6207
URGN,UroGen Pharma Ltd.,12,0.27,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.378623,,0,0.804795,1,0.195205,,0,no_upcoming,9,headwind,deep_drawdown,S,sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+34.5;financial_score:-24.7;clinical_score:-18.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|nonpos,0.08495792504570385,,0.8449,0,1,-1.1061,-0.1583,4,4,buying,0.3875,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.19083,price_history,,4,0.9916,price_history,,-0.587559,,49.9806,0.7699,-0.343943,-0.243616,late,small,sev2,drug_developer,morningstar,,,,0,0.8225032197634937360964758225,41.93,41.25000000000000000000000000,72.0,70.33,19.34240362811791383219954649,12.78844688309708885840573083,19.2687,-1.0379,3.0,146,12,1.0,0.9773,0,1,0.0,0.3,0.95,oncology,0.7124,highly_crowded,1.0,105,0.08495792504570385,0.621377,0.3091,5.32,0.016304,-2.1369
CRNX,"Crinetics Pharmaceuticals, Inc.",13,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.277174,,0,0.797945,1,0.202055,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-32.2;financial_score:+27.8;smart_money_score:+19.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|nonpos,0.08495792504570385,,0.846,0,1,-1.0768,-0.0989,5,5,buying,0.775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.14977,price_history,,5,1.0395,price_history,,-0.259768,,53.1078,0.6688,-0.343943,0.084175,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,48.12,41.25000000000000000000000000,71.5,22.36,20.02040816326530612244897959,80.0,19.5967,-1.024,3.0,304,5,1.0,0.1534,0,0,0.0,0.5,0.95,oncology,0.7124,highly_crowded,1.0,77,0.08495792504570385,0.722826,0.5913,22.10,0.451087,-0.1229
WVE,Wave Life Sciences Ltd.,14,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.197464,,0,0.791096,1,0.208904,,0,no_upcoming,9,tailwind,high_vol|deep_drawdown,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-34.5;smart_money_score:+22.2;financial_score:+18.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.1,,0.3319,0,1,-1.0448,-0.0342,5,5,buying,0.775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.375446,price_history,,5,0.8141,price_history,,-0.477346,,54.0685,3.1359,-0.343943,-0.133403,mid,mid,none,drug_developer,morningstar,,,,0,0.7964720782959124928036845135,63.17,41.25000000000000000000000000,77.5,32.86,20.76003086419753086419753086,73.62500000000000000000000000,19.975,-1.008,2.0,,7,1.0,0.0235,0,0,0.0,0.4,0.75,rare_disease,0.7124,highly_crowded,1.0,55,0.1,0.802536,0.8507,23.76,0.472826,-0.0682
KALV,"KalVista Pharmaceuticals, Inc.",15,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.516304,,0,0.777397,1,0.222603,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+24.7;clinical_score:-23.4;smart_money_score:+9.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.07456528571428571,,0.8472,0,1,-0.9876,0.0815,2,2,selling,-0.3875,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.574729,price_history,,2,0.8229,price_history,,-0.214356,,57.285,0.6376,-0.343943,0.129587,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,70.14,41.25000000000000000000000000,54.5,61.38,22.08163265306122448979591837,39.26992836457857033988721232,22.0042,-0.9223,3.0,478,4,1.0,0.6983,1,1,0.0,0.4,0.55,ophthalmology,0.7124,highly_crowded,1.0,143,0.07456528571428571,0.483696,-0.0409,19.89,0.400362,-0.2524
REPL,"Replimune Group, Inc.",16,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.925725,,0,0.770548,1,0.229452,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,clinical_score:-22.8;financial_score:+15.7;smart_money_score:+7.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,-0.017436956834532374,,-0.843,1088,1,-0.9575,0.1424,5,5,selling,0.775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.122125,price_history,,5,0.9814,price_history,,-0.463942,,41.8912,0.5897,-0.343943,-0.119999,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014295339696799550814149354,49.44,41.25000000000000000000000000,53.0,52.86,22.77777777777777777777777778,61.25000000000000000000000000,21.6541,-0.9371,2.0,1088,4,1.0,0.0001,0,0,0.0,0.3,0.95,oncology,0.7124,highly_crowded,1.0,256,-0.017436956834532374,0.074275,-1.4447,18.59,0.367754,-0.3378
SVRA,"Savara, Inc.",17,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.574275,,0,0.763699,1,0.236301,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+27.3;financial_score:-18.9;clinical_score:-15.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.07456528571428571,,0.8477,0,1,-0.8967,0.2655,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.039517,price_history,,3,0.309,price_history,,-0.212766,,44.063,0.6811,-0.343943,0.131177,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,43.56,41.25000000000000000000000000,66.5,58.94,24.18367346938775510204081633,20.27267184880353604633440024,22.805,-0.8885,3.0,447,9,1.0,0.0362,0,0,0.0,0.4,0.5,respiratory,0.7124,highly_crowded,1.0,159,0.07456528571428571,0.425725,-0.1873,14.65,0.208333,-0.8122
INBX,"Inhibrx Biosciences, Inc.",18,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.900362,,0,0.736301,1,0.263699,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+23.6;financial_score:-15.3;clinical_score:-13.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,-0.017436956834532374,,0.3488,0,1,-0.6856,0.6925,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.343943,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,41.43,29.06250000000000000000000000,27.56500771604938271604938271,28.3838,-0.6529,2.0,1117,5,1.0,0.0006,0,0,0.0,0.4,0.95,oncology,0.7124,highly_crowded,1.0,249,-0.017436956834532374,0.099638,-1.2836,16.62,0.280797,-0.5805
