ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.01,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.980702,,0,0.951613,1,0.048387,101,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-43.1;smart_money_score:+34.9;financial_score:+8.7,tier=A;reason=high_opt+catalyst_near;cat_days=101;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.00035902702702702704,,0.7132,0,1,-1.7092,0.0,6,6,buying,1.1662,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,101,False,specific_days,0.090242,price_history,,6,0.3289,price_history,,-0.24768,,51.7828,,-0.104606,-0.143074,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,50.33,45.56250000000000000000000000,83.0,14.23,5,56.83720930232558139534883720,4.6261,-1.6519,3.0,1075,7,1.0,0.5194,0,1,0.0,0.3,0.95,oncology,-0.4844,uncrowded,1.0,280,0.00035902702702702704,0.019298,-2.0685,13.57,0.145614,-1.0554,1.8e-05,0.0,0.0,0.0,0.0,1.8e-05,0.0
VTYX,"Ventyx Biosciences, Inc.",2,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.342105,,0,0.996774,1,0.003226,,0,no_upcoming,9,headwind,high_vol,S,sponsor_confirmed|momentum_headwind|high_risk,clinical_score:-41.4;smart_money_score:+25.6;financial_score:+21.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.04977633333333333,,-0.5096,66,1,-1.7092,-1.2117,4,4,buying,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.119675,price_history,,4,1.116,price_history,,-0.233441,,51.9352,1.2298,-0.104606,-0.128835,mid,small,none,drug_developer,morningstar,,,,0,0.7407673183410554864956492259,46.01,41.25000000000000000000000000,72.0,25.00,5,67.88235294117647058823529412,4.8319,-1.6432,2.0,66,3,0.6667,0.8876,1,2,0.0,0.4,0.6,autoimmune,0.6955,highly_crowded,1.0,98,0.04977633333333333,0.657895,0.4067,15.87,0.24386,-0.6939,0.002489,0.0,0.0,0.0,0.0,0.002489,0.0
VERA,"Vera Therapeutics, Inc.",3,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.601754,,0,0.983871,1,0.016129,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-52.9;momentum_score:+38.6;financial_score:+17.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.04561745918367347,,-0.5368,664,1,-1.7092,-1.2117,5,5,buying,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.570921,price_history,,5,1.1106,price_history,,-0.251009,,61.216,0.7858,-0.104606,-0.146403,late,mid,none,drug_developer,morningstar,,,,0,0.7847545752030056962792388801,96.55,41.25000000000000000000000000,71.5,10.00,5,75.25581395348837209302325581,3.5474,-1.6974,3.0,664,3,0.6667,0.0064,0,0,0.0,0.4,0.55,infectious_disease,0.6955,highly_crowded,1.0,172,0.04561745918367347,0.398246,-0.2579,16.80,0.278947,-0.586,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
TRDA,"Entrada Therapeutics, Inc.",4,0.17,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.254386,,0,0.970968,1,0.029032,,0,no_upcoming,9,tailwind,,S,momentum_tailwind|runway_short|cost_haircut_>2000bps,momentum_score:+34.3;clinical_score:-28.9;financial_score:-28.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 128512000.0, ""cash_total"": 90394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.440674800796813, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 1}",early|none|nonpos,0.06634054437869823,,-1.7368,,0,-1.7092,-1.2117,1,1,selling,-0.7775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.231664,price_history,,1,1.2514,price_history,,-0.251426,,56.638,0.5606,-0.104606,-0.14682,early,small,sev2,drug_developer,morningstar,,,,0,0.7763720452422953201203694096,68.22,41.25000000000000000000000000,49.5,50,5,5.401111111111111111111111112,3.5369,-1.6979,0.0,561,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-0.4844,uncrowded,1.0,73,0.06634054437869823,0.745614,0.6608,4.81,0.012281,-2.2482,0.003317,0.0,0.0,0.0,0.0,0.003317,0.0
CNTA,Centessa Pharmaceuticals plc,5,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.492982,,0,0.958065,1,0.041935,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+43.6;clinical_score:-38.1;financial_score:-37.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.04561745918367347,,0.6716,0,1,-1.7092,-1.2117,7,7,buying,1.5549,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.435367,price_history,,7,0.5392,price_history,,-0.114078,,59.8706,0.5724,-0.104606,-0.009472,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,86.70,41.25000000000000000000000000,77.0,28.10,5,5.401111111111111111111111112,4.7445,-1.6469,3.0,,7,1.0,0.2368,1,0,0.0,0.4,0.95,oncology,0.6955,highly_crowded,1.0,141,0.04561745918367347,0.507018,0.0176,9.65,0.068421,-1.4877,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
AVBP,"ArriVent BioPharma, Inc.",6,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.464912,,0,0.945161,1,0.054839,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-37.4;financial_score:+19.3;smart_money_score:+11.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 129930000.0, ""cash_total"": 300266000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.731794042946202, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|nonpos,0.04561745918367347,,-0.537,683,1,-1.7092,-1.2117,4,4,selling,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,986.33,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,4,,,series_too_short,,no_price_series,,0.6474,-0.104606,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8370803742292153944290878163,50,41.25000000000000000000000000,54.0,50,5,61.63076923076923076923076923,3.8869,-1.6831,3.0,756,2,0.3333,0.0036,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,133,0.04561745918367347,0.535088,0.0881,19.06,0.373684,-0.3221,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
CGON,"CG Oncology, Inc.",7,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.482456,,0,0.93871,1,0.06129,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-44.5;smart_money_score:+33.3;financial_score:+19.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.04561745918367347,,0.7152,0,1,-1.7025,-1.1973,6,6,buying,1.1662,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.104606,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.156012818350480688143025809,69.11627906976744186046511628,4.0429,-1.6765,3.0,1617,6,1.0,0.0769,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,138,0.04561745918367347,0.517544,0.044,17.20,0.307018,-0.5043,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
ARTV,"Artiva Biotherapeutics, Inc.",8,0.42,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.285965,,0,0.932258,1,0.067742,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-36.2;smart_money_score:+18.1;financial_score:+10.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 62025000.0, ""cash_total"": 122968000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.790665054413545, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|none|nonpos,0.04977633333333333,,-1.0509,407,1,-1.6786,-1.1465,2,2,neutral,-0.3887,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1301.68,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,,-0.104606,,mid,micro,sev1,drug_developer,morningstar,,,drawdown,1,0.7549362536776724419745014711,50,41.25000000000000000000000000,60.0,77.63,5.709342560553633217993079581,52.35294117647058823529411764,4.5962,-1.6531,2.0,475,3,0.6667,0.0275,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,82,0.04977633333333333,0.714035,0.5652,12.66,0.124561,-1.1525,0.002489,0.0,0.0,0.0,0.0,0.002489,0.0
COGT,"Cogent Biosciences, Inc.",9,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.496491,,0,0.925806,1,0.074194,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,smart_money_score:+47.5;financial_score:-32.1;clinical_score:-31.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.04561745918367347,,0.7188,0,1,-1.6686,-1.1252,7,7,buying,1.5549,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.075345,price_history,,7,0.9919,price_history,,-0.281342,,50.1837,2.489,-0.104606,-0.176736,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,50.14,41.25000000000000000000000000,85,10.58,5.941136785292629448473604315,5.401111111111111111111111112,5.878,-1.599,3.0,802,5,1.0,0.0072,0,0,0.0,0.5,0.95,oncology,-0.4844,uncrowded,1.0,142,0.04561745918367347,0.503509,0.0088,9.91,0.07193,-1.4616,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
LQDA,Liquidia Corporation,10,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.549123,,0,0.874194,1,0.125806,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-28.1;smart_money_score:+28.1;clinical_score:-25.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.04561745918367347,,0.7373,0,1,-1.4207,-0.5988,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.170951,price_history,,3,0.733,price_history,,-0.176768,,51.1005,0.5778,-0.104606,-0.072162,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688328621061459206900682880,59.34,41.25000000000000000000000000,65.5,18.61,11.67313206274245235284196324,9.307733910221741481882098432,9.86,-1.431,3.0,608,4,1.0,0.0146,0,0,0.0,0.3,0.5,respiratory,0.6955,highly_crowded,1.0,157,0.04561745918367347,0.450877,-0.1234,11.24,0.096491,-1.3018,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
CRSP,CRISPR Therapeutics AG,11,1.01,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.507018,,0,0.854839,1,0.145161,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-38.0;financial_score:+28.6;smart_money_score:+14.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.04561745918367347,,0.7413,0,1,-1.3466,-0.4414,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.067412,price_history,,3,1.2941,price_history,,-0.303071,,46.3938,0.5582,-0.104606,-0.198465,late,mid,none,drug_developer,morningstar,,,,0,0.8829993291806420699568758984,56.32,41.25000000000000000000000000,66.0,61.70,13.38674312700286726260752235,80.0,12.3369,-1.3264,3.0,717,9,1.0,0.0883,0,0,0.0,0.3,0.95,oncology,0.2236,moderate,1.0,145,0.04561745918367347,0.492982,-0.0176,26.85,0.549123,0.1234,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
ABEO,Abeona Therapeutics Inc.,12,0.71,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.433333,,0,0.848387,1,0.151613,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-33.8;financial_score:+21.0;momentum_score:+12.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|nonpos,0.04561745918367347,,0.7435,0,1,-1.3216,-0.3882,2,2,neutral,-0.3887,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.10773,price_history,,2,0.5875,price_history,,-0.339823,,40.4102,,-0.104606,-0.235217,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,59.71,41.25000000000000000000000000,55.0,86.50,13.96544292648188752084855981,68.70129870129870129870129870,12.5024,-1.3195,3.0,802,9,1.0,0.0019,0,0,0.0,0.3,0.5,other,-1.6642,uncrowded,1.0,124,0.04561745918367347,0.566667,0.1679,24.85,0.517544,0.044,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
RAPT,"RAPT Therapeutics, Inc.",13,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.317544,,0,0.841935,1,0.158065,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,smart_money_score:+32.4;clinical_score:-31.0;momentum_score:+8.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.04977633333333333,,0.2056,0,1,-1.3177,-0.3799,5,5,buying,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.07295,price_history,,5,1.6788,price_history,,-0.266234,,64.0203,1.4599,-0.104606,-0.161628,mid,small,none,drug_developer,morningstar,,,,0,0.7846415306696679797411367473,53.06,41.25000000000000000000000000,77.5,32.89,14.05655944294929300696313384,39.53804092443077448844461533,13.304,-1.2856,2.0,308,5,1.0,0.1406,0,0,0.0,0.4,0.95,oncology,0.6955,highly_crowded,1.0,91,0.04977633333333333,0.682456,0.4746,16.92,0.289474,-0.5549,0.002489,0.0,0.0,0.0,0.0,0.002489,0.0
IMVT,"Immunovant, Inc.",14,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.535088,,0,0.835484,1,0.164516,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-37.9;financial_score:+21.3;momentum_score:+18.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 312251000.0, ""cash_total"": 994525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.220213866408756, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|none|nonpos,0.04561745918367347,,-0.4916,589,1,-1.2964,-0.3348,6,6,selling,1.1662,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,478.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.304332,price_history,,6,1.1854,price_history,,-0.106656,,57.8081,0.5723,-0.104606,-0.00205,late,mid,none,drug_developer,morningstar,,,,0,0.8870170169572486267016957249,70.74,41.25000000000000000000000000,62.0,15.69,14.54789078165701542324918948,73.72093023255813953488372093,13.1585,-1.2918,3.0,589,7,1.0,0.0159,0,0,0.0,0.4,0.6,autoimmune,0.2236,moderate,1.0,153,0.04561745918367347,0.464912,-0.0881,24.80,0.510526,0.0264,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
PRTA,Prothena Corporation plc,15,0.42,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.573684,,0,0.822581,1,0.177419,,0,no_upcoming,9,tailwind,high_beta,M,sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,clinical_score:-29.0;momentum_score:+13.1;financial_score:+10.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.04561745918367347,,0.7461,0,1,-1.2199,-0.1722,2,2,neutral,-0.3887,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.078717,price_history,,2,1.9321,price_history,,-0.172795,,41.1119,0.4848,-0.104606,-0.068189,late,small,none,drug_developer,morningstar,,,,0,0.8475046085637615214094038035,58.43,41.25000000000000000000000000,55.0,84.31,16.31772268135904499540863177,55.53846153846153846153846154,14.8651,-1.2197,3.0,621,9,1.0,0.0392,0,0,0.0,0.4,0.6,cns,0.6955,highly_crowded,1.0,164,0.04561745918367347,0.426316,-0.1858,19.20,0.380702,-0.3036,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
ACLX,"Arcellx, Inc.",16,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.275439,,0,0.809677,1,0.190323,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+35.3;clinical_score:-27.1;momentum_score:-4.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",mid|none|nonpos,0.04977633333333333,,-1.0131,440,1,-1.163,-0.0512,7,7,buying,1.5549,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.230611,price_history,,7,0.9103,price_history,,-0.277961,,45.6515,0.5575,-0.104606,-0.173355,mid,mid,none,drug_developer,morningstar,,,,0,0.8080658198878590227714841515,40.14,41.25000000000000000000000000,80.0,10.00,17.63467042590456661967619292,44.45136485966935793925413302,16.5216,-1.1498,2.0,1229,3,0.6667,0.0067,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,79,0.04977633333333333,0.724561,0.5964,22.55,0.475439,-0.0616,0.002489,0.0,0.0,0.0,0.0,0.002489,0.0
ZBIO,"Zenas BioPharma, Inc.",17,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.861404,,0,0.796774,1,0.203226,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-26.7;smart_money_score:+21.1;financial_score:+5.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.0247995421686747,,0.7518,0,1,-1.1156,0.0493,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.104606,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089584306398879028491359178,50,41.25000000000000000000000000,66.5,36.86,18.72997132737392477652217912,50.46153846153846153846153846,17.2774,-1.1179,3.0,846,5,1.0,0.061,0,0,0.0,0.4,0.6,autoimmune,0.6955,highly_crowded,1.0,246,0.0247995421686747,0.138596,-1.0866,15.84,0.240351,-0.7052,0.07519,0.07395,0.0,0.0,0.0,0.00124,0.0
