ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
IRON,"Disc Medicine, Inc.",1,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.173981,0.603825,0.5179,-0.4097,1.5476,,70,specific_days,3,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,8f99d47e,late|near_31_90|pos,0.1,,drug_developer,56,0.1
NMRA,"Neumora Therapeutics, Inc.",2,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,0.625683,0.516,-0.4985,1.3192,,9,specific_days,3,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,v1.3.0,8f99d47e,late|near_0_30|pos,0.09254273684210526,,drug_developer,186,0.09254273684210526
RNA,"Avidity Biosciences, Inc.",3,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.258621,0.620219,0.5161,-0.4765,1.3759,,162,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,8f99d47e,late|near_91_180|pos,0.1,,drug_developer,83,0.1
PVLA,"Palvella Therapeutics, Inc.",4,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.587774,0.642077,0.5156,-0.5424,1.2064,,9,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed,v1.3.0,8f99d47e,late|near_0_30|pos,0.09254273684210526,,drug_developer,188,0.09254273684210526
ALMS,Alumis Inc.,5,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.020376,0.60929,0.5169,-0.4432,1.4615,,39,specific_days,2,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,v1.3.0,8f99d47e,late|near_31_90|pos,0.1,,drug_developer,7,0.1
PRAX,"Praxis Precision Medicines, Inc",6,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.239812,0.647541,0.515,-0.5642,1.1504,,101,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,8f99d47e,late|near_91_180|pos,0.1,,drug_developer,77,0.1
IMVT,"Immunovant, Inc.",7,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.565831,0.691257,0.5059,-0.7141,0.765,,9,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,8f99d47e,late|near_0_30|pos,0.09254273684210526,,drug_developer,181,0.09254273684210526
SYRE,"Spyre Therapeutics, Inc.",8,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.293103,0.614754,-0.1057,-0.4603,1.4174,,42,specific_days,3,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,8f99d47e,mid|near_31_90|pos,0.1,,drug_developer,94,0.1
PHVS,Pharvaris N.V.,9,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.236677,0.674863,0.5079,-0.6717,0.8739,,40,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,v1.3.0,8f99d47e,late|near_31_90|pos,0.1,,drug_developer,76,0.1
RVMD,"Revolution Medicines, Inc.",10,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.26489,0.685792,0.5077,-0.693,0.8194,,69,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,8f99d47e,late|near_31_90|pos,0.1,,drug_developer,85,0.1
