ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.07,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.896127,,0,0.957792,1,0.042208,129,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-41.9;smart_money_score:+36.1;financial_score:+7.6,tier=A;reason=high_opt+catalyst_mid;cat_days=129;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.008127472222222223,,0.7236,0,1,-1.7152,0.7236,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,129,False,specific_days,0.053439,price_history,,6,0.3799,price_history,,-0.179158,,59.2938,,-0.103025,-0.076133,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,46.44,45.56250000000000000000000000,83.0,13.70,5,54.50000000000000000000000000,4.5022,-1.6556,3.0,1103,7,1.0,0.4113,0,1,0.0,0.3,0.95,oncology,-0.4815,uncrowded,1.0,255,0.008127472222222223,0.103873,-1.2598,14.03,0.170775,-0.9511,0.000406,0.0,0.0,0.0,0.0,0.000406,0.0
CGON,"CG Oncology, Inc.",2,0.91,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.417254,,0,0.938312,1,0.061688,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-44.0;smart_money_score:+33.8;financial_score:+17.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.050235292517006806,,0.7256,0,1,-1.706,0.7256,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.103025,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.210834102800861803631886737,66.50000000000000000000000000,4.0975,-1.6726,3.0,1645,6,1.0,0.0609,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,119,0.050235292517006806,0.582746,0.2089,16.83,0.286972,-0.5623,0.002512,0.0,0.0,0.0,0.0,0.002512,0.0
COGT,"Cogent Biosciences, Inc.",3,0.64,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.431338,,0,0.925325,1,0.074675,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,smart_money_score:+46.9;financial_score:-32.9;clinical_score:-32.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.050235292517006806,,0.7292,0,1,-1.6715,0.7292,7,7,buying,1.5511,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.048365,price_history,,7,1.0619,price_history,,-0.288405,,50.9652,2.489,-0.103025,-0.18538,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,52.98,41.25000000000000000000000000,85,10.74,6.006944444444444444444444442,5.200277777777777777777777778,5.9436,-1.5948,3.0,830,5,1.0,0.0057,0,0,0.0,0.5,0.95,oncology,-0.4815,uncrowded,1.0,123,0.050235292517006806,0.568662,0.173,9.87,0.082746,-1.3868,0.002512,0.0,0.0,0.0,0.0,0.002512,0.0
LQDA,Liquidia Corporation,4,0.91,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.480634,,0,0.873377,1,0.126623,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-29.7;momentum_score:+27.6;clinical_score:-27.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.050235292517006806,,0.7476,0,1,-1.4194,0.7476,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.223122,price_history,,3,0.7004,price_history,,-0.045599,,59.6,0.5778,-0.103025,0.057426,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,66.48,41.25000000000000000000000000,65.5,18.15,11.82209910741766697445367806,9.111111111111111111111111112,10.0088,-1.4235,3.0,636,4,1.0,0.0116,0,0,0.0,0.3,0.5,respiratory,0.6973,highly_crowded,1.0,137,0.050235292517006806,0.519366,0.0486,11.21,0.096831,-1.2998,0.002512,0.0,0.0,0.0,0.0,0.002512,0.0
CNTA,Centessa Pharmaceuticals plc,5,0.91,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.427817,,0,0.964286,1,0.035714,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+48.6;clinical_score:-39.3;financial_score:-39.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.050235292517006806,,0.6823,0,1,-1.7152,0.6823,7,7,buying,1.5511,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.669048,price_history,,7,0.2231,price_history,,0.0,,80.1372,0.5724,-0.103025,0.103025,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,92.86,41.25000000000000000000000000,77.0,27.78,5,5.200277777777777777777777778,4.749,-1.6452,3.0,,7,1.0,0.1875,1,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,122,0.050235292517006806,0.572183,0.1819,9.62,0.079225,-1.4103,0.002512,0.0,0.0,0.0,0.0,0.002512,0.0
CRSP,CRISPR Therapeutics AG,6,1.07,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.441901,,0,0.853896,1,0.146104,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-38.6;financial_score:+27.7;smart_money_score:+13.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.050235292517006806,,0.7515,0,1,-1.344,0.7515,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.04061,price_history,,3,1.6543,price_history,,-0.331225,,37.6868,0.5582,-0.103025,-0.2282,late,mid,none,drug_developer,morningstar,,,,0,0.8829993291806420699568758984,60.05,41.25000000000000000000000000,66.0,61.50,13.56148045552477685441674362,79.850,12.5103,-1.318,3.0,745,9,1.0,0.0699,0,0,0.0,0.3,0.95,oncology,0.2258,moderate,1.0,126,0.050235292517006806,0.558099,0.1462,26.94,0.547535,0.1194,0.002512,0.0,0.0,0.0,0.0,0.002512,0.0
ABEO,Abeona Therapeutics Inc.,7,0.75,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.367958,,0,0.840909,1,0.159091,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-39.5;momentum_score:+35.6;financial_score:+14.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|nonpos,0.050235292517006806,,0.7537,0,1,-1.3185,0.7537,2,2,neutral,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.727072,price_history,,2,0.4234,price_history,,-0.120354,,72.6284,,-0.103025,-0.017329,late,micro,none,drug_developer,morningstar,,,,0,0.8741792361966625601971105387,89.27,41.25000000000000000000000000,55.0,87.04,14.14896891351184979993844260,68.55263157894736842105263158,12.6856,-1.3106,3.0,830,9,1.0,0.0015,0,0,0.0,0.3,0.5,other,-1.6603,uncrowded,1.0,105,0.050235292517006806,0.632042,0.3373,24.86,0.526408,0.0662,0.002512,0.0,0.0,0.0,0.0,0.002512,0.0
PRTA,Prothena Corporation plc,8,0.75,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.505282,,0,0.821429,1,0.178571,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-29.8;momentum_score:+18.8;smart_money_score:+8.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.050235292517006806,,0.7564,0,1,-1.2149,0.7564,2,2,neutral,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.203207,price_history,,2,1.7224,price_history,,-0.112101,,50.618,0.4848,-0.103025,-0.009076,late,small,none,drug_developer,morningstar,,,,0,0.8474842338662621075971525265,65.14,41.25000000000000000000000000,55.0,84.81,16.53739612188365650969529086,53.92307692307692307692307692,15.0948,-1.2091,3.0,649,9,1.0,0.031,0,0,0.0,0.4,0.6,cns,0.6973,highly_crowded,1.0,144,0.050235292517006806,0.494718,-0.0132,18.97,0.382042,-0.3001,0.002512,0.0,0.0,0.0,0.0,0.002512,0.0
ZBIO,"Zenas BioPharma, Inc.",9,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.540493,,0,0.795455,1,0.204545,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-26.0;smart_money_score:+21.5;momentum_score:+5.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.050235292517006806,,0.762,0,1,-1.1087,0.762,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.103025,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089584306398879028491359178,50,41.25000000000000000000000000,66.5,36.67,18.98738073253308710372422284,48.16436554898093359631821170,17.5448,-1.1058,3.0,874,5,1.0,0.0483,0,0,0.0,0.4,0.6,autoimmune,0.6973,highly_crowded,1.0,154,0.050235292517006806,0.459507,-0.1017,15.71,0.248239,-0.68,0.002512,0.0,0.0,0.0,0.0,0.002512,0.0
URGN,UroGen Pharma Ltd.,10,0.91,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.846831,,0,0.769481,1,0.230519,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-30.9;smart_money_score:+29.4;momentum_score:+22.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.016933170731707317,,0.7723,0,1,-0.9444,0.7723,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.302493,price_history,,4,0.8944,price_history,,-0.198041,,50.728,0.7699,-0.103025,-0.095016,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,65.13,41.25000000000000000000000000,72.0,73.70,22.77777777777777777777777778,11.61746219592373438527284682,21.6644,-0.9321,3.0,1684,13,1.0,0.0001,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,241,0.016933170731707317,0.153169,-1.0229,5.78,0.019366,-2.067,0.290047,0.2892,0.0,0.0,0.0,0.000847,0.0
SVRA,"Savara, Inc.",11,0.91,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.836268,,0,0.75,1,0.25,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+33.5;financial_score:-27.3;clinical_score:-21.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.016933170731707317,,0.7756,0,1,-0.86,0.7756,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.406204,price_history,,3,-0.0296,price_history,,-0.117284,,52.4292,0.6811,-0.103025,-0.014259,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,79.68,41.25000000000000000000000000,66.5,58.15,24.72491535857186826715912588,18.93777777777777777777777778,23.5277,-0.8536,3.0,160,9,1.0,0.3954,0,1,0.0,0.4,0.5,respiratory,0.6973,highly_crowded,1.0,238,0.016933170731707317,0.163732,-0.9792,11.86,0.107394,-1.2405,0.538297,0.53745,0.0,0.0,0.0,0.000847,0.0
CRNX,"Crinetics Pharmaceuticals, Inc.",12,0.91,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.734155,,0,0.724026,1,0.275974,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,financial_score:+24.5;clinical_score:-24.0;smart_money_score:+17.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.016933170731707317,,0.7834,0,1,-0.6275,0.7834,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.079863,price_history,,5,0.9009,price_history,,-0.215678,,29.0075,0.6688,-0.103025,-0.112653,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,48.87,41.25000000000000000000000000,71.5,27.04,30.08656509695290858725761773,78.50000000000000000000000000,31.2149,-0.5296,3.0,17,7,1.0,1.6782,1,1,0.0,0.5,0.95,oncology,0.6973,highly_crowded,1.0,209,0.016933170731707317,0.265845,-0.6254,25.48,0.533451,0.0839,1.221547,1.2207,0.0,0.0,0.0,0.000847,0.0
CLDX,"Celldex Therapeutics, Inc.",13,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.730634,,0,0.678571,1,0.321429,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+20.2;clinical_score:-17.7;financial_score:+16.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.016933170731707317,,0.789,0,1,-0.4768,0.789,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.120993,price_history,,4,0.9864,price_history,,-0.251739,,52.1949,0.4801,-0.103025,-0.148714,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,42.60,41.25000000000000000000000000,71.5,66.30,33.56263465681748230224684519,67.49230769230769230769230769,34.7117,-0.3822,3.0,,57,1.0,1.0718,1,2,0.0,0.4,0.95,oncology,-0.4815,uncrowded,1.0,208,0.016933170731707317,0.269366,-0.6147,28.80,0.568662,0.173,1.664647,1.6638,0.0,0.0,0.0,0.000847,0.0
DNLI,Denali Therapeutics Inc.,14,0.91,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.737676,,0,0.672078,1,0.327922,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:+23.5;clinical_score:-19.3;catalyst_score:-12.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.016933170731707317,,0.7891,0,1,-0.4462,0.7891,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.074093,price_history,,3,1.3478,price_history,,-0.249416,,43.0833,0.5691,-0.103025,-0.146391,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,54.61,41.25000000000000000000000000,60.5,46.30,34.26939058171745152354570638,77.00000000000000000000000000,34.7184,-0.3819,3.0,34,11,1.0,1.1603,1,1,0.0,0.4,0.6,cns,-0.4815,uncrowded,1.0,210,0.016933170731707317,0.262324,-0.6362,33.58,0.674296,0.4518,1.754647,1.7538,0.0,0.0,0.0,0.000847,0.0
VIR,"Vir Biotechnology, Inc.",15,0.91,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.857394,,0,0.652597,1,0.347403,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+15.2;clinical_score:-10.1;catalyst_score:-4.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.016933170731707317,,0.7905,0,1,-0.3844,0.7905,2,2,buying,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.010298,price_history,,2,0.6768,price_history,,-0.210289,,40.5861,0.7493,-0.103025,-0.107264,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,46.61,41.25000000000000000000000000,61.0,78.15,35.69444444444444444444444444,44.37801446416831032215647601,36.0019,-0.3278,3.0,21,14,1.0,3.0892,3,3,0.0,0.4,0.55,infectious_disease,0.6973,highly_crowded,1.0,244,0.016933170731707317,0.142606,-1.0687,29.02,0.572183,0.1819,1.936297,1.93545,0.0,0.0,0.0,0.000847,0.0
XENE,Xenon Pharmaceuticals Inc.,16,0.91,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.864437,,0,0.62013,1,0.37987,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+26.4;clinical_score:-12.3;catalyst_score:-9.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.016933170731707317,,0.7964,0,1,-0.2747,0.7964,8,8,buying,1.9396,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.060057,price_history,,8,0.6671,price_history,,-0.081075,,45.1674,0.341,-0.103025,0.02195,late,mid,none,drug_developer,morningstar,,,,0,0.8874476502082093991671624033,49.27,41.25000000000000000000000000,77.0,41.11,38.22531932902431517389966144,47.02777777777777777777777778,38.5219,-0.2216,3.0,147,12,1.0,0.9259,1,2,0.0,0.6,0.6,cns,0.6973,highly_crowded,1.0,246,0.016933170731707317,0.135563,-1.1005,30.02,0.607394,0.2725,2.258947,2.2581,0.0,0.0,0.0,0.000847,0.0
RAPT,"RAPT Therapeutics, Inc.",17,0.64,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.603873,,0,0.847403,1,0.152597,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,smart_money_score:+33.1;clinical_score:-30.4;momentum_score:+7.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.047651121212121214,,0.2249,0,1,-1.3225,0.2249,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.062926,price_history,,5,1.6061,price_history,,-0.322727,,51.9175,1.4599,-0.103025,-0.219702,mid,small,none,drug_developer,morningstar,,,,0,0.7846415306696679797411367473,51.91,41.25000000000000000000000000,77.5,24.36,14.05655944294929300696313384,37.46751249519415609381007305,13.314,-1.2841,2.0,336,4,1.0,0.0632,0,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,172,0.047651121212121214,0.396127,-0.2634,16.68,0.27993,-0.5831,0.002383,0.0,0.0,0.0,0.0,0.002383,0.0
