ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
REPL,"Replimune Group, Inc.",1,1.03,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.691126,,0,0.874233,1,0.125767,164,0,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-29.2;smart_money_score:+14.6;momentum_score:+7.9,tier=A;reason=high_opt+catalyst_mid;cat_days=164;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",late|near_91_180|nonpos,0.03476938888888889,,0.0187,47,1,-1.3691,-1.0,5,5,selling,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,164,False,specific_days,-0.066094,price_history,,5,1.4846,price_history,,-0.275285,,34.4444,0.5897,-0.163728,-0.111557,late,small,sev1,drug_developer,morningstar,,,,0,0.8335079753172662708115030853,46.35,45.56250000000000000000000000,53.0,45.44,9.206048619001528987641852173,38.07456790123456790123456790,9.766,-1.4409,3.0,1382,13,1.0,0.7789,1,2,0.0,0.5,0.95,oncology,0.6858,highly_crowded,1.0,203,0.03476938888888889,0.308874,-0.499,11.44,0.107509,-1.2399,0.001738,0.0,0.0,0.0,0.0,0.001738,0.0
LQDA,Liquidia Corporation,2,1.03,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.755973,,0,0.800613,1,0.199387,71,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+34.9;financial_score:-33.7;clinical_score:-27.4,tier=A;reason=high_opt+catalyst_near;cat_days=71;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|near_31_90|pos,0.004868357142857142,,0.5792,0,1,-1.1198,1.0,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,71,False,specific_days,0.418129,price_history,,3,1.2289,price_history,,-0.096234,,52.8299,0.5778,-0.163728,0.067494,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,77.42,45.56250000000000000000000000,65.5,64.11,15.10766036835977500035068524,8.793085716546022704798069692,14.3296,-1.247,3.0,71,4,1.0,0.8301,1,1,0.0,0.3,0.5,respiratory,0.6858,highly_crowded,1.0,222,0.004868357142857142,0.244027,-0.6934,9.96,0.076792,-1.427,1.500243,1.5,0.0,0.0,0.0,0.000243,0.0
DNTH,"Dianthus Therapeutics, Inc.",3,0.31,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.127986,,0,0.953988,1,0.046012,,0,no_upcoming,9,headwind,high_beta|deep_drawdown,S,sponsor_confirmed|momentum_headwind|high_risk,clinical_score:-41.7;smart_money_score:+38.3;financial_score:+14.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 82077000.0, ""cash_total"": 402613000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 58.86370115866808, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|nonpos,0.08036317367458867,,-0.4865,129,1,-1.5468,-1.244,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,501.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.090217,price_history,,8,1.9954,price_history,,-0.389793,,38.0347,,-0.163728,-0.226065,late,mid,none,drug_developer,morningstar,,,,0,0.8412233086301697346402103753,41.05,41.25000000000000000000000000,85,57.22,5,61.37735849056603773584905660,3.4755,-1.7082,3.0,1381,3,0.6667,0.3619,0,1,0.0,0.4,0.6,autoimmune,0.6858,highly_crowded,1.0,38,0.08036317367458867,0.872014,1.136,20.02,0.428328,-0.1806,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
CNTA,Centessa Pharmaceuticals plc,4,1.03,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.104096,,0,0.947853,1,0.052147,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+41.0;clinical_score:-31.0;financial_score:-31.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.08036317367458867,,0.5174,0,1,-1.5468,-1.244,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.028701,price_history,,7,1.174,price_history,,-0.172359,,44.0509,0.5724,-0.163728,-0.008631,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882535922099513121957012231,51.84,41.25000000000000000000000000,77.0,56.87,5,5,4.0381,-1.6843,3.0,,8,1.0,0.1791,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,31,0.08036317367458867,0.895904,1.2586,12.82,0.141638,-1.073,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
NUVL,"Nuvalent, Inc.",5,1.03,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.168942,,0,0.923313,1,0.076687,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-41.0;smart_money_score:+27.3;financial_score:+17.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 275209000.0, ""cash_total"": 1371952000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 59.82153199931688, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|nonpos,0.08036317367458867,,-0.7895,651,1,-1.5162,-1.1675,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,435.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.024938,price_history,,5,1.0845,price_history,,-0.304984,,53.8659,0.5143,-0.163728,-0.141256,late,mid,none,drug_developer,morningstar,,,,0,0.8880516029078774877845310452,48.17,41.25000000000000000000000000,74.0,47.99,5.722692140442424497468052570,64.26415094339622641509433962,4.5317,-1.6634,3.0,1716,5,1.0,0.0012,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,50,0.08036317367458867,0.831058,0.9584,17.80,0.33959,-0.4136,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
ACLX,"Arcellx, Inc.",6,1.21,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.735495,,0,0.917178,1,0.082822,193,0,specific_days,9,neutral,,L,catalyst_far_lift|sponsor_confirmed,smart_money_score:+40.8;clinical_score:-33.5;financial_score:-23.4,tier=B;reason=high_opt+catalyst_far;cat_days=193;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_181_270|nonpos,0.008340913580246913,,0.5509,0,1,-1.5162,-1.1675,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,193,False,specific_days,-0.025389,price_history,,7,1.2476,price_history,,-0.349197,,51.2855,0.5575,-0.163728,-0.185469,late,mid,none,drug_developer,morningstar,,,,0,0.8816242164223572875700154928,49.03,45.56250000000000000000000000,80.0,34.37,5.722692140442424497468052570,15.82346426169850876152050948,4.5317,-1.6634,3.0,1198,5,1.0,0.0569,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,216,0.008340913580246913,0.264505,-0.6295,14.10,0.192833,-0.8675,0.000417,0.0,0.0,0.0,0.0,0.000417,0.0
MLTX,MoonLake Immunotherapeutics,7,0.62,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.158703,,0,0.904908,1,0.095092,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,clinical_score:-32.7;smart_money_score:+16.4;financial_score:+12.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 196007000.0, ""cash_total"": 334517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 20.47990122801737, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 4}",late|none|nonpos,0.08036317367458867,,0.5575,0,1,-1.4679,-1.0465,4,4,selling,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,513.23,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.198385,price_history,,4,0.7156,price_history,,-0.287389,,47.0557,,-0.163728,-0.123661,late,small,none,drug_developer,morningstar,,,,0,0.8277566717165831488171541778,41.72,41.25000000000000000000000000,56.0,24.74,6.866276704680946569596992517,51.96000000000000000000000000,7.4453,-1.5395,3.0,88,2,0.3333,1.5199,2,2,0.1429,0.4,0.5,dermatology,0.6858,crowded,1.0,47,0.08036317367458867,0.841297,0.9998,12.78,0.138225,-1.0883,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
CGON,"CG Oncology, Inc.",8,1.03,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.100683,,0,0.868098,1,0.131902,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,clinical_score:-38.2;smart_money_score:+35.1;financial_score:+10.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.08036317367458867,,0.5648,0,1,-1.3489,-0.7485,6,6,buying,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.004331,price_history,,6,1.3358,price_history,,-0.383827,,48.5125,0.7795,-0.163728,-0.220099,late,mid,none,drug_developer,morningstar,,,,0,0.8570204003356106915977466139,46.93,41.25000000000000000000000000,83.0,59.54,9.682419447600611595056740870,58.49056603773584905660377358,8.4915,-1.4951,3.0,437,8,1.0,0.0648,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,30,0.08036317367458867,0.899317,1.2777,17.07,0.295222,-0.5382,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
IKT,"Inhibikase Therapeutics, Inc.",9,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.882253,,0,0.843558,1,0.156442,,0,no_upcoming,9,tailwind,deep_drawdown,M,momentum_tailwind|cost_haircut_<=2000bps,momentum_score:+30.2;clinical_score:-26.0;financial_score:-19.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20270491.0, ""cash_total"": 39052511.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.118834763301983, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|none|nonpos,-0.08185119298245615,,0.0162,0,1,-1.2567,-0.5175,1,1,selling,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1865.77,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.221347,price_history,,1,0.835,price_history,,-0.403023,,50.1081,,-0.163728,-0.239295,mid,micro,sev1,drug_developer,morningstar,,,,0,0.6292395316949688851386984495,68.13,41.25000000000000000000000000,49.5,87.50,11.86543253826984692061231755,18.79565681737273050907796369,10.2035,-1.4223,2.0,831,2,0.3333,0.001,0,0,0.0,0.4,0.5,respiratory,0.6858,highly_crowded,1.0,259,-0.08185119298245615,0.117747,-1.1863,8.12,0.046075,-1.6842,-0.004093,0.0,0.0,0.0,0.0,-0.004093,0.0
AURA,"Aura Biosciences, Inc.",10,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.083618,,0,0.819018,1,0.180982,,0,no_upcoming,9,neutral,deep_drawdown,S,sponsor_confirmed|runway_short|cost_haircut_>2000bps,financial_score:-27.0;smart_money_score:+20.0;clinical_score:-18.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",late|none|nonpos,0.08036317367458867,,0.5741,0,1,-1.1837,-0.3345,2,2,selling,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.042446,price_history,,2,0.9424,price_history,,-0.361158,,49.3027,0.5411,-0.163728,-0.19743,late,small,sev2,drug_developer,morningstar,,,,0,0.8794298861259586335115036021,48.23,41.25000000000000000000000000,52.0,70.76,13.59438342521286594004685155,5,13.1034,-1.2991,3.0,969,7,1.0,0.0069,0,0,0.0,0.5,0.95,oncology,0.6858,highly_crowded,1.0,25,0.08036317367458867,0.916382,1.3811,4.19,0.005119,-2.5677,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
TENX,"Tenax Therapeutics, Inc.",11,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.203072,,0,0.782209,1,0.217791,,0,no_upcoming,9,tailwind,,M,momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-34.4;momentum_score:+29.0;financial_score:+10.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|nonpos,0.08036317367458867,,0.5816,0,1,-1.0548,-0.0115,1,1,buying,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.187978,price_history,,1,0.3701,price_history,,-0.153351,,54.9777,,-0.163728,0.010377,late,micro,none,drug_developer,morningstar,,,,0,0.8539370391124061414322537263,80.02,41.25000000000000000000000000,55.5,92.59,16.64618664871158243207226921,61.68820224719101123595505618,15.8252,-1.1834,3.0,559,5,1.0,0.0142,0,0,-0.1429,0.4,0.85,cardiovascular,-0.5032,uncrowded,1.0,60,0.08036317367458867,0.796928,0.8307,23.35,0.503413,0.0086,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
ELDN,"Eledon Pharmaceuticals, Inc.",12,0.67,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.84471,,0,0.757669,1,0.242331,437,0,specific_days,9,tailwind,,L,catalyst_far_lift|momentum_tailwind|cost_haircut_>2000bps,clinical_score:-21.6;momentum_score:+14.6;smart_money_score:+12.2,tier=B;reason=high_opt+catalyst_far;cat_days=437;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|pos,-0.04502669565217391,,0.0261,0,1,-0.9677,0.2065,1,1,neutral,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,437,False,specific_days,-0.128385,price_history,,1,1.4617,price_history,,-0.337736,,34.4961,,-0.163728,-0.174008,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592904001749398644216050733,54.93,45.56250000000000000000000000,52.5,53.62,18.70693406115264427831177564,29.91851588149202958743720580,17.1823,-1.1258,2.0,174,6,1.0,0.2619,0,1,0.0,0.3,0.55,metabolic,-0.5032,uncrowded,1.0,248,-0.04502669565217391,0.15529,-1.014,18.54,0.360068,-0.3583,0.204249,0.2065,0.0,0.0,0.0,-0.002251,0.0
ABEO,Abeona Therapeutics Inc.,13,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.24744,,0,0.751534,1,0.248466,,0,no_upcoming,9,neutral,deep_drawdown,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-27.7;financial_score:+23.4;smart_money_score:+8.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.06958397674418605,,0.5861,0,1,-0.9664,0.2097,2,2,neutral,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.035888,price_history,,2,1.3307,price_history,,-0.360248,,43.0412,,-0.163728,-0.19652,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,47.46,41.25000000000000000000000000,55.0,65.97,18.73683176927716758546199274,69.88764044943820224719101123,17.2599,-1.1225,3.0,193,9,1.0,0.3013,0,0,0.0,0.3,0.5,other,-1.6921,uncrowded,1.0,73,0.06958397674418605,0.75256,0.6826,27.48,0.578498,0.1981,0.318029,0.31455,0.0,0.0,0.0,0.003479,0.0
RVMD,"Revolution Medicines, Inc.",14,1.21,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.776451,,0,0.714724,1,0.285276,255,0,specific_days,9,headwind,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,smart_money_score:+28.8;clinical_score:-25.7;catalyst_score:-2.7,tier=B;reason=high_opt+catalyst_far;cat_days=255;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_181_270|pos,0.003084,,0.5938,0,1,-0.8073,0.6083,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,255,False,specific_days,-0.079882,price_history,,8,1.2112,price_history,,-0.371122,,41.5801,0.4254,-0.163728,-0.207394,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,45.92,45.56250000000000000000000000,77.0,57.22,22.50347178386567352606994066,50.08426966292134831460674157,21.3125,-0.9502,3.0,437,12,1.0,0.0791,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,228,0.003084,0.223549,-0.7603,21.42,0.46587,-0.0857,0.912604,0.91245,0.0,0.0,0.0,0.000154,0.0
SMMT,Summit Therapeutics Inc.,15,1.03,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.032423,,0,0.690184,1,0.309816,285,0,specific_days,9,tailwind,high_beta|deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+25.5;clinical_score:-20.7;financial_score:-12.1,tier=B;reason=high_opt+catalyst_far;cat_days=285;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|far_271_540|pos,0.09766431818181819,,0.6008,0,1,-0.6901,0.9019,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,285,False,specific_days,0.22811,price_history,,5,2.6987,price_history,,-0.381459,,50.0432,0.5984,-0.163728,-0.217731,late,large,none,drug_developer,morningstar,,,,0,0.8150565653997711961357569595,53.81,45.56250000000000000000000000,71.5,22.13,25.27809339449283900742049966,33.87186312053753033427316978,24.3162,-0.8226,3.0,285,14,1.0,0.2382,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,10,0.09766431818181819,0.967577,1.8463,16.00,0.254266,-0.6611,1.357733,1.35285,0.0,0.0,0.0,0.004883,0.0
RNA,"Avidity Biosciences, Inc.",16,1.21,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.02901,,0,0.671779,1,0.328221,1107,0,specific_days,9,neutral,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|runway_short,smart_money_score:+42.8;financial_score:-37.2;clinical_score:-15.2,tier=B;reason=high_opt+catalyst_far;cat_days=1107;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 650441000.0, ""cash_total"": 382517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.0570643609489565, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 11}",late|far_271_540|pos,0.09766431818181819,,0.605,0,1,-0.6183,1.0817,11,11,buying,3.0587,elite_11,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,short,<=400bps,298.2,1.0,0,0,1.0,0,1.0,0,1107,False,specific_days,0.040585,price_history,,11,1.5674,price_history,,-0.412571,,48.8347,0.7513,-0.163728,-0.248843,late,mid,sev2,drug_developer,morningstar,,,,0,0.8751714981584887727218724011,48.52,45.56250000000000000000000000,85,67.79,26.97653214380900279145450210,5,26.1806,-0.7434,3.0,498,5,1.0,0.2743,0,1,0.0,0.4,0.75,rare_disease,-0.5032,uncrowded,1.0,9,0.09766431818181819,0.97099,1.8955,11.17,0.100683,-1.2777,1.627433,1.62255,0.0,0.0,0.0,0.004883,0.0
URGN,UroGen Pharma Ltd.,17,1.03,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.042662,,0,0.641104,1,0.358896,1047,0,specific_days,9,tailwind,deep_drawdown|overbought_rsi,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-34.4;smart_money_score:+28.3;momentum_score:+18.0,tier=B;reason=high_opt+catalyst_far;cat_days=1047;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|far_271_540|pos,0.09766431818181819,,0.6074,0,1,-0.4964,1.3872,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,1047,False,specific_days,0.191751,price_history,,4,1.1355,price_history,,-0.368229,,71.6378,0.7699,-0.163728,-0.204501,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,61.72,45.56250000000000000000000000,72.0,82.23,29.86337303090238325688395124,9.280177777777777777777777778,28.8413,-0.6303,3.0,174,14,1.0,0.3879,0,1,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,13,0.09766431818181819,0.957338,1.7206,6.92,0.035836,-1.8012,2.085683,2.0808,0.0,0.0,0.0,0.004883,0.0
