ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.54,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.99345,,0,0.651515,1,0.348485,62,0,specific_days,9,headwind,high_vol|drawdown_data_missing,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+27.9;clinical_score:-19.1;financial_score:+13.0,tier=A;reason=high_opt+catalyst_near;cat_days=62;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_31_90|nonpos,-0.00679275,,0.4403,0,1,-0.4156,-0.0,9,9,buying,2.4967,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,62,False,specific_days,-0.173814,price_history,,9,0.9467,price_history,,,series_too_short,48.0336,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.8014099831744251261918115536,43.35,45.07328400000000000000000000,83.0,60.34,35.99725651577503429355281208,68.16666666666666666666666666,35.5261,-0.3524,2.0,62,6,1.0,0.5965,1,1,0.0,0.3,0.6,cns,-0.1499,uncrowded,1.0,228,-0.00679275,0.00655,-2.481,27.63,0.569869,0.176
CRSP,CRISPR Therapeutics AG,2,0.63,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.172489,,0,0.944444,1,0.055556,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,clinical_score:-39.7;financial_score:+22.6;smart_money_score:+21.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,-0.3078,1374,1,-1.6852,1.111,3,3,buying,0.086,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.126387,price_history,,3,0.939,price_history,,-0.223,,45.4255,0.5582,,,late,mid,none,drug_developer,morningstar,,,,0,0.8829985274751586256434813839,44.14,41.25000000000000000000000000,66.0,57.80,5,67.35714285714285714285714286,3.95,-1.7064,3.0,1924,3,0.6667,0.0,0,0,0.0,0.3,0.95,oncology,0.8198,highly_crowded,1.0,40,0.1,0.827511,0.9444,20.86,0.408297,-0.2319
CNTA,Centessa Pharmaceuticals plc,3,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.150655,,0,0.934343,1,0.065657,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+41.4;clinical_score:-30.6;financial_score:-30.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,-0.3506,850,1,-1.6852,1.111,7,7,buying,1.6931,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,7,,,series_too_short,,no_price_series,,0.5724,,,late,mid,sev1,drug_developer,morningstar,,,drawdown,1,0.8416482206405693950177935943,50,41.25000000000000000000000000,77.0,10.22,5,5,4.2692,-1.6927,3.0,850,2,0.3333,0.0025,0,0,0.0,0.4,0.75,rare_disease,-0.1499,uncrowded,1.0,35,0.1,0.849345,1.0336,12.72,0.106987,-1.2427
LQDA,Liquidia Corporation,4,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.316594,,0,0.914141,1,0.085859,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-32.0;momentum_score:+29.5;financial_score:-29.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.8689,0,1,-1.6634,1.0624,3,3,buying,0.086,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.204872,price_history,,3,0.8588,price_history,,-0.3909,,54.2768,0.5778,,,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688237872799137621272008624,67.07,41.25000000000000000000000000,65.5,22.04,5.530240101261817174953522406,8.360685941043083900226757365,4.4802,-1.6836,3.0,267,3,0.6667,0.1081,0,0,0.0,0.3,0.85,cardiovascular,0.8198,highly_crowded,1.0,73,0.1,0.683406,0.4772,9.23,0.050218,-1.6427
KOD,Kodiak Sciences Inc,5,0.27,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.30786,,0,0.984848,1,0.015152,,0,no_upcoming,9,headwind,drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+32.9;clinical_score:-28.6;financial_score:-20.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",mid|none|nonpos,0.1,,-0.8388,428,1,-1.6852,1.111,3,3,buying,0.086,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.107687,price_history,,3,1.0991,price_history,,,series_too_short,43.6209,0.8241,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7862378037235721047649100663,41.60,41.25000000000000000000000000,66.5,50,5,13.54326474622770919067215363,3.25,-1.7364,2.0,428,1,0.0,0.014,0,0,0.0,0.3,0.55,ophthalmology,0.8198,highly_crowded,1.0,71,0.1,0.69214,0.5019,7.58,0.041485,-1.7337
CTMX,"CytomX Therapeutics, Inc.",6,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.176856,,0,0.954545,1,0.045455,,0,no_upcoming,9,tailwind,drawdown_data_missing,L,sponsor_confirmed|momentum_tailwind,clinical_score:-39.2;smart_money_score:+38.8;momentum_score:+16.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 52344000.0, ""cash_total"": 34185000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.837001375515818, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 6}",mid|none|nonpos,0.1,,-0.1421,51,1,-1.6852,1.111,6,6,buying,1.2913,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,786.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.263504,price_history,,6,1.7232,price_history,,,series_too_short,62.1491,0.9241,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7856935701438848920863309353,60.52,41.25000000000000000000000000,83.0,53.45,5,31.23456790123456790123456790,5.1973,-1.6529,2.0,51,5,1.0,0.794,1,1,0.0,0.3,0.95,oncology,0.8198,highly_crowded,1.0,41,0.1,0.823144,0.9274,13.07,0.124454,-1.153
PRTA,Prothena Corporation plc,7,0.44,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.39083,,0,0.893939,1,0.106061,,0,no_upcoming,9,neutral,,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-30.2;smart_money_score:+15.4;momentum_score:+7.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8855,0,1,-1.5037,0.7049,2,2,neutral,-0.3158,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.111082,price_history,,2,1.0185,price_history,,-0.2784,,53.6065,0.4848,,,late,small,none,drug_developer,morningstar,,,,0,0.8475144489795918367346938776,47.38,41.25000000000000000000000000,55.0,79.03,9.430402278390886436454254181,45.00262984878369493754109138,8.1806,-1.5249,3.0,,7,1.0,0.0967,0,0,0.0,0.4,0.6,cns,-0.1499,uncrowded,1.0,90,0.1,0.60917,0.2772,16.70,0.264192,-0.6305
CGON,"CG Oncology, Inc.",8,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.133188,,0,0.90404,1,0.09596,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-40.8;smart_money_score:+35.9;financial_score:+8.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",mid|none|nonpos,0.1,,0.3705,0,1,-1.63,0.9876,6,6,buying,1.2913,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7822011211531861343095755634,50,41.25000000000000000000000000,83.0,10.00,6.345679012345679012345679012,55.13333333333333333333333334,5.2957,-1.6486,2.0,,3,0.6667,0.0,0,0,0.0,0.3,0.95,oncology,0.8198,highly_crowded,1.0,31,0.1,0.866812,1.1114,17.35,0.281659,-0.5779
ABEO,Abeona Therapeutics Inc.,9,0.22,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.002183,,0,0.883838,1,0.116162,,0,no_upcoming,9,headwind,drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,clinical_score:-33.2;financial_score:+25.8;smart_money_score:+11.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8876,0,1,-1.4708,0.6312,2,2,neutral,-0.3158,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.007783,price_history,,2,1.5721,price_history,,,series_too_short,44.4284,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8742093340794627867935086738,41.69,41.25000000000000000000000000,55.0,81.18,10.23416795221708002056880661,69.24528301886792452830188679,8.8342,-1.4969,3.0,931,7,1.0,0.0025,0,0,0.0,0.3,0.5,other,-1.3136,uncrowded,1.0,1,0.1,0.997817,2.8504,23.36,0.5131,0.0328
URGN,UroGen Pharma Ltd.,10,0.27,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.469432,,0,0.873737,1,0.126263,,0,no_upcoming,9,headwind,drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+39.5;financial_score:-26.3;clinical_score:-21.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|nonpos,0.1,,0.8918,0,1,-1.4375,0.5568,4,4,buying,0.4878,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.225304,price_history,,4,1.2614,price_history,,,series_too_short,38.2259,0.7699,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8225096570291466697881306333,32.09,41.25000000000000000000000000,72.0,61.83,11.04584470551006684862149440,6.241288625904010519395134781,11.6111,-1.3778,3.0,0,10,1.0,1.6827,1,1,0.0,0.3,0.95,oncology,0.8198,highly_crowded,1.0,108,0.1,0.530568,0.0767,5.21,0.010917,-2.2932
SMMT,Summit Therapeutics Inc.,11,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.430131,,0,0.843434,1,0.156566,,0,no_upcoming,9,tailwind,drawdown_data_missing,L,sponsor_confirmed|momentum_tailwind,momentum_score:+38.7;clinical_score:-36.7;smart_money_score:+22.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|none|nonpos,0.1,,0.8954,0,1,-1.3701,0.4058,5,5,buying,0.8896,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.632755,price_history,,5,0.297,price_history,,,series_too_short,60.5926,0.5984,,,late,large,none,drug_developer,morningstar,,,drawdown,1,0.8320509570287742426163011789,88.05,41.25000000000000000000000000,71.5,10.00,12.69293145049642023654127606,33.30224279102883588465646138,11.7119,-1.3735,3.0,596,5,1.0,0.0104,0,0,0.0,0.3,0.75,rare_disease,-0.1499,uncrowded,1.0,99,0.1,0.569869,0.176,13.14,0.128821,-1.132
WVE,Wave Life Sciences Ltd.,12,1.06,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.491266,,0,0.823232,1,0.176768,,0,no_upcoming,9,tailwind,high_vol|drawdown_data_missing,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-39.9;smart_money_score:+23.6;momentum_score:+20.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.1,,0.3853,0,1,-1.319,0.2915,5,5,buying,0.8896,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.377788,price_history,,5,0.8497,price_history,,,series_too_short,49.5386,3.1359,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7964894718674490852606144287,74.69,41.25000000000000000000000000,77.5,29.31,13.93964334705075445816186557,61.93333333333333333333333333,12.9589,-1.3201,2.0,,3,0.6667,0.017,0,0,0.0,0.4,0.75,rare_disease,0.8198,highly_crowded,1.0,113,0.1,0.508734,0.0219,21.59,0.430131,-0.176
TENX,"Tenax Therapeutics, Inc.",13,0.11,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.456332,,0,0.813131,1,0.186869,,0,no_upcoming,9,headwind,drawdown_data_missing,XS,momentum_headwind|cost_haircut_<=2000bps,clinical_score:-24.1;financial_score:+21.6;smart_money_score:+16.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|nonpos,0.1,,0.8999,0,1,-1.2665,0.1739,1,1,buying,-0.7176,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.385146,price_history,,1,1.2267,price_history,,,series_too_short,29.9318,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8539680483979386063186197625,23.63,41.25000000000000000000000000,55.5,90.00,15.22289466397689964795696372,60.89622641509433962264150944,16.0855,-1.186,3.0,,5,1.0,0.9433,1,1,0.0,0.4,0.85,cardiovascular,-0.1499,uncrowded,1.0,105,0.1,0.543668,0.1097,22.12,0.473799,-0.0657
FDMT,"4D Molecular Therapeutics, Inc.",14,0.22,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.722707,,0,0.964646,1,0.035354,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,clinical_score:-35.7;smart_money_score:+14.3;financial_score:+11.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""early"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",early|none|nonpos,0.06969944897959185,,-1.4537,,0,-1.6852,1.111,1,1,neutral,-0.7176,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.8446,,,early,small,none,drug_developer,morningstar,,,drawdown,1,0.7114035995035167563094745552,50,41.25000000000000000000000000,55.0,50,5,52.45454545454545454545454545,3.6,-1.7214,0.0,549,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-1.3136,uncrowded,1.0,166,0.06969944897959185,0.277293,-0.5909,16.79,0.268559,-0.6172
SVRA,"Savara, Inc.",15,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.443231,,0,0.792929,1,0.207071,,0,no_upcoming,9,headwind,drawdown_data_missing,M,sponsor_confirmed|momentum_headwind,smart_money_score:+32.4;financial_score:-22.4;clinical_score:-18.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.902,0,1,-1.2313,0.0952,3,3,buying,0.086,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.394468,price_history,,3,0.4964,price_history,,,series_too_short,44.4654,0.6811,,,late,small,sev1,drug_developer,morningstar,,,drawdown,1,0.8537532470560802145272239711,35.12,41.25000000000000000000000000,66.5,56.45,16.08203789407064593963846367,11.75147928994082840236686389,15.3875,-1.2159,3.0,119,9,1.0,0.9054,0,1,0.0,0.4,0.5,respiratory,0.8198,highly_crowded,1.0,102,0.1,0.556769,0.1428,11.41,0.067686,-1.4933
REPL,"Replimune Group, Inc.",16,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.40393,,0,0.80303,1,0.19697,,0,no_upcoming,9,headwind,drawdown_data_missing,M,sponsor_confirmed|momentum_headwind,clinical_score:-24.6;financial_score:+13.4;smart_money_score:+12.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|nonpos,0.1,,-0.7756,1980,1,-1.2368,0.1075,5,5,selling,0.8896,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.138631,price_history,,5,1.13,price_history,,,series_too_short,40.361,0.5897,,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7589628303674844687796146151,38.65,41.25000000000000000000000000,53.0,50,15.94787379972565157750342936,54.00000000000000000000000000,14.8979,-1.2369,2.0,1980,2,0.3333,0.0,0,0,0.0,0.3,0.95,oncology,0.8198,highly_crowded,1.0,93,0.1,0.59607,0.2432,16.48,0.251092,-0.6711
ADCT,ADC Therapeutics SA,17,0.44,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.561135,,0,0.772727,1,0.227273,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-27.2;smart_money_score:+19.2;financial_score:+11.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.08701244092219021,,0.4005,0,1,-1.0669,-0.2728,3,3,buying,0.086,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7505,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7778496798112571621166161105,50,41.25000000000000000000000000,66.5,87.93,20.09602194787379972565157750,58.53333333333333333333333334,20.1688,-1.0109,2.0,54,10,1.0,0.6814,1,1,0.0,0.3,0.95,oncology,0.8198,highly_crowded,1.0,129,0.08701244092219021,0.438865,-0.1538,19.93,0.395197,-0.2658
AVIR,"Atea Pharmaceuticals, Inc.",18,0.17,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.574236,,0,0.762626,1,0.237374,,0,no_upcoming,9,neutral,drawdown_data_missing,S,sponsor_confirmed|runway_short|cost_haircut_>2000bps,financial_score:-17.5;clinical_score:-14.0;momentum_score:+13.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 103808000.0, ""cash_total"": 77344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.940813810110974, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.08701244092219021,,0.4046,0,1,-0.9792,-0.4689,2,2,selling,-0.3158,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.5268,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8110688729874776386404293381,50,41.25000000000000000000000000,49.0,63.79,22.23593964334705075445816186,18.72861454046639231824417008,20.7362,-0.9866,2.0,792,1,0.0,0.0003,0,0,0.0,0.4,0.55,infectious_disease,0.8198,highly_crowded,1.0,132,0.08701244092219021,0.425764,-0.1872,10.82,0.063319,-1.5275
