ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
CELC,Celcuity Inc.,1,1.0,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.667254,,0,0.944805,1,0.055195,91,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-42.6;smart_money_score:+35.2;financial_score:+9.1,tier=A;reason=high_opt+catalyst_near;cat_days=91;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.03143475,,0.7067,0,1,-1.7121,0.0,6,6,buying,1.1628,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,91,False,specific_days,0.016612,price_history,,6,0.4329,price_history,,-0.294789,,43.2758,,-0.111772,-0.183017,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,48.29,45.56250000000000000000000000,83.0,14.23,5.156012818350480688143025809,56.83720930232558139534883720,4.8519,-1.6384,3.0,1065,7,1.0,0.5645,0,1,0.0,0.3,0.95,oncology,-0.4076,uncrowded,1.0,190,0.03143475,0.332746,-0.4323,13.49,0.146127,-1.0532
XENE,Xenon Pharmaceuticals Inc.,2,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.885563,,0,0.600649,1,0.399351,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+26.3;clinical_score:-10.9;catalyst_score:-9.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.02151310843373494,,0.78,0,1,-0.2083,1.8799,8,8,buying,1.9408,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.103949,price_history,,8,0.7142,price_history,,-0.152044,,41.1969,0.341,-0.111772,-0.040272,late,mid,none,drug_developer,morningstar,,,,0,0.8874476502082093991671624033,44.70,41.25000000000000000000000000,77.0,41.24,39.82206105582728959352335976,50.69767441860465116279069767,40.2636,-0.146,3.0,109,12,1.0,1.2709,1,2,0.0,0.6,0.6,cns,0.7184,highly_crowded,1.0,252,0.02151310843373494,0.114437,-1.2033,30.98,0.617958,0.3001
DNLI,Denali Therapeutics Inc.,3,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.751761,,0,0.665584,1,0.334416,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,financial_score:+26.4;clinical_score:-19.0;catalyst_score:-12.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.02151310843373494,,0.7727,0,1,-0.4407,1.4004,3,3,buying,-0.0041,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.078973,price_history,,3,1.5682,price_history,,-0.262133,,44.0545,0.5691,-0.111772,-0.150361,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,51.47,41.25000000000000000000000000,60.5,46.35,34.46280991735537190082644628,79.86046511627906976744186046,33.2929,-0.4398,3.0,940,11,1.0,0.0417,0,0,0.0,0.4,0.6,cns,-0.4076,uncrowded,1.0,214,0.02151310843373494,0.248239,-0.68,34.01,0.681338,0.4714
CLDX,"Celldex Therapeutics, Inc.",4,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.744718,,0,0.685065,1,0.314935,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-19.5;smart_money_score:+18.3;financial_score:+16.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.02151310843373494,,0.7726,0,1,-0.4711,1.3379,4,4,buying,0.3849,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.11182,price_history,,4,0.9334,price_history,,-0.25448,,47.2828,0.4801,-0.111772,-0.142708,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,49.89,41.25000000000000000000000000,71.5,64.60,33.76417233560090702947845804,69.75384615384615384615384615,34.6942,-0.3807,3.0,,55,1.0,1.4711,2,2,0.0,0.4,0.95,oncology,0.7184,highly_crowded,1.0,212,0.02151310843373494,0.255282,-0.658,27.35,0.558099,0.1462
CRNX,"Crinetics Pharmaceuticals, Inc.",5,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.748239,,0,0.711039,1,0.288961,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,financial_score:+26.5;clinical_score:-23.8;smart_money_score:+18.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.02151310843373494,,0.7669,0,1,-0.6495,0.9698,5,5,buying,0.7739,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.129276,price_history,,5,0.7783,price_history,,-0.194915,,46.3509,0.6688,-0.111772,-0.083143,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,44.93,41.25000000000000000000000000,71.5,27.37,29.65105601469237832874196510,80.0,29.6447,-0.5935,3.0,173,7,1.0,0.5166,0,1,0.0,0.5,0.95,oncology,0.7184,highly_crowded,1.0,213,0.02151310843373494,0.251761,-0.669,25.42,0.536972,0.0928
INBX,"Inhibrx Biosciences, Inc.",6,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.357394,,0,0.678571,1,0.321429,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+22.4;financial_score:-15.5;clinical_score:-10.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.037699931034482756,,0.2371,0,1,-0.4577,1.3653,3,3,buying,-0.0041,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.111772,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,41.89,34.07111111111111111111111111,28.59840000000000000000000000,33.2512,-0.4415,2.0,792,5,1.0,0.0084,0,0,0.0,0.4,0.95,oncology,0.7184,highly_crowded,1.0,102,0.037699931034482756,0.642606,0.3654,17.83,0.339789,-0.413
REPL,"Replimune Group, Inc.",7,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.382042,,0,0.724026,1,0.275974,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-18.8;financial_score:+11.7;smart_money_score:+6.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.037699931034482756,,-1.0121,749,1,-0.7307,0.8022,5,5,selling,0.7739,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.180329,price_history,,5,0.877,price_history,,-0.275696,,49.6459,0.5897,-0.111772,-0.163924,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014295339696799550814149354,52.44,41.25000000000000000000000000,53.0,63.51,27.77777777777777777777777778,58.28000000000000000000000000,26.7278,-0.7164,2.0,749,7,1.0,0.0041,0,0,0.0,0.3,0.95,oncology,0.7184,highly_crowded,1.0,109,0.037699931034482756,0.617958,0.3001,19.57,0.385563,-0.2909
SVRA,"Savara, Inc.",8,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.864437,,0,0.756494,1,0.243506,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+39.5;financial_score:-28.0;clinical_score:-23.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.02151310843373494,,0.7591,0,1,-0.8783,0.4979,3,3,buying,-0.0041,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.885751,price_history,,3,0.6477,price_history,,0.0,,64.9457,0.6811,-0.111772,0.111772,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,87.44,41.25000000000000000000000000,66.5,58.03,24.37679203912970146736380502,19.88444444444444444444444444,23.2289,-0.8639,3.0,122,9,1.0,0.5427,0,1,0.0,0.4,0.5,respiratory,0.7184,highly_crowded,1.0,246,0.02151310843373494,0.135563,-1.1005,11.92,0.110915,-1.2217
FDMT,"4D Molecular Therapeutics, Inc.",9,0.21,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.350352,,0,0.737013,1,0.262987,,0,no_upcoming,9,neutral,,S,cost_haircut_<=2000bps,clinical_score:-23.0;financial_score:+21.4;catalyst_score:-7.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",mid|none|pos,0.037699931034482756,,-1.0141,885,1,-0.8187,0.6209,1,1,neutral,-0.7821,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.045334,price_history,,1,0.5747,price_history,,-0.281225,,47.9713,0.8446,-0.111772,-0.169453,mid,small,none,drug_developer,morningstar,,,,0,0.7762887760857304004512126340,51.83,41.25000000000000000000000000,55.0,68.92,25.75111111111111111111111111,70.16000000000000000000000000,24.0421,-0.8296,2.0,1219,7,1.0,0.0003,0,0,0.0,0.3,0.5,respiratory,0.268,moderate,1.0,100,0.037699931034482756,0.649648,0.3844,27.78,0.56162,0.1551
KALV,"KalVista Pharmaceuticals, Inc.",10,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.808099,,0,0.769481,1,0.230519,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind,clinical_score:-20.4;momentum_score:+17.1;smart_money_score:+11.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.02151310843373494,,0.7586,0,1,-0.9476,0.3548,2,2,selling,-0.3931,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.089084,price_history,,2,0.9477,price_history,,-0.399881,,58.7189,0.6376,-0.111772,-0.288109,late,small,sev1,drug_developer,morningstar,,,,0,0.8797717560805306644943558711,60.34,41.25000000000000000000000000,54.5,59.49,22.77777777777777777777777778,37.25301775147928994082840236,21.4957,-0.9369,3.0,153,4,1.0,0.4196,0,1,0.0,0.4,0.55,ophthalmology,0.7184,crowded,1.0,230,0.02151310843373494,0.191901,-0.8709,20.00,0.399648,-0.2543
URGN,UroGen Pharma Ltd.,11,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.875,,0,0.782468,1,0.217532,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind|runway_short,momentum_score:+47.9;financial_score:-36.5;clinical_score:-27.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.02151310843373494,,0.7557,0,1,-1.016,0.2139,4,4,buying,0.3849,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.704102,price_history,,4,-0.9155,price_history,,-0.042017,,79.5052,0.7699,-0.111772,0.069755,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,96.55,41.25000000000000000000000000,72.0,71.90,21.20218886452652686418920186,12.15479289940828402366863906,20.1522,-0.9936,3.0,1646,13,1.0,0.0001,0,0,0.0,0.3,0.95,oncology,0.7184,highly_crowded,1.0,249,0.02151310843373494,0.125,-1.1503,4.26,0.012324,-2.2469
WVE,Wave Life Sciences Ltd.,12,1.0,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.413732,,0,0.775974,1,0.224026,,0,no_upcoming,9,tailwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-31.8;smart_money_score:+23.9;financial_score:+17.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|pos,0.037699931034482756,,0.2154,0,1,-0.9899,0.2677,5,5,buying,0.7739,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.146165,price_history,,5,1.4729,price_history,,-0.375714,,60.1934,3.1359,-0.111772,-0.263942,mid,mid,none,drug_developer,morningstar,,,,0,0.7964782408473405480082892010,55.96,41.25000000000000000000000000,77.5,36.49,21.80444444444444444444444444,71.48000000000000000000000000,20.7614,-0.9679,2.0,1062,6,1.0,0.0209,0,0,0.0,0.4,0.75,rare_disease,0.7184,highly_crowded,1.0,118,0.037699931034482756,0.586268,0.218,24.01,0.494718,-0.0132
VTYX,"Ventyx Biosciences, Inc.",13,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.487676,,0,0.996753,1,0.003247,,0,no_upcoming,9,headwind,high_vol,S,sponsor_confirmed|momentum_headwind|high_risk,clinical_score:-41.5;smart_money_score:+25.5;financial_score:+22.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.036949147928994085,,-0.4462,56,1,-1.7188,-1.2359,4,4,buying,0.3849,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.065339,price_history,,4,1.0852,price_history,,-0.205788,,56.1756,1.2298,-0.111772,-0.094016,mid,small,none,drug_developer,morningstar,,,,0,0.7407673183410554864956492259,45.46,41.25000000000000000000000000,72.0,25.68,5,68.84000000000000000000000000,4.7538,-1.6425,2.0,56,3,0.6667,0.9648,1,2,0.0,0.4,0.6,autoimmune,0.7184,highly_crowded,1.0,139,0.036949147928994085,0.512324,0.0309,15.33,0.202465,-0.8328
VERA,"Vera Therapeutics, Inc.",14,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.286972,,0,0.983766,1,0.016234,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-52.9;momentum_score:+38.6;financial_score:+17.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.05174136797274276,,-0.5432,654,1,-1.7188,-1.2359,5,5,buying,0.7739,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.640259,price_history,,5,1.1235,price_history,,-0.158673,,69.4304,0.7858,-0.111772,-0.046901,late,mid,none,drug_developer,morningstar,,,,0,0.7847545752030056962792388801,96.55,41.25000000000000000000000000,71.5,10.00,5,75.25581395348837209302325581,3.5211,-1.6944,3.0,654,3,0.6667,0.007,0,0,0.0,0.4,0.55,infectious_disease,0.268,moderate,1.0,82,0.05174136797274276,0.713028,0.5623,19.76,0.392606,-0.2725
TRDA,"Entrada Therapeutics, Inc.",15,0.17,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.635563,,0,0.970779,1,0.029221,,0,no_upcoming,9,tailwind,,S,momentum_tailwind|runway_short|cost_haircut_>2000bps,momentum_score:+38.3;clinical_score:-29.9;financial_score:-29.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 128512000.0, ""cash_total"": 90394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.440674800796813, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 1}",early|none|nonpos,0.031462553571428575,,-1.7432,,0,-1.7188,-1.2359,1,1,selling,-0.7821,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.399302,price_history,,1,1.5227,price_history,,-0.237824,,56.7466,0.5606,-0.111772,-0.126052,early,small,sev2,drug_developer,morningstar,,,,0,0.7763720452422953201203694096,73.20,41.25000000000000000000000000,49.5,50,5,5.401111111111111111111111112,3.6,-1.6911,0.0,551,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-2.8848,uncrowded,1.0,181,0.031462553571428575,0.364437,-0.3466,3.26,0.001761,-2.9182
CNTA,Centessa Pharmaceuticals plc,16,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.184859,,0,0.957792,1,0.042208,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+49.7;clinical_score:-39.6;financial_score:-39.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.05174136797274276,,0.6651,0,1,-1.7188,-1.2359,7,7,buying,1.5518,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.80336,price_history,,7,1.2999,price_history,,-0.041262,,60.9501,0.5724,-0.111772,0.07051,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,94.33,41.25000000000000000000000000,77.0,28.10,5,5.401111111111111111111111112,4.6826,-1.6455,3.0,,7,1.0,0.2574,1,0,0.0,0.4,0.95,oncology,0.7184,highly_crowded,1.0,53,0.05174136797274276,0.815141,0.897,9.68,0.072183,-1.4597
AVBP,"ArriVent BioPharma, Inc.",17,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.153169,,0,0.951299,1,0.048701,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-37.4;financial_score:+19.3;smart_money_score:+11.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 129930000.0, ""cash_total"": 300266000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.731794042946202, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|nonpos,0.05174136797274276,,-0.5433,673,1,-1.7188,-1.2359,4,4,selling,0.3849,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,986.33,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,4,,,series_too_short,,no_price_series,,0.6474,-0.111772,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8370803742292153944290878163,50,41.25000000000000000000000000,54.0,50,5,61.63076923076923076923076923,3.95,-1.6764,3.0,746,2,0.3333,0.0039,0,0,0.0,0.3,0.95,oncology,0.7184,highly_crowded,1.0,44,0.05174136797274276,0.846831,1.0229,18.91,0.367958,-0.3373
CGON,"CG Oncology, Inc.",18,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.174296,,0,0.938312,1,0.061688,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-44.1;smart_money_score:+33.2;financial_score:+19.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.05174136797274276,,0.7087,0,1,-1.6894,-1.1752,6,6,buying,1.1628,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.111772,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.678491782387886283990180090,69.11627906976744186046511628,4.6285,-1.6478,3.0,1607,6,1.0,0.0836,0,0,0.0,0.3,0.95,oncology,0.7184,highly_crowded,1.0,50,0.05174136797274276,0.825704,0.9373,17.31,0.315141,-0.4813
