ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
CELC,Celcuity Inc.,1,1.05,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.84331,,0,0.951299,1,0.048701,171,0,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-40.8;smart_money_score:+37.2;financial_score:+8.7,tier=A;reason=high_opt+catalyst_mid;cat_days=171;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.021306694444444448,,0.7398,0,1,-1.734,0.7398,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,171,False,specific_days,-0.162682,price_history,,6,0.2486,price_history,,-0.311206,,46.0984,,-0.09979,-0.211416,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,41.03,45.56250000000000000000000000,83.0,14.55,5,54.50000000000000000000000000,4.3476,-1.6623,3.0,1145,7,1.0,0.2898,0,1,0.0,0.3,0.95,oncology,-0.4815,uncrowded,1.0,240,0.021306694444444448,0.15669,-1.0082,14.04,0.160211,-0.9936
CGON,"CG Oncology, Inc.",2,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.501761,,0,0.938312,1,0.061688,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-44.0;smart_money_score:+33.8;financial_score:+17.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.0539193883161512,,0.7418,0,1,-1.7236,0.7418,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.09979,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.238805315556335248454015173,66.50000000000000000000000000,4.1252,-1.6717,3.0,1687,6,1.0,0.0429,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,143,0.0539193883161512,0.498239,-0.0044,16.85,0.301056,-0.5214
COGT,"Cogent Biosciences, Inc.",3,0.32,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.515845,,0,0.931818,1,0.068182,,0,no_upcoming,9,headwind,high_vol,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+48.7;financial_score:-31.1;clinical_score:-30.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.0539193883161512,,0.7453,0,1,-1.6885,0.7453,7,7,buying,1.5511,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.149631,price_history,,7,1.3646,price_history,,-0.321366,,53.8933,2.489,-0.09979,-0.221576,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,44.10,41.25000000000000000000000000,85,10.82,6.040524538397438708828560152,5.200277777777777777777777778,5.9769,-1.5937,3.0,872,5,1.0,0.004,0,0,0.0,0.5,0.95,oncology,-0.4815,uncrowded,1.0,147,0.0539193883161512,0.484155,-0.0397,9.88,0.072183,-1.4597
LQDA,Liquidia Corporation,4,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.565141,,0,0.873377,1,0.126623,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-29.2;smart_money_score:+27.2;clinical_score:-26.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.0539193883161512,,0.7634,0,1,-1.4324,0.7634,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.05365,price_history,,3,0.9164,price_history,,-0.122765,,58.1497,0.5778,-0.09979,-0.022975,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,63.82,41.25000000000000000000000000,65.5,18.28,11.89816236129994298495680014,9.111111111111111111111111112,10.0846,-1.4206,3.0,678,4,1.0,0.0082,0,0,0.0,0.3,0.5,respiratory,0.6973,highly_crowded,1.0,161,0.0539193883161512,0.434859,-0.164,11.23,0.100352,-1.2795
CNTA,Centessa Pharmaceuticals plc,5,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.512324,,0,0.957792,1,0.042208,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+36.3;clinical_score:-35.7;financial_score:-35.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.0539193883161512,,0.6992,0,1,-1.734,0.6992,7,7,buying,1.5511,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.476616,price_history,,7,0.6963,price_history,,-0.213198,,56.1395,0.5724,-0.09979,-0.113408,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,75.20,41.25000000000000000000000000,77.0,27.99,5,5.200277777777777777777777778,4.2621,-1.6659,3.0,,7,1.0,0.1321,0,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,146,0.0539193883161512,0.487676,-0.0309,9.61,0.065141,-1.513
CRSP,CRISPR Therapeutics AG,6,1.05,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.526408,,0,0.853896,1,0.146104,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-39.0;financial_score:+27.2;smart_money_score:+13.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.0539193883161512,,0.7672,0,1,-1.3557,0.7672,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.236494,price_history,,3,1.5917,price_history,,-0.237288,,68.8036,0.5582,-0.09979,-0.137498,late,mid,none,drug_developer,morningstar,,,,0,0.8829781999041227229146692234,62.71,41.25000000000000000000000000,66.0,61.57,13.65071707381255208104907679,79.850,12.5992,-1.3146,3.0,787,9,1.0,0.0493,0,0,0.0,0.3,0.95,oncology,0.2258,moderate,1.0,150,0.0539193883161512,0.473592,-0.0662,26.95,0.544014,0.1106
PRTA,Prothena Corporation plc,7,0.74,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.589789,,0,0.834416,1,0.165584,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-32.0;momentum_score:+25.4;smart_money_score:+7.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.0539193883161512,,0.772,0,1,-1.2511,0.772,2,2,neutral,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.36069,price_history,,2,1.364,price_history,,-0.073292,,71.0639,0.4848,-0.09979,0.026498,late,small,none,drug_developer,morningstar,,,,0,0.8474842338662621075971525265,73.47,41.25000000000000000000000000,55.0,84.70,16.04203519338820422106242903,54.45312500000000000000000000,14.6042,-1.2301,3.0,691,9,1.0,0.0219,0,0,0.0,0.4,0.6,cns,0.6973,highly_crowded,1.0,168,0.0539193883161512,0.410211,-0.227,18.91,0.385563,-0.2909
ZBIO,"Zenas BioPharma, Inc.",8,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.625,,0,0.808442,1,0.191558,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-26.6;smart_money_score:+21.4;momentum_score:+4.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.0539193883161512,,0.7775,0,1,-1.1438,0.7775,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.09979,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089584306398879028491359178,50,41.25000000000000000000000000,66.5,36.94,18.49572874484062589847423846,49.06521267361111111111111111,17.0579,-1.1267,3.0,916,5,1.0,0.0341,0,0,0.0,0.4,0.6,autoimmune,0.6973,highly_crowded,1.0,178,0.0539193883161512,0.375,-0.3186,15.67,0.248239,-0.68
URGN,UroGen Pharma Ltd.,9,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.815141,,0,0.782468,1,0.217532,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-32.3;momentum_score:+29.2;smart_money_score:+27.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.03298423170731707,,0.7882,0,1,-0.9778,0.7882,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.323931,price_history,,4,1.3473,price_history,,-0.156753,,54.7532,0.7699,-0.09979,-0.056963,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,73.32,41.25000000000000000000000000,72.0,72.01,22.29322300678820129721405981,11.79340277777777777777777778,21.1796,-0.9531,3.0,1726,12,1.0,0.0001,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,232,0.03298423170731707,0.184859,-0.897,4.42,0.008803,-2.3738
CRNX,"Crinetics Pharmaceuticals, Inc.",10,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.698944,,0,0.762987,1,0.237013,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-31.8;financial_score:+22.8;smart_money_score:+15.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.03298423170731707,,0.7905,0,1,-0.9068,0.7905,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.118377,price_history,,5,0.9849,price_history,,-0.059746,,65.9478,0.6688,-0.09979,0.040044,late,mid,none,drug_developer,morningstar,,,,0,0.8739125269461077844311377246,63.40,41.25000000000000000000000000,71.5,22.76,23.91693346783035831761764835,78.50000000000000000000000000,25.0798,-0.7887,3.0,59,6,1.0,1.1817,1,1,0.0,0.5,0.95,oncology,0.6973,highly_crowded,1.0,199,0.03298423170731707,0.301056,-0.5214,23.43,0.498239,-0.0044
SVRA,"Savara, Inc.",11,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.804577,,0,0.756494,1,0.243506,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+26.1;financial_score:-21.1;clinical_score:-15.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.03298423170731707,,0.791,0,1,-0.8637,0.791,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.259001,price_history,,3,0.3544,price_history,,-0.294326,,56.3465,0.6811,-0.09979,-0.194536,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,50.08,41.25000000000000000000000000,66.5,58.58,24.90285513793254681812201220,19.24742296006944444444444444,23.561,-0.8527,3.0,202,9,1.0,0.2786,0,0,0.0,0.4,0.5,respiratory,0.6973,highly_crowded,1.0,229,0.03298423170731707,0.195423,-0.8581,14.72,0.202465,-0.8328
CLDX,"Celldex Therapeutics, Inc.",12,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.695423,,0,0.685065,1,0.314935,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+20.4;clinical_score:-18.0;financial_score:+16.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.03298423170731707,,0.8041,0,1,-0.5049,0.8041,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.191937,price_history,,4,0.9549,price_history,,-0.275775,,52.646,0.4801,-0.09979,-0.175985,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,42.31,41.25000000000000000000000000,71.5,66.79,33.10600412262620060523661243,67.25000000000000000000000000,34.4681,-0.3931,3.0,,57,1.0,1.0002,2,1,0.0,0.4,0.95,oncology,-0.4815,uncrowded,1.0,198,0.03298423170731707,0.304577,-0.5113,28.62,0.568662,0.173
DNLI,Denali Therapeutics Inc.,13,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.702465,,0,0.678571,1,0.321429,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,financial_score:+25.4;clinical_score:-17.8;catalyst_score:-10.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.03298423170731707,,0.8042,0,1,-0.4739,0.8042,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.068668,price_history,,3,1.0444,price_history,,-0.274332,,64.6945,0.5691,-0.09979,-0.174542,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,45.43,41.25000000000000000000000000,60.5,46.64,33.81493989055060937873095235,77.00000000000000000000000000,34.4771,-0.3928,3.0,76,11,1.0,1.0172,2,1,0.0,0.4,0.6,cns,-0.4815,uncrowded,1.0,200,0.03298423170731707,0.297535,-0.5315,33.34,0.674296,0.4518
VIR,"Vir Biotechnology, Inc.",14,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.825704,,0,0.652597,1,0.347403,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+15.8;clinical_score:-9.9;catalyst_score:-3.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.03298423170731707,,0.8056,0,1,-0.4114,0.8056,2,2,buying,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.072245,price_history,,2,0.5092,price_history,,-0.206109,,51.6964,0.7493,-0.09979,-0.106319,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,43.24,41.25000000000000000000000000,61.0,77.99,35.24450681987632121398184291,45.19835069444444444444444444,35.5566,-0.3473,3.0,63,14,1.0,2.9354,3,4,0.0,0.4,0.55,infectious_disease,0.6973,highly_crowded,1.0,235,0.03298423170731707,0.174296,-0.9373,28.96,0.579225,0.1999
XENE,Xenon Pharmaceuticals Inc.,15,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.832746,,0,0.613636,1,0.386364,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+25.3;clinical_score:-13.1;catalyst_score:-10.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.03298423170731707,,0.8114,0,1,-0.2683,0.8114,8,8,buying,1.9396,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.038955,price_history,,8,0.5697,price_history,,-0.07763,,53.9743,0.341,-0.09979,0.02216,late,mid,none,drug_developer,morningstar,,,,0,0.8874476502082093991671624033,54.52,41.25000000000000000000000000,77.0,41.42,38.51804745405903249857462392,47.02777777777777777777777778,38.9809,-0.203,3.0,4,12,1.0,2.1033,1,2,0.0,0.6,0.6,cns,0.6973,highly_crowded,1.0,237,0.03298423170731707,0.167254,-0.9651,30.19,0.617958,0.3001
RAPT,"RAPT Therapeutics, Inc.",16,0.32,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.420775,,0,0.86039,1,0.13961,,0,no_upcoming,9,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+35.8;clinical_score:-28.4;momentum_score:-4.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.06104967901234567,,0.249,0,1,-1.3689,0.249,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.326674,price_history,,5,1.4503,price_history,,-0.383766,,50.0012,1.4599,-0.09979,-0.283976,mid,small,none,drug_developer,morningstar,,,,0,0.7846554829993244764692636794,37.75,41.25000000000000000000000000,77.5,24.29,13.34993209597102761430511543,38.68105226095266837684221115,12.6121,-1.3141,2.0,378,4,1.0,0.0446,0,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,120,0.06104967901234567,0.579225,0.1999,16.50,0.276408,-0.5935
CTMX,"CytomX Therapeutics, Inc.",17,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.392606,,0,0.827922,1,0.172078,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_headwind,smart_money_score:+40.6;clinical_score:-25.2;financial_score:-12.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 52344000.0, ""cash_total"": 34185000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.837001375515818, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 6}",mid|none|nonpos,0.06104967901234567,,0.258,0,1,-1.2001,0.258,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,786.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.223071,price_history,,6,1.3234,price_history,,-0.381944,,56.1127,0.9241,-0.09979,-0.282154,mid,small,none,drug_developer,morningstar,,,,0,0.7856791095120305824151113110,40.91,41.25000000000000000000000000,83.0,52.86,17.20889291283134651174488205,29.75152155324178864242241336,17.8453,-1.0936,2.0,21,7,1.0,1.0515,2,1,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,112,0.06104967901234567,0.607394,0.2725,16.47,0.272887,-0.6041
INBX,"Inhibrx Biosciences, Inc.",18,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.022887,,0,0.724026,1,0.275974,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+23.6;financial_score:-16.1;clinical_score:-13.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.0981936923076923,,0.2809,0,1,-0.6516,0.2809,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.09979,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,44.29,29.75152155324178864242241336,26.80312861526080177053468134,29.0137,-0.623,2.0,872,5,1.0,0.0043,0,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,7,0.0981936923076923,0.977113,1.9975,16.59,0.283451,-0.5726
