ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
CELC,Celcuity Inc.,1,1.0,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.980634,,0,0.951299,1,0.048701,227,0,specific_days,9,neutral,,L,catalyst_far_lift|sponsor_confirmed,clinical_score:-41.3;smart_money_score:+36.7;momentum_score:+5.7,tier=B;reason=high_opt+catalyst_far;cat_days=227;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_181_270|nonpos,-0.017211290322580647,,0.7496,0,1,-1.7328,0.7496,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,227,False,specific_days,-0.204726,price_history,,6,0.1448,price_history,,-0.266238,,37.3537,,-0.203871,-0.062367,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,52.02,45.56250000000000000000000000,83.0,14.55,5,45.91011589821113630637440162,4.2337,-1.6673,3.0,1201,7,1.0,0.1817,0,0,0.0,0.3,0.95,oncology,-0.4815,uncrowded,1.0,279,-0.017211290322580647,0.019366,-2.067,13.03,0.149648,-1.0379
CGON,"CG Oncology, Inc.",2,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.241197,,0,0.938312,1,0.061688,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-42.2;smart_money_score:+35.6;financial_score:+10.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.07799383972125436,,0.7515,0,1,-1.7211,0.7515,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.203871,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.267160493827160493827160494,57.64285714285714285714285714,4.1509,-1.6708,3.0,1743,6,1.0,0.0269,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,69,0.07799383972125436,0.758803,0.7025,15.58,0.251761,-0.669
COGT,"Cogent Biosciences, Inc.",3,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.251761,,0,0.918831,1,0.081169,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,smart_money_score:+47.5;financial_score:-32.5;clinical_score:-30.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.07799383972125436,,0.755,0,1,-1.6623,0.755,7,7,buying,1.5511,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.126047,price_history,,7,1.4158,price_history,,-0.325486,,38.889,2.489,-0.203871,-0.121615,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,49.63,41.25000000000000000000000000,85,10.82,6.617777777777777777777777777,5,6.5515,-1.5696,3.0,928,5,1.0,0.0025,0,0,0.0,0.5,0.95,oncology,-0.4815,uncrowded,1.0,72,0.07799383972125436,0.748239,0.669,9.91,0.072183,-1.4597
LQDA,Liquidia Corporation,4,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.301056,,0,0.86039,1,0.13961,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-31.6;momentum_score:+28.9;smart_money_score:+26.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.07799383972125436,,0.773,0,1,-1.3778,0.773,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.268789,price_history,,3,1.0396,price_history,,-0.139452,,54.3014,0.5778,-0.203871,0.064419,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,67.95,41.25000000000000000000000000,65.5,22.01,13.14864197530864197530864197,7.518770471151423532375913331,11.3324,-1.368,3.0,734,4,1.0,0.0051,0,0,0.0,0.3,0.5,respiratory,0.6973,highly_crowded,1.0,86,0.07799383972125436,0.698944,0.5214,11.15,0.107394,-1.2405
PRTA,Prothena Corporation plc,5,0.7,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.325704,,0,0.827922,1,0.172078,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-26.8;momentum_score:+15.3;smart_money_score:+11.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.07799383972125436,,0.7816,0,1,-1.2203,0.7816,2,2,neutral,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.11807,price_history,,2,0.7986,price_history,,-0.257385,,36.8234,0.4848,-0.203871,-0.053514,late,small,none,drug_developer,morningstar,,,,0,0.8475046085637615214094038035,58.78,41.25000000000000000000000000,55.0,84.70,16.76345679012345679012345679,45.83618164062500000000000000,15.3296,-1.1994,3.0,747,9,1.0,0.0137,0,0,0.0,0.4,0.6,cns,0.6973,highly_crowded,1.0,93,0.07799383972125436,0.674296,0.4518,18.58,0.371479,-0.3279
URGN,UroGen Pharma Ltd.,6,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.81162,,0,0.795455,1,0.204545,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,smart_money_score:+31.7;financial_score:-30.7;clinical_score:-19.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.04376305128205129,,0.7976,0,1,-1.0287,0.7976,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.112332,price_history,,4,1.1457,price_history,,-0.295191,,38.7103,0.7699,-0.203871,-0.09132,late,small,sev2,drug_developer,morningstar,,,,0,0.8225032197634937360964758225,57.53,41.25000000000000000000000000,72.0,72.01,21.16049382716049382716049383,9.640625000000000000000000000,21.7942,-0.9268,3.0,0,12,1.0,2.5748,2,2,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,231,0.04376305128205129,0.18838,-0.8839,5.46,0.015845,-2.1483
CRNX,"Crinetics Pharmaceuticals, Inc.",7,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.695423,,0,0.782468,1,0.217532,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,clinical_score:-28.7;smart_money_score:+20.3;financial_score:+16.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.04376305128205129,,0.7986,0,1,-0.9724,0.7986,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.143316,price_history,,5,0.841,price_history,,-0.375904,,35.7272,0.6688,-0.203871,-0.172033,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,53.43,41.25000000000000000000000000,71.5,20.52,22.45234567901234567901234568,67.35714285714285714285714286,22.6974,-0.8888,3.0,115,5,1.0,0.741,0,1,0.0,0.5,0.95,oncology,0.6973,highly_crowded,1.0,198,0.04376305128205129,0.304577,-0.5113,22.59,0.491197,-0.0221
SVRA,"Savara, Inc.",8,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.804577,,0,0.762987,1,0.237013,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-28.8;momentum_score:+28.6;smart_money_score:+22.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.04376305128205129,,0.8004,0,1,-0.8578,0.8004,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.401792,price_history,,3,0.5902,price_history,,-0.280142,,35.1024,0.6811,-0.203871,-0.076271,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,72.88,41.25000000000000000000000000,66.5,58.58,25.08345679012345679012345679,15.48114691840277777777777778,23.6496,-0.8486,3.0,258,9,1.0,0.1747,0,0,0.0,0.4,0.5,respiratory,0.6973,highly_crowded,1.0,229,0.04376305128205129,0.195423,-0.8581,11.24,0.110915,-1.2217
VIR,"Vir Biotechnology, Inc.",9,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.822183,,0,0.711039,1,0.288961,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+16.2;clinical_score:-13.9;momentum_score:+10.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.04376305128205129,,0.8104,0,1,-0.6051,0.8104,2,2,buying,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.03628,price_history,,2,0.6603,price_history,,-0.238907,,44.3881,0.7493,-0.203871,-0.035036,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,55.60,41.25000000000000000000000000,61.0,77.24,30.88444444444444444444444444,35.35460069444444444444444444,31.2006,-0.5302,3.0,7,14,1.0,3.8477,4,5,0.0,0.4,0.55,infectious_disease,0.6973,highly_crowded,1.0,234,0.04376305128205129,0.177817,-0.9237,26.15,0.554577,0.1372
DNLI,Denali Therapeutics Inc.,10,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.698944,,0,0.698052,1,0.301948,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,financial_score:+17.8;clinical_score:-16.4;smart_money_score:+12.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.04376305128205129,,0.8108,0,1,-0.5592,0.8108,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.069451,price_history,,3,1.2122,price_history,,-0.394498,,31.4435,0.5691,-0.203871,-0.190627,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,41.67,41.25000000000000000000000000,60.5,43.66,31.93777777777777777777777778,66.14285714285714285714285715,31.8677,-0.5021,3.0,132,11,1.0,0.6307,1,1,0.0,0.4,0.6,cns,-0.4815,uncrowded,1.0,199,0.04376305128205129,0.301056,-0.5214,32.02,0.667254,0.4323
CLDX,"Celldex Therapeutics, Inc.",11,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.691901,,0,0.665584,1,0.334416,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-19.6;smart_money_score:+17.8;catalyst_score:-12.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.04376305128205129,,0.8117,0,1,-0.4662,0.8117,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.037427,price_history,,4,0.8829,price_history,,-0.117858,,42.9634,0.4801,-0.203871,0.086013,late,small,none,drug_developer,morningstar,,,,0,0.8764361862733712693067007316,63.32,41.25000000000000000000000000,71.5,67.54,34.07111111111111111111111111,58.25000000000000000000000000,35.1427,-0.364,3.0,,56,1.0,0.8159,2,0,0.0,0.4,0.95,oncology,-0.4815,uncrowded,1.0,197,0.04376305128205129,0.308099,-0.5012,27.44,0.568662,0.173
XENE,Xenon Pharmaceuticals Inc.,12,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.829225,,0,0.62013,1,0.37987,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+29.1;financial_score:-11.1;clinical_score:-9.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.04376305128205129,,0.8207,0,1,-0.2918,0.8207,8,8,buying,1.9396,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.100176,price_history,,8,0.5219,price_history,,-0.167534,,32.3337,0.341,-0.203871,0.036337,late,mid,none,drug_developer,morningstar,,,,0,0.8874476502082093991671624033,46.29,41.25000000000000000000000000,77.0,41.42,38.07456790123456790123456790,36.73551272360796170319979844,38.4993,-0.2224,3.0,60,12,1.0,1.319,1,1,0.0,0.6,0.6,cns,0.6973,highly_crowded,1.0,236,0.04376305128205129,0.170775,-0.9511,28.47,0.589789,0.227
ZBIO,"Zenas BioPharma, Inc.",13,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.367958,,0,0.931818,1,0.068182,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-34.6;smart_money_score:+26.1;momentum_score:+9.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.07799383972125436,,0.5365,18,1,-1.6977,0.5365,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.203871,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.7698922338057865760805903713,50,41.25000000000000000000000000,66.5,19.78,5.804444444444444444444444442,38.27094184027777777777777778,4.8632,-1.6408,3.0,972,3,0.6667,0.2159,1,0,0.0,0.4,0.6,autoimmune,0.6973,highly_crowded,1.0,105,0.07799383972125436,0.632042,0.3373,11.40,0.121479,-1.1676
RAPT,"RAPT Therapeutics, Inc.",14,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.431338,,0,0.853896,1,0.146104,,0,no_upcoming,9,neutral,high_vol|deep_drawdown,M,sponsor_confirmed|high_risk,smart_money_score:+35.5;clinical_score:-28.6;financial_score:-11.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.06633712578616352,,0.2624,0,1,-1.369,0.2624,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.150871,price_history,,5,1.606,price_history,,-0.385065,,28.718,1.4599,-0.203871,-0.181194,mid,small,none,drug_developer,morningstar,,,,0,0.7846415306696679797411367473,47.42,41.25000000000000000000000000,77.5,22.73,13.34993209597102761430511543,30.41667924148684673809164529,12.6161,-1.3139,2.0,434,4,1.0,0.0279,0,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,123,0.06633712578616352,0.568662,0.173,15.94,0.269366,-0.6147
WVE,Wave Life Sciences Ltd.,15,0.3,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.448944,,0,0.808442,1,0.191558,,0,no_upcoming,9,headwind,high_vol|deep_drawdown,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+29.4;clinical_score:-28.9;financial_score:+14.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.06633712578616352,,0.273,0,1,-1.1142,0.273,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.188793,price_history,,5,1.3138,price_history,,-0.428571,,40.0688,3.1359,-0.203871,-0.2247,mid,mid,none,drug_developer,morningstar,,,,0,0.7964782408473405480082892010,40.43,41.25000000000000000000000000,77.5,40.91,19.19873245812584880036215482,62.31914893617021276595744681,18.3159,-1.0735,2.0,,7,1.0,0.2178,0,0,0.0,0.4,0.75,rare_disease,0.6973,highly_crowded,1.0,128,0.06633712578616352,0.551056,0.1283,22.68,0.494718,-0.0132
INBX,"Inhibrx Biosciences, Inc.",16,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.068662,,0,0.724026,1,0.275974,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+24.7;financial_score:-20.4;clinical_score:-12.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.1,,0.294,0,1,-0.6544,0.294,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.203871,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,43.94,29.75152155324178864242241336,21.33137166138524219103666817,29.0177,-0.6222,2.0,928,5,1.0,0.0027,0,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,20,0.1,0.931338,1.4858,15.83,0.262324,-0.6362
VTYX,"Ventyx Biosciences, Inc.",17,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.445423,,0,0.996753,1,0.003247,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-42.1;smart_money_score:+24.9;financial_score:+11.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.06633712578616352,,-0.8709,192,1,-1.7328,-0.8709,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.187319,price_history,,4,1.0089,price_history,,-0.213934,,34.9823,1.2298,-0.203871,-0.010063,mid,small,none,drug_developer,morningstar,,,,0,0.7407673183410554864956492259,58.27,41.25000000000000000000000000,72.0,25.76,5,59.06382978723404255319148936,3.6867,-1.6904,2.0,192,3,0.6667,0.3106,0,0,0.0,0.4,0.6,autoimmune,0.6973,highly_crowded,1.0,127,0.06633712578616352,0.554577,0.1372,14.73,0.209507,-0.8081
RCKT,"Rocket Pharmaceuticals, Inc.",18,0.85,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.973592,,0,0.646104,1,0.353896,738,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,smart_money_score:+15.8;clinical_score:-13.7;catalyst_score:-4.7,tier=B;reason=high_opt+catalyst_far;cat_days=738;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|far_271_540|pos,-0.015589821428571427,,0.3041,0,1,-0.3575,0.3041,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,738,False,specific_days,-0.113958,price_history,,3,1.3714,price_history,,-0.227153,,38.2912,0.6262,-0.203871,-0.023282,mid,small,sev1,drug_developer,morningstar,,,,0,0.7990524420436641908620301598,54.51,45.56250000000000000000000000,66.0,74.24,36.56606810522609526683768422,48.60183089381821839947688748,35.7998,-0.3362,2.0,687,8,1.0,0.0604,0,0,0.0,0.3,0.95,oncology,-1.6603,uncrowded,1.0,277,-0.015589821428571427,0.026408,-1.9364,27.05,0.565141,0.164
