ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.04,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.92807,,0,0.93871,1,0.06129,59,1,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-41.9;smart_money_score:+36.0;financial_score:+11.2,tier=A;reason=high_opt+catalyst_near;cat_days=59;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_31_90|nonpos,0.00031880246913580245,,0.6977,0,1,-1.6682,-0.0,6,6,buying,1.1662,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,59,True,specific_days,-0.069648,price_history,,6,0.3274,price_history,,-0.296931,,49.3819,,-0.117834,-0.179097,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,44.23,44.45817777777777777777777778,83.0,15.25,5.050650714807100001780341469,58.13333333333333333333333334,5.4458,-1.6162,3.0,1033,7,1.0,0.737,1,1,0.0,0.3,0.95,oncology,-0.4844,uncrowded,1.0,265,0.00031880246913580245,0.07193,-1.4616,13.69,0.152632,-1.0252,1.6e-05,0.0,0.0,0.0,0.0,1.6e-05,0.0
VERA,"Vera Therapeutics, Inc.",2,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.205263,,0,0.983871,1,0.016129,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-53.0;momentum_score:+38.5;financial_score:+17.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.057520273504273495,,-0.5594,622,1,-1.6704,1.1106,5,5,buying,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.141491,price_history,,5,1.0157,price_history,,-0.168982,,56.1426,0.7858,-0.117834,-0.051148,late,mid,none,drug_developer,morningstar,,,,0,0.7847545752030056962792388801,96.55,41.25000000000000000000000000,71.5,10.00,5,75.73333333333333333333333333,3.5354,-1.6968,3.0,622,3,0.6667,0.0091,0,0,0.0,0.4,0.55,infectious_disease,0.6955,highly_crowded,1.0,59,0.057520273504273495,0.794737,0.823,18.01,0.335088,-0.4259,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
TSHA,"Taysha Gene Therapies, Inc.",3,0.88,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.019298,,0,0.977419,1,0.022581,1288,0,specific_days,9,tailwind,high_beta|overbought_rsi,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-54.5;momentum_score:+37.1;smart_money_score:+25.5,tier=B;reason=high_opt+catalyst_far;cat_days=1288;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 66368000.0, ""cash_total"": 297344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.76277724204436, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",late|far_271_540|nonpos,0.07241476923076924,,-0.5956,1288,1,-1.6704,1.1106,9,9,buying,2.3324,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,881.38,0.85,1,0,1.0,0,1.0,0,1288,False,specific_days,3.446207,price_history,,9,2.1889,price_history,,-0.013587,,84.1956,0.7836,-0.117834,0.104247,late,small,none,drug_developer,morningstar,,,,0,0.7976474022183304144775248103,96.55,45.56250000000000000000000000,85,23.76,5,65.31343283582089552238805970,3.5302,-1.6971,3.0,2830,3,0.6667,0.0,0,0,0.0,0.3,0.5,other,-1.1923,uncrowded,1.0,6,0.07241476923076924,0.980702,2.0685,19.51,0.387719,-0.2853,0.003621,0.0,0.0,0.0,0.0,0.003621,0.0
CNTA,Centessa Pharmaceuticals plc,4,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.092982,,0,0.958065,1,0.041935,,0,no_upcoming,9,tailwind,high_beta,L,sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+47.4;clinical_score:-39.0;financial_score:-38.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.057520273504273495,,0.6559,0,1,-1.6704,1.1106,7,7,buying,1.5549,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.834843,price_history,,7,2.2394,price_history,,-0.067961,,60.666,0.5724,-0.117834,0.049873,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,91.41,41.25000000000000000000000000,77.0,29.43,5,5.401111111111111111111111112,4.2354,-1.6673,3.0,,7,1.0,0.0643,0,0,0.0,0.4,0.95,oncology,0.6955,highly_crowded,1.0,27,0.057520273504273495,0.907018,1.3226,9.77,0.075439,-1.4364,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
AVBP,"ArriVent BioPharma, Inc.",5,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.064912,,0,0.951613,1,0.048387,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-37.5;financial_score:+19.8;smart_money_score:+11.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 129930000.0, ""cash_total"": 300266000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.731794042946202, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|nonpos,0.057520273504273495,,-0.5596,641,1,-1.6704,1.1106,4,4,selling,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,986.33,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,4,,,series_too_short,,no_price_series,,0.6474,-0.117834,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8370803742292153944290878163,50,41.25000000000000000000000000,54.0,50,5,62.35820895522388059701492538,3.8802,-1.6823,3.0,714,2,0.3333,0.0051,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,19,0.057520273504273495,0.935088,1.5148,19.26,0.384211,-0.2944,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
CGON,"CG Oncology, Inc.",6,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.082456,,0,0.932258,1,0.067742,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-44.4;smart_money_score:+33.1;financial_score:+19.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.057520273504273495,,0.6998,0,1,-1.6464,1.0573,6,6,buying,1.1662,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.117834,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.559116238494543253396001351,69.86666666666666666666666667,4.4393,-1.6587,3.0,1575,6,1.0,0.1091,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,24,0.057520273504273495,0.917544,1.3887,16.79,0.27193,-0.607,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
COGT,"Cogent Biosciences, Inc.",7,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.096491,,0,0.919355,1,0.080645,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+45.5;financial_score:-34.1;clinical_score:-33.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.057520273504273495,,0.7034,0,1,-1.6245,1.0085,7,7,buying,1.5549,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.210501,price_history,,7,1.2601,price_history,,-0.236021,,63.9165,2.489,-0.117834,-0.118187,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,59.56,41.25000000000000000000000000,85,11.70,6.071142445120974202852107027,5.401111111111111111111111112,6.0013,-1.5928,3.0,760,5,1.0,0.0102,0,0,0.0,0.5,0.95,oncology,-0.4844,uncrowded,1.0,28,0.057520273504273495,0.903509,1.3018,9.96,0.078947,-1.4122,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
OLMA,"Olema Pharmaceuticals, Inc.",8,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.159649,,0,0.9,1,0.1,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-45.7;momentum_score:+43.3;smart_money_score:+13.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 108389000.0, ""cash_total"": 328960000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.41993191190988, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.057520273504273495,,-0.507,333,1,-1.5578,0.8599,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,486.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.88992,price_history,,3,1.6976,price_history,,-0.018501,,60.08,2.891,-0.117834,0.099333,late,small,none,drug_developer,morningstar,,,,0,0.8089114369501466275659824047,96.55,41.25000000000000000000000000,66.5,17.38,7.628585162634193238263098862,54.47761194029850746268656716,6.5088,-1.5714,3.0,1033,4,1.0,0.016,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,46,0.057520273504273495,0.840351,0.9959,12.49,0.117544,-1.1874,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
VTYX,"Ventyx Biosciences, Inc.",9,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.521053,,0,0.996774,1,0.003226,,0,no_upcoming,9,headwind,high_vol,S,sponsor_confirmed|momentum_headwind|high_risk,clinical_score:-41.2;smart_money_score:+25.8;financial_score:+20.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.014475529411764708,,-0.1769,24,1,-1.6704,1.1106,4,4,buying,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.030312,price_history,,4,0.9822,price_history,,-0.276527,,53.4531,1.2298,-0.117834,-0.158693,mid,small,none,drug_developer,morningstar,,,,0,0.7407673183410554864956492259,45.91,41.25000000000000000000000000,72.0,25.68,5,66.75000000000000000000000000,5.0616,-1.6325,2.0,24,3,0.6667,1.2596,1,2,0.0,0.4,0.6,autoimmune,0.6955,highly_crowded,1.0,149,0.014475529411764708,0.478947,-0.0528,15.74,0.226316,-0.751,0.000724,0.0,0.0,0.0,0.0,0.000724,0.0
NGNE,Neurogene Inc.,10,0.73,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.15614,,0,0.887097,1,0.112903,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-43.7;smart_money_score:+33.2;financial_score:+17.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 59744000.0, ""cash_total"": 265410000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.30945366898768, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|nonpos,0.057520273504273495,,0.7087,0,1,-1.5352,0.8097,8,8,buying,1.9437,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1586.17,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.075945,price_history,,8,-0.2272,price_history,,-0.311009,,58.2946,0.823,-0.117834,-0.193175,late,small,none,drug_developer,morningstar,,,,0,0.8335079753172662708115030853,55.50,41.25000000000000000000000000,85,69.86,8.154854101016574979080987736,69.25373134328358208955223880,6.8609,-1.5565,3.0,2283,6,1.0,0.0136,0,0,0.0,0.3,0.75,rare_disease,0.6955,highly_crowded,1.0,45,0.057520273504273495,0.84386,1.0104,19.14,0.380702,-0.3036,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
ARTV,"Artiva Biotherapeutics, Inc.",11,0.44,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.468421,,0,0.945161,1,0.054839,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-36.3;smart_money_score:+18.7;financial_score:+9.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 62025000.0, ""cash_total"": 122968000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.790665054413545, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|none|nonpos,0.014475529411764708,,-1.069,365,1,-1.6704,1.1106,2,2,neutral,-0.3887,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1301.68,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,,-0.117834,,mid,micro,sev1,drug_developer,morningstar,,,drawdown,1,0.7549362536776724419745014711,50,41.25000000000000000000000000,60.0,77.03,5,50.25000000000000000000000000,3.8802,-1.6823,2.0,433,3,0.6667,0.039,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,134,0.014475529411764708,0.531579,0.0792,12.27,0.110526,-1.2237,0.000724,0.0,0.0,0.0,0.0,0.000724,0.0
RAPT,"RAPT Therapeutics, Inc.",12,0.31,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.503509,,0,0.880645,1,0.119355,,0,no_upcoming,9,headwind,high_vol|high_beta,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+35.6;clinical_score:-32.4;financial_score:-4.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.014475529411764708,,0.1871,0,1,-1.4791,0.6849,5,5,buying,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.103715,price_history,,5,1.8256,price_history,,-0.345779,,47.5895,1.4599,-0.117834,-0.227945,mid,small,none,drug_developer,morningstar,,,,0,0.7846415306696679797411367473,43.81,41.25000000000000000000000000,77.5,33.78,9.463734567901234567901234566,37.29185956790123456790123458,8.7067,-1.4787,2.0,266,5,1.0,0.1996,0,0,0.0,0.4,0.95,oncology,0.6955,highly_crowded,1.0,144,0.014475529411764708,0.496491,-0.0088,15.39,0.215789,-0.7865,0.000724,0.0,0.0,0.0,0.0,0.000724,0.0
MLYS,"Mineralys Therapeutics, Inc.",13,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.152632,,0,0.848387,1,0.151613,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+41.9;clinical_score:-25.3;financial_score:-22.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 104528000.0, ""cash_total"": 217597000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.9805219654064, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|none|nonpos,0.057520273504273495,,-0.5179,502,1,-1.3374,0.3694,7,7,buying,1.5549,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,521.81,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.065239,price_history,,7,1.0004,price_history,,-0.324974,,45.5637,0.6287,-0.117834,-0.20714,late,mid,none,drug_developer,morningstar,,,,0,0.7921767475552336110105034408,41.23,41.25000000000000000000000000,80.0,10.00,12.77190265092844807634104221,15.34079561042524005486968450,12.0073,-1.3394,3.0,502,2,0.3333,0.0165,0,0,0.0,0.4,0.85,cardiovascular,0.6955,highly_crowded,1.0,44,0.057520273504273495,0.847368,1.0252,15.36,0.212281,-0.7985,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
LQDA,Liquidia Corporation,14,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.145614,,0,0.841935,1,0.158065,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+30.6;financial_score:-26.0;clinical_score:-22.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.057520273504273495,,0.7221,0,1,-1.3374,0.3694,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.084069,price_history,,3,1.1396,price_history,,-0.292929,,43.4613,0.5778,-0.117834,-0.175095,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688328621061459206900682880,46.00,41.25000000000000000000000000,65.5,18.79,12.77190265092844807634104221,8.923676268861454046639231831,10.9521,-1.3839,3.0,566,4,1.0,0.0208,0,0,0.0,0.3,0.5,respiratory,0.6955,highly_crowded,1.0,42,0.057520273504273495,0.854386,1.0554,11.46,0.1,-1.2816,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
CRSP,CRISPR Therapeutics AG,15,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.107018,,0,0.822581,1,0.177419,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-34.8;financial_score:+29.9;smart_money_score:+15.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.057520273504273495,,0.726,0,1,-1.2282,0.1263,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.091988,price_history,,3,1.2855,price_history,,-0.326357,,47.5753,0.5582,-0.117834,-0.208523,late,mid,none,drug_developer,morningstar,,,,0,0.8829993291806420699568758984,47.85,41.25000000000000000000000000,66.0,61.76,15.32037244743541811319411063,80.0,14.2637,-1.2442,3.0,675,9,1.0,0.1253,0,0,0.0,0.3,0.95,oncology,0.2236,moderate,1.0,31,0.057520273504273495,0.892982,1.2425,27.82,0.566667,0.1679,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
ACLX,"Arcellx, Inc.",16,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.457895,,0,0.829032,1,0.170968,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+33.4;clinical_score:-31.6;momentum_score:+10.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",mid|none|nonpos,0.014475529411764708,,-1.0335,398,1,-1.2446,0.1628,7,7,buying,1.5549,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.046078,price_history,,7,0.7855,price_history,,-0.202474,,66.8638,0.5575,-0.117834,-0.08464,mid,mid,none,drug_developer,morningstar,,,,0,0.8080658198878590227714841515,56.83,41.25000000000000000000000000,80.0,10.00,14.93827160493827160493827160,39.84027777777777777777777778,13.8184,-1.263,2.0,1187,3,0.6667,0.0096,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,131,0.014475529411764708,0.542105,0.1057,21.13,0.436842,-0.159,0.000724,0.0,0.0,0.0,0.0,0.000724,0.0
TRDA,"Entrada Therapeutics, Inc.",17,0.09,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.689474,,0,0.970968,1,0.029032,,0,no_upcoming,9,tailwind,high_beta,XS,momentum_tailwind|runway_short|high_risk|cost_haircut_>2000bps,momentum_score:+28.2;clinical_score:-27.3;financial_score:-26.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 128512000.0, ""cash_total"": 90394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.440674800796813, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 1}",early|none|nonpos,0.007665645645645646,,-1.7671,,0,-1.6704,1.1106,1,1,selling,-0.7775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.213923,price_history,,1,1.8658,price_history,,-0.323826,,47.6273,0.5606,-0.117834,-0.205992,early,small,sev2,drug_developer,morningstar,,,,0,0.7763785017638514214567337622,60.58,41.25000000000000000000000000,49.5,50,5,5.401111111111111111111111112,3.5302,-1.6971,0.0,519,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-0.4844,uncrowded,1.0,197,0.007665645645645646,0.310526,-0.4944,4.81,0.012281,-2.2482,0.000383,0.0,0.0,0.0,0.0,0.000383,0.0
