ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
LQDA,Liquidia Corporation,1,1.0,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.755973,,0,0.806748,1,0.193252,85,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+37.5;financial_score:-34.0;clinical_score:-28.7,tier=A;reason=high_opt+catalyst_near;cat_days=85;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|near_31_90|pos,0.004868357142857142,,0.5834,0,1,-1.149,0.5834,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,85,False,specific_days,0.486807,price_history,,3,1.1789,price_history,,-0.114166,,45.8062,0.5778,-0.162,0.047834,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,80.41,45.56250000000000000000000000,65.5,64.41,14.25619834710743801652892562,8.948882314266929651545036159,14.1152,-1.256,3.0,13,4,1.0,2.0847,2,2,0.0,0.3,0.5,respiratory,0.6858,highly_crowded,1.0,222,0.004868357142857142,0.244027,-0.6934,9.83,0.076792,-1.427,0.295593,0.29535,0.0,0.0,0.0,0.000243,0.0
IMVT,"Immunovant, Inc.",2,1.0,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.71843,,0,0.751534,1,0.248466,25,1,specific_days,9,headwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-25.2;financial_score:+18.6;smart_money_score:+18.4,tier=A;reason=high_opt+catalyst_near;cat_days=25;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 312251000.0, ""cash_total"": 994525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.220213866408756, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|near_0_30|pos,0.029295749999999995,,0.5906,0,1,-0.9741,0.5906,6,6,selling,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,478.91,0.85,1,0,1.0,0,1.0,0,25,True,specific_days,-0.143946,price_history,,6,1.3111,price_history,,-0.411696,,45.9701,0.5723,-0.162,-0.249696,late,mid,none,drug_developer,morningstar,,,,0,0.8870170169572486267016957249,38.20,37.21658711111111111111111111,62.0,54.48,18.42516069788797061524334251,62.17307692307692307692307692,18.3338,-1.0767,3.0,25,9,1.0,1.9113,1,2,0.0,0.4,0.6,autoimmune,0.2102,moderate,1.0,211,0.029295749999999995,0.28157,-0.5782,27.96,0.59215,0.2331,1.672915,1.67145,0.0,0.0,0.0,0.001465,0.0
REPL,"Replimune Group, Inc.",3,1.0,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.687713,,0,0.892638,1,0.107362,178,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-32.0;smart_money_score:+13.6;momentum_score:+12.8,tier=A;reason=high_opt+catalyst_mid;cat_days=178;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",late|near_91_180|nonpos,0.03476938888888889,,-0.0943,61,1,-1.4367,-0.0943,5,5,selling,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,178,False,specific_days,0.033527,price_history,,5,1.2861,price_history,,-0.229069,,34.5762,0.5897,-0.162,-0.067069,late,small,sev1,drug_developer,morningstar,,,,0,0.8335079753172662708115030853,52.18,45.56250000000000000000000000,53.0,41.81,7.402433425160697887970615244,38.66985228471714958201444688,7.9079,-1.5198,3.0,1396,12,1.0,0.6932,1,2,0.0,0.5,0.95,oncology,0.6858,highly_crowded,1.0,202,0.03476938888888889,0.312287,-0.4894,11.12,0.100683,-1.2777,0.001738,0.0,0.0,0.0,0.0,0.001738,0.0
RVMD,"Revolution Medicines, Inc.",4,1.18,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.773038,,0,0.720859,1,0.279141,269,0,specific_days,9,neutral,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed,smart_money_score:+28.5;clinical_score:-26.9;catalyst_score:-3.0,tier=B;reason=high_opt+catalyst_far;cat_days=269;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_181_270|pos,0.003084,,0.5982,0,1,-0.8378,0.5982,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,269,False,specific_days,-0.045992,price_history,,8,1.1585,price_history,,-0.35297,,42.005,0.4254,-0.162,-0.19097,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,48.34,45.56250000000000000000000000,77.0,57.22,21.67240587695133149678604224,50.13636363636363636363636364,20.4814,-0.9854,3.0,451,11,1.0,0.07,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,227,0.003084,0.226962,-0.7489,21.17,0.455631,-0.1114,1.339204,1.33905,0.0,0.0,0.0,0.000154,0.0
ACLX,"Arcellx, Inc.",5,1.18,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.735495,,0,0.923313,1,0.076687,207,0,specific_days,9,neutral,,L,catalyst_far_lift|sponsor_confirmed,smart_money_score:+40.7;clinical_score:-34.0;financial_score:-23.2,tier=B;reason=high_opt+catalyst_far;cat_days=207;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_181_270|nonpos,0.008340913580246913,,0.5551,0,1,-1.5241,0.5551,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,207,False,specific_days,-0.011748,price_history,,7,1.2696,price_history,,-0.335962,,60.0164,0.5575,-0.162,-0.173962,late,mid,none,drug_developer,morningstar,,,,0,0.8816242164223572875700154928,49.55,45.56250000000000000000000000,80.0,33.28,5.318884871441689623507805318,16.13350591715976331360946746,4.1279,-1.6805,3.0,1212,5,1.0,0.0506,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,216,0.008340913580246913,0.264505,-0.6295,14.00,0.186007,-0.8927,0.000417,0.0,0.0,0.0,0.0,0.000417,0.0
ZBIO,"Zenas BioPharma, Inc.",6,0.3,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.383959,,0,0.714724,1,0.285276,,0,no_upcoming,9,headwind,high_vol|drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+25.2;clinical_score:-19.1;momentum_score:-4.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.06958397674418605,,0.5988,0,1,-0.8147,0.5988,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.136679,price_history,,3,1.4798,price_history,,,series_too_short,50.8763,1.5048,-0.162,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089114369501466275659824047,36.53,41.25000000000000000000000000,66.5,70.05,22.22365702479338842975206612,39.95406217027838649460271082,20.9703,-0.9647,3.0,251,7,1.0,0.5657,0,1,0.0,0.4,0.6,autoimmune,0.6858,highly_crowded,1.0,113,0.06958397674418605,0.616041,0.2951,15.99,0.264505,-0.6295,1.439429,1.43595,0.0,0.0,0.0,0.003479,0.0
PVLA,"Palvella Therapeutics, Inc.",7,1.0,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.356655,,0,0.616564,1,0.383436,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+37.4;financial_score:-28.1;smart_money_score:+20.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.06958397674418605,,0.6161,0,1,-0.4532,0.6161,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.61436,price_history,,4,0.9296,price_history,,0.0,,79.3874,,-0.162,0.162,late,small,none,drug_developer,morningstar,,,,0,0.8521463044998834227092562369,88.48,41.25000000000000000000000000,72.0,70.25,30.83677685950413223140495867,23.04236669101533966398831263,29.9958,-0.5811,3.0,300,6,1.0,0.2294,0,0,0.0,0.7,0.5,other,-3.5944,uncrowded,1.0,105,0.06958397674418605,0.643345,0.3674,19.16,0.37372,-0.322,2.955179,2.9517,0.0,0.0,0.0,0.003479,0.0
TENX,"Tenax Therapeutics, Inc.",8,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.377133,,0,0.788344,1,0.211656,,0,no_upcoming,9,tailwind,,M,momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-33.2;momentum_score:+21.8;financial_score:+12.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|pos,0.06958397674418605,,0.5858,0,1,-1.0843,0.5858,1,1,buying,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.088405,price_history,,1,0.4752,price_history,,-0.20232,,47.9046,,-0.162,-0.04032,late,micro,none,drug_developer,morningstar,,,,0,0.8539370391124061414322537263,70.77,41.25000000000000000000000000,55.5,92.78,15.79803719008264462809917355,61.58238636363636363636363636,14.9874,-1.2189,3.0,573,5,1.0,0.0127,0,0,-0.1429,0.4,0.85,cardiovascular,-0.5032,uncrowded,1.0,111,0.06958397674418605,0.622867,0.313,23.07,0.493174,-0.0171,0.308729,0.30525,0.0,0.0,0.0,0.003479,0.0
KALV,"KalVista Pharmaceuticals, Inc.",9,1.0,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.325939,,0,0.641104,1,0.358896,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+29.6;financial_score:-17.0;clinical_score:-16.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.06958397674418605,,0.6136,0,1,-0.5277,0.6136,2,2,selling,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.374101,price_history,,2,1.3318,price_history,,-0.225471,,69.6162,0.6376,-0.162,-0.063471,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,75.35,41.25000000000000000000000000,54.5,74.41,29.06250000000000000000000000,28.81837919000081162243324406,27.4109,-0.6909,3.0,314,5,1.0,0.1645,0,0,0.0,0.4,0.55,ophthalmology,0.6858,highly_crowded,1.0,96,0.06958397674418605,0.674061,0.4512,19.88,0.40785,-0.2331,2.642879,2.6394,0.0,0.0,0.0,0.003479,0.0
ABEO,Abeona Therapeutics Inc.,10,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.213311,,0,0.763804,1,0.236196,,0,no_upcoming,9,neutral,deep_drawdown,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-28.7;financial_score:+23.2;smart_money_score:+8.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.06958397674418605,,0.5903,0,1,-0.9964,0.5903,2,2,neutral,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.004249,price_history,,2,1.1728,price_history,,-0.40553,,39.6353,,-0.162,-0.24353,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,49.09,41.25000000000000000000000000,55.0,65.79,17.89399678604224058769513315,69.77272727272727272727272727,16.3827,-1.1596,3.0,207,9,1.0,0.2681,0,0,0.0,0.3,0.5,other,-1.6921,uncrowded,1.0,63,0.06958397674418605,0.786689,0.795,27.08,0.561433,0.1546,0.677579,0.6741,0.0,0.0,0.0,0.003479,0.0
MLTX,MoonLake Immunotherapeutics,11,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.138225,,0,0.911043,1,0.088957,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,clinical_score:-32.8;smart_money_score:+17.2;financial_score:+13.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 196007000.0, ""cash_total"": 334517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 20.47990122801737, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 4}",late|none|nonpos,0.08036317367458867,,0.5618,0,1,-1.4952,0.5618,4,4,selling,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,513.23,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.200843,price_history,,4,0.8277,price_history,,-0.324423,,31.0632,,-0.162,-0.162423,late,small,none,drug_developer,morningstar,,,,0,0.8277540792540792540792540793,38.36,41.25000000000000000000000000,56.0,24.70,6.006944444444444444444444442,52.39189189189189189189189189,5.8963,-1.6053,3.0,102,2,0.3333,1.3525,0,2,0.1429,0.4,0.5,dermatology,0.6858,crowded,1.0,41,0.08036317367458867,0.861775,1.0883,12.60,0.127986,-1.136,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
CGON,"CG Oncology, Inc.",12,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.080205,,0,0.874233,1,0.125767,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-38.5;smart_money_score:+35.7;financial_score:+10.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.08036317367458867,,0.569,0,1,-1.377,0.569,6,6,buying,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.068186,price_history,,6,1.3345,price_history,,-0.391344,,46.1542,0.7795,-0.162,-0.229344,late,mid,none,drug_developer,morningstar,,,,0,0.8570204003356106915977466139,45.40,41.25000000000000000000000000,83.0,59.35,8.823748852157943067033976124,58.25000000000000000000000000,7.6328,-1.5315,3.0,451,8,1.0,0.0577,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,24,0.08036317367458867,0.919795,1.4037,16.78,0.288396,-0.5581,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
AURA,"Aura Biosciences, Inc.",13,0.1,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.06314,,0,0.825153,1,0.174847,,0,no_upcoming,9,headwind,deep_drawdown,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_>2000bps,financial_score:-26.3;smart_money_score:+20.7;clinical_score:-18.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",late|none|nonpos,0.08036317367458867,,0.5783,0,1,-1.2127,0.5783,2,2,selling,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.065564,price_history,,2,0.9168,price_history,,-0.369676,,42.7749,0.5411,-0.162,-0.207676,late,small,sev2,drug_developer,morningstar,,,,0,0.8794298861259586335115036021,45.47,41.25000000000000000000000000,52.0,69.14,12.74018595041322314049586776,5,12.2492,-1.3353,3.0,983,7,1.0,0.0061,0,0,0.0,0.5,0.95,oncology,0.6858,highly_crowded,1.0,19,0.08036317367458867,0.93686,1.5289,5.30,0.015358,-2.1607,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
ELDN,"Eledon Pharmaceuticals, Inc.",14,0.65,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.837884,,0,0.757669,1,0.242331,451,0,specific_days,9,tailwind,,L,catalyst_far_lift|momentum_tailwind|cost_haircut_>2000bps,clinical_score:-22.7;momentum_score:+16.3;smart_money_score:+11.8,tier=B;reason=high_opt+catalyst_far;cat_days=451;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|pos,-0.04502669565217391,,0.03,0,1,-0.9919,0.03,1,1,neutral,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,451,False,specific_days,-0.00204,price_history,,1,1.4577,price_history,,-0.284906,,34.1525,,-0.162,-0.122906,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592904001749398644216050733,56.96,45.56250000000000000000000000,52.5,48.69,18.00000000000000000000000000,30.31364554637281910009182736,16.459,-1.1564,2.0,188,6,1.0,0.2331,0,0,0.0,0.3,0.55,metabolic,-0.5032,uncrowded,1.0,246,-0.04502669565217391,0.162116,-0.9858,18.26,0.33959,-0.4136,0.459549,0.4618,0.0,0.0,0.0,-0.002251,0.0
CNTA,Centessa Pharmaceuticals plc,15,1.0,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.083618,,0,0.947853,1,0.052147,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+40.9;clinical_score:-31.1;financial_score:-31.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.08036317367458867,,0.5216,0,1,-1.5375,0.5216,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.002259,price_history,,7,1.1135,price_history,,-0.147136,,48.666,0.5724,-0.162,0.014864,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882535922099513121957012231,52.10,41.25000000000000000000000000,77.0,55.53,5,5,4.0484,-1.6838,3.0,,8,1.0,0.1593,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,25,0.08036317367458867,0.916382,1.3811,12.92,0.138225,-1.0883,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
BCAX,Bicara Therapeutics Inc.,16,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.421502,,0,0.782209,1,0.217791,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-30.3;smart_money_score:+24.9;financial_score:+7.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 82948000.0, ""cash_total"": 290167000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.9781549886676, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,0.05054912499999999,,-1.3156,664,1,-1.0625,-1.3156,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1066.54,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.010168,price_history,,4,1.7209,price_history,,,series_too_short,69.793,0.6287,-0.162,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7405747126436781609195402299,50.00,41.25000000000000000000000000,71.5,63.35,16.31772268135904499540863177,54.00000000000000000000000000,15.3661,-1.2028,2.0,1121,2,0.3333,0.0011,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,124,0.05054912499999999,0.578498,0.1981,20.01,0.421502,-0.1981,0.267027,0.2645,0.0,0.0,0.0,0.002527,0.0
NUVL,"Nuvalent, Inc.",17,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.148464,,0,0.929448,1,0.070552,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-40.0;smart_money_score:+28.7;financial_score:+18.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 275209000.0, ""cash_total"": 1371952000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 59.82153199931688, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|nonpos,0.08036317367458867,,-0.7864,665,1,-1.5241,-0.7864,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,435.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.110749,price_history,,5,1.1363,price_history,,-0.366408,,33.8964,0.5143,-0.162,-0.204408,late,mid,none,drug_developer,morningstar,,,,0,0.8880516029078774877845310452,42.01,41.25000000000000000000000000,74.0,50.86,5.318884871441689623507805318,64.13461538461538461538461539,4.1279,-1.6805,3.0,1730,5,1.0,0.0011,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,44,0.08036317367458867,0.851536,1.043,17.64,0.325939,-0.4512,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
