ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
NTLA,"Intellia Therapeutics, Inc.",1,0.71,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.944444,,0,0.853293,1,0.146707,158,0,specific_days,9,tailwind,high_vol|high_beta,L,tier_a_dev|momentum_tailwind|high_risk,momentum_score:+46.4;clinical_score:-38.9;financial_score:-7.7,tier=A;reason=high_opt+catalyst_mid;cat_days=158;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 325451000.0, ""cash_total"": 511044000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.843168403231207, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",late|near_91_180|nonpos,-0.046447611940298505,,0.5146,0,1,-1.2841,-0.2751,1,1,neutral,-0.8111,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,404.59,0.85,1,0,1.0,0,1.0,0,158,False,specific_days,0.511738,price_history,,1,2.5877,price_history,,-0.085061,,63.3953,1.2984,-0.016157,-0.068904,late,small,sev1,drug_developer,morningstar,,,,0,0.8136997067448680351906158358,96.55,45.56250000000000000000000000,55.0,47.72,11.25000000000000000000000000,42.49032069544890057710570531,9.6974,-1.4392,3.0,158,8,1.0,0.4771,0,1,0.0,0.4,0.5,respiratory,0.679,highly_crowded,1.0,281,-0.046447611940298505,0.055556,-1.5932,15.91,0.254209,-0.6613,-0.002322,0.0,0.0,0.0,0.0,-0.002322,0.0
KOD,Kodiak Sciences Inc,2,0.71,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.941077,,0,0.967066,1,0.032934,99,0,specific_days,9,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,momentum_score:+52.8;clinical_score:-38.7;financial_score:-38.7,tier=A;reason=high_opt+catalyst_near;cat_days=99;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",late|near_91_180|nonpos,-0.046447611940298505,,0.4884,0,1,-1.5519,-1.1544,3,3,buying,-0.0451,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,99,False,specific_days,0.897638,price_history,,3,3.5482,price_history,,-0.016316,,64.3927,0.8241,-0.016157,-0.000159,late,small,sev2,drug_developer,morningstar,,,,0,0.8621078447371488518475346777,96.55,45.56250000000000000000000000,66.5,70.45,5,5,4.1609,-1.6738,3.0,99,7,1.0,1.5057,0,2,0.0,0.3,0.55,ophthalmology,0.679,highly_crowded,1.0,280,-0.046447611940298505,0.058923,-1.5639,4.24,0.001684,-2.9321,-0.002322,0.0,0.0,0.0,0.0,-0.002322,0.0
FDMT,"4D Molecular Therapeutics, Inc.",3,0.35,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.574074,,0,0.919162,1,0.080838,69,0,specific_days,9,tailwind,high_beta,M,tier_a_dev|momentum_tailwind|high_risk|cost_haircut_<=2000bps,clinical_score:-46.7;momentum_score:+43.6;financial_score:+8.6,tier=A;reason=high_opt+catalyst_near;cat_days=69;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",late|near_31_90|nonpos,0.042690963503649634,,-0.2427,69,1,-1.4993,-0.9817,1,1,neutral,-0.8111,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,69,False,specific_days,0.941499,price_history,,1,2.1772,price_history,,0.0,,67.386,0.8446,-0.016157,0.016157,late,small,none,drug_developer,morningstar,,,,0,0.8100938526513374002815579540,96.55,45.56250000000000000000000000,55.0,44.52,6.227683259819365679479101022,61.53846153846153846153846154,4.7668,-1.6481,3.0,493,8,1.0,0.2731,1,0,0.0,0.3,0.55,ophthalmology,0.2017,moderate,1.0,171,0.042690963503649634,0.425926,-0.1868,17.34,0.29798,-0.5302,0.002135,0.0,0.0,0.0,0.0,0.002135,0.0
ERAS,"Erasca, Inc.",4,0.84,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.550505,,0,0.847305,1,0.152695,8,1,specific_days,9,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-35.7;smart_money_score:+19.6;momentum_score:+18.9,tier=A;reason=high_opt+catalyst_near;cat_days=8;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 73744000.0, ""cash_total"": 288400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.92991972228249, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_0_30|nonpos,0.06047066666666666,,0.5146,0,1,-1.2841,-0.2751,3,3,buying,-0.0451,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,374.33,1.0,0,0,1.0,0,1.0,0,8,True,specific_days,0.203756,price_history,,3,1.7998,price_history,,-0.263158,,57.8227,1.2457,-0.016157,-0.247001,late,mid,none,drug_developer,morningstar,,,,0,0.8063941375968992248062015504,65.88,45.25946711111111111111111111,66.5,61.69,11.25000000000000000000000000,45.77097505668934240362811792,11.4639,-1.3643,3.0,8,7,1.0,0.8848,4,0,0.0,0.3,0.95,oncology,0.679,highly_crowded,1.0,164,0.06047066666666666,0.449495,-0.1269,13.24,0.139731,-1.0815,0.003024,0.0,0.0,0.0,0.0,0.003024,0.0
CELC,Celcuity Inc.,5,0.84,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.547138,,0,0.835329,1,0.164671,8,1,specific_days,9,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-45.9;momentum_score:+38.0;smart_money_score:+24.4,tier=A;reason=high_opt+catalyst_near;cat_days=8;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_0_30|nonpos,0.06047066666666666,,0.5161,0,1,-1.2231,-0.0747,6,6,buying,1.1038,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,8,True,specific_days,0.325006,price_history,,6,1.8331,price_history,,0.0,,69.6242,,-0.016157,0.016157,late,mid,none,drug_developer,morningstar,,,,0,0.8112489512165887570418314755,96.55,45.25946711111111111111111111,83.0,50.11,12.67485822306238185255198487,55.35714285714285714285714286,12.3057,-1.3287,3.0,249,8,1.0,0.4244,1,0,0.0,0.3,0.95,oncology,-0.5143,uncrowded,1.0,163,0.06047066666666666,0.452862,-0.1184,16.30,0.267677,-0.6199,0.003024,0.0,0.0,0.0,0.0,0.003024,0.0
ACLX,"Arcellx, Inc.",6,0.84,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.540404,,0,0.937126,1,0.062874,24,1,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,smart_money_score:+42.2;clinical_score:-32.7;financial_score:-18.4,tier=A;reason=high_opt+catalyst_near;cat_days=24;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_0_30|nonpos,0.06047066666666666,,0.4956,0,1,-1.5463,-1.136,7,7,buying,1.4868,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,24,True,specific_days,-0.081754,price_history,,7,1.0083,price_history,,-0.205107,,53.3436,0.5575,-0.016157,-0.18895,late,mid,none,drug_developer,morningstar,,,,0,0.8816242164223572875700154928,46.56,37.92320400000000000000000000,80.0,22.54,5.130552930056710775047258973,19.34240362811791383219954649,4.2955,-1.6681,3.0,981,5,1.0,0.2465,1,0,0.0,0.3,0.95,oncology,0.679,highly_crowded,1.0,161,0.06047066666666666,0.459596,-0.1015,14.16,0.186869,-0.8895,0.003024,0.0,0.0,0.0,0.0,0.003024,0.0
RVMD,"Revolution Medicines, Inc.",7,0.84,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.419192,,0,0.727545,1,0.272455,38,1,specific_days,9,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-28.6;smart_money_score:+26.7;catalyst_score:-12.9,tier=A;reason=high_opt+catalyst_near;cat_days=38;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_31_90|pos,0.08206888732394367,,0.5401,0,1,-0.8356,1.1978,8,8,buying,1.8698,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,38,True,specific_days,0.134731,price_history,,8,1.2308,price_history,,-0.10099,,74.3639,0.4254,-0.016157,-0.084833,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,60.50,37.45907600000000000000000000,77.0,51.22,21.72022684310018903591682419,54.89130434782608695652173913,21.0778,-0.957,3.0,220,12,1.0,0.4846,1,0,0.0,0.3,0.95,oncology,0.679,highly_crowded,1.0,125,0.08206888732394367,0.580808,0.204,21.93,0.462963,-0.093,1.800803,1.7967,0.0,0.0,0.0,0.004103,0.0
PRAX,"Praxis Precision Medicines, Inc",8,0.84,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.412458,,0,0.691617,1,0.308383,31,1,specific_days,9,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+43.8;clinical_score:-27.8;catalyst_score:-19.1,tier=A;reason=high_opt+catalyst_near;cat_days=31;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 249068000.0, ""cash_total"": 599331000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.875535998201293, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_31_90|pos,0.08206888732394367,,0.545,0,1,-0.6983,1.6486,8,8,buying,1.8698,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,221.16,1.0,0,0,1.0,0,1.0,0,31,True,specific_days,2.278609,price_history,,8,-0.2635,price_history,,-0.084465,,77.8409,0.9863,-0.016157,-0.068308,late,mid,none,drug_developer,morningstar,,,,0,0.8088929044693410432478014697,96.55,33.63088044444444444444444444,71.0,57.97,24.92438563327032136105860113,37.65306122448979591836734695,25.4853,-0.7703,3.0,19,11,1.0,2.1056,2,2,0.0,0.8,0.6,cns,0.679,highly_crowded,1.0,123,0.08206888732394367,0.587542,0.2212,13.80,0.176768,-0.9278,2.477003,2.4729,0.0,0.0,0.0,0.004103,0.0
IMVT,"Immunovant, Inc.",9,0.71,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.39899,,0,0.739521,1,0.260479,69,0,specific_days,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-27.5;financial_score:+20.0;smart_money_score:+13.8,tier=A;reason=high_opt+catalyst_near;cat_days=69;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 312251000.0, ""cash_total"": 994525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.220213866408756, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|near_31_90|pos,0.08206888732394367,,0.5387,0,1,-0.8804,1.0505,6,6,selling,1.1038,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,478.91,0.85,1,0,1.0,0,1.0,0,69,False,specific_days,-0.267759,price_history,,6,1.6771,price_history,,-0.397199,,65.0446,0.5723,-0.016157,-0.381042,late,mid,none,drug_developer,morningstar,,,,0,0.8870471353544998806397708284,44.48,45.56250000000000000000000000,62.0,61.41,20.67317790380172232724217601,68.21428571428571428571428572,20.7617,-0.9704,3.0,9,14,1.0,2.6434,2,3,0.0,0.4,0.6,autoimmune,0.2017,moderate,1.0,119,0.08206888732394367,0.60101,0.256,29.93,0.614478,0.291,1.579853,1.57575,0.0,0.0,0.0,0.004103,0.0
KYTX,"Kyverna Therapeutics, Inc.",10,0.43,B,mod_opt+catalyst_mid,B,mod_opt+catalyst_mid,,0.920875,,0,0.422156,1,0.577844,128,0,specific_days,9,tailwind,high_vol|high_beta,M,momentum_tailwind|high_risk,momentum_score:+40.3;financial_score:-23.8;catalyst_score:-10.7,tier=B;reason=mod_opt+catalyst_mid;cat_days=128;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 120185000.0, ""cash_total"": 171138000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.08745683737571, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",mid|near_91_180|pos,-0.02384711111111111,,-0.9531,100,1,0.4236,1.7241,1,1,buying,-0.8111,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,916.58,0.85,1,0,1.0,0,1.0,0,128,False,specific_days,0.450239,price_history,,1,2.3853,price_history,,-0.008,,60.4859,1.2661,-0.016157,0.008157,mid,small,sev1,drug_developer,morningstar,,,,0,0.7519446014697569248162803844,96.55,45.56250000000000000000000000,55.5,66.03,51.11111111111111111111111111,32.44946492271105826397146254,49.4511,0.2451,2.0,159,10,1.0,0.5132,0,1,0.0,0.3,0.6,autoimmune,0.679,highly_crowded,1.0,274,-0.02384711111111111,0.079125,-1.411,19.16,0.388889,-0.2822,1.796438,1.7241,0.0,0.0,0.07353,-0.001192,0.0
KALV,"KalVista Pharmaceuticals, Inc.",11,0.71,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.984848,,0,0.631737,1,0.368263,249,0,specific_days,9,headwind,deep_drawdown_rel_xbi,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,smart_money_score:+18.0;momentum_score:-16.5;catalyst_score:+9.1,tier=B;reason=high_opt+catalyst_far;cat_days=249;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|near_181_270|pos,-0.0508983125,,0.5568,0,1,-0.4848,0.3928,2,2,selling,-0.4281,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,249,False,specific_days,-0.528654,price_history,,2,1.2993,price_history,,-0.304809,,40.3684,0.6376,-0.016157,-0.288652,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,20.00,45.56250000000000000000000000,54.5,77.83,29.90784499054820415879017013,32.59040105193951347797501644,29.5393,-0.5985,3.0,83,6,1.0,1.1278,1,1,0.0,0.4,0.55,ophthalmology,0.679,highly_crowded,1.0,293,-0.0508983125,0.015152,-2.1661,22.99,0.496633,-0.0084,0.586655,0.5892,0.0,0.0,0.0,-0.002545,0.0
ELDN,"Eledon Pharmaceuticals, Inc.",12,0.14,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.890572,,0,0.601796,1,0.398204,220,0,specific_days,9,headwind,deep_drawdown_rel_xbi,S,catalyst_far_lift|momentum_headwind|cost_haircut_>2000bps,smart_money_score:+10.5;clinical_score:-8.8;financial_score:-4.8,tier=B;reason=high_opt+catalyst_far;cat_days=220;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|near_181_270|pos,-0.006629686274509805,,-0.038,0,1,-0.3438,0.5993,1,1,neutral,-0.8111,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,220,False,specific_days,-0.132729,price_history,,1,0.8938,price_history,,-0.343396,,67.4035,,-0.016157,-0.327239,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592904001749398644216050733,41.74,45.56250000000000000000000000,52.5,54.62,33.19768327998780673677793020,37.21536351165980795610425240,31.6586,-0.5087,2.0,220,7,1.0,0.1667,0,0,0.0,0.3,0.55,metabolic,-0.5143,uncrowded,1.0,265,-0.006629686274509805,0.109428,-1.2296,26.72,0.553872,0.1355,0.598969,0.5993,0.0,0.0,0.0,-0.000331,0.0
SEPN,"Septerna, Inc.",13,0.59,B,mod_opt+catalyst_mid,B,mod_opt+catalyst_mid,,0.789562,,0,0.428144,1,0.571856,128,0,specific_days,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,momentum_score:+27.6;catalyst_score:-20.1;clinical_score:-14.6,tier=B;reason=mod_opt+catalyst_mid;cat_days=128;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 0.0, ""cash_total"": 474346000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""early"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",early|near_91_180|pos,9.41311475409836e-05,,-1.7094,128,1,0.4219,1.7216,5,5,buying,0.7208,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=2000bps,1093.91,0.7,1,0,1.0,0,1.0,0,128,False,specific_days,0.42788,price_history,,5,1.1979,price_history,,-0.200074,,60.6872,0.7426,-0.016157,-0.183917,early,small,none,drug_developer,morningstar,,,,0,0.7297376727985196473277457277,93.24,45.56250000000000000000000000,77.0,80.58,51.07142857142857142857142857,61.53846153846153846153846154,49.3358,0.2403,1.0,128,1,0.0,0.086,0,0,0.0,0.4,0.5,other,0.679,highly_crowded,1.0,235,9.41311475409836e-05,0.210438,-0.8049,36.39,0.718855,0.5794,0.072095,0.0,0.0,0.0,0.07209,5e-06,0.0
DSGN,"Design Therapeutics, Inc.",14,0.35,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.779461,,0,0.5,1,0.5,38,1,specific_days,9,neutral,,M,sponsor_confirmed|cost_haircut_<=2000bps,smart_money_score:+19.3;catalyst_score:-15.2;clinical_score:-9.2,tier=B;reason=mod_opt+catalyst_near;cat_days=38;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 42392000.0, ""cash_total"": 205970000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 58.30439705604831, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|near_31_90|pos,0.0030475471698113207,,-0.026,0,1,0.0963,1.2443,4,4,buying,0.3378,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1688.6,0.7,1,0,1.0,0,1.0,0,38,True,specific_days,0.013212,price_history,,4,1.7591,price_history,,-0.239044,,44.3659,0.7359,-0.016157,-0.222887,mid,small,none,drug_developer,morningstar,,,,0,0.7836018476791347453808021631,51.12,37.45907600000000000000000000,72.0,72.36,43.47050754458161865569272976,59.31034482758620689655172414,42.439,-0.052,2.0,312,3,0.6667,0.2651,1,0,0.0,0.4,0.5,other,-1.2302,uncrowded,1.0,232,0.0030475471698113207,0.220539,-0.7704,31.47,0.63468,0.3443,1.244452,1.2443,0.0,0.0,0.0,0.000152,0.0
GPCR,Structure Therapeutics Inc.,15,0.5,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.654882,,0,0.392216,1,0.607784,8,1,specific_days,9,neutral,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,sponsor_confirmed|high_risk,smart_money_score:+24.4;catalyst_score:-13.3;momentum_score:-8.3,tier=B;reason=mod_opt+catalyst_near;cat_days=8;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 157783000.0, ""cash_total"": 799043000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 60.77027309659469, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_0_30|pos,0.02039264150943396,,-0.0158,0,1,0.5188,1.8636,9,9,buying,2.2528,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,330.68,1.0,0,0,1.0,0,1.0,0,8,True,specific_days,0.108068,price_history,,9,1.4095,price_history,,-0.358688,,49.5288,2.1948,-0.016157,-0.342531,mid,mid,none,drug_developer,morningstar,,,,0,0.7917058891057283893927218459,50.28,45.25946711111111111111111111,83.0,57.22,53.33333333333333333333333334,61.11111111111111111111111111,53.0018,0.3956,2.0,8,2,0.3333,1.1845,1,1,0.0,0.4,0.55,metabolic,0.679,highly_crowded,1.0,195,0.02039264150943396,0.345118,-0.3985,38.25,0.755892,0.6931,1.9833,1.8636,0.0,0.0,0.11868,0.00102,0.0
ZBIO,"Zenas BioPharma, Inc.",16,0.71,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.765993,,0,0.709581,1,0.290419,220,0,specific_days,9,tailwind,high_vol|high_beta,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-28.5;momentum_score:+25.0;smart_money_score:+14.7,tier=B;reason=high_opt+catalyst_far;cat_days=220;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|near_181_270|nonpos,0.010071680672268908,,0.5427,0,1,-0.7674,-0.0214,3,3,buying,-0.0451,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,220,False,specific_days,-0.207727,price_history,,3,2.7426,price_history,,-0.139229,,51.9477,1.5048,-0.016157,-0.123072,late,small,none,drug_developer,morningstar,,,,0,0.8089114369501466275659824047,76.85,45.56250000000000000000000000,66.5,25.65,23.31049149338374291115311909,46.95229746511797793849075901,22.979,-0.8765,3.0,20,8,1.0,2.0525,1,2,0.0,0.4,0.6,autoimmune,0.679,highly_crowded,1.0,228,0.010071680672268908,0.234007,-0.7257,16.84,0.284512,-0.5695,0.000504,0.0,0.0,0.0,0.0,0.000504,0.0
