ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
CELC,Celcuity Inc.,1,1.05,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.973498,,0,0.944444,1,0.055556,122,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-42.2;smart_money_score:+35.6;financial_score:+7.1,tier=A;reason=high_opt+catalyst_mid;cat_days=122;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.00035902702702702704,,0.719,0,1,-1.7123,-0.0,6,6,buying,1.1593,elite_6,0.0,0.0,0.0,,,-0.0458,0,0,0,True,True,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,122,False,specific_days,0.055336,price_history,,6,0.4224,price_history,,-0.216274,,48.9139,,-0.123258,-0.093016,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,48.73,45.56250000000000000000000000,83.0,13.70,5.210834102800861803631886737,54.50000000000000000000000000,4.7513,-1.6414,3.0,1096,7,1.0,0.436,0,1,0.0,0.3,0.95,oncology,-0.4134,uncrowded,1.0,276,0.00035902702702702704,0.026502,-1.9349,13.96,0.171378,-0.9487
VERA,"Vera Therapeutics, Inc.",2,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.609541,,0,0.98366,1,0.01634,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-52.4;momentum_score:+39.2;catalyst_score:-16.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.04561745918367347,,-0.5227,685,1,-1.7214,1.238,5,5,buying,0.7706,elite_5,0.0,0.0,0.0,,,1.4804,2,3,1,True,True,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.154098,price_history,,5,0.9599,price_history,,-0.280592,,68.7948,0.7858,-0.123258,-0.157334,late,mid,none,drug_developer,morningstar,,,,0,0.7847545752030056962792388801,96.55,41.25000000000000000000000000,71.5,10.00,5,72.50000000000000000000000000,3.517,-1.6933,3.0,685,3,0.6667,0.0054,0,0,0.0,0.4,0.55,infectious_disease,0.2668,moderate,1.0,173,0.04561745918367347,0.390459,-0.2781,17.80,0.330389,-0.4388
CNTA,Centessa Pharmaceuticals plc,3,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.503534,,0,0.964052,1,0.035948,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+45.2;clinical_score:-38.4;financial_score:-38.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.04561745918367347,,0.6777,0,1,-1.7214,1.238,7,7,buying,1.548,elite_7,0.0,0.0,0.0,,,1.4804,2,2,0,True,True,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.605407,price_history,,7,0.3184,price_history,,-0.102899,,61.9361,0.5724,-0.123258,0.020359,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,88.64,41.25000000000000000000000000,77.0,27.78,5,5.200277777777777777777777778,4.6261,-1.6466,3.0,,7,1.0,0.1988,1,0,0.0,0.4,0.95,oncology,0.7202,highly_crowded,1.0,143,0.04561745918367347,0.496466,-0.0089,9.64,0.083039,-1.3849
AVBP,"ArriVent BioPharma, Inc.",4,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.475265,,0,0.957516,1,0.042484,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-37.0;financial_score:+17.7;smart_money_score:+12.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 129930000.0, ""cash_total"": 300266000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.731794042946202, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|nonpos,0.04561745918367347,,-0.5228,704,1,-1.7214,1.238,4,4,selling,0.3819,elite_4,0.0,0.0,0.0,,,-0.0458,0,0,0,True,True,True,missing,0.0,adequate,<=1000bps,986.33,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,4,,,series_too_short,,no_price_series,,0.6474,-0.123258,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8370803742292153944290878163,50,41.25000000000000000000000000,54.0,50,5,59.73846153846153846153846154,3.95,-1.6751,3.0,777,2,0.3333,0.003,0,0,0.0,0.3,0.95,oncology,0.7202,highly_crowded,1.0,135,0.04561745918367347,0.524735,0.062,18.51,0.369258,-0.3338
CGON,"CG Oncology, Inc.",5,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.492933,,0,0.937908,1,0.062092,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-43.6;smart_money_score:+33.7;financial_score:+17.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.04561745918367347,,0.721,0,1,-1.6893,1.1741,6,6,buying,1.1593,elite_6,0.0,0.0,0.0,,,-0.0458,0,0,0,True,True,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.123258,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.740612496152662357648507233,66.50000000000000000000000000,4.6906,-1.6439,3.0,1638,6,1.0,0.0646,0,0,0.0,0.3,0.95,oncology,0.7202,highly_crowded,1.0,140,0.04561745918367347,0.507067,0.0177,16.94,0.277385,-0.5906
COGT,"Cogent Biosciences, Inc.",6,0.63,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.507067,,0,0.924837,1,0.075163,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,smart_money_score:+47.8;financial_score:-32.0;clinical_score:-30.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.04561745918367347,,0.7246,0,1,-1.6544,1.1049,7,7,buying,1.548,elite_7,0.0,0.0,0.0,,,-0.0458,0,0,0,True,True,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.007427,price_history,,7,1.0951,price_history,,-0.303119,,48.9545,2.489,-0.123258,-0.179861,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,48.23,41.25000000000000000000000000,85,10.74,6.542493844259772237611572795,5.200277777777777777777777778,6.1925,-1.5807,3.0,823,5,1.0,0.006,0,0,0.0,0.5,0.95,oncology,0.7202,highly_crowded,1.0,144,0.04561745918367347,0.492933,-0.0177,8.97,0.068905,-1.484
NGNE,Neurogene Inc.,7,0.74,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.567138,,0,0.898693,1,0.101307,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-45.4;smart_money_score:+31.7;financial_score:+13.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 59744000.0, ""cash_total"": 265410000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.30945366898768, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|nonpos,0.04561745918367347,,0.7298,0,1,-1.5955,0.9879,8,8,buying,1.9367,elite_8,0.0,0.0,0.0,,,-0.0458,0,0,0,True,True,True,missing,0.0,adequate,<=2000bps,1586.17,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.228194,price_history,,8,-0.0753,price_history,,-0.37594,,58.1408,0.823,-0.123258,-0.252682,late,small,none,drug_developer,morningstar,,,,0,0.8335099569116105741236753232,65.99,41.25000000000000000000000000,85,70.74,7.898199445983379501385041556,66.52307692307692307692307692,6.6186,-1.5627,3.0,2346,6,1.0,0.0081,0,0,0.0,0.3,0.75,rare_disease,0.7202,highly_crowded,1.0,161,0.04561745918367347,0.432862,-0.1691,19.30,0.390459,-0.2781
VTYX,"Ventyx Biosciences, Inc.",8,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.35159,,0,0.996732,1,0.003268,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,clinical_score:-42.6;smart_money_score:+24.4;financial_score:+20.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.04977633333333333,,-0.6183,87,1,-1.7214,1.238,4,4,buying,0.3819,elite_4,0.0,0.0,0.0,,,-1.5721,-2,2,4,True,True,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.060746,price_history,,4,1.2136,price_history,,-0.296892,,46.9546,1.2298,-0.123258,-0.173634,mid,small,none,drug_developer,morningstar,,,,0,0.7407673183410554864956492259,52.09,41.25000000000000000000000000,72.0,27.63,5,67.88000000000000000000000000,4.5191,-1.6511,2.0,87,3,0.6667,0.7451,1,1,0.0,0.4,0.6,autoimmune,0.7202,highly_crowded,1.0,100,0.04977633333333333,0.64841,0.381,16.00,0.242049,-0.6997
ARTV,"Artiva Biotherapeutics, Inc.",9,0.44,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.291519,,0,0.95098,1,0.04902,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-36.8;smart_money_score:+18.2;financial_score:+11.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 62025000.0, ""cash_total"": 122968000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.790665054413545, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|none|nonpos,0.04977633333333333,,-1.0359,428,1,-1.7214,1.238,2,2,neutral,-0.3956,elite_2,0.0,0.0,0.0,,,-0.0458,0,0,0,True,True,True,missing,0.0,adequate,<=2000bps,1301.68,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,,-0.123258,,mid,micro,sev1,drug_developer,morningstar,,,drawdown,1,0.7440126485661323737869370843,50,41.25000000000000000000000000,60.0,75.00,5,52.76000000000000000000000000,3.95,-1.6751,2.0,496,3,0.6667,0.0231,0,0,0.0,0.3,0.95,oncology,0.7202,highly_crowded,1.0,83,0.04977633333333333,0.708481,0.549,10.46,0.090106,-1.3401
LQDA,Liquidia Corporation,10,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.556537,,0,0.872549,1,0.127451,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-28.3;smart_money_score:+28.1;clinical_score:-25.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.04561745918367347,,0.743,0,1,-1.425,0.6494,3,3,buying,-0.0069,elite_3,0.0,0.0,0.0,,,0.7173,1,1,0,True,True,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.047075,price_history,,3,0.8483,price_history,,-0.207071,,43.0898,0.5778,-0.123258,-0.083813,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688328621061459206900682880,59.14,41.25000000000000000000000000,65.5,18.15,11.82209910741766697445367806,9.111111111111111111111111112,10.0721,-1.4173,3.0,629,4,1.0,0.0123,0,0,0.0,0.3,0.5,respiratory,0.7202,highly_crowded,1.0,158,0.04561745918367347,0.443463,-0.1422,11.04,0.100707,-1.2775
CRSP,CRISPR Therapeutics AG,11,1.05,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.517668,,0,0.859477,1,0.140523,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-38.6;financial_score:+28.2;smart_money_score:+14.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.04561745918367347,,0.7469,0,1,-1.3748,0.5497,3,3,buying,-0.0069,elite_3,0.0,0.0,0.0,,,-2.3352,-3,0,3,True,True,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.121021,price_history,,3,1.6173,price_history,,-0.329912,,39.9504,0.5582,-0.123258,-0.206654,late,mid,none,drug_developer,morningstar,,,,0,0.8829993291806420699568758984,58.03,41.25000000000000000000000000,66.0,61.50,12.97783933518005540166204986,79.850,11.9278,-1.3391,3.0,738,9,1.0,0.0741,0,0,0.0,0.3,0.95,oncology,0.7202,highly_crowded,1.0,147,0.04561745918367347,0.482332,-0.0443,25.41,0.535336,0.0887
ABEO,Abeona Therapeutics Inc.,12,0.74,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.443463,,0,0.852941,1,0.147059,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-36.8;momentum_score:+22.9;financial_score:+18.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|nonpos,0.04561745918367347,,0.7491,0,1,-1.3494,0.4993,2,2,neutral,-0.3956,elite_2,0.0,0.0,0.0,,,-0.8089,-1,0,1,True,True,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.372768,price_history,,2,0.5575,price_history,,-0.286726,,47.2561,,-0.123258,-0.163468,late,micro,none,drug_developer,morningstar,,,,0,0.8741792361966625601971105387,73.25,41.25000000000000000000000000,55.0,87.04,13.56148045552477685441674362,68.55263157894736842105263158,12.1615,-1.3293,3.0,823,9,1.0,0.0016,0,0,0.0,0.3,0.5,other,-1.547,uncrowded,1.0,126,0.04561745918367347,0.556537,0.1422,24.67,0.517668,0.0443
IMVT,"Immunovant, Inc.",13,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.542403,,0,0.846405,1,0.153595,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-34.8;financial_score:+22.1;smart_money_score:+13.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 312251000.0, ""cash_total"": 994525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.220213866408756, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|none|nonpos,0.04561745918367347,,-0.478,610,1,-1.3239,0.4486,6,6,selling,1.1593,elite_6,0.0,0.0,0.0,,,0.7173,1,2,1,True,True,True,missing,0.0,adequate,<=1000bps,478.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.186681,price_history,,6,1.2128,price_history,,-0.201263,,41.6809,0.5723,-0.123258,-0.078005,late,mid,none,drug_developer,morningstar,,,,0,0.8920113576712001908852302553,56.35,41.25000000000000000000000000,62.0,15.19,14.14896891351184979993844260,71.00000000000000000000000000,12.6659,-1.3081,3.0,610,7,1.0,0.0134,0,0,0.0,0.4,0.6,autoimmune,0.2668,moderate,1.0,154,0.04561745918367347,0.457597,-0.1065,23.39,0.492933,-0.0177
CNTX,Context Therapeutics Inc.,14,0.44,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.295053,,0,0.866013,1,0.133987,,0,no_upcoming,9,tailwind,overbought_rsi,M,momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-43.6;momentum_score:+40.4;financial_score:+18.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 17442425.0, ""cash_total"": 76938183.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 52.93175667947548, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 0}",mid|none|nonpos,0.04977633333333333,,0.2192,0,1,-1.3929,0.5857,0,0,neutral,-1.173,,0.0,0.0,0.0,,,-0.0458,0,0,0,True,True,True,missing,0.0,adequate,<=2000bps,1735.81,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,1.532372,price_history,,0,0.3549,price_history,,-0.245283,,76.1959,,-0.123258,-0.122025,mid,micro,none,drug_developer,morningstar,,,,0,0.7678496406854615809839690437,96.55,41.25000000000000000000000000,,82.89,12.56000000000000000000000000,74.18000,11.51,-1.3567,2.0,431,5,1.0,0.028,0,0,0.0,0.3,0.95,oncology,0.7202,highly_crowded,1.0,84,0.04977633333333333,0.704947,0.5387,15.78,0.234982,-0.7225
PRTA,Prothena Corporation plc,15,0.74,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.581272,,0,0.833333,1,0.166667,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-31.0;momentum_score:+21.5;smart_money_score:+8.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.04561745918367347,,0.7518,0,1,-1.2463,0.2946,2,2,neutral,-0.3956,elite_2,0.0,0.0,0.0,,,-2.3352,-3,0,3,True,True,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.226013,price_history,,2,1.7944,price_history,,-0.131187,,47.7938,0.4848,-0.123258,-0.007929,late,small,none,drug_developer,morningstar,,,,0,0.8474842338662621075971525265,68.44,41.25000000000000000000000000,55.0,84.81,15.93451831332717759310557094,53.92307692307692307692307692,14.7599,-1.2199,3.0,642,9,1.0,0.0329,0,0,0.0,0.4,0.6,cns,-0.4134,uncrowded,1.0,165,0.04561745918367347,0.418728,-0.2051,19.83,0.40106,-0.2506
RAPT,"RAPT Therapeutics, Inc.",16,0.32,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.330389,,0,0.839869,1,0.160131,,0,no_upcoming,9,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+34.0;clinical_score:-29.1;financial_score:-5.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.04977633333333333,,0.2202,0,1,-1.3157,0.4323,5,5,buying,0.7706,elite_5,0.0,0.0,0.0,,,-0.0458,0,0,0,True,True,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.075006,price_history,,5,1.55,price_history,,-0.392857,,37.1673,1.4599,-0.123258,-0.269599,mid,small,none,drug_developer,morningstar,,,,0,0.7846415306696679797411367473,45.84,41.25000000000000000000000000,77.5,25.00,14.33777777777777777777777778,38.33337777777777777777777778,13.5131,-1.2724,2.0,329,4,1.0,0.067,0,0,0.0,0.4,0.95,oncology,0.7202,highly_crowded,1.0,94,0.04977633333333333,0.669611,0.4388,17.04,0.287986,-0.5593
ACLX,"Arcellx, Inc.",17,1.05,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.280919,,0,0.826797,1,0.173203,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+33.9;clinical_score:-29.9;catalyst_score:-4.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",mid|none|nonpos,0.04977633333333333,,-0.9976,461,1,-1.2369,0.2759,7,7,buying,1.548,elite_7,0.0,0.0,0.0,,,-0.0458,0,2,2,True,True,True,missing,0.0,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.00838,price_history,,7,1.0668,price_history,,-0.325728,,26.9055,0.5575,-0.123258,-0.20247,mid,mid,none,drug_developer,morningstar,,,,0,0.8080658198878590227714841515,47.39,41.25000000000000000000000000,80.0,10.00,16.15111111111111111111111111,45.50417777777777777777777778,15.1011,-1.2055,2.0,1250,3,0.6667,0.0057,0,0,0.0,0.3,0.95,oncology,0.7202,highly_crowded,1.0,80,0.04977633333333333,0.719081,0.5801,22.29,0.471731,-0.0709
