ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
ACLX,"Arcellx, Inc.",1,1.06,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.663851,,0,0.942771,1,0.057229,61,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-37.6;smart_money_score:+37.4;financial_score:-22.7,tier=A;reason=high_opt+catalyst_near;cat_days=61;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_31_90|nonpos,0.019240299212598424,,0.5202,0,1,-1.6026,1.5874,7,7,buying,1.4838,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,61,False,specific_days,0.060515,price_history,,7,1.1981,price_history,,-0.32986,,59.7836,0.5575,-0.177625,-0.152235,late,mid,none,drug_developer,morningstar,,,,0,0.8816651007511625134136163110,63.00,44.87571377777777777777777778,80.0,32.78,5,19.88444444444444444444444444,4.4009,-1.6674,3.0,1066,5,1.0,0.171,1,0,0.0,0.3,0.95,oncology,0.6813,highly_crowded,1.0,197,0.019240299212598424,0.336149,-0.423,15.09,0.197635,-0.8501
ADCT,ADC Therapeutics SA,2,0.74,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.66723,,0,0.900602,1,0.099398,62,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-46.4;momentum_score:+40.1;smart_money_score:+12.0,tier=A;reason=high_opt+catalyst_near;cat_days=62;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_31_90|nonpos,0.019240299212598424,,0.5328,0,1,-1.4665,1.1934,3,3,buying,-0.0492,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,62,False,specific_days,0.902745,price_history,,3,1.3137,price_history,,-0.245232,,42.836,0.7505,-0.177625,-0.067607,late,small,none,drug_developer,morningstar,,,,0,0.8089258911819887429643527205,94.60,45.07328400000000000000000000,66.5,86.34,8.137351661358865046176178305,58.21052631578947368421052631,8.2711,-1.5034,3.0,212,19,1.0,0.8451,1,0,0.0,0.3,0.95,oncology,0.6813,highly_crowded,1.0,198,0.019240299212598424,0.33277,-0.4323,16.26,0.258446,-0.6481
COGT,"Cogent Biosciences, Inc.",3,1.06,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.670608,,0,0.870482,1,0.129518,32,1,specific_days,9,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+49.7;financial_score:-39.4;smart_money_score:+38.2,tier=A;reason=high_opt+catalyst_near;cat_days=32;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|near_31_90|nonpos,0.019240299212598424,,0.5385,0,1,-1.3444,0.8399,7,7,buying,1.4838,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,32,True,specific_days,0.998335,price_history,,7,1.4226,price_history,,-0.085669,,64.5912,2.489,-0.177625,0.091956,late,mid,sev1,drug_developer,morningstar,,,,0,0.8130890683379534771604194287,96.55,34.23254444444444444444444444,85,59.42,10.95126658052087678777950748,7.439999999999999999999999997,12.3513,-1.3306,3.0,61,8,1.0,1.7489,2,2,0.0,0.5,0.95,oncology,0.6813,highly_crowded,1.0,199,0.019240299212598424,0.329392,-0.4416,8.54,0.048986,-1.6548
CELC,Celcuity Inc.,4,1.06,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.951014,,0,0.846386,1,0.153614,93,0,specific_days,9,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-46.4;momentum_score:+37.3;smart_money_score:+23.7,tier=A;reason=high_opt+catalyst_near;cat_days=93;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,-0.030554243697478993,,0.5403,0,1,-1.2606,0.5975,6,6,buying,1.1006,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,93,False,specific_days,2.615522,price_history,,6,-0.1601,price_history,,-0.028164,,91.5141,,-0.177625,0.149461,late,mid,none,drug_developer,morningstar,,,,0,0.8112489512165887570418314755,96.55,45.56250000000000000000000000,83.0,60.23,12.88147492445285552944049327,58.40000000000000000000000000,12.1815,-1.3377,3.0,334,8,1.0,0.209,0,0,0.0,0.3,0.95,oncology,-0.5321,uncrowded,1.0,282,-0.030554243697478993,0.048986,-1.6548,16.43,0.271959,-0.6069
CRSP,CRISPR Therapeutics AG,5,1.06,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.505068,,0,0.786145,1,0.213855,1,1,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-40.4;momentum_score:+23.8;financial_score:+21.7,tier=A;reason=high_opt+catalyst_near;cat_days=1;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_0_30|pos,0.08420118181818181,,0.5552,0,1,-1.043,-0.0325,3,3,buying,-0.0492,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,1,True,specific_days,0.443076,price_history,,3,1.4355,price_history,,-0.174347,,49.5882,0.5582,-0.177625,0.003278,late,mid,none,drug_developer,morningstar,,,,0,0.8829781999041227229146692234,82.11,45.56250000000000000000000000,66.0,60.64,17.89692351000003391566530665,80.0,18.6449,-1.0639,3.0,105,12,1.0,1.0692,2,1,0.0,0.3,0.95,oncology,0.1959,moderate,1.0,150,0.08420118181818181,0.494932,-0.0127,28.93,0.586149,0.2176
ABEO,Abeona Therapeutics Inc.,6,0.74,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.008446,,0,0.78012,1,0.21988,61,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-30.0;financial_score:+20.6;smart_money_score:+6.6,tier=A;reason=high_opt+catalyst_near;cat_days=61;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|near_31_90|pos,0.1,,0.5559,0,1,-1.0206,-0.0974,2,2,neutral,-0.4325,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,61,False,specific_days,-0.045601,price_history,,2,1.1207,price_history,,-0.07278,,51.2723,,-0.177625,0.104845,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,54.81,44.87571377777777777777777778,55.0,52.96,18.41339126128967708895061540,69.06077348066298342541436464,18.2744,-1.0796,3.0,61,9,1.0,0.9052,1,1,0.0,0.3,0.5,other,-1.7455,uncrowded,1.0,3,0.1,0.991554,2.3891,27.12,0.545608,0.1146
RVMD,"Revolution Medicines, Inc.",7,1.06,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.819257,,0,0.743976,1,0.256024,123,0,specific_days,9,headwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+27.5;clinical_score:-27.4;financial_score:+8.8,tier=A;reason=high_opt+catalyst_mid;cat_days=123;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_91_180|pos,-0.009163253731343284,,0.5638,0,1,-0.8604,-0.561,8,8,buying,1.8671,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,123,False,specific_days,-0.099427,price_history,,8,0.9855,price_history,,-0.384983,,44.5836,0.4254,-0.177625,-0.207358,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,44.37,45.56250000000000000000000000,77.0,57.22,22.10463661060407191477671621,58.28729281767955801104972376,21.0546,-0.9618,3.0,305,12,1.0,0.2386,0,0,0.0,0.3,0.95,oncology,0.6813,highly_crowded,1.0,243,-0.009163253731343284,0.180743,-0.9125,22.69,0.464527,-0.089
SMMT,Summit Therapeutics Inc.,8,0.9,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.826014,,0,0.71988,1,0.28012,153,0,specific_days,9,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-24.8;smart_money_score:+22.7;momentum_score:+9.5,tier=A;reason=high_opt+catalyst_mid;cat_days=153;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|near_91_180|pos,-0.009163253731343284,,0.5679,0,1,-0.7781,-0.7991,5,5,buying,0.7173,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,153,False,specific_days,-0.138865,price_history,,5,2.1908,price_history,,-0.281471,,54.2936,0.5984,-0.177625,-0.103846,late,large,none,drug_developer,morningstar,,,,0,0.8150565653997711961357569595,58.30,45.56250000000000000000000000,71.5,11.92,24.00011531326204260485875820,44.78295669987010300187553629,24.0511,-0.8348,3.0,153,21,1.0,0.74,0,1,0.0,0.4,0.95,oncology,-0.5321,uncrowded,1.0,245,-0.009163253731343284,0.173986,-0.9385,18.60,0.342905,-0.4045
PRAX,"Praxis Precision Medicines, Inc",9,1.06,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.8125,,0,0.701807,1,0.298193,116,0,specific_days,9,tailwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-23.3;smart_money_score:+22.3;momentum_score:+12.1,tier=A;reason=high_opt+catalyst_near;cat_days=116;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 249068000.0, ""cash_total"": 599331000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.875535998201293, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_91_180|pos,-0.009163253731343284,,0.5686,0,1,-0.7185,-0.9717,8,8,buying,1.8671,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,221.16,1.0,0,0,1.0,0,1.0,0,116,False,specific_days,0.341794,price_history,,8,1.3666,price_history,,-0.402666,,57.1772,0.9863,-0.177625,-0.225041,late,mid,none,drug_developer,morningstar,,,,0,0.8088860789980732177263969171,60.78,45.56250000000000000000000000,71.0,58.06,25.37437807148743933335368273,40.68444444444444444444444444,26.0744,-0.7491,3.0,32,11,1.0,2.4076,2,3,0.0,0.8,0.6,cns,0.6813,highly_crowded,1.0,241,-0.009163253731343284,0.1875,-0.8871,16.55,0.275338,-0.5967
PVLA,"Palvella Therapeutics, Inc.",10,0.9,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.815878,,0,0.635542,1,0.364458,154,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+39.6;financial_score:-24.9;clinical_score:-23.0,tier=A;reason=high_opt+catalyst_mid;cat_days=154;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|near_91_180|pos,-0.009163253731343284,,0.5821,0,1,-0.4474,-1.7565,4,4,buying,0.3341,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,154,False,specific_days,0.51256,price_history,,4,0.5629,price_history,,-0.082518,,66.9596,,-0.177625,0.095107,late,small,none,drug_developer,morningstar,,,,0,0.8521463044998834227092562369,94.26,45.56250000000000000000000000,72.0,65.37,31.62259325960067695667952070,29.67590027700831024930747922,31.5647,-0.5165,3.0,154,6,1.0,0.7745,0,2,0.0,0.7,0.5,other,-3.6869,uncrowded,1.0,242,-0.009163253731343284,0.184122,-0.8998,21.46,0.430743,-0.1745
TSHA,"Taysha Gene Therapies, Inc.",11,0.9,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.768581,,0,0.98494,1,0.01506,589,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,clinical_score:-50.6;smart_money_score:+29.4;momentum_score:+19.8,tier=B;reason=high_opt+catalyst_far;cat_days=589;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 66368000.0, ""cash_total"": 297344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.76277724204436, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",late|far_271_540|nonpos,-0.005502521739130435,,-0.8816,589,1,-1.6026,1.1744,9,9,buying,2.2504,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,881.38,0.85,1,0,1.0,0,1.0,0,589,False,specific_days,0.049367,price_history,,9,1.6542,price_history,,-0.157407,,59.0736,0.7836,-0.177625,0.020218,late,small,none,drug_developer,morningstar,,,,0,0.8339015592273679311147312078,75.36,45.56250000000000000000000000,85,63.15,5,66.89473684210526315789473684,3.6,-1.7013,3.0,1190,3,0.6667,0.0019,0,0,0.0,0.3,0.5,other,-1.2601,uncrowded,1.0,228,-0.005502521739130435,0.231419,-0.7342,19.32,0.369932,-0.332
NUVL,"Nuvalent, Inc.",12,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.349662,,0,0.972892,1,0.027108,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-44.2;financial_score:+26.0;smart_money_score:+24.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 275209000.0, ""cash_total"": 1371952000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 59.82153199931688, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|nonpos,0.1,,-0.7146,213,1,-1.6026,1.1744,5,5,buying,0.7173,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,435.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.004673,price_history,,5,1.1884,price_history,,-0.301507,,44.6434,0.5143,-0.177625,-0.123882,late,mid,none,drug_developer,morningstar,,,,0,0.8880516029078774877845310452,50.42,41.25000000000000000000000000,74.0,47.79,5,75.20000000000000000000000000,3.95,-1.6865,3.0,1584,5,1.0,0.0427,0,0,0.0,0.3,0.95,oncology,0.6813,highly_crowded,1.0,104,0.1,0.650338,0.3862,18.01,0.305743,-0.508
KOD,Kodiak Sciences Inc,13,0.9,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.616554,,0,0.966867,1,0.033133,184,0,specific_days,9,tailwind,high_beta|deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,momentum_score:+44.1;clinical_score:-36.6;financial_score:-36.2,tier=B;reason=high_opt+catalyst_far;cat_days=184;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",late|near_181_270|nonpos,0.03834182242990654,,0.5132,0,1,-1.6026,1.1744,3,3,buying,-0.0492,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,184,False,specific_days,0.237976,price_history,,3,2.7234,price_history,,-0.39633,,57.2085,0.8241,-0.177625,-0.218705,late,small,sev2,drug_developer,morningstar,,,,0,0.8621078447371488518475346777,85.69,45.56250000000000000000000000,66.5,68.82,5,5.401111111111111111111111112,3.8496,-1.6908,3.0,184,7,1.0,0.7415,0,0,0.0,0.3,0.55,ophthalmology,0.6813,highly_crowded,1.0,183,0.03834182242990654,0.383446,-0.2964,5.07,0.008446,-2.3891
DNTH,"Dianthus Therapeutics, Inc.",14,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.16723,,0,0.954819,1,0.045181,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-45.1;smart_money_score:+34.9;financial_score:+21.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 82077000.0, ""cash_total"": 402613000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 58.86370115866808, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|nonpos,0.1,,0.504,0,1,-1.6026,1.1744,8,8,buying,1.8671,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,501.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.091934,price_history,,8,1.3997,price_history,,-0.308696,,53.3259,,-0.177625,-0.131071,late,mid,none,drug_developer,morningstar,,,,0,0.8412233086301697346402103753,47.74,41.25000000000000000000000000,85,57.22,5,71.60000000000000000000000000,3.4033,-1.7097,3.0,1249,3,0.6667,0.0641,0,0,0.0,0.4,0.6,autoimmune,0.6813,highly_crowded,1.0,50,0.1,0.83277,0.9652,20.49,0.400338,-0.2525
CNTA,Centessa Pharmaceuticals plc,15,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.146959,,0,0.948795,1,0.051205,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+38.3;clinical_score:-33.7;financial_score:-32.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,0.4943,0,1,-1.6026,1.1744,7,7,buying,1.4838,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.223009,price_history,,7,1.1582,price_history,,-0.09774,,72.332,0.5724,-0.177625,0.079885,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,64.58,41.25000000000000000000000000,77.0,54.30,5,5.804444444444444444444444442,4.9146,-1.6456,3.0,,9,1.0,0.5554,1,1,0.0,0.4,0.95,oncology,0.6813,highly_crowded,1.0,44,0.1,0.853041,1.0496,13.59,0.140203,-1.0794
FULC,"Fulcrum Therapeutics, Inc.",16,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.211149,,0,0.906627,1,0.093373,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-45.6;financial_score:+22.3;momentum_score:+21.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 60065000.0, ""cash_total"": 197533000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 39.463847498543245, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.531,0,1,-1.4864,0.9211,3,3,buying,-0.0492,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,919.56,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.136867,price_history,,3,1.0314,price_history,,-0.309035,,39.5922,1.1313,-0.177625,-0.13141,late,small,none,drug_developer,morningstar,,,,0,0.8089258911819887429643527205,75.17,41.25000000000000000000000000,66.5,75.67,7.677862227784391332512574231,75.57894736842105263157894737,6.0812,-1.5962,3.0,,4,1.0,0.0591,0,0,0.0,0.4,0.55,infectious_disease,0.6813,highly_crowded,1.0,63,0.1,0.788851,0.8024,15.71,0.231419,-0.7342
VTYX,"Ventyx Biosciences, Inc.",17,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.484797,,0,0.996988,1,0.003012,,0,no_upcoming,9,tailwind,high_vol|high_beta,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-49.3;momentum_score:+42.3;smart_money_score:+17.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.1,,-0.0917,0,1,-1.6026,1.1744,4,4,buying,0.3341,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.956352,price_history,,4,1.9896,price_history,,-0.143731,,52.5441,1.2298,-0.177625,0.033894,mid,small,none,drug_developer,morningstar,,,,0,0.7407662748643761301989150090,96.55,41.25000000000000000000000000,72.0,60.91,5,56.66666666666666666666666667,3.4033,-1.7097,2.0,,3,0.6667,0.0,0,0,0.0,0.4,0.6,autoimmune,0.6813,highly_crowded,1.0,144,0.1,0.515203,0.0381,15.57,0.221284,-0.7679
CGON,"CG Oncology, Inc.",18,0.9,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.721284,,0,0.894578,1,0.105422,876,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,clinical_score:-43.2;smart_money_score:+31.2;financial_score:+16.2,tier=B;reason=high_opt+catalyst_far;cat_days=876;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|far_271_540|nonpos,-0.005502521739130435,,0.5343,0,1,-1.4464,0.8339,6,6,buying,1.1006,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,876,False,specific_days,-0.117506,price_history,,6,1.7704,price_history,,-0.331748,,52.5712,0.7795,-0.177625,-0.154123,late,mid,none,drug_developer,morningstar,,,,0,0.8570204003356106915977466139,53.80,45.56250000000000000000000000,83.0,58.60,8.599554348157870638869387382,68.00000000000000000000000000,7.5496,-1.534,3.0,305,8,1.0,0.1947,0,0,0.0,0.3,0.95,oncology,0.6813,highly_crowded,1.0,214,-0.005502521739130435,0.278716,-0.5867,18.10,0.319257,-0.4698
