ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
RVMD,"Revolution Medicines, Inc.",1,0.94,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.669643,,0,0.616667,1,0.383333,168,0,specific_days,9,headwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+25.0;clinical_score:-14.9;momentum_score:-9.7,tier=A;reason=high_opt+catalyst_mid;cat_days=168;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|near_91_180|nonpos,0.023678237288135597,,-0.6337,168,1,-0.3429,0.0,8,8,buying,1.9533,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,168,False,specific_days,-0.1191,price_history,,8,1.3305,price_history,,-0.453709,,41.9214,0.4254,-0.419903,-0.033806,mid,large,none,drug_developer,morningstar,,,,0,0.8553846190250828206341694274,42.25,45.56250000000000000000000000,77.0,10.00,37.09056411680318385857744459,57.95918367346938775510204081,35.9674,-0.3308,2.0,628,6,1.0,0.0725,0,0,0.0,0.3,0.95,oncology,0.7047,highly_crowded,1.0,188,0.023678237288135597,0.330357,-0.4389,30.80,0.626786,0.3234
ANRO,"Alto Neuroscience, Inc.",2,0.39,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.426786,,0,0.656667,1,0.343333,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-13.9;smart_money_score:+12.3;financial_score:+7.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 40253000.0, ""cash_total"": 137816000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.08493776861352, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|pos,0.07398378082191781,,0.5759,48,1,-0.4452,1.4299,2,2,buying,-0.3873,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1346.61,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.9516,-0.419903,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8333573290306565719250341318,50,41.25000000000000000000000000,61.0,59.60,34.73935947453106746897661399,56.42857142857142857142857143,34.482,-0.3934,2.0,48,3,0.0,1.5215,1,2,0.0,0.3,0.5,other,0.7047,highly_crowded,1.0,120,0.07398378082191781,0.573214,0.1846,27.10,0.548214,0.1212
CLDX,"Celldex Therapeutics, Inc.",3,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.458929,,0,0.683333,1,0.316667,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-20.2;smart_money_score:+18.9;catalyst_score:-11.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.07398378082191781,,0.8591,0,1,-0.5437,1.2153,4,4,buying,0.3929,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.103338,price_history,,4,1.1114,price_history,,-0.343221,,59.2012,0.4801,-0.419903,0.076682,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,54.05,41.25000000000000000000000000,71.5,67.60,32.47525843637726200709735723,63.92857142857142857142857143,33.3828,-0.4398,3.0,,56,1.0,0.5673,2,0,0.0,0.4,0.95,oncology,-0.4698,uncrowded,1.0,129,0.07398378082191781,0.541071,0.1031,27.77,0.566071,0.1664
DNLI,Denali Therapeutics Inc.,4,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.469643,,0,0.703333,1,0.296667,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-21.7;financial_score:+21.6;catalyst_score:-11.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07398378082191781,,0.8581,0,1,-0.6084,1.0743,3,3,buying,0.0028,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.035818,price_history,,3,1.1481,price_history,,-0.408033,,56.1799,0.5691,-0.419903,0.01187,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,56.20,41.25000000000000000000000000,60.5,45.20,30.98789922634397936917278318,74.28571428571428571428571429,30.6575,-0.5548,3.0,286,11,1.0,0.3222,1,0,0.0,0.4,0.6,cns,-0.4698,uncrowded,1.0,132,0.07398378082191781,0.530357,0.0762,31.39,0.644643,0.3709
CMPX,"Compass Therapeutics, Inc.",5,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.601786,,0,0.65,1,0.35,,0,no_upcoming,9,tailwind,,L,momentum_tailwind,momentum_score:+25.3;clinical_score:-21.1;catalyst_score:-14.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 35889000.0, ""cash_total"": 219895000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 73.5250355262058, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 0}",mid|none|pos,0.03706145833333333,,-0.8122,451,1,-0.4398,1.4417,0,0,neutral,-1.1675,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,913.08,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.161338,price_history,,0,0.3536,price_history,,-0.21608,,61.0567,,-0.419903,0.203823,mid,small,none,drug_developer,morningstar,,,,0,0.8411800818553888130968622101,81.33,41.25000000000000000000000000,,35.71,34.86371419316025730019899116,66.53061224489795918367346939,33.7406,-0.4247,2.0,927,4,1.0,0.0066,0,0,0.0,0.3,0.95,oncology,0.7047,highly_crowded,1.0,169,0.03706145833333333,0.398214,-0.258,26.57,0.544643,0.1121
RCKT,"Rocket Pharmaceuticals, Inc.",6,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.633929,,0,0.676667,1,0.323333,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-19.0;smart_money_score:+14.3;momentum_score:+11.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.03706145833333333,,0.358,0,1,-0.535,1.2341,3,3,buying,0.0028,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.055579,price_history,,3,1.4152,price_history,,-0.546363,,53.3027,0.6262,-0.419903,-0.12646,mid,small,sev1,drug_developer,morningstar,,,,0,0.7990352358437464820443543848,62.97,41.25000000000000000000000000,66.0,78.57,32.67388588088296543107038733,55.51020408163265306122448980,31.9007,-0.5023,2.0,841,8,1.0,0.0167,0,0,0.0,0.3,0.95,oncology,-1.6444,uncrowded,1.0,178,0.03706145833333333,0.366071,-0.3423,24.08,0.501786,0.0045
VIR,"Vir Biotechnology, Inc.",7,0.48,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.580357,,0,0.743333,1,0.256667,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+18.2;clinical_score:-15.4;catalyst_score:-1.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.07398378082191781,,0.8557,0,1,-0.7668,0.7291,2,2,buying,-0.3873,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.251173,price_history,,2,0.8378,price_history,,-0.617435,,47.2032,0.7493,-0.419903,-0.197532,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,42.68,41.25000000000000000000000000,61.0,74.80,27.34664638850316295267693800,41.65532879818594104308390023,27.7006,-0.6795,3.0,161,14,1.0,1.5131,3,1,0.0,0.4,0.55,infectious_disease,0.7047,highly_crowded,1.0,163,0.07398378082191781,0.419643,-0.2028,23.56,0.483929,-0.0403
AURA,"Aura Biosciences, Inc.",8,0.15,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.598214,,0,0.71,1,0.29,,0,no_upcoming,9,neutral,deep_drawdown,S,sponsor_confirmed|runway_short|cost_haircut_>2000bps,financial_score:-24.2;smart_money_score:+15.0;momentum_score:+11.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.03706145833333333,,-0.825,556,1,-0.6287,1.03,2,2,selling,-0.3873,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.034905,price_history,,2,0.7742,price_history,,-0.455203,,44.3174,0.5411,-0.419903,-0.0353,mid,small,sev2,drug_developer,morningstar,,,,0,0.8473968865494456266099227237,48.30,41.25000000000000000000000000,52.0,67.14,30.52107917997130825119163312,12.81179138321995464852607710,29.3979,-0.6079,2.0,556,5,1.0,0.0097,0,0,0.0,0.3,0.95,oncology,0.7047,highly_crowded,1.0,168,0.03706145833333333,0.401786,-0.2487,9.41,0.058929,-1.5638
INBX,"Inhibrx Biosciences, Inc.",9,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.616071,,0,0.756667,1,0.243333,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+24.8;financial_score:-17.4;clinical_score:-15.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.03706145833333333,,0.348,0,1,-0.8111,0.6324,3,3,buying,0.0028,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.419903,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,38.57,26.32653061224489795918367346,24.28478874543014484705446805,25.6305,-0.7668,2.0,1082,5,1.0,0.0007,0,0,0.0,0.4,0.95,oncology,0.7047,highly_crowded,1.0,173,0.03706145833333333,0.383929,-0.2952,15.66,0.233929,-0.726
SVRA,"Savara, Inc.",10,0.48,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.566071,,0,0.763333,1,0.236667,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+28.8;financial_score:-20.1;clinical_score:-13.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.07398378082191781,,0.8479,0,1,-0.9204,0.3944,3,3,buying,0.0028,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.290877,price_history,,3,0.4631,price_history,,-0.351064,,28.7581,0.6811,-0.419903,0.068839,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,39.48,41.25000000000000000000000000,66.5,58.80,23.81560096100861821948907844,17.66723356009070294784580499,22.4196,-0.9023,3.0,412,9,1.0,0.0484,0,0,0.0,0.4,0.5,respiratory,0.7047,highly_crowded,1.0,159,0.07398378082191781,0.433929,-0.1664,14.13,0.176786,-0.9277
ELDN,"Eledon Pharmaceuticals, Inc.",11,0.15,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.898214,,0,0.916667,1,0.083333,596,0,specific_days,9,headwind,deep_drawdown,S,catalyst_far_lift|momentum_headwind|cost_haircut_>2000bps,clinical_score:-31.9;smart_money_score:+13.0;financial_score:+11.1,tier=B;reason=high_opt+catalyst_far;cat_days=596;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|nonpos,-0.0004361818181818182,,-0.8294,290,1,-1.6268,-1.1451,1,1,neutral,-0.7774,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,596,False,specific_days,-0.135672,price_history,,1,0.3009,price_history,,-0.570678,,32.8394,,-0.419903,-0.150775,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592904001749398644216050733,41.08,45.56250000000000000000000000,52.5,81.43,7.575084455550927854134851226,50.61224489795918367346938775,6.1019,-1.5907,2.0,290,5,1.0,0.0972,0,0,0.0,0.3,0.55,metabolic,-0.4698,uncrowded,1.0,252,-0.0004361818181818182,0.101786,-1.2714,15.73,0.2375,-0.7144
REPL,"Replimune Group, Inc.",12,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.6375,,0,0.77,1,0.23,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-23.3;financial_score:+11.2;momentum_score:+9.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.03706145833333333,,-0.8461,1053,1,-0.9872,0.2488,5,5,selling,0.783,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.004751,price_history,,5,0.7097,price_history,,-0.455182,,59.9528,0.5897,-0.419903,-0.035279,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014295339696799550814149354,54.57,41.25000000000000000000000000,53.0,47.14,22.28006848998102642417511222,56.73469387755102040816326531,21.1569,-0.9556,2.0,1053,4,1.0,0.0002,0,0,0.0,0.3,0.95,oncology,0.7047,highly_crowded,1.0,179,0.03706145833333333,0.3625,-0.3518,17.99,0.3375,-0.4193
URGN,UroGen Pharma Ltd.,13,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.573214,,0,0.803333,1,0.196667,,0,no_upcoming,9,tailwind,deep_drawdown|overbought_rsi,L,sponsor_confirmed|momentum_tailwind|runway_short,momentum_score:+36.8;financial_score:-34.0;smart_money_score:+26.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.07398378082191781,,0.8451,0,1,-1.0984,0.0065,4,4,buying,0.3929,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.40404,price_history,,4,0.9637,price_history,,-0.39885,,76.3165,0.7699,-0.419903,0.021053,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,82.08,41.25000000000000000000000000,72.0,70.80,19.72382022967224316163018802,11.25000000000000000000000000,19.6507,-1.0191,3.0,111,12,1.0,1.3083,0,2,0.0,0.3,0.95,oncology,0.7047,highly_crowded,1.0,161,0.07398378082191781,0.426786,-0.1846,3.99,0.001786,-2.9137
CRNX,"Crinetics Pharmaceuticals, Inc.",14,0.48,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.4625,,0,0.79,1,0.21,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-29.9;financial_score:+25.4;smart_money_score:+21.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.07398378082191781,,0.8462,0,1,-1.0692,0.0701,5,5,buying,0.783,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.072323,price_history,,5,0.9455,price_history,,-0.378388,,41.05,0.6688,-0.419903,0.041515,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,42.86,41.25000000000000000000000000,71.5,21.20,20.39476294386034516960920452,75.71428571428571428571428572,20.0028,-1.0043,3.0,269,5,1.0,0.2053,0,0,0.0,0.5,0.95,oncology,0.7047,highly_crowded,1.0,130,0.07398378082191781,0.5375,0.0941,21.94,0.455357,-0.1121
VERA,"Vera Therapeutics, Inc.",15,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.373214,,0,0.923333,1,0.076667,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-41.9;smart_money_score:+22.3;financial_score:+20.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.09811690510948905,,-0.3739,944,1,-1.6418,-1.1777,5,5,buying,0.783,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.236256,price_history,,5,0.862,price_history,,-0.464246,,42.126,0.7858,-0.419903,-0.044343,late,mid,none,drug_developer,morningstar,,,,0,0.7832194538135132194538135132,55.84,41.25000000000000000000000000,71.5,50,7.230708192818885141836937113,70.00000000000000000000000000,5.8347,-1.602,3.0,944,2,0.3333,0.0006,0,0,0.0,0.4,0.55,infectious_disease,0.7047,highly_crowded,1.0,105,0.09811690510948905,0.626786,0.3234,18.44,0.358929,-0.3613
PRTA,Prothena Corporation plc,16,0.39,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.3375,,0,0.843333,1,0.156667,,0,no_upcoming,9,tailwind,high_beta,M,sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,momentum_score:+42.7;clinical_score:-36.4;catalyst_score:-10.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.09811690510948905,,0.8293,0,1,-1.2973,-0.427,2,2,neutral,-0.3873,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.818959,price_history,,2,1.9764,price_history,,-0.135676,,66.4343,0.4848,-0.419903,0.284227,late,small,none,drug_developer,morningstar,,,,0,0.8474842338662621075971525265,94.28,41.25000000000000000000000000,55.0,83.60,15.15065352994335339108201636,52.14285714285714285714285714,13.7546,-1.2678,3.0,901,9,1.0,0.0038,0,0,0.0,0.4,0.6,cns,0.7047,highly_crowded,1.0,95,0.09811690510948905,0.6625,0.4193,18.01,0.341071,-0.4095
LQDA,Liquidia Corporation,17,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.3125,,0,0.876667,1,0.123333,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,smart_money_score:+29.6;financial_score:-27.2;clinical_score:-23.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.09811690510948905,,0.8209,0,1,-1.4336,-0.7241,3,3,buying,0.0028,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.10606,price_history,,3,0.6126,price_history,,-0.36472,,44.2266,0.5778,-0.419903,0.055183,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688328621061459206900682880,51.88,41.25000000000000000000000000,65.5,22.80,12.01635477969538671780290506,8.710002519526329050138573940,10.1932,-1.4181,3.0,888,4,1.0,0.0014,0,0,0.0,0.3,0.5,respiratory,0.7047,highly_crowded,1.0,88,0.09811690510948905,0.6875,0.4888,10.97,0.091071,-1.3342
