ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.01,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.899648,,0,0.957792,1,0.042208,150,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-42.8;smart_money_score:+35.2;financial_score:+6.7,tier=A;reason=high_opt+catalyst_mid;cat_days=150;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.008127472222222223,,0.7353,0,1,-1.7205,0.0,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,150,False,specific_days,-0.036339,price_history,,6,0.3724,price_history,,-0.210564,,60.4167,,-0.089252,-0.121312,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,51.12,45.56250000000000000000000000,83.0,14.55,5,54.50000000000000000000000000,4.4488,-1.6576,3.0,1124,7,1.0,0.3452,0,1,0.0,0.3,0.95,oncology,-0.4815,uncrowded,1.0,256,0.008127472222222223,0.100352,-1.2795,14.04,0.170775,-0.9511,,,,,,,
XENE,Xenon Pharmaceuticals Inc.,2,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.867958,,0,0.613636,1,0.386364,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+26.5;clinical_score:-12.0;catalyst_score:-9.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.016933170731707317,,0.8076,0,1,-0.262,1.8272,8,8,buying,1.9396,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.037366,price_history,,8,0.6073,price_history,,-0.105191,,44.1189,0.341,-0.089252,-0.015939,late,mid,none,drug_developer,morningstar,,,,0,0.8874476502082093991671624033,48.86,41.25000000000000000000000000,77.0,41.42,38.51804745405903249857462392,47.02777777777777777777777778,38.206,-0.2347,3.0,168,12,1.0,0.7773,0,2,0.0,0.6,0.6,cns,0.6973,highly_crowded,1.0,247,0.016933170731707317,0.132042,-1.1168,30.19,0.603873,0.2634,,,,,,,
VIR,"Vir Biotechnology, Inc.",3,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.860915,,0,0.659091,1,0.340909,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+13.2;clinical_score:-12.5;momentum_score:+8.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.016933170731707317,,0.8018,0,1,-0.4044,1.5274,2,2,buying,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.164149,price_history,,2,0.6276,price_history,,-0.122508,,65.931,0.7493,-0.089252,-0.033256,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,56.23,41.25000000000000000000000000,61.0,77.99,35.24450681987632121398184291,45.19835069444444444444444444,35.5519,-0.3466,3.0,42,14,1.0,3.4968,4,4,0.0,0.4,0.55,infectious_disease,0.6973,highly_crowded,1.0,245,0.016933170731707317,0.139085,-1.0844,28.96,0.582746,0.2089,,,,,,,
DNLI,Denali Therapeutics Inc.,4,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.737676,,0,0.678571,1,0.321429,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:+22.7;clinical_score:-20.5;catalyst_score:-13.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.016933170731707317,,0.8004,0,1,-0.4666,1.3965,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.149186,price_history,,3,1.1699,price_history,,-0.181936,,62.5143,0.5691,-0.089252,-0.092684,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,58.83,41.25000000000000000000000000,60.5,46.64,33.81493989055060937873095235,77.00000000000000000000000000,34.4724,-0.3921,3.0,55,11,1.0,1.2118,2,1,0.0,0.4,0.6,cns,-0.4815,uncrowded,1.0,210,0.016933170731707317,0.262324,-0.6362,33.34,0.660211,0.413,,,,,,,
CLDX,"Celldex Therapeutics, Inc.",5,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.730634,,0,0.685065,1,0.314935,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+22.4;financial_score:+18.1;momentum_score:-16.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.016933170731707317,,0.8003,0,1,-0.4975,1.3315,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.335948,price_history,,4,1.0016,price_history,,-0.300232,,52.2406,0.4801,-0.089252,-0.21098,late,small,none,drug_developer,morningstar,,,,0,0.8764361862733712693067007316,32.60,41.25000000000000000000000000,71.5,66.79,33.10600412262620060523661243,67.25000000000000000000000000,34.2027,-0.4035,3.0,,57,1.0,0.8997,1,2,0.0,0.4,0.95,oncology,-0.4815,uncrowded,1.0,208,0.016933170731707317,0.269366,-0.6147,28.62,0.56162,0.1551,,,,,,,
RCKT,"Rocket Pharmaceuticals, Inc.",6,0.86,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.889085,,0,0.62013,1,0.37987,661,0,specific_days,9,neutral,,L,catalyst_far_lift|sponsor_confirmed,smart_money_score:+14.3;clinical_score:-13.3;catalyst_score:-6.1,tier=B;reason=high_opt+catalyst_far;cat_days=661;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|far_271_540|pos,0.012781999999999998,,0.2823,0,1,-0.2652,1.8205,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,661,False,specific_days,-0.018937,price_history,,3,1.3903,price_history,,-0.040422,,60.0163,0.6262,-0.089252,0.04883,mid,small,sev1,drug_developer,morningstar,,,,0,0.7990524420436641908620301598,51.97,45.56250000000000000000000000,66.0,75.00,38.44444444444444444444444444,56.54000000000000000000000000,37.6811,-0.2569,2.0,610,8,1.0,0.1147,0,0,0.0,0.3,0.95,oncology,-1.6603,uncrowded,1.0,253,0.012781999999999998,0.110915,-1.2217,27.65,0.551056,0.1283,,,,,,,
SVRA,"Savara, Inc.",7,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.839789,,0,0.75,1,0.25,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+30.7;financial_score:-26.4;smart_money_score:+20.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.016933170731707317,,0.787,0,1,-0.8545,0.5802,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.126673,price_history,,3,0.3768,price_history,,-0.010239,,77.0478,0.6811,-0.089252,0.079013,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,76.40,41.25000000000000000000000000,66.5,58.58,24.90285513793254681812201220,19.24742296006944444444444444,23.6542,-0.8481,3.0,181,9,1.0,0.3319,0,0,0.0,0.4,0.5,respiratory,0.6973,highly_crowded,1.0,239,0.016933170731707317,0.160211,-0.9936,11.95,0.110915,-1.2217,,,,,,,
CRNX,"Crinetics Pharmaceuticals, Inc.",8,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.734155,,0,0.756494,1,0.243506,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-31.1;financial_score:+23.5;smart_money_score:+16.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.016933170731707317,,0.7865,0,1,-0.8974,0.4899,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.126778,price_history,,5,0.9233,price_history,,-0.067373,,57.9523,0.6688,-0.089252,0.021879,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,59.76,41.25000000000000000000000000,71.5,22.76,23.91693346783035831761764835,78.50000000000000000000000000,25.0747,-0.7882,3.0,38,6,1.0,1.4077,1,1,0.0,0.5,0.95,oncology,0.6973,highly_crowded,1.0,209,0.016933170731707317,0.265845,-0.6254,23.43,0.498239,-0.0044,,,,,,,
INBX,"Inhibrx Biosciences, Inc.",9,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.297535,,0,0.724026,1,0.275974,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+23.5;financial_score:-15.8;clinical_score:-13.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.08364341958041958,,0.2721,0,1,-0.6396,1.0324,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.089252,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,40.79,29.84000000000000000000000000,27.16604444444444444444444444,29.0974,-0.6187,2.0,851,5,1.0,0.0051,0,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,85,0.08364341958041958,0.702465,0.5315,16.65,0.272887,-0.6041,,,,,,,
URGN,UroGen Pharma Ltd.,10,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.850352,,0,0.782468,1,0.217532,,0,no_upcoming,9,headwind,,S,sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+33.5;financial_score:-26.7;clinical_score:-16.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.016933170731707317,,0.7837,0,1,-0.996,0.2823,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.134979,price_history,,4,1.0751,price_history,,-0.318404,,38.1964,0.7699,-0.089252,-0.229152,late,small,sev2,drug_developer,morningstar,,,,0,0.8225032197634937360964758225,45.60,41.25000000000000000000000000,72.0,73.51,21.65056113523286015720558065,11.79340277777777777777777778,20.5372,-0.9795,3.0,1705,13,1.0,0.0001,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,242,0.016933170731707317,0.149648,-1.0379,5.68,0.015845,-2.1483,,,,,,,
REPL,"Replimune Group, Inc.",11,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.31162,,0,0.737013,1,0.262987,,0,no_upcoming,9,headwind,deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_headwind,clinical_score:-17.3;financial_score:+14.8;smart_money_score:+10.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.08364341958041958,,-0.9606,808,1,-0.8175,0.6579,5,5,selling,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.16664,price_history,,5,0.9879,price_history,,-0.347198,,52.4508,0.5897,-0.089252,-0.257946,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014186229360889587779400202,37.32,41.25000000000000000000000000,53.0,64.47,25.75111111111111111111111111,57.80000000000000000000000000,24.6378,-0.8066,2.0,808,7,1.0,0.0025,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,89,0.08364341958041958,0.68838,0.4913,18.99,0.385563,-0.2909,,,,,,,
VTYX,"Ventyx Biosciences, Inc.",12,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.628521,,0,0.996753,1,0.003247,,0,no_upcoming,9,headwind,high_vol,S,sponsor_confirmed|momentum_headwind|high_risk,clinical_score:-40.3;smart_money_score:+26.7;financial_score:+22.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.047651121212121214,,-0.7171,115,1,-1.7205,-1.2428,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.306034,price_history,,4,1.084,price_history,,-0.271168,,44.2818,1.2298,-0.089252,-0.181916,mid,small,none,drug_developer,morningstar,,,,0,0.7407673183410554864956492259,40.55,41.25000000000000000000000000,72.0,25.00,5,67.88000000000000000000000000,4.1035,-1.6721,2.0,115,3,0.6667,0.5901,0,1,0.0,0.4,0.6,autoimmune,0.6973,highly_crowded,1.0,179,0.047651121212121214,0.371479,-0.3279,15.72,0.244718,-0.6912,,,,,,,
RAPT,"RAPT Therapeutics, Inc.",13,0.3,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.607394,,0,0.840909,1,0.159091,,0,no_upcoming,9,headwind,high_vol,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+35.1;clinical_score:-28.1;financial_score:-4.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.047651121212121214,,0.2399,0,1,-1.3142,-0.3875,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.406884,price_history,,5,1.5988,price_history,,-0.323052,,56.3248,1.4599,-0.089252,-0.2338,mid,small,none,drug_developer,morningstar,,,,0,0.7846415306696679797411367473,40.80,41.25000000000000000000000000,77.5,22.37,14.33777777777777777777777778,38.33337777777777777777777778,13.5952,-1.2721,2.0,357,4,1.0,0.0531,0,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,173,0.047651121212121214,0.392606,-0.2725,16.76,0.286972,-0.5623,,,,,,,
FDMT,"4D Molecular Therapeutics, Inc.",14,0.11,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.286972,,0,0.775974,1,0.224026,,0,no_upcoming,9,headwind,,XS,momentum_headwind|cost_haircut_<=2000bps,clinical_score:-24.6;financial_score:+24.0;smart_money_score:+8.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",mid|none|pos,0.08364341958041958,,-0.9689,944,1,-0.9893,0.2964,1,1,neutral,-0.7797,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.060411,price_history,,1,1.4442,price_history,,-0.278869,,52.8381,0.8446,-0.089252,-0.189617,mid,small,none,drug_developer,morningstar,,,,0,0.7762887760857304004512126340,43.35,41.25000000000000000000000000,55.0,67.11,21.80444444444444444444444444,70.40000000000000000000000000,20.0532,-0.9999,2.0,1278,6,1.0,0.0002,0,0,0.0,0.3,0.5,respiratory,0.2258,moderate,1.0,82,0.08364341958041958,0.713028,0.5623,24.71,0.519366,0.0486,,,,,,,
CTMX,"CytomX Therapeutics, Inc.",15,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.575704,,0,0.808442,1,0.191558,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_headwind,smart_money_score:+40.2;clinical_score:-24.8;financial_score:-13.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 52344000.0, ""cash_total"": 34185000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.837001375515818, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 6}",mid|none|nonpos,0.047651121212121214,,0.249,0,1,-1.1548,-0.0521,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,786.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.264007,price_history,,6,1.3718,price_history,,-0.399306,,48.8054,0.9241,-0.089252,-0.310054,mid,small,none,drug_developer,morningstar,,,,0,0.7856791095120305824151113110,42.06,41.25000000000000000000000000,83.0,48.68,18.00000000000000000000000000,29.84000000000000000000000000,18.4578,-1.0671,2.0,0,7,1.0,1.0006,1,1,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,164,0.047651121212121214,0.424296,-0.1909,16.69,0.27993,-0.5831,,,,,,,
ARTV,"Artiva Biotherapeutics, Inc.",16,0.43,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.56162,,0,0.944805,1,0.055195,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-36.8;smart_money_score:+18.2;financial_score:+11.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 62025000.0, ""cash_total"": 122968000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.790665054413545, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|none|nonpos,0.047651121212121214,,-1.0106,456,1,-1.7205,-1.2428,2,2,neutral,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1301.68,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,,-0.089252,,mid,micro,sev1,drug_developer,morningstar,,,drawdown,1,0.7549362536776724419745014711,50,41.25000000000000000000000000,60.0,77.63,5,52.76000000000000000000000000,3.8867,-1.6813,2.0,524,3,0.6667,0.0183,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,160,0.047651121212121214,0.43838,-0.1551,12.49,0.135563,-1.1005,,,,,,,
ACLX,"Arcellx, Inc.",17,1.01,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.551056,,0,0.827922,1,0.172078,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-35.4;smart_money_score:+28.4;momentum_score:+23.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",mid|none|nonpos,0.047651121212121214,,-0.9717,489,1,-1.2353,-0.2214,7,7,buying,1.5511,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.432828,price_history,,7,1.027,price_history,,-0.104595,,51.2664,0.5575,-0.089252,-0.015343,mid,mid,none,drug_developer,morningstar,,,,0,0.8080746794871794871794871795,75.05,41.25000000000000000000000000,80.0,10.00,16.15111111111111111111111111,45.50417777777777777777777778,15.0378,-1.2113,2.0,1278,3,0.6667,0.0045,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,157,0.047651121212121214,0.448944,-0.1283,21.97,0.473592,-0.0662,,,,,,,
