ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
CELC,Celcuity Inc.,1,1.02,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.924296,,0,0.938312,1,0.061688,60,1,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-41.5;smart_money_score:+35.9;financial_score:+11.0,tier=A;reason=high_opt+catalyst_near;cat_days=60;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_31_90|nonpos,0.00031880246913580245,,0.695,0,1,-1.6531,0.0,6,6,buying,1.1628,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,60,True,specific_days,-0.102309,price_history,,6,0.2401,price_history,,-0.320485,,43.575,,-0.13882,-0.181665,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,44.12,44.66680177777777777777777778,83.0,15.25,5.559116238494543253396001351,58.13333333333333333333333334,5.9186,-1.5928,3.0,1034,7,1.0,0.7309,1,1,0.0,0.3,0.95,oncology,-0.43,uncrowded,1.0,263,0.00031880246913580245,0.075704,-1.4346,13.71,0.15669,-1.0082
DNLI,Denali Therapeutics Inc.,2,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.776408,,0,0.646104,1,0.353896,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,financial_score:+28.0;clinical_score:-15.8;catalyst_score:-10.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.007144706586826348,,0.7613,0,1,-0.3362,1.9962,3,3,buying,-0.0041,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.117557,price_history,,3,1.2587,price_history,,-0.319281,,35.6499,0.5691,-0.13882,-0.180461,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,41.88,41.25000000000000000000000000,60.5,46.45,36.21232352365183642222578291,80.0,35.0361,-0.3661,3.0,909,11,1.0,0.0539,0,0,0.0,0.4,0.6,cns,-0.43,uncrowded,1.0,221,0.007144706586826348,0.223592,-0.7601,35.10,0.691901,0.5012
CRNX,"Crinetics Pharmaceuticals, Inc.",3,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.772887,,0,0.691558,1,0.308442,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,financial_score:+26.4;clinical_score:-22.2;smart_money_score:+17.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.007144706586826348,,0.7555,0,1,-0.5405,1.5245,5,5,buying,0.7739,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.142775,price_history,,5,0.6948,price_history,,-0.266102,,48.5777,0.6688,-0.13882,-0.127282,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,43.97,41.25000000000000000000000000,71.5,28.72,31.45667539033986718652637576,80.0,31.6349,-0.5094,3.0,142,7,1.0,0.6689,0,1,0.0,0.5,0.95,oncology,0.7221,highly_crowded,1.0,220,0.007144706586826348,0.227113,-0.7484,26.06,0.540493,0.1017
INBX,"Inhibrx Biosciences, Inc.",4,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.350352,,0,0.665584,1,0.334416,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+22.5;financial_score:-15.8;clinical_score:-9.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.030078054054054053,,0.223,0,1,-0.4204,1.802,3,3,buying,-0.0041,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.13882,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,43.06,34.25431316332176449876766762,28.21357074593833308183692973,33.4281,-0.4339,2.0,761,5,1.0,0.0108,0,0,0.0,0.4,0.95,oncology,0.7221,highly_crowded,1.0,100,0.030078054054054053,0.649648,0.3844,17.81,0.322183,-0.4616
SVRA,"Savara, Inc.",5,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.889085,,0,0.724026,1,0.275974,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+31.3;financial_score:-25.7;clinical_score:-20.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.007144706586826348,,0.7476,0,1,-0.7649,1.0067,3,3,buying,-0.0041,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.36402,price_history,,3,1.3116,price_history,,-0.06701,,50.9147,0.6811,-0.13882,0.07181,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,77.87,41.25000000000000000000000000,66.5,58.51,26.23528992860830707329665830,20.82567263186554788247815647,25.2771,-0.7772,3.0,91,9,1.0,0.7027,0,1,0.0,0.4,0.5,respiratory,0.7221,highly_crowded,1.0,253,0.007144706586826348,0.110915,-1.2217,12.50,0.117958,-1.1853
KALV,"KalVista Pharmaceuticals, Inc.",6,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.832746,,0,0.737013,1,0.262987,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,momentum_score:+22.3;clinical_score:-20.2;smart_money_score:+9.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.007144706586826348,,0.7471,0,1,-0.8194,0.8807,2,2,selling,-0.3931,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.119502,price_history,,2,0.6935,price_history,,-0.355318,,53.2525,0.6376,-0.13882,-0.216498,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,67.48,41.25000000000000000000000000,54.5,59.93,24.96555039256529402339368690,37.78267864656815425360758397,23.8197,-0.8386,3.0,122,4,1.0,0.5432,0,1,0.0,0.4,0.55,ophthalmology,0.7221,crowded,1.0,237,0.007144706586826348,0.167254,-0.9651,21.01,0.427817,-0.1819
URGN,UroGen Pharma Ltd.,7,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.899648,,0,0.743506,1,0.256494,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,momentum_score:+41.2;financial_score:-34.6;clinical_score:-24.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.007144706586826348,,0.7442,0,1,-0.8733,0.7562,4,4,buying,0.3849,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.658435,price_history,,4,-0.0782,price_history,,-0.227915,,46.5277,0.7699,-0.13882,-0.089095,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,89.11,41.25000000000000000000000000,72.0,72.70,23.71005358827823176485249871,13.24566223608326526571124477,22.6601,-0.8875,3.0,1615,13,1.0,0.0002,0,0,0.0,0.3,0.95,oncology,0.7221,highly_crowded,1.0,256,0.007144706586826348,0.100352,-1.2795,4.65,0.008803,-2.3738
REPL,"Replimune Group, Inc.",8,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.371479,,0,0.704545,1,0.295455,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-18.3;financial_score:+10.6;smart_money_score:+7.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.030078054054054053,,-1.0326,718,1,-0.7079,1.1381,5,5,selling,0.7739,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.018438,price_history,,5,1.1602,price_history,,-0.298041,,51.1104,0.5897,-0.13882,-0.159221,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014295339696799550814149354,51.03,41.25000000000000000000000000,53.0,65.28,27.56048488506614355414717570,56.51063829787234042553191489,26.5105,-0.7253,2.0,718,7,1.0,0.0053,0,0,0.0,0.3,0.95,oncology,0.7221,highly_crowded,1.0,106,0.030078054054054053,0.628521,0.3279,19.34,0.385563,-0.2909
FDMT,"4D Molecular Therapeutics, Inc.",9,0.22,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.34331,,0,0.730519,1,0.269481,,0,no_upcoming,9,neutral,deep_drawdown,S,cost_haircut_<=2000bps,clinical_score:-22.2;financial_score:+21.5;smart_money_score:+7.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",mid|none|pos,0.030078054054054053,,-1.0346,854,1,-0.8003,0.9248,1,1,neutral,-0.7821,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.038727,price_history,,1,1.1289,price_history,,-0.360566,,38.6514,0.8446,-0.13882,-0.221746,mid,small,none,drug_developer,morningstar,,,,0,0.7762887760857304004512126340,47.26,41.25000000000000000000000000,55.0,68.06,25.40968764146672702580353100,69.14893617021276595744680851,23.704,-0.8435,2.0,1188,7,1.0,0.0004,0,0,0.0,0.3,0.5,respiratory,0.2613,moderate,1.0,98,0.030078054054054053,0.65669,0.4034,27.58,0.568662,0.173
ZBIO,"Zenas BioPharma, Inc.",10,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.910211,,0,0.775974,1,0.224026,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-25.6;smart_money_score:+20.8;financial_score:+4.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.007144706586826348,,0.7338,0,1,-1.0315,0.3911,3,3,buying,-0.0041,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.13882,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089584306398879028491359178,50,41.25000000000000000000000000,66.5,37.94,20.02901956595274973739963324,50.53731343283582089552238806,18.8528,-1.0479,3.0,805,5,1.0,0.0859,0,0,0.0,0.4,0.6,autoimmune,-0.43,uncrowded,1.0,259,0.007144706586826348,0.089789,-1.3421,17.16,0.290493,-0.5519
FHTX,Foghorn Therapeutics Inc.,11,0.34,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.255282,,0,0.659091,1,0.340909,,0,no_upcoming,9,tailwind,,M,momentum_tailwind|cost_haircut_>2000bps,financial_score:-22.4;momentum_score:+18.7;smart_money_score:+10.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63828000.0, ""cash_total"": 89334000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 16.795262267343485, ""stage_bucket"": ""early"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",early|none|pos,0.04806494736842105,,-1.1525,91,1,-0.3892,1.874,1,1,neutral,-0.7821,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,>2000bps,2036.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.094655,price_history,,1,0.722,price_history,,-0.285849,,41.5732,0.9327,-0.13882,-0.147029,early,small,sev1,drug_developer,morningstar,,,,0,0.7395520635957748012632037461,60.40,41.25000000000000000000000000,52.5,58.70,34.97999384425977223761157279,19.30486968449931412894375857,33.9428,-0.4122,1.0,91,3,0.6667,0.2309,0,0,0.0,0.3,0.85,oncology,0.7221,highly_crowded,1.0,73,0.04806494736842105,0.744718,0.658,18.57,0.353873,-0.3749
WVE,Wave Life Sciences Ltd.,12,1.02,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.40669,,0,0.788961,1,0.211039,,0,no_upcoming,9,tailwind,high_vol|deep_drawdown,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-33.2;smart_money_score:+25.1;financial_score:+18.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|pos,0.030078054054054053,,0.2011,0,1,-1.0672,0.3087,5,5,buying,0.7739,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.180428,price_history,,5,1.5742,price_history,,-0.378571,,47.153,3.1359,-0.13882,-0.239751,mid,mid,none,drug_developer,morningstar,,,,0,0.7964782408473405480082892010,53.63,41.25000000000000000000000000,77.5,37.50,19.19873245812584880036215482,70.55319148936170212765957446,18.1453,-1.0777,2.0,1031,6,1.0,0.0271,0,0,0.0,0.4,0.75,rare_disease,0.7221,highly_crowded,1.0,116,0.030078054054054053,0.59331,0.2361,23.09,0.487676,-0.0309
PRTA,Prothena Corporation plc,13,0.22,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.871479,,0,0.801948,1,0.198052,,0,no_upcoming,9,headwind,,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,clinical_score:-24.9;financial_score:+13.9;smart_money_score:+12.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|pos,0.007144706586826348,,0.7281,0,1,-1.1339,0.1548,2,2,neutral,-0.3931,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.182459,price_history,,2,0.8304,price_history,,-0.327904,,30.001,0.4848,-0.13882,-0.189084,late,small,none,drug_developer,morningstar,,,,0,0.8475046085637615214094038035,42.62,41.25000000000000000000000000,55.0,84.75,17.64621054318218234257330556,56.44776119402985074626865672,16.47,-1.1483,3.0,580,9,1.0,0.0552,0,0,0.0,0.4,0.6,cns,-0.43,uncrowded,1.0,248,0.007144706586826348,0.128521,-1.1334,20.90,0.420775,-0.1999
VTYX,"Ventyx Biosciences, Inc.",14,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.519366,,0,0.996753,1,0.003247,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,clinical_score:-41.7;smart_money_score:+25.3;financial_score:+21.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.014475529411764708,,-0.1893,25,1,-1.6771,-1.0995,4,4,buying,0.3849,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.068332,price_history,,4,1.0444,price_history,,-0.281886,,52.2721,1.2298,-0.13882,-0.143066,mid,small,none,drug_developer,morningstar,,,,0,0.7407673183410554864956492259,47.67,41.25000000000000000000000000,72.0,26.39,5,67.74468085106382978723404256,4.982,-1.6322,2.0,25,3,0.6667,1.2492,1,2,0.0,0.4,0.6,autoimmune,0.7221,highly_crowded,1.0,148,0.014475529411764708,0.480634,-0.0486,15.91,0.234155,-0.7252
VERA,"Vera Therapeutics, Inc.",15,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.202465,,0,0.983766,1,0.016234,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-53.0;momentum_score:+38.5;financial_score:+17.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.057520273504273495,,-0.561,623,1,-1.6771,-1.0995,5,5,buying,0.7739,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.047571,price_history,,5,0.9816,price_history,,-0.207082,,49.9208,0.7858,-0.13882,-0.068262,late,mid,none,drug_developer,morningstar,,,,0,0.7847545752030056962792388801,96.55,41.25000000000000000000000000,71.5,10.00,5,75.73333333333333333333333333,3.5181,-1.6939,3.0,623,3,0.6667,0.009,0,0,0.0,0.4,0.55,infectious_disease,0.2613,moderate,1.0,58,0.057520273504273495,0.797535,0.8328,19.89,0.399648,-0.2543
TSHA,"Taysha Gene Therapies, Inc.",16,0.87,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.019366,,0,0.977273,1,0.022727,1289,0,specific_days,9,tailwind,high_beta|overbought_rsi,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-54.5;momentum_score:+37.1;smart_money_score:+25.5,tier=B;reason=high_opt+catalyst_far;cat_days=1289;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 66368000.0, ""cash_total"": 297344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.76277724204436, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",late|far_271_540|nonpos,0.07241476923076924,,-0.5972,1289,1,-1.6771,-1.0995,9,9,buying,2.3298,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,881.38,0.85,1,0,1.0,0,1.0,0,1289,False,specific_days,2.928349,price_history,,9,2.0497,price_history,,-0.130435,,81.067,0.7836,-0.13882,0.008385,late,small,none,drug_developer,morningstar,,,,0,0.7976474022183304144775248103,96.55,45.56250000000000000000000000,85,23.76,5,65.31343283582089552238805970,3.6,-1.6904,3.0,2831,3,0.6667,0.0,0,0,0.0,0.3,0.5,other,-1.1213,uncrowded,1.0,6,0.07241476923076924,0.980634,2.067,19.54,0.389085,-0.2817
TRDA,"Entrada Therapeutics, Inc.",17,0.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.684859,,0,0.970779,1,0.029221,,0,no_upcoming,9,tailwind,high_beta|deep_drawdown,XS,momentum_tailwind|runway_short|high_risk|cost_haircut_>2000bps,momentum_score:+27.5;clinical_score:-27.2;financial_score:-26.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 128512000.0, ""cash_total"": 90394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.440674800796813, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 1}",early|none|nonpos,0.007665645645645646,,-1.7675,,0,-1.6771,-1.0995,1,1,selling,-0.7821,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.242383,price_history,,1,1.887,price_history,,-0.354103,,43.8784,0.5606,-0.13882,-0.215283,early,small,sev2,drug_developer,morningstar,,,,0,0.7763785017638514214567337622,59.64,41.25000000000000000000000000,49.5,50,5,5.401111111111111111111111112,3.6,-1.6904,0.0,520,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-2.9647,uncrowded,1.0,195,0.007665645645645646,0.315141,-0.4813,4.81,0.012324,-2.2469
CNTA,Centessa Pharmaceuticals plc,18,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.09331,,0,0.957792,1,0.042208,,0,no_upcoming,9,tailwind,high_beta,L,sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+47.3;clinical_score:-39.0;financial_score:-38.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.057520273504273495,,0.6532,0,1,-1.6771,-1.0995,7,7,buying,1.5518,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.863361,price_history,,7,2.39,price_history,,-0.084951,,59.2858,0.5724,-0.13882,0.053869,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,91.26,41.25000000000000000000000000,77.0,29.43,5,5.401111111111111111111111112,4.1738,-1.6663,3.0,,7,1.0,0.0637,0,0,0.0,0.4,0.95,oncology,0.7221,highly_crowded,1.0,27,0.057520273504273495,0.90669,1.3206,9.79,0.082746,-1.3868
