ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
CELC,Celcuity Inc.,1,1.04,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.899293,,0,0.944444,1,0.055556,152,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-42.6;smart_money_score:+35.2;financial_score:+6.7,tier=A;reason=high_opt+catalyst_mid;cat_days=152;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.008127472222222223,,0.7327,0,1,-1.7238,0.0,6,6,buying,1.1593,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,152,False,specific_days,-0.065089,price_history,,6,0.3725,price_history,,-0.228765,,59.2663,,-0.115701,-0.113064,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,50.84,45.56250000000000000000000000,83.0,14.55,5.238805315556335248454015173,54.50000000000000000000000000,4.682,-1.644,3.0,1126,7,1.0,0.3395,0,1,0.0,0.3,0.95,oncology,-0.4149,uncrowded,1.0,255,0.008127472222222223,0.100707,-1.2775,13.99,0.167845,-0.9627
VTYX,"Ventyx Biosciences, Inc.",2,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.620141,,0,0.996732,1,0.003268,,0,no_upcoming,9,headwind,high_vol,S,sponsor_confirmed|momentum_headwind|high_risk,clinical_score:-41.2;smart_money_score:+25.8;financial_score:+22.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.047651121212121214,,-0.7229,117,1,-1.7342,-1.341,4,4,buying,0.3819,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.236967,price_history,,4,1.091,price_history,,-0.261093,,45.7773,1.2298,-0.115701,-0.145392,mid,small,none,drug_developer,morningstar,,,,0,0.7407673183410554864956492259,44.36,41.25000000000000000000000000,72.0,26.39,5,68.56250000000000000000000000,3.9266,-1.6758,2.0,117,3,0.6667,0.5803,0,1,0.0,0.4,0.6,autoimmune,0.7207,highly_crowded,1.0,176,0.047651121212121214,0.379859,-0.3059,15.29,0.220848,-0.7693
CNTA,Centessa Pharmaceuticals plc,3,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.425795,,0,0.957516,1,0.042484,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+39.4;clinical_score:-32.6;financial_score:-32.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.050235292517006806,,0.6918,0,1,-1.7342,-1.341,7,7,buying,1.548,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.20117,price_history,,7,0.6791,price_history,,-0.236887,,50.795,0.5724,-0.115701,-0.121186,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882535922099513121957012231,59.75,41.25000000000000000000000000,77.0,27.99,5,5.200277777777777777777777778,4.6138,-1.6469,3.0,,7,1.0,0.1548,1,0,0.0,0.4,0.95,oncology,0.7207,highly_crowded,1.0,121,0.050235292517006806,0.574205,0.1871,12.51,0.136042,-1.0983
AVBP,"ArriVent BioPharma, Inc.",4,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.397527,,0,0.95098,1,0.04902,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-37.1;financial_score:+18.2;smart_money_score:+11.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 129930000.0, ""cash_total"": 300266000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.731794042946202, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|nonpos,0.050235292517006806,,-0.4973,734,1,-1.7342,-1.341,4,4,selling,0.3819,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,986.33,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,4,,,series_too_short,,no_price_series,,0.6474,-0.115701,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8370803742292153944290878163,50,41.25000000000000000000000000,54.0,50,5,60.359375000,3.95,-1.6748,3.0,807,2,0.3333,0.0024,0,0,0.0,0.3,0.95,oncology,0.7207,highly_crowded,1.0,113,0.050235292517006806,0.602473,0.2598,18.65,0.376325,-0.3151
CGON,"CG Oncology, Inc.",5,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.415194,,0,0.937908,1,0.062092,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-43.5;smart_money_score:+33.7;financial_score:+17.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.050235292517006806,,0.7346,0,1,-1.7004,-1.272,6,6,buying,1.1593,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.115701,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.772310181327329698015194256,66.50000000000000000000000000,4.7223,-1.6423,3.0,1668,6,1.0,0.0503,0,0,0.0,0.3,0.95,oncology,0.7207,highly_crowded,1.0,118,0.050235292517006806,0.584806,0.2142,16.95,0.309187,-0.4982
COGT,"Cogent Biosciences, Inc.",6,0.62,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.429329,,0,0.924837,1,0.075163,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,smart_money_score:+48.1;financial_score:-31.7;clinical_score:-30.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.050235292517006806,,0.7382,0,1,-1.6651,-1.1999,7,7,buying,1.548,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.107179,price_history,,7,1.2115,price_history,,-0.309005,,55.9331,2.489,-0.115701,-0.193304,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,46.69,41.25000000000000000000000000,85,10.82,6.579877100906880302520844601,5.200277777777777777777777778,6.2299,-1.5789,3.0,853,5,1.0,0.0047,0,0,0.0,0.5,0.95,oncology,0.7207,highly_crowded,1.0,122,0.050235292517006806,0.570671,0.1781,8.98,0.065371,-1.5112
IMVT,"Immunovant, Inc.",7,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.464664,,0,0.892157,1,0.107843,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-40.9;financial_score:+20.4;momentum_score:+18.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 312251000.0, ""cash_total"": 994525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.220213866408756, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|none|nonpos,0.050235292517006806,,-0.464,640,1,-1.5323,-0.9287,6,6,selling,1.1593,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,478.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.226058,price_history,,6,1.0823,price_history,,-0.115368,,60.0296,0.5723,-0.115701,0.000333,late,mid,none,drug_developer,morningstar,,,,0,0.8919905597326649958228905597,68.94,41.25000000000000000000000000,62.0,13.81,9.616001247508637535390747970,71.00000000000000000000000000,8.1332,-1.4988,3.0,640,6,1.0,0.009,0,0,0.0,0.4,0.6,autoimmune,0.2664,moderate,1.0,132,0.050235292517006806,0.535336,0.0887,21.61,0.461131,-0.0976
LQDA,Liquidia Corporation,8,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.478799,,0,0.872549,1,0.127451,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-29.3;smart_money_score:+27.1;clinical_score:-26.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.050235292517006806,,0.7564,0,1,-1.4324,-0.7249,3,3,buying,-0.0069,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.092752,price_history,,3,0.9192,price_history,,-0.070938,,58.3973,0.5778,-0.115701,0.044763,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,64.35,41.25000000000000000000000000,65.5,18.28,11.89816236129994298495680014,9.111111111111111111111111112,10.1482,-1.414,3.0,659,4,1.0,0.0096,0,0,0.0,0.3,0.5,respiratory,0.7207,highly_crowded,1.0,136,0.050235292517006806,0.521201,0.0532,11.07,0.09364,-1.3187
CRSP,CRISPR Therapeutics AG,9,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.439929,,0,0.866013,1,0.133987,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-41.1;financial_score:+25.7;momentum_score:+16.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.050235292517006806,,0.7603,0,1,-1.3815,-0.6209,3,3,buying,-0.0069,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.264872,price_history,,3,1.5647,price_history,,-0.235617,,58.5261,0.5582,-0.115701,-0.119916,late,mid,none,drug_developer,morningstar,,,,0,0.8829781999041227229146692234,70.73,41.25000000000000000000000000,66.0,61.57,13.06263370514938428626424766,79.850,12.0126,-1.3355,3.0,768,9,1.0,0.0577,0,0,0.0,0.3,0.95,oncology,0.7207,highly_crowded,1.0,125,0.050235292517006806,0.560071,0.1511,25.41,0.535336,0.0887
RAPT,"RAPT Therapeutics, Inc.",10,0.31,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.59894,,0,0.859477,1,0.140523,,0,no_upcoming,9,headwind,high_vol,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+34.9;clinical_score:-29.5;financial_score:-2.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.047651121212121214,,0.2387,0,1,-1.3809,-0.6198,5,5,buying,0.7706,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.361628,price_history,,5,1.5859,price_history,,-0.349675,,50.9693,1.4599,-0.115701,-0.233974,mid,small,none,drug_developer,morningstar,,,,0,0.7846415306696679797411367473,40.83,41.25000000000000000000000000,77.5,23.61,13.07484567901234567901234568,40.19140625000000000000000000,12.2502,-1.3255,2.0,359,4,1.0,0.0522,0,0,0.0,0.4,0.95,oncology,0.7207,highly_crowded,1.0,170,0.047651121212121214,0.40106,-0.2506,16.70,0.277385,-0.5906
ACLX,"Arcellx, Inc.",11,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.54947,,0,0.846405,1,0.153595,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-38.2;momentum_score:+28.7;smart_money_score:+26.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",mid|none|nonpos,0.047651121212121214,,-0.9693,491,1,-1.2994,-0.4534,7,7,buying,1.548,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.574362,price_history,,7,1.0781,price_history,,-0.058535,,60.4034,0.5575,-0.115701,0.057166,mid,mid,none,drug_developer,morningstar,,,,0,0.8080746794871794871794871795,81.82,41.25000000000000000000000000,80.0,10.00,14.93827160493827160493827160,47.76562500000000000000000000,13.8883,-1.2566,2.0,1280,3,0.6667,0.0044,0,0,0.0,0.3,0.95,oncology,0.7207,highly_crowded,1.0,156,0.047651121212121214,0.45053,-0.1243,21.97,0.475265,-0.062
PRTA,Prothena Corporation plc,12,0.73,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.503534,,0,0.839869,1,0.160131,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-29.7;momentum_score:+14.4;smart_money_score:+9.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.050235292517006806,,0.7651,0,1,-1.2775,-0.4087,2,2,neutral,-0.3956,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.213582,price_history,,2,1.4505,price_history,,-0.154727,,49.7802,0.4848,-0.115701,-0.039026,late,small,none,drug_developer,morningstar,,,,0,0.8475046085637615214094038035,59.57,41.25000000000000000000000000,55.0,84.70,15.43835796675584404192798562,54.45312500000000000000000000,14.2637,-1.2408,3.0,672,9,1.0,0.0256,0,0,0.0,0.4,0.6,cns,-0.4149,uncrowded,1.0,143,0.050235292517006806,0.496466,-0.0089,19.78,0.40106,-0.2506
ZBIO,"Zenas BioPharma, Inc.",13,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.538869,,0,0.813725,1,0.186275,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-27.1;smart_money_score:+21.6;momentum_score:+5.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.050235292517006806,,0.7706,0,1,-1.1708,-0.1909,3,3,buying,-0.0069,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.115701,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089584306398879028491359178,50,41.25000000000000000000000000,66.5,36.94,17.87645766023907333499018075,49.06521267361111111111111111,16.7018,-1.1382,3.0,897,5,1.0,0.0399,0,0,0.0,0.4,0.6,autoimmune,-0.4149,uncrowded,1.0,153,0.050235292517006806,0.461131,-0.0976,16.44,0.263251,-0.6334
FDMT,"4D Molecular Therapeutics, Inc.",14,0.11,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.291519,,0,0.794118,1,0.205882,,0,no_upcoming,9,headwind,,XS,momentum_headwind|cost_haircut_<=2000bps,clinical_score:-25.7;financial_score:+23.4;smart_money_score:+8.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",mid|none|pos,0.08364341958041958,,-0.9664,946,1,-1.0447,0.0666,1,1,neutral,-0.7843,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.038051,price_history,,1,1.4676,price_history,,-0.278869,,52.9167,0.8446,-0.115701,-0.163168,mid,small,none,drug_developer,morningstar,,,,0,0.7762887760857304004512126340,45.26,41.25000000000000000000000000,55.0,68.06,20.76003086419753086419753086,69.87500000000000000000000000,19.0518,-1.0393,2.0,1280,6,1.0,0.0002,0,0,0.0,0.3,0.5,respiratory,0.2664,moderate,1.0,83,0.08364341958041958,0.708481,0.549,24.43,0.514134,0.0354
URGN,UroGen Pharma Ltd.,15,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.84629,,0,0.787582,1,0.212418,,0,no_upcoming,9,neutral,,M,sponsor_confirmed|runway_short,smart_money_score:+32.9;financial_score:-27.3;clinical_score:-18.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.016933170731707317,,0.7809,0,1,-1.0337,0.0891,4,4,buying,0.3819,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.044891,price_history,,4,1.0871,price_history,,-0.307208,,39.3281,0.7699,-0.115701,-0.191507,late,small,sev2,drug_developer,morningstar,,,,0,0.8225032197634937360964758225,49.21,41.25000000000000000000000000,72.0,73.51,21.01179772816981711328450506,11.79340277777777777777777778,19.9618,-1.001,3.0,1707,13,1.0,0.0001,0,0,0.0,0.3,0.95,oncology,0.7207,highly_crowded,1.0,240,0.016933170731707317,0.15371,-1.0206,5.53,0.015901,-2.1469
CRNX,"Crinetics Pharmaceuticals, Inc.",16,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.729682,,0,0.767974,1,0.232026,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-32.0;financial_score:+23.2;smart_money_score:+16.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.016933170731707317,,0.7837,0,1,-0.9351,0.2903,5,5,buying,0.7706,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.136756,price_history,,5,0.9441,price_history,,-0.075,,56.2425,0.6688,-0.115701,0.040701,late,mid,none,drug_developer,morningstar,,,,0,0.8739125269461077844311377246,61.76,41.25000000000000000000000000,71.5,22.76,23.26452543504427193739066026,78.50000000000000000000000000,24.403,-0.8141,3.0,40,6,1.0,1.3844,1,1,0.0,0.5,0.95,oncology,0.7207,highly_crowded,1.0,207,0.016933170731707317,0.270318,-0.6119,23.15,0.503534,0.0089
SVRA,"Savara, Inc.",17,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.835689,,0,0.761438,1,0.238562,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+30.6;financial_score:-26.2;clinical_score:-21.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.016933170731707317,,0.7842,0,1,-0.8922,0.3778,3,3,buying,-0.0069,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.115097,price_history,,3,0.3452,price_history,,-0.024823,,75.2578,0.6811,-0.115701,0.090878,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,76.02,41.25000000000000000000000000,66.5,58.58,24.24459940840801329376391873,19.24742296006944444444444444,22.8464,-0.8796,3.0,183,9,1.0,0.3264,0,0,0.0,0.4,0.5,respiratory,0.7207,highly_crowded,1.0,237,0.016933170731707317,0.164311,-0.9769,11.78,0.107774,-1.2385
REPL,"Replimune Group, Inc.",18,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.316254,,0,0.754902,1,0.245098,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,clinical_score:-18.3;financial_score:+14.9;smart_money_score:+9.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.08364341958041958,,-0.9582,810,1,-0.8664,0.4305,5,5,selling,0.7706,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.149924,price_history,,5,1.006,price_history,,-0.347198,,52.5644,0.5897,-0.115701,-0.231497,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014186229360889587779400202,38.56,41.25000000000000000000000000,53.0,65.28,24.83410493827160493827160494,58.06250000000000000000000000,23.7841,-0.8402,2.0,810,7,1.0,0.0025,0,0,0.0,0.3,0.95,oncology,0.7207,highly_crowded,1.0,90,0.08364341958041958,0.683746,0.4782,18.79,0.383392,-0.2966
