ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
LQDA,Liquidia Corporation,1,0.93,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.725256,,0,0.819018,1,0.180982,113,0,specific_days,9,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+37.5;financial_score:-33.8;clinical_score:-28.9,tier=A;reason=high_opt+catalyst_near;cat_days=113;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|near_91_180|nonpos,0.02584161904761905,,0.5995,0,1,-1.1704,0.0,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,113,False,specific_days,0.551246,price_history,,3,0.9931,price_history,,-0.058577,,75.6028,0.5778,-0.124179,0.065602,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,80.46,45.56250000000000000000000000,65.5,63.03,13.98558068911238078266712701,9.111111111111111111111111112,13.6226,-1.275,3.0,41,4,1.0,1.6508,1,2,0.0,0.3,0.5,respiratory,0.6858,highly_crowded,1.0,213,0.02584161904761905,0.274744,-0.5985,9.85,0.069966,-1.476,0.001292,0.0,0.0,0.0,0.0,0.001292,0.0
ABSI,Absci Corporation,2,0.46,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.230375,,0,0.610429,1,0.389571,,0,no_upcoming,9,tailwind,high_beta,M,sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,momentum_score:+28.6;clinical_score:-22.9;catalyst_score:-13.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07621351479289941,,-0.6964,905,1,-0.4125,1.8143,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.452367,price_history,,3,2.4557,price_history,,-0.290812,,68.9877,0.9218,-0.124179,-0.166633,late,small,none,drug_developer,morningstar,,,,0,0.8089145740436517249471954940,83.51,41.25000000000000000000000000,66.5,60.10,32.04788369511547699926863948,51.43835616438356164383561643,31.1078,-0.5333,3.0,,14,1.0,0.0001,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,68,0.07621351479289941,0.769625,0.7376,20.96,0.44198,-0.146,2.725261,2.72145,0.0,0.0,0.0,0.003811,0.0
PVLA,"Palvella Therapeutics, Inc.",3,0.93,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.37372,,0,0.641104,1,0.358896,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+28.1;financial_score:-20.5;clinical_score:-14.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.07621351479289941,,0.6319,0,1,-0.5142,1.557,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.015118,price_history,,4,0.7342,price_history,,-0.158094,,67.4271,,-0.124179,-0.033915,late,small,none,drug_developer,morningstar,,,,0,0.8521430369420813425008740240,53.31,41.25000000000000000000000000,72.0,70.01,29.62377627050686625012529654,23.38220637601384458205625404,28.7943,-0.6315,3.0,328,6,1.0,0.1817,0,0,0.0,0.7,0.5,other,-3.5944,uncrowded,1.0,110,0.07621351479289941,0.62628,0.322,22.06,0.472696,-0.0685,2.339311,2.3355,0.0,0.0,0.0,0.003811,0.0
WVE,Wave Life Sciences Ltd.,4,1.09,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.506826,,0,0.616564,1,0.383436,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+23.2;clinical_score:-22.4;catalyst_score:-13.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|pos,0.06229207594936709,,0.0613,0,1,-0.4203,1.7946,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.105245,price_history,,5,1.7339,price_history,,-0.32056,,39.6994,3.1359,-0.124179,-0.196381,mid,mid,none,drug_developer,morningstar,,,,0,0.7964720782959124928036845135,65.15,41.25000000000000000000000000,77.5,61.39,31.86224489795918367346938776,55.51785714285714285714285714,31.1753,-0.5305,2.0,,8,1.0,0.2437,1,0,0.0,0.4,0.75,rare_disease,0.6858,highly_crowded,1.0,149,0.06229207594936709,0.493174,-0.0171,26.82,0.55802,0.146,1.797715,1.7946,0.0,0.0,0.0,0.003115,0.0
RNA,"Avidity Biosciences, Inc.",5,0.65,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.022184,,0,0.684049,1,0.315951,1149,0,specific_days,9,headwind,,M,catalyst_far_lift|sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+44.7;financial_score:-35.3;clinical_score:-14.5,tier=B;reason=high_opt+catalyst_far;cat_days=1149;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 650441000.0, ""cash_total"": 382517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.0570643609489565, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 11}",late|far_271_540|pos,0.1,,0.6251,0,1,-0.6753,1.1496,11,11,buying,3.0587,elite_11,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,short,<=400bps,298.2,1.0,0,0,1.0,0,1.0,0,1149,False,specific_days,-0.056589,price_history,,11,1.5782,price_history,,-0.334857,,62.06,0.7513,-0.124179,-0.210678,late,mid,sev2,drug_developer,morningstar,,,,0,0.8751714981584887727218724011,40.09,45.56250000000000000000000000,85,64.91,25.78595268060335386340264552,5,24.9824,-0.7931,3.0,540,5,1.0,0.1933,0,0,0.0,0.4,0.75,rare_disease,-0.5032,uncrowded,1.0,7,0.1,0.977816,2.0106,11.00,0.104096,-1.2586,1.7294,1.7244,0.0,0.0,0.0,0.005,0.0
SMMT,Summit Therapeutics Inc.,6,0.93,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.02901,,0,0.702454,1,0.297546,327,0,specific_days,9,tailwind,high_beta|deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-26.6;momentum_score:+24.6;smart_money_score:+21.7,tier=B;reason=high_opt+catalyst_far;cat_days=327;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|far_271_540|pos,0.1,,0.6177,0,1,-0.7837,0.8754,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,327,False,specific_days,0.163536,price_history,,5,1.8059,price_history,,-0.370185,,48.1169,0.5984,-0.124179,-0.246006,late,large,none,drug_developer,morningstar,,,,0,0.8151449643947100712105798576,74.39,45.56250000000000000000000000,71.5,20.82,23.20250518820467699481365157,34.45714116000460348751304013,22.2624,-0.9085,3.0,327,12,1.0,0.1347,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,9,0.1,0.97099,1.8955,12.81,0.148464,-1.043,1.3181,1.3131,0.0,0.0,0.0,0.005,0.0
PRAX,"Praxis Precision Medicines, Inc",7,1.09,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.370307,,0,0.714724,1,0.285276,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+28.3;clinical_score:-26.0;smart_money_score:+22.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 249068000.0, ""cash_total"": 599331000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.875535998201293, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.07621351479289941,,0.617,0,1,-0.8074,0.8153,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,221.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.307603,price_history,,8,1.5459,price_history,,-0.015301,,65.1374,0.9863,-0.124179,0.108878,late,mid,none,drug_developer,morningstar,,,,0,0.8088929044693410432478014697,76.94,41.25000000000000000000000000,71.0,57.22,22.63657322329513181195496008,31.23456790123456790123456790,21.2534,-0.9513,3.0,206,8,1.0,0.4263,0,0,0.0,0.4,0.6,cns,0.6858,highly_crowded,1.0,109,0.07621351479289941,0.629693,0.331,12.99,0.15529,-1.014,1.226761,1.22295,0.0,0.0,0.0,0.003811,0.0
ZBIO,"Zenas BioPharma, Inc.",8,0.28,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.397611,,0,0.720859,1,0.279141,,0,no_upcoming,9,headwind,high_vol|drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+27.5;clinical_score:-16.9;momentum_score:-14.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07621351479289941,,0.6148,0,1,-0.8311,0.7556,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.488995,price_history,,3,1.1585,price_history,,,series_too_short,43.7357,1.5048,-0.124179,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089179366940211019929660023,24.59,41.25000000000000000000000000,66.5,69.06,22.07361125032948348127605704,40.59168908071141135505931903,20.7211,-0.9739,3.0,279,7,1.0,0.448,0,0,0.0,0.4,0.6,autoimmune,0.6858,highly_crowded,1.0,117,0.07621351479289941,0.602389,0.2595,16.02,0.267918,-0.6191,1.137211,1.1334,0.0,0.0,0.0,0.003811,0.0
RVMD,"Revolution Medicines, Inc.",9,1.09,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.025597,,0,0.726994,1,0.273006,297,0,specific_days,9,headwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,smart_money_score:+29.2;clinical_score:-26.3;momentum_score:-3.6,tier=B;reason=high_opt+catalyst_far;cat_days=297;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|far_271_540|pos,0.1,,0.6142,0,1,-0.8545,0.6961,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,297,False,specific_days,-0.177127,price_history,,8,1.0052,price_history,,-0.303795,,46.5201,0.4254,-0.124179,-0.179616,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,44.24,45.56250000000000000000000000,77.0,57.22,21.51361926930773200277694246,50.65895953757225433526011561,20.3341,-0.9903,3.0,479,11,1.0,0.0555,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,8,0.1,0.974403,1.9498,21.23,0.452218,-0.1201,1.04915,1.04415,0.0,0.0,0.0,0.005,0.0
ELDN,"Eledon Pharmaceuticals, Inc.",10,0.6,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.827645,,0,0.751534,1,0.248466,479,0,specific_days,9,tailwind,,L,catalyst_far_lift|momentum_tailwind|cost_haircut_>2000bps,momentum_score:+32.4;clinical_score:-25.1;financial_score:-16.3,tier=B;reason=high_opt+catalyst_far;cat_days=479;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|pos,-0.05730012676056338,,0.0514,0,1,-0.9457,0.4657,1,1,neutral,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,479,False,specific_days,0.126496,price_history,,1,1.2354,price_history,,-0.113208,,57.5464,,-0.124179,0.010971,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592705599300087489063867017,76.91,45.56250000000000000000000000,52.5,41.00,19.34240362811791383219954649,28.14342403628117913832199546,17.8129,-1.0972,2.0,216,6,1.0,0.1846,0,0,0.0,0.3,0.55,metabolic,-0.5032,uncrowded,1.0,243,-0.05730012676056338,0.172355,-0.9449,15.67,0.254266,-0.6611,0.462835,0.4657,0.0,0.0,0.0,-0.002865,0.0
ABEO,Abeona Therapeutics Inc.,11,0.76,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.226962,,0,0.763804,1,0.236196,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-30.2;financial_score:+22.1;momentum_score:+7.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.07621351479289941,,0.6063,0,1,-1.0155,0.2889,2,2,neutral,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.011427,price_history,,2,0.9728,price_history,,-0.343318,,53.8986,,-0.124179,-0.219139,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,55.36,41.25000000000000000000000000,55.0,59.99,17.67683517658458351431721741,69.94219653179190751445086705,16.1473,-1.1679,3.0,235,9,1.0,0.2123,0,0,0.0,0.3,0.5,other,-1.6921,uncrowded,1.0,67,0.07621351479289941,0.773038,0.7489,27.02,0.564846,0.1633,0.437161,0.43335,0.0,0.0,0.0,0.003811,0.0
BCAX,Bicara Therapeutics Inc.,12,0.23,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.428328,,0,0.769939,1,0.230061,,0,no_upcoming,9,headwind,drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,smart_money_score:+28.8;clinical_score:-25.0;momentum_score:-13.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 82948000.0, ""cash_total"": 290167000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.9781549886676, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,0.06229207594936709,,-1.2815,692,1,-1.0159,0.2879,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1066.54,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.28213,price_history,,4,1.6801,price_history,,,series_too_short,36.8111,0.6287,-0.124179,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7405757064529734289329396879,29.04,41.25000000000000000000000000,71.5,80.28,17.66723356009070294784580499,54.00000000000000000000000000,16.7271,-1.1433,2.0,1149,2,0.3333,0.0009,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,126,0.06229207594936709,0.571672,0.1806,20.27,0.418089,-0.2068,0.291015,0.2879,0.0,0.0,0.0,0.003115,0.0
VERA,"Vera Therapeutics, Inc.",13,0.56,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.186007,,0,0.984663,1,0.015337,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,clinical_score:-39.8;smart_money_score:+26.7;financial_score:+18.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.0946772676056338,,-0.3105,97,1,-1.5475,-1.0567,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.139128,price_history,,5,0.8807,price_history,,-0.273568,,42.3222,0.7858,-0.124179,-0.149389,late,mid,none,drug_developer,morningstar,,,,0,0.8240540540540540540540540541,43.43,41.25000000000000000000000000,71.5,47.10,5,63.00000000000000000000000000,4.0346,-1.6816,3.0,97,3,0.6667,0.7215,0,1,0.0,0.4,0.55,infectious_disease,0.6858,highly_crowded,1.0,55,0.0946772676056338,0.813993,0.8927,17.70,0.336177,-0.4229,0.004734,0.0,0.0,0.0,0.0,0.004734,0.0
NUVL,"Nuvalent, Inc.",14,0.93,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.145051,,0,0.966258,1,0.033742,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-43.5;smart_money_score:+25.5;financial_score:+15.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 275209000.0, ""cash_total"": 1371952000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 59.82153199931688, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|nonpos,0.0946772676056338,,-0.7611,693,1,-1.5475,-1.0567,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,435.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.0247,price_history,,5,1.0209,price_history,,-0.236159,,54.1451,0.5143,-0.124179,-0.11198,late,mid,none,drug_developer,morningstar,,,,0,0.8880516029078774877845310452,58.41,41.25000000000000000000000000,74.0,44.06,5,64.00000000000000000000000000,3.8205,-1.6907,3.0,1758,5,1.0,0.0009,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,43,0.0946772676056338,0.854949,1.0579,17.53,0.322526,-0.4606,0.004734,0.0,0.0,0.0,0.0,0.004734,0.0
CNTA,Centessa Pharmaceuticals plc,15,0.93,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.080205,,0,0.953988,1,0.046012,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+37.0;clinical_score:-35.0;financial_score:-35.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.0946772676056338,,0.5383,0,1,-1.5475,-1.0567,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.268969,price_history,,7,0.9312,price_history,,0.0,,67.8219,0.5724,-0.124179,0.124179,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,71.75,41.25000000000000000000000000,77.0,48.29,5,5,5.8099,-1.6063,3.0,17,8,1.0,1.8335,2,2,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,24,0.0946772676056338,0.919795,1.4037,10.27,0.080205,-1.4037,0.004734,0.0,0.0,0.0,0.0,0.004734,0.0
AVBP,"ArriVent BioPharma, Inc.",16,0.93,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.06314,,0,0.947853,1,0.052147,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-35.9;financial_score:+13.3;smart_money_score:+13.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 129930000.0, ""cash_total"": 300266000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.731794042946202, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|nonpos,0.0946772676056338,,-0.4039,116,1,-1.5475,-1.0567,4,4,selling,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,986.33,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.069369,price_history,,4,1.3492,price_history,,-0.267752,,43.7139,0.6474,-0.124179,-0.143573,late,small,none,drug_developer,morningstar,,,,0,0.8371014743589743589743589744,50.02,41.25000000000000000000000000,54.0,53.53,5,54.23287671232876712328767123,4.0481,-1.6811,3.0,189,2,0.3333,0.4056,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,19,0.0946772676056338,0.93686,1.5289,17.67,0.332765,-0.4323,0.004734,0.0,0.0,0.0,0.0,0.004734,0.0
ACLX,"Arcellx, Inc.",17,1.09,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.796928,,0,0.935583,1,0.064417,235,0,specific_days,9,headwind,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,smart_money_score:+42.1;clinical_score:-32.9;financial_score:-21.4,tier=B;reason=high_opt+catalyst_far;cat_days=235;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_181_270|nonpos,-0.010419444444444443,,0.5715,0,1,-1.5475,-1.0567,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,235,False,specific_days,-0.207786,price_history,,7,1.1514,price_history,,-0.371914,,43.4282,0.5575,-0.124179,-0.247735,late,mid,none,drug_developer,morningstar,,,,0,0.8816242164223572875700154928,42.45,45.56250000000000000000000000,80.0,36.23,5,16.45679012345679012345679013,3.8205,-1.6907,3.0,1240,5,1.0,0.0401,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,234,-0.010419444444444443,0.203072,-0.8307,13.94,0.182594,-0.9055,-0.000521,0.0,0.0,0.0,0.0,-0.000521,0.0
