ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.83,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.554825,,0,0.678571,1,0.321429,101,0,specific_days,9,neutral,high_vol|drawdown_data_missing,L,tier_a_dev|sponsor_confirmed|high_risk,smart_money_score:+26.6;clinical_score:-21.0;financial_score:+11.6,tier=A;reason=high_opt+catalyst_near;cat_days=101;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_91_180|nonpos,-0.0028612499999999996,,0.4451,0,1,-0.4529,0.4451,9,9,buying,2.4972,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,101,False,specific_days,-0.170587,price_history,,9,1.2355,price_history,,,series_too_short,41.4953,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7969719647045683011281134815,50,45.56250000000000000000000000,83.0,62.50,35.37828255513490775794723875,68.03488372093023255813953488,34.8955,-0.3904,2.0,101,6,1.0,0.431,0,1,0.0,0.3,0.6,cns,-0.4072,uncrowded,1.0,127,-0.0028612499999999996,0.445175,-0.1379,27.50,0.572368,0.1824
SVRA,"Savara, Inc.",2,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.497807,,0,0.790816,1,0.209184,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+29.2;financial_score:-25.5;clinical_score:-20.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.022754619834710745,,0.9068,0,1,-1.2093,0.9068,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.346861,price_history,,3,0.0467,price_history,,,series_too_short,42.9131,0.6811,,,late,small,sev1,drug_developer,morningstar,,,drawdown,1,0.8537972367351677696505282712,50,41.25000000000000000000000000,66.5,56.45,16.94909220363118547525809897,11.75147928994082840236686389,16.744,-1.166,3.0,158,9,1.0,0.6542,0,1,0.0,0.4,0.5,respiratory,0.7563,highly_crowded,1.0,114,0.022754619834710745,0.502193,0.0055,11.59,0.08114,-1.3974
CHRS,"Coherus Oncology, Inc.",3,0.21,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.361842,,0,0.668367,1,0.331633,,0,no_upcoming,9,neutral,drawdown_data_missing|overbought_rsi,S,cost_haircut_<=2000bps,financial_score:+16.9;clinical_score:-13.6;catalyst_score:-8.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 118797000.0, ""cash_total"": 191663000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.31919011700611, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",late|none|pos,0.022754619834710745,,0.9277,0,1,-0.4082,0.9277,1,1,buying,-0.7105,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1725.6,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.194338,price_history,,1,1.3015,price_history,,,series_too_short,71.9635,0.9928,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.7863618983355825461088618983,50,41.25000000000000000000000000,55.5,80.11,36.46710968711680708832720225,66.98113207547169811320754717,35.4869,-0.3651,3.0,,5,1.0,0.0,0,0,0.0,0.3,0.6,autoimmune,-0.4072,uncrowded,1.0,83,0.022754619834710745,0.638158,0.3535,23.78,0.515351,0.0385
CLDX,"Celldex Therapeutics, Inc.",4,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.366228,,0,0.760204,1,0.239796,,0,no_upcoming,9,neutral,overbought_rsi,L,sponsor_confirmed,clinical_score:-27.0;smart_money_score:+23.1;financial_score:+9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.022754619834710745,,0.9143,0,1,-1.0265,0.9143,4,4,buying,0.4924,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.35861,price_history,,4,0.2141,price_history,,-0.2393,,76.362,0.4801,,,late,small,none,drug_developer,morningstar,,,,0,0.8764675685050294831772459244,50,41.25000000000000000000000000,71.5,70.43,21.40302994343578181242830585,57.92307692307692307692307693,22.9556,-0.9006,3.0,,44,1.0,0.6797,2,0,0.0,0.4,0.95,oncology,-0.4072,uncrowded,1.0,84,0.022754619834710745,0.633772,0.3419,22.57,0.484649,-0.0385
URGN,UroGen Pharma Ltd.,5,0.5,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.269737,,0,0.862245,1,0.137755,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,smart_money_score:+35.7;financial_score:-30.0;clinical_score:-24.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|nonpos,0.1,,0.8967,0,1,-1.4179,0.8967,4,4,buying,0.4924,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.096609,price_history,,4,0.9651,price_history,,,series_too_short,49.7896,0.7699,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8224527861972487759384471905,50,41.25000000000000000000000000,72.0,62.90,11.86543253826984692061231755,6.241288625904010519395134781,12.9194,-1.3294,3.0,13,10,1.0,2.5618,2,2,0.0,0.3,0.95,oncology,0.7563,highly_crowded,1.0,62,0.1,0.730263,0.6136,5.26,0.010965,-2.2916
SMMT,Summit Therapeutics Inc.,6,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.247807,,0,0.831633,1,0.168367,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+29.4;clinical_score:-27.7;financial_score:-8.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|none|nonpos,0.1,,0.9002,0,1,-1.3151,0.9002,5,5,buying,0.8934,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.009304,price_history,,5,0.0918,price_history,,,series_too_short,45.2184,0.5984,,,late,large,none,drug_developer,morningstar,,,drawdown,1,0.8150233556369145309935614190,50,41.25000000000000000000000000,71.5,10.00,14.37166251334994660021359914,33.30224279102883588465646138,13.7045,-1.2958,3.0,635,5,1.0,0.0076,0,0,0.0,0.3,0.75,rare_disease,0.7563,highly_crowded,1.0,57,0.1,0.752193,0.6814,12.90,0.116228,-1.1941
TENX,"Tenax Therapeutics, Inc.",7,0.21,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.256579,,0,0.903061,1,0.096939,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,clinical_score:-36.5;financial_score:+18.1;smart_money_score:+12.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|nonpos,0.1,,0.8798,0,1,-1.6466,0.8798,1,1,buying,-0.7105,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.152269,price_history,,1,0.2713,price_history,,,series_too_short,38.7828,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8540472690718195018429576678,50,41.25000000000000000000000000,55.5,90.00,6.294450377754044539377398045,60.89622641509433962264150944,7.8497,-1.546,3.0,,4,1.0,0.6816,1,1,0.0,0.4,0.85,cardiovascular,-0.4072,uncrowded,1.0,59,0.1,0.743421,0.6539,19.19,0.366228,-0.3419
PRTA,Prothena Corporation plc,8,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.221491,,0,0.882653,1,0.117347,,0,no_upcoming,9,neutral,,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-30.1;smart_money_score:+14.7;momentum_score:+9.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8903,0,1,-1.4849,0.8903,2,2,neutral,-0.3095,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.283319,price_history,,2,1.5808,price_history,,-0.2784,,34.0356,0.4848,,,late,small,none,drug_developer,morningstar,,,,0,0.8476092450638792102206736353,50,41.25000000000000000000000000,55.0,79.03,10.23416795221708002056880661,45.00262984878369493754109138,9.25,-1.4862,3.0,,7,1.0,0.0699,0,0,0.0,0.4,0.6,cns,0.7563,highly_crowded,1.0,51,0.1,0.778509,0.7672,15.90,0.221491,-0.7672
LQDA,Liquidia Corporation,9,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.186404,,0,0.913265,1,0.086735,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,smart_money_score:+31.4;clinical_score:-28.6;financial_score:-25.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.8737,0,1,-1.6779,0.8737,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.185613,price_history,,3,-0.9733,price_history,,-0.3909,,46.201,0.5778,,,late,mid,sev1,drug_developer,morningstar,,,,0,0.8687981060154854079809410363,50,41.25000000000000000000000000,65.5,22.04,5.530240101261817174953522406,8.360685941043083900226757365,4.863,-1.6736,3.0,306,3,0.6667,0.0781,0,0,0.0,0.3,0.85,cardiovascular,0.7563,highly_crowded,1.0,43,0.1,0.813596,0.8912,9.25,0.050439,-1.6406
ABEO,Abeona Therapeutics Inc.,10,0.21,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.002193,,0,0.872449,1,0.127551,,0,no_upcoming,9,neutral,high_beta|drawdown_data_missing|overbought_rsi,S,sponsor_confirmed|high_risk|cost_haircut_<=2000bps,clinical_score:-34.3;financial_score:+23.9;smart_money_score:+9.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8924,0,1,-1.4516,0.8924,2,2,neutral,-0.3095,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.184092,price_history,,2,2.8474,price_history,,,series_too_short,71.9043,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8741835955808503515232674925,50,41.25000000000000000000000000,55.0,81.18,11.04584470551006684862149440,69.24528301886792452830188679,10.0286,-1.4529,3.0,970,7,1.0,0.0018,0,0,0.0,0.3,0.5,other,-1.5707,uncrowded,1.0,1,0.1,0.997807,2.849,23.53,0.510965,0.0275
ADCT,ADC Therapeutics SA,11,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.677632,,0,0.770408,1,0.229592,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-26.5;smart_money_score:+18.9;financial_score:+11.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,-0.019615040650406507,,0.4053,0,1,-1.0395,0.4053,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7505,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7778496798112571621166161105,50,41.25000000000000000000000000,66.5,87.50,21.08587224325461210263806261,59.13953488372093023255813954,21.0036,-0.984,2.0,93,10,1.0,0.4923,0,1,0.0,0.3,0.95,oncology,0.7563,highly_crowded,1.0,155,-0.019615040650406507,0.322368,-0.4611,19.93,0.401316,-0.2499
FDMT,"4D Molecular Therapeutics, Inc.",12,0.21,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.85307,,0,0.964286,1,0.035714,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,clinical_score:-35.9;smart_money_score:+14.1;financial_score:+12.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""early"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",early|none|nonpos,-0.045140008064516124,,-1.4492,,0,-1.6997,-1.4492,1,1,neutral,-0.7105,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.8446,,,early,small,none,drug_developer,morningstar,,,drawdown,1,0.7114035995035167563094745552,50,41.25000000000000000000000000,55.0,50,5,53.00000000000000000000000000,3.3083,-1.74,0.0,588,1,0.0,0.0,0,0,0.0,0.0,0.5,other,0.2909,moderate,1.0,195,-0.045140008064516124,0.14693,-1.0497,17.84,0.309211,-0.4981
RCKT,"Rocket Pharmaceuticals, Inc.",13,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.752193,,0,0.729592,1,0.270408,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-21.6;smart_money_score:+18.8;financial_score:+6.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,-0.019615040650406507,,-0.6974,284,1,-0.8519,-0.6974,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.055072,price_history,,3,1.2181,price_history,,,series_too_short,47.5867,0.6262,,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7990011210762331838565022422,50,41.25000000000000000000000000,66.0,69.64,25.65771287783186106604170423,53.20930232558139534883720930,24.6405,-0.8286,2.0,284,5,1.0,0.0253,0,0,0.0,0.3,0.5,other,-1.5707,uncrowded,1.0,172,-0.019615040650406507,0.247807,-0.6814,21.86,0.445175,-0.1379
PVLA,"Palvella Therapeutics, Inc.",14,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.747807,,0,0.647959,1,0.352041,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+25.5;financial_score:-15.0;clinical_score:-8.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,-0.019615040650406507,,-0.6063,211,1,-0.3482,-0.6063,4,4,buying,0.4924,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.110914,price_history,,4,1.6168,price_history,,,series_too_short,55.1199,,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7772841994970662196144174350,50,41.25000000000000000000000000,72.0,50,37.92861005949161709031909140,31.52028123309897241752298540,37.3853,-0.284,2.0,211,1,0.0,0.1723,0,0,0.0,0.4,0.5,other,-3.4323,uncrowded,1.0,171,-0.019615040650406507,0.252193,-0.6676,25.23,0.532895,0.0825
NMRA,"Neumora Therapeutics, Inc.",15,0.1,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.734649,,0,0.607143,1,0.392857,,0,no_upcoming,9,neutral,drawdown_data_missing,XS,runway_short|cost_haircut_<=2000bps,financial_score:-20.9;smart_money_score:+12.5;momentum_score:+7.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 158485000.0, ""cash_total"": 171525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 11.473010064043915, ""stage_bucket"": ""mid"", ""surv_score"": ""0.0"", ""tier1_count"": 1}",mid|none|pos,-0.019615040650406507,,-0.7154,777,1,-0.0779,-0.7154,1,1,neutral,-0.7105,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=2000bps,1324.22,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.9459,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7153062296459712154638092237,50,41.25000000000000000000000000,55.0,50,44.51475271918754882519079383,21.53440298059010876750195301,43.4935,-0.023,2.0,777,1,0.0,0.0015,0,0,0.0,0.4,0.5,other,0.7563,highly_crowded,1.0,168,-0.019615040650406507,0.265351,-0.6269,12.42,0.098684,-1.2891
CELC,Celcuity Inc.,16,0.98,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.695175,,0,0.75,1,0.25,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+33.6;clinical_score:-26.0;catalyst_score:-8.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",mid|none|pos,-0.019615040650406507,,-0.7515,698,1,-0.9467,-0.7515,6,6,buying,1.2943,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.152273,price_history,,6,-0.3816,price_history,,,series_too_short,33.8051,,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7815456943011122577686045178,50,41.25000000000000000000000000,83.0,19.64,23.34775554353704705246078962,49.30382789495823568295174568,23.0305,-0.8974,2.0,1347,5,1.0,0.0008,0,0,0.0,0.3,0.95,oncology,-0.4072,uncrowded,1.0,159,-0.019615040650406507,0.304825,-0.5106,19.64,0.383772,-0.2956
WVE,Wave Life Sciences Ltd.,17,0.59,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.274123,,0,0.821429,1,0.178571,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-34.4;smart_money_score:+28.5;financial_score:+12.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.1,,0.39,0,1,-1.3062,0.39,5,5,buying,0.8934,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.087935,price_history,,5,0.9578,price_history,,,series_too_short,61.6947,3.1359,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7963845625286303252404947320,50,41.25000000000000000000000000,77.5,30.36,14.58866654648158163571900727,61.51162790697674418604651163,14.2675,-1.2718,2.0,,3,0.6667,0.0123,0,0,0.0,0.4,0.75,rare_disease,0.7563,highly_crowded,1.0,63,0.1,0.725877,0.6004,21.83,0.440789,-0.149
CGON,"CG Oncology, Inc.",18,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.08114,,0,0.892857,1,0.107143,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-40.7;smart_money_score:+35.7;financial_score:+8.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",mid|none|nonpos,0.1,,0.3753,0,1,-1.6341,0.3753,6,6,buying,1.2943,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7822011211531861343095755634,50,41.25000000000000000000000000,83.0,10.00,6.598762093624181239108226668,55.58139534883720930232558139,5.9316,-1.628,2.0,,3,0.6667,0.0,0,0,0.0,0.3,0.95,oncology,0.7563,highly_crowded,1.0,19,0.1,0.91886,1.3974,17.69,0.296053,-0.5358
