ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.82,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.865044,,0,0.682292,1,0.317708,150,0,specific_days,9,neutral,high_vol|drawdown_data_missing,L,tier_a_dev|sponsor_confirmed|high_risk,smart_money_score:+26.7;clinical_score:-21.6;financial_score:+12.1,tier=A;reason=high_opt+catalyst_mid;cat_days=150;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_91_180|nonpos,0.0646411489361702,,0.4461,0,1,-0.4678,0.0,9,9,buying,2.4856,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,150,False,specific_days,,,beta_missing:insufficient_overlap,9,,,insufficient_overlap,,series_too_short,,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7918877607943768827401539663,50,45.56250000000000000000000000,83.0,61.11,34.70222751007997884856897349,68.450,34.1005,-0.4239,2.0,150,6,1.0,0.2865,0,1,0.0,0.3,0.6,cns,-0.4045,uncrowded,1.0,196,0.0646411489361702,0.134956,-1.1033,27.29,0.568584,0.1728
LQDA,Liquidia Corporation,2,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.311947,,0,0.984375,1,0.015625,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,smart_money_score:+31.5;clinical_score:-29.0;financial_score:-25.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.872,0,1,-1.6711,-0.9795,3,3,buying,0.085,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,3,,,insufficient_overlap,-0.3909,,45.1,0.5778,,,late,mid,sev1,drug_developer,morningstar,,,,0,0.8687981060154854079809410363,50,41.25000000000000000000000000,65.5,22.04,5,8.360685941043083900226757365,4.3734,-1.6917,3.0,355,3,0.6667,0.0519,0,0,0.0,0.3,0.85,cardiovascular,0.7557,highly_crowded,1.0,71,0.1,0.688053,0.4903,9.10,0.050885,-1.6363
KOD,Kodiak Sciences Inc,3,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.303097,,0,0.973958,1,0.026042,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,smart_money_score:+31.0;clinical_score:-30.5;financial_score:-20.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",mid|none|nonpos,0.1,,-0.8314,516,1,-1.6711,-0.9795,3,3,buying,0.085,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,3,,,insufficient_overlap,,series_too_short,,0.8241,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7862229535688083010166649198,50,41.25000000000000000000000000,66.5,50,5,14.86482913609623901117059951,3.6734,-1.7215,2.0,516,1,0.0,0.0067,0,0,0.0,0.3,0.55,ophthalmology,0.7557,highly_crowded,1.0,69,0.1,0.696903,0.5155,7.64,0.042035,-1.7275
FDMT,"4D Molecular Therapeutics, Inc.",4,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.719027,,0,0.963542,1,0.036458,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,clinical_score:-35.5;smart_money_score:+14.5;financial_score:+11.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""early"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",early|none|nonpos,0.06969944897959185,,-1.4363,,0,-1.6711,-0.9795,1,1,neutral,-0.7152,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.8446,,,early,small,none,drug_developer,morningstar,,,drawdown,1,0.7114035995035167563094745552,50,41.25000000000000000000000000,55.0,50,5,51.50000000000000000000000000,3.3367,-1.7359,0.0,637,1,0.0,0.0,0,0,0.0,0.0,0.5,other,0.2916,moderate,1.0,163,0.06969944897959185,0.280973,-0.58,17.59,0.294248,-0.541
CTMX,"CytomX Therapeutics, Inc.",5,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.179204,,0,0.953125,1,0.046875,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+40.7;clinical_score:-37.3;financial_score:-10.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 52344000.0, ""cash_total"": 34185000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.837001375515818, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 6}",mid|none|nonpos,0.1,,-0.5421,139,1,-1.6711,-0.9795,6,6,buying,1.2853,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,786.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,6,,,insufficient_overlap,,series_too_short,,0.9241,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7856003584229390681003584229,50,41.25000000000000000000000000,83.0,53.70,5,32.09266970718487672681604864,4.8489,-1.6714,2.0,139,5,1.0,0.3813,0,1,0.0,0.3,0.95,oncology,0.7557,highly_crowded,1.0,41,0.1,0.820796,0.9184,13.40,0.121681,-1.1666
CNTA,Centessa Pharmaceuticals plc,6,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.152655,,0,0.942708,1,0.057292,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+41.4;clinical_score:-30.6;financial_score:-30.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,-0.34,938,1,-1.6711,-0.9795,7,7,buying,1.6854,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,7,,,series_too_short,,no_price_series,,0.5724,,,late,mid,sev1,drug_developer,morningstar,,,drawdown,1,0.8501031050011851149561507466,50,41.25000000000000000000000000,77.0,11.29,5,5,4.7075,-1.6774,3.0,938,2,0.3333,0.0012,0,0,0.0,0.4,0.75,rare_disease,0.7557,highly_crowded,1.0,35,0.1,0.847345,1.0251,12.50,0.095133,-1.3098
CGON,"CG Oncology, Inc.",7,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.134956,,0,0.932292,1,0.067708,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-42.1;smart_money_score:+35.9;financial_score:+9.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",mid|none|nonpos,0.1,,0.3767,0,1,-1.6711,-0.9795,6,6,buying,1.2853,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7822011211531861343095755634,50,41.25000000000000000000000000,83.0,10.00,5,56.07317073170731707317073171,4.3734,-1.6917,2.0,,3,0.6667,0.0,0,0,0.0,0.3,0.95,oncology,0.7557,highly_crowded,1.0,31,0.1,0.865044,1.1033,17.34,0.289823,-0.5539
CRSP,CRISPR Therapeutics AG,8,0.97,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.174779,,0,0.911458,1,0.088542,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-40.5;financial_score:+21.3;smart_money_score:+20.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,-0.2837,1736,1,-1.6497,-0.933,3,3,buying,0.085,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,3,1.4197,,insufficient_overlap,-0.223,,59.5411,0.5582,,,late,mid,none,drug_developer,morningstar,,,,0,0.8829796426444312090530077427,50,41.25000000000000000000000000,66.0,57.32,5.530240101261817174953522406,67.35714285714285714285714286,4.9329,-1.6678,3.0,2012,2,0.3333,0.0,0,0,0.0,0.3,0.95,oncology,0.2916,moderate,1.0,40,0.1,0.825221,0.9354,20.98,0.431416,-0.1728
TENX,"Tenax Therapeutics, Inc.",9,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.45354,,0,0.901042,1,0.098958,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,clinical_score:-35.9;financial_score:+18.0;smart_money_score:+12.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|nonpos,0.1,,0.8781,0,1,-1.5874,-0.7985,1,1,buying,-0.7152,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,1,,,insufficient_overlap,,series_too_short,,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8540472690718195018429576678,50,41.25000000000000000000000000,55.5,90.00,7.066571733713065147739409047,60.89622641509433962264150944,7.7039,-1.5496,3.0,,4,1.0,0.4531,0,1,0.0,0.4,0.85,cardiovascular,-0.4045,uncrowded,1.0,103,0.1,0.54646,0.1167,19.46,0.378319,-0.3099
ABEO,Abeona Therapeutics Inc.,10,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.002212,,0,0.890625,1,0.109375,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-36.8;financial_score:+24.6;smart_money_score:+10.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8797,0,1,-1.5558,-0.7301,2,2,neutral,-0.3151,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,2,,,insufficient_overlap,,series_too_short,,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8741835955808503515232674925,50,41.25000000000000000000000000,55.0,77.96,7.846604169138879000039555394,69.24528301886792452830188679,6.87,-1.5852,3.0,,6,1.0,0.0009,0,0,0.0,0.3,0.5,other,-1.5648,uncrowded,1.0,1,0.1,0.997788,2.8462,22.52,0.484513,-0.0388
PRTA,Prothena Corporation plc,11,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.382743,,0,0.859375,1,0.140625,,0,no_upcoming,9,neutral,,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-29.4;smart_money_score:+14.5;momentum_score:+9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8885,0,1,-1.4262,-0.4499,2,2,neutral,-0.3151,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,2,,,insufficient_overlap,-0.2784,,29.5,0.4848,,,late,small,none,drug_developer,morningstar,,,,0,0.8476092450638792102206736353,50,41.25000000000000000000000000,55.0,80.11,11.04584470551006684862149440,45.00262984878369493754109138,10.0903,-1.4479,3.0,,7,1.0,0.0464,0,0,0.0,0.4,0.6,cns,0.7557,highly_crowded,1.0,87,0.1,0.617257,0.2983,16.15,0.227876,-0.7459
URGN,UroGen Pharma Ltd.,12,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.466814,,0,0.848958,1,0.151042,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,smart_money_score:+35.6;financial_score:-30.2;clinical_score:-23.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|nonpos,0.1,,0.8948,0,1,-1.3595,-0.3057,4,4,buying,0.4851,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,4,,,insufficient_overlap,,series_too_short,,0.7699,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8224527861972487759384471905,50,41.25000000000000000000000000,72.0,62.90,12.69293145049642023654127606,6.241288625904010519395134781,13.7589,-1.2914,3.0,62,10,1.0,2.6152,3,3,0.0,0.3,0.95,oncology,0.7557,highly_crowded,1.0,106,0.1,0.533186,0.0833,5.33,0.011062,-2.2882
WVE,Wave Life Sciences Ltd.,13,0.58,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.488938,,0,0.838542,1,0.161458,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-35.7;smart_money_score:+28.7;financial_score:+13.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.1,,0.3914,0,1,-1.3422,-0.2683,5,5,buying,0.8852,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,5,,,insufficient_overlap,,series_too_short,,3.1359,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7963845625286303252404947320,50,41.25000000000000000000000000,77.5,31.48,13.11983607640954458325071055,62.29268292682926829268292683,14.4586,-1.2616,2.0,6,3,0.6667,0.9594,1,1,0.0,0.4,0.75,rare_disease,0.7557,highly_crowded,1.0,111,0.1,0.511062,0.0277,20.72,0.422566,-0.1953
SMMT,Summit Therapeutics Inc.,14,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.422566,,0,0.817708,1,0.182292,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+29.4;clinical_score:-27.7;financial_score:-8.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|none|nonpos,0.1,,0.8984,0,1,-1.2915,-0.1586,5,5,buying,0.8852,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,5,,,insufficient_overlap,,series_too_short,,0.5984,,,late,large,none,drug_developer,morningstar,,,drawdown,1,0.8150233556369145309935614190,50,41.25000000000000000000000000,71.5,10.00,14.37166251334994660021359914,33.30224279102883588465646138,13.7451,-1.292,3.0,684,5,1.0,0.005,0,0,0.0,0.3,0.75,rare_disease,0.7557,highly_crowded,1.0,96,0.1,0.577434,0.1953,12.90,0.103982,-1.2592
REPL,"Replimune Group, Inc.",15,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.396018,,0,0.796875,1,0.203125,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-27.6;financial_score:+12.0;smart_money_score:+10.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|nonpos,0.1,,-0.7624,2068,1,-1.2536,-0.0768,5,5,selling,0.8852,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,5,,,insufficient_overlap,,series_too_short,,0.5897,,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7588255033557046979865771812,50,41.25000000000000000000000000,53.0,50,15.30636525877453896490184414,54.82926829268292682926829269,14.6798,-1.2522,2.0,2068,2,0.3333,0.0,0,0,0.0,0.3,0.95,oncology,0.7557,highly_crowded,1.0,90,0.1,0.603982,0.2637,16.47,0.25,-0.6745
ABSI,Absci Corporation,16,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.006637,,0,0.786458,1,0.213542,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-28.0;smart_money_score:+21.5;financial_score:+5.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,-0.252,,0,-1.1871,0.0671,3,3,buying,0.085,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.9218,,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089663629992992291520672740,50,41.25000000000000000000000000,66.5,63.98,16.94909220363118547525809897,50.07692307692307692307692307,16.6687,-1.1673,3.0,,5,1.0,0.0623,0,0,0.0,0.4,0.95,oncology,0.7557,highly_crowded,1.0,2,0.1,0.993363,2.4763,16.29,0.236726,-0.7169
ADCT,ADC Therapeutics SA,17,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.559735,,0,0.776042,1,0.223958,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-29.5;smart_money_score:+19.5;financial_score:+12.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.08701244092219021,,0.4065,0,1,-1.1629,0.1194,3,3,buying,0.085,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7505,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7778496798112571621166161105,50,41.25000000000000000000000000,66.5,87.04,17.54577301870579681406570163,59.80487804878048780487804878,17.3163,-1.1397,2.0,142,10,1.0,0.3273,0,1,0.0,0.3,0.95,oncology,0.7557,highly_crowded,1.0,127,0.08701244092219021,0.440265,-0.1503,18.90,0.34292,-0.4045
SVRA,"Savara, Inc.",18,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.440265,,0,0.765625,1,0.234375,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+29.0;financial_score:-25.7;clinical_score:-19.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.1,,0.9049,0,1,-1.1516,0.1438,3,3,buying,0.085,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,3,,,insufficient_overlap,,series_too_short,,0.6811,,,late,small,sev1,drug_developer,morningstar,,,drawdown,1,0.8537972367351677696505282712,50,41.25000000000000000000000000,66.5,56.45,17.82405759265851825481586963,11.75147928994082840236686389,18.4628,-1.0908,3.0,207,9,1.0,1.3549,1,1,0.0,0.4,0.5,respiratory,0.7557,highly_crowded,1.0,100,0.1,0.559735,0.1503,11.75,0.077434,-1.4225
