ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
RVMD,"Revolution Medicines, Inc.",1,0.93,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.66726,,0,0.639073,1,0.360927,147,0,specific_days,9,tailwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,smart_money_score:+22.8;clinical_score:-18.7;catalyst_score:-8.6,tier=A;reason=high_opt+catalyst_mid;cat_days=147;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|near_91_180|nonpos,0.020021833333333332,,-0.5893,147,1,-0.4084,0.0,8,8,buying,1.9576,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,147,False,specific_days,0.027191,price_history,,8,1.2992,price_history,,-0.391691,,55.7209,0.4254,-0.391106,-0.000585,mid,large,none,drug_developer,morningstar,,,,0,0.8553846190250828206341694274,53.97,45.56250000000000000000000000,77.0,10.00,35.42782690418215216369772310,58.82352941176470588235294117,34.3092,-0.4006,2.0,607,6,1.0,0.0863,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,188,0.020021833333333332,0.33274,-0.4324,30.38,0.61032,0.2802
ANRO,"Alto Neuroscience, Inc.",2,0.39,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.5,,0,0.65894,1,0.34106,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-14.6;smart_money_score:+12.5;financial_score:+7.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 40253000.0, ""cash_total"": 137816000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.08493776861352, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|pos,0.06877803448275861,,0.7525,27,1,-0.4712,1.3329,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1346.61,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.9516,-0.391106,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8333573290306565719250341318,50,41.25000000000000000000000000,61.0,59.60,33.98025083206594811435120897,56.42857142857142857142857143,33.9116,-0.4174,2.0,27,3,0.0,1.8125,2,3,0.0,0.3,0.5,other,0.7029,highly_crowded,1.0,141,0.06877803448275861,0.5,0.0,26.89,0.549822,0.1252
CLDX,"Celldex Therapeutics, Inc.",3,0.79,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.535587,,0,0.68543,1,0.31457,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-20.6;smart_money_score:+19.2;financial_score:+11.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.06877803448275861,,0.8528,0,1,-0.5689,1.1195,4,4,buying,0.3949,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.074613,price_history,,4,0.8787,price_history,,-0.270529,,56.4383,0.4801,-0.391106,0.120577,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,53.17,41.25000000000000000000000000,71.5,67.60,31.72937468315369525446891048,63.92857142857142857142857143,32.7188,-0.4677,3.0,,56,1.0,0.6758,3,0,0.0,0.4,0.95,oncology,-0.4728,uncrowded,1.0,151,0.06877803448275861,0.464413,-0.0893,27.52,0.560498,0.1522
DNLI,Denali Therapeutics Inc.,4,0.48,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.539146,,0,0.711921,1,0.288079,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,financial_score:+23.8;clinical_score:-20.2;smart_money_score:+10.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.06877803448275861,,0.8519,0,1,-0.6331,0.9794,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.096775,price_history,,3,1.4033,price_history,,-0.485278,,44.8854,0.5691,-0.391106,-0.094172,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,46.04,41.25000000000000000000000000,60.5,44.40,30.25083206594811435120897528,74.28571428571428571428571429,29.9453,-0.5847,3.0,265,11,1.0,0.3838,1,0,0.0,0.4,0.6,cns,-0.4728,uncrowded,1.0,152,0.06877803448275861,0.460854,-0.0983,30.90,0.628114,0.3269
CMPX,"Compass Therapeutics, Inc.",5,0.79,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.400356,,0,0.665563,1,0.334437,,0,no_upcoming,9,tailwind,overbought_rsi,L,momentum_tailwind,momentum_score:+28.7;clinical_score:-23.5;catalyst_score:-15.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 35889000.0, ""cash_total"": 219895000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 73.5250355262058, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 0}",mid|none|pos,0.0896402027027027,,-0.8135,430,1,-0.5001,1.2698,0,0,neutral,-1.1679,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,913.08,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.513496,price_history,,0,0.4946,price_history,,0.0,,78.2461,,-0.391106,0.391106,mid,small,none,drug_developer,morningstar,,,,0,0.8411800818553888130968622101,85.48,41.25000000000000000000000000,,36.49,33.31410995770857362552864283,67.05882352941176470588235294,32.1955,-0.4898,2.0,906,4,1.0,0.0079,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,113,0.0896402027027027,0.599644,0.2524,26.08,0.539146,0.0983
RCKT,"Rocket Pharmaceuticals, Inc.",6,0.79,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.432384,,0,0.692053,1,0.307947,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-22.1;momentum_score:+18.4;smart_money_score:+12.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.0896402027027027,,0.3526,0,1,-0.5904,1.0726,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.235849,price_history,,3,1.6826,price_history,,-0.526052,,49.0772,0.6262,-0.391106,-0.134946,mid,small,sev1,drug_developer,morningstar,,,,0,0.7990352358437464820443543848,71.68,41.25000000000000000000000000,66.0,79.73,31.23456790123456790123456790,56.47058823529411764705882353,30.4659,-0.5627,2.0,820,8,1.0,0.0199,0,0,0.0,0.3,0.95,oncology,-1.6484,uncrowded,1.0,122,0.0896402027027027,0.567616,0.1703,23.78,0.496441,-0.0089
VIR,"Vir Biotechnology, Inc.",7,0.79,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.642349,,0,0.745033,1,0.254967,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,clinical_score:-17.9;smart_money_score:+16.5;momentum_score:+7.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.06877803448275861,,0.8495,0,1,-0.7902,0.6362,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.014976,price_history,,2,0.7854,price_history,,-0.525079,,68.7524,0.7493,-0.391106,-0.133973,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,52.12,41.25000000000000000000000000,61.0,74.80,26.63162071017655227137472724,41.65532879818594104308390023,26.982,-0.7097,3.0,140,14,1.0,1.5933,3,1,0.0,0.4,0.55,infectious_disease,0.7029,highly_crowded,1.0,181,0.06877803448275861,0.357651,-0.3647,23.23,0.482206,-0.0446
AURA,"Aura Biosciences, Inc.",8,0.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.396797,,0,0.718543,1,0.281457,,0,no_upcoming,9,headwind,deep_drawdown,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_>2000bps,financial_score:-20.5;smart_money_score:+19.1;catalyst_score:+8.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.0896402027027027,,-0.8277,535,1,-0.6792,0.8787,2,2,selling,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.215867,price_history,,2,0.7867,price_history,,-0.516272,,38.7115,0.5411,-0.391106,-0.125166,mid,small,sev2,drug_developer,morningstar,,,,0,0.8473825268817204301075268817,29.51,41.25000000000000000000000000,52.0,68.92,29.18920073476013499081549831,12.31876628647101542141911231,28.0706,-0.6637,2.0,535,5,1.0,0.0116,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,112,0.0896402027027027,0.603203,0.2616,9.18,0.058719,-1.5656
INBX,"Inhibrx Biosciences, Inc.",9,0.79,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.414591,,0,0.758278,1,0.241722,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+24.5;clinical_score:-16.8;financial_score:-14.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.0896402027027027,,0.3427,0,1,-0.8523,0.5006,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.391106,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,39.19,25.20099107180998761160237516,27.17800845828527489427143407,24.5014,-0.8143,2.0,1061,5,1.0,0.0009,0,0,0.0,0.4,0.95,oncology,0.7029,highly_crowded,1.0,117,0.0896402027027027,0.585409,0.2158,15.75,0.25089,-0.6717
SVRA,"Savara, Inc.",10,0.48,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.631673,,0,0.764901,1,0.235099,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+29.6;financial_score:-19.2;clinical_score:-13.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.06877803448275861,,0.8417,0,1,-0.9425,0.3035,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.269686,price_history,,3,0.5011,price_history,,-0.393617,,34.3873,0.6811,-0.391106,-0.002511,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,35.77,41.25000000000000000000000000,66.5,58.80,23.12261676475126187484846481,17.66723356009070294784580499,21.723,-0.9315,3.0,391,9,1.0,0.0577,0,0,0.0,0.4,0.5,respiratory,0.7029,highly_crowded,1.0,178,0.06877803448275861,0.368327,-0.3363,14.00,0.176157,-0.9301
FHTX,Foghorn Therapeutics Inc.,11,0.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.140569,,0,0.60596,1,0.39404,,0,no_upcoming,9,headwind,deep_drawdown,XS,momentum_headwind|cost_haircut_>2000bps,financial_score:-19.7;smart_money_score:+16.1;catalyst_score:+4.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63828000.0, ""cash_total"": 89334000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 16.795262267343485, ""stage_bucket"": ""early"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",early|none|pos,0.1,,-1.3806,391,1,-0.249,1.8183,1,1,neutral,-0.7772,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,>2000bps,2036.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.354113,price_history,,1,0.9714,price_history,,-0.607346,,57.2386,0.9327,-0.391106,-0.21624,early,small,sev1,drug_developer,morningstar,,,,0,0.7395278509966234614965690012,32.47,41.25000000000000000000000000,52.5,67.50,39.09957708573625528642829680,16.70632774472687939426717144,37.981,-0.2457,1.0,391,3,0.6667,0.019,0,0,0.0,0.3,0.85,oncology,0.7029,highly_crowded,1.0,40,0.1,0.859431,1.0778,18.99,0.386121,-0.2894
LYEL,"Lyell Immunopharma, Inc.",12,0.39,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.215302,,0,0.672185,1,0.327815,,0,no_upcoming,9,neutral,deep_drawdown,M,sponsor_confirmed|cost_haircut_<=2000bps,financial_score:+19.3;clinical_score:-17.6;smart_money_score:+10.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 117773000.0, ""cash_total"": 319624000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.56678525638304, ""stage_bucket"": ""early"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",early|none|pos,0.1,,-1.4101,754,1,-0.5001,1.2698,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1990.72,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.023161,price_history,,2,1.5677,price_history,,-0.589001,,37.8709,0.9083,-0.391106,-0.197895,early,small,none,drug_developer,morningstar,,,,0,0.7112637362637362637362637363,48.68,41.25000000000000000000000000,61.0,50,33.31410995770857362552864283,70.23255813953488372093023256,32.1955,-0.4898,1.0,754,2,0.3333,0.0008,0,0,0.0,0.3,0.85,oncology,0.7029,highly_crowded,1.0,61,0.1,0.784698,0.7882,27.68,0.564057,0.1613
BMEA,"Biomea Fusion, Inc.",13,0.15,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.058719,,0,0.678808,1,0.321192,,0,no_upcoming,9,tailwind,,S,momentum_tailwind|runway_short|cost_haircut_>2000bps,momentum_score:+42.8;financial_score:-34.2;clinical_score:-13.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 56429000.0, ""cash_total"": 46642000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 9.918729731166598, ""stage_bucket"": ""early"", ""surv_score"": ""0.0"", ""tier1_count"": 1}",early|none|pos,0.1,,-1.4196,832,1,-0.5545,1.1511,1,1,buying,-0.7772,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.072411,price_history,,1,0.8191,price_history,,-0.176341,,60.4664,,-0.391106,0.214765,early,micro,sev2,drug_developer,morningstar,,,,0,0.7051857186953390266488321844,88.60,41.25000000000000000000000000,55.5,50,32.06228373702422145328719723,11.63321799307958477508650519,30.9437,-0.5426,1.0,832,1,0.0,0.0002,0,0,0.0,0.3,0.85,oncology,0.7029,highly_crowded,1.0,17,0.1,0.941281,1.5656,7.77,0.037367,-1.7821
TRDA,"Entrada Therapeutics, Inc.",14,0.15,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.339858,,0,0.705298,1,0.294702,,0,no_upcoming,9,tailwind,deep_drawdown|overbought_rsi,S,momentum_tailwind|runway_short|cost_haircut_>2000bps,momentum_score:+51.9;financial_score:-39.6;clinical_score:-13.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 128512000.0, ""cash_total"": 90394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.440674800796813, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 1}",early|none|pos,0.1,,-1.5388,,0,-0.6083,1.0336,1,1,selling,-0.7772,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.760905,price_history,,1,0.2071,price_history,,-0.37,,70.5281,0.5606,-0.391106,0.021106,early,small,sev2,drug_developer,morningstar,,,,0,0.7763720452422953201203694096,96.55,41.25000000000000000000000000,49.5,50,30.82276047673971549404075356,5,29.3541,-0.6096,0.0,820,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-0.4728,uncrowded,1.0,96,0.1,0.660142,0.4129,6.62,0.030249,-1.8771
COGT,"Cogent Biosciences, Inc.",15,0.93,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.090747,,0,0.976821,1,0.023179,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+41.7;smart_money_score:+40.5;clinical_score:-39.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,0.7969,0,1,-1.7291,-1.4147,7,7,buying,1.5669,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.010619,price_history,,7,0.7156,price_history,,-0.284285,,36.7755,2.489,-0.391106,0.106821,late,mid,sev1,drug_developer,morningstar,,,,0,0.8130890683379534771604194287,86.13,41.25000000000000000000000000,85,10.80,5,5,4.9314,-1.6397,3.0,1061,5,1.0,0.0008,0,0,0.0,0.5,0.95,oncology,-0.4728,uncrowded,1.0,26,0.1,0.909253,1.3362,7.08,0.033808,-1.8276
CGON,"CG Oncology, Inc.",16,0.79,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.076512,,0,0.963576,1,0.036424,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-43.7;smart_money_score:+34.3;financial_score:+15.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.1,,0.7935,0,1,-1.7291,-1.4147,6,6,buying,1.1762,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.391106,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5,64.28571428571428571428571429,4.1109,-1.6743,3.0,1876,6,1.0,0.3591,0,1,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,22,0.1,0.923488,1.4289,16.35,0.275801,-0.5954
CELC,Celcuity Inc.,17,0.93,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.069395,,0,0.956954,1,0.043046,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-45.3;smart_money_score:+32.7;momentum_score:+19.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|none|nonpos,0.1,,0.7916,0,1,-1.7291,-1.4147,6,6,buying,1.1762,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.037598,price_history,,6,0.1971,price_history,,-0.472545,,50.8168,,-0.391106,-0.081439,late,mid,none,drug_developer,morningstar,,,,0,0.8124607582709490461241246076,69.50,41.25000000000000000000000000,83.0,14.80,5,52.85714285714285714285714286,4.2314,-1.6693,3.0,1334,7,1.0,0.06,0,0,0.0,0.3,0.95,oncology,-0.4728,uncrowded,1.0,20,0.1,0.930605,1.4803,13.65,0.151246,-1.0311
ACRV,"Acrivon Therapeutics, Inc.",18,0.31,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.019573,,0,0.943709,1,0.056291,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_>2000bps,clinical_score:-40.7;financial_score:+25.5;smart_money_score:+15.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48428000.0, ""cash_total"": 129254000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.02791773354258, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",mid|none|nonpos,0.1,,-0.8916,1457,1,-1.7291,-1.4147,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,,-0.391106,,mid,micro,none,drug_developer,morningstar,,,drawdown,1,0.7221625544267053701015965167,50,41.25000000000000000000000000,61.0,50,5,71.17647058823529411764705883,3.8814,-1.684,2.0,1457,1,0.0,0.0,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,6,0.1,0.980427,2.0626,15.30,0.233096,-0.7287
