ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.82,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.661572,,0,0.671717,1,0.328283,80,0,specific_days,9,neutral,high_vol|drawdown_data_missing,L,tier_a_dev|sponsor_confirmed|high_risk,smart_money_score:+26.8;clinical_score:-21.8;financial_score:+11.9,tier=A;reason=high_opt+catalyst_near;cat_days=80;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_31_90|nonpos,-0.006232176470588235,,0.4443,0,1,-0.4868,0.0,9,9,buying,2.4945,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,80,False,specific_days,-0.137311,price_history,,9,1.1176,price_history,,,series_too_short,33.6988,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.8013581488933601609657947686,50,45.56250000000000000000000000,83.0,62.50,34.46280991735537190082644628,68.10227272727272727272727273,34.7787,-0.3952,2.0,80,6,1.0,0.5134,1,1,0.0,0.3,0.6,cns,-0.4109,uncrowded,1.0,152,-0.006232176470588235,0.338428,-0.4168,27.26,0.569869,0.176
EYPT,"EyePoint, Inc.",2,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.220524,,0,0.691919,1,0.308081,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,financial_score:-35.5;smart_money_score:+31.5;momentum_score:+9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 175063000.0, ""cash_total"": 204022000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.985045383661882, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 4}",late|none|pos,0.1,,-0.2366,,0,-0.4887,1.3703,4,4,buying,0.4887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,660.09,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.089951,price_history,,4,1.0262,price_history,,,series_too_short,32.9886,0.7147,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8716017145505097312326227989,50,41.25000000000000000000000000,72.0,38.17,34.41655788932399825956251730,5,33.4133,-0.4536,3.0,,4,1.0,0.0,0,0,0.0,0.4,0.55,ophthalmology,0.2878,moderate,1.0,51,0.1,0.779476,0.7704,11.90,0.085153,-1.3712
CHRS,"Coherus Oncology, Inc.",3,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.155022,,0,0.681818,1,0.318182,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,financial_score:+17.4;clinical_score:-15.2;catalyst_score:-8.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 118797000.0, ""cash_total"": 191663000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.31919011700611, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",late|none|pos,0.1,,0.9268,0,1,-0.4887,1.3703,1,1,buying,-0.7147,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1725.6,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.030549,price_history,,1,1.0447,price_history,,,series_too_short,29.5237,0.9928,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.7863618983355825461088618983,50,41.25000000000000000000000000,55.5,80.11,34.41655788932399825956251730,66.98113207547169811320754717,33.4168,-0.4535,3.0,,5,1.0,0.0,0,0,0.0,0.3,0.6,autoimmune,-0.4109,uncrowded,1.0,36,0.1,0.844978,1.0151,23.19,0.504367,0.0109
NMRA,"Neumora Therapeutics, Inc.",4,0.1,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.727074,,0,0.60101,1,0.39899,,0,no_upcoming,9,neutral,drawdown_data_missing,XS,runway_short|cost_haircut_<=2000bps,financial_score:-21.6;smart_money_score:+12.4;momentum_score:+7.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 158485000.0, ""cash_total"": 171525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 11.473010064043915, ""stage_bucket"": ""mid"", ""surv_score"": ""0.0"", ""tier1_count"": 1}",mid|none|pos,-0.010226825396825397,,-0.7161,756,1,-0.0143,2.3159,1,1,neutral,-0.7147,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=2000bps,1324.22,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.9459,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7153062296459712154638092237,50,41.25000000000000000000000000,55.0,50,45.96074380165289256198347108,21.01469237832874196510560147,44.9264,0.0388,2.0,756,1,0.0,0.0018,0,0,0.0,0.4,0.5,other,0.7537,highly_crowded,1.0,167,-0.010226825396825397,0.272926,-0.604,12.55,0.106987,-1.2427
VERA,"Vera Therapeutics, Inc.",5,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.762009,,0,0.651515,1,0.348485,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+19.4;clinical_score:-13.9;catalyst_score:-10.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",mid|none|pos,-0.010226825396825397,,-0.7181,699,1,-0.3335,1.6796,5,5,buying,0.8899,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,5,,,series_too_short,,no_price_series,,0.7858,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7463214247853281034665535885,50,41.25000000000000000000000000,71.5,50,38.19214876033057851239669421,59.40909090909090909090909091,37.1578,-0.2935,2.0,699,1,0.0,0.003,0,0,0.0,0.4,0.55,infectious_disease,0.7537,highly_crowded,1.0,175,-0.010226825396825397,0.237991,-0.7128,32.61,0.652838,0.393
PVLA,"Palvella Therapeutics, Inc.",6,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.740175,,0,0.641414,1,0.358586,,0,no_upcoming,9,neutral,high_beta|drawdown_data_missing,M,sponsor_confirmed|high_risk,smart_money_score:+25.6;financial_score:-15.7;clinical_score:-8.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,-0.010226825396825397,,-0.5777,190,1,-0.3335,1.6796,4,4,buying,0.4887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.09255,price_history,,4,2.2451,price_history,,,series_too_short,34.9063,,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7772841994970662196144174350,50,41.25000000000000000000000000,72.0,50,38.19214876033057851239669421,30.71768824609733700642791552,37.6984,-0.2704,2.0,190,1,0.0,0.2053,0,0,0.0,0.4,0.5,other,-3.4388,uncrowded,1.0,170,-0.010226825396825397,0.259825,-0.6439,25.11,0.530568,0.0767
ABSI,Absci Corporation,7,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.00655,,0,0.742424,1,0.257576,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-21.9;smart_money_score:+20.0;catalyst_score:-5.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,-0.2468,,0,-0.8906,0.5693,3,3,buying,0.0876,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.9218,,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089663629992992291520672740,50,41.25000000000000000000000000,66.5,69.35,24.63846366836754875202721411,50.07692307692307692307692307,24.3608,-0.8408,3.0,,6,1.0,0.1117,0,0,0.0,0.4,0.95,oncology,0.7537,highly_crowded,1.0,2,0.1,0.99345,2.481,18.44,0.329694,-0.4408
RCKT,"Rocket Pharmaceuticals, Inc.",8,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.744541,,0,0.732323,1,0.267677,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-21.9;smart_money_score:+19.1;catalyst_score:-5.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,-0.010226825396825397,,-0.6851,263,1,-0.8748,0.6008,3,3,buying,0.0876,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.130783,price_history,,3,1.3793,price_history,,,series_too_short,28.0067,0.6262,,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7990011210762331838565022422,50,41.25000000000000000000000000,66.0,69.64,25.02295684113865932047750229,52.45454545454545454545454545,23.9872,-0.8568,2.0,263,5,1.0,0.0302,0,0,0.0,0.3,0.5,other,-1.5755,uncrowded,1.0,171,-0.010226825396825397,0.255459,-0.6574,21.59,0.434498,-0.1649
CLDX,"Celldex Therapeutics, Inc.",9,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.159389,,0,0.762626,1,0.237374,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-27.0;smart_money_score:+23.1;financial_score:+9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.1,,0.9134,0,1,-1.0235,0.3042,4,4,buying,0.4887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.052059,price_history,,4,1.0761,price_history,,-0.2393,,36.7394,0.4801,,,late,small,none,drug_developer,morningstar,,,,0,0.8764675685050294831772459244,50,41.25000000000000000000000000,71.5,70.43,21.40302994343578181242830585,57.92307692307692307692307693,22.7572,-0.9094,3.0,,44,1.0,0.5294,1,0,0.0,0.4,0.95,oncology,-0.4109,uncrowded,1.0,37,0.1,0.840611,0.997,23.04,0.495633,-0.0109
CELC,Celcuity Inc.,10,0.96,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.687773,,0,0.752525,1,0.247475,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+34.0;clinical_score:-26.2;catalyst_score:-7.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",mid|none|pos,-0.010226825396825397,,-0.752,677,1,-0.967,0.4169,6,6,buying,1.291,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.363755,price_history,,6,0.2716,price_history,,,series_too_short,26.4296,,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7815456943011122577686045178,50,41.25000000000000000000000000,83.0,19.64,22.77777777777777777777777778,47.96745867768595041322314050,22.4421,-0.9228,2.0,1326,5,1.0,0.0009,0,0,0.0,0.3,0.95,oncology,-0.4109,uncrowded,1.0,158,-0.010226825396825397,0.312227,-0.4895,19.29,0.377729,-0.3115
ADCT,ADC Therapeutics SA,11,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.670306,,0,0.772727,1,0.227273,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-26.7;smart_money_score:+19.2;financial_score:+10.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,-0.010226825396825397,,0.4045,0,1,-1.0574,0.2367,3,3,buying,0.0876,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7505,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7778496798112571621166161105,50,41.25000000000000000000000000,66.5,87.50,20.57851239669421487603305786,58.25000000000000000000000000,21.313,-0.9711,2.0,72,10,1.0,0.5865,1,1,0.0,0.3,0.95,oncology,0.7537,highly_crowded,1.0,154,-0.010226825396825397,0.329694,-0.4408,20.22,0.395197,-0.2658
KOD,Kodiak Sciences Inc,12,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.325328,,0,0.984848,1,0.015152,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,smart_money_score:+31.2;clinical_score:-30.3;financial_score:-21.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",mid|none|nonpos,0.1,,-0.8367,446,1,-1.6976,-1.0394,3,3,buying,0.0876,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.047795,price_history,,3,0.8365,price_history,,,series_too_short,39.4023,0.8241,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7862229535688083010166649198,50,41.25000000000000000000000000,66.5,50,5,13.84940312213039485766758493,3.6143,-1.7281,2.0,446,1,0.0,0.0121,0,0,0.0,0.3,0.55,ophthalmology,0.7537,highly_crowded,1.0,75,0.1,0.674672,0.4529,7.56,0.041485,-1.7337
FDMT,"4D Molecular Therapeutics, Inc.",13,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.840611,,0,0.964646,1,0.035354,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,clinical_score:-35.9;smart_money_score:+14.1;financial_score:+12.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""early"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",early|none|nonpos,-0.029776828685258962,,-1.4498,,0,-1.6976,-1.0394,1,1,neutral,-0.7147,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.8446,,,early,small,none,drug_developer,morningstar,,,drawdown,1,0.7114035995035167563094745552,50,41.25000000000000000000000000,55.0,50,5,53.00000000000000000000000000,3.2967,-1.7416,0.0,567,1,0.0,0.0,0,0,0.0,0.0,0.5,other,0.2878,moderate,1.0,193,-0.029776828685258962,0.159389,-0.997,17.84,0.303493,-0.5144
CTMX,"CytomX Therapeutics, Inc.",14,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.194323,,0,0.954545,1,0.045455,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+40.7;clinical_score:-37.3;financial_score:-10.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 52344000.0, ""cash_total"": 34185000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.837001375515818, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 6}",mid|none|nonpos,0.1,,-0.2579,69,1,-1.6976,-1.0394,6,6,buying,1.291,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,786.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.183699,price_history,,6,1.0461,price_history,,,series_too_short,29.3016,0.9241,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7856003584229390681003584229,50,41.25000000000000000000000000,83.0,55.36,5,32.03397612488521579430670340,5.873,-1.6315,2.0,69,5,1.0,0.6834,1,1,0.0,0.3,0.95,oncology,0.7537,highly_crowded,1.0,45,0.1,0.805677,0.8621,13.29,0.124454,-1.153
CRSP,CRISPR Therapeutics AG,15,0.96,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.189956,,0,0.944444,1,0.055556,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-40.9;financial_score:+21.4;smart_money_score:+20.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,-0.3039,1392,1,-1.6976,-1.0394,3,3,buying,0.0876,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.174155,price_history,,3,0.9318,price_history,,-0.223,,24.9276,0.5582,,,late,mid,none,drug_developer,morningstar,,,,0,0.8829796426444312090530077427,50,41.25000000000000000000000000,66.0,57.80,5,67.35714285714285714285714286,4.3454,-1.6968,3.0,1942,3,0.6667,0.0,0,0,0.0,0.3,0.95,oncology,0.2878,moderate,1.0,44,0.1,0.810044,0.8781,22.15,0.460699,-0.0987
CNTA,Centessa Pharmaceuticals plc,16,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.168122,,0,0.934343,1,0.065657,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+41.4;clinical_score:-30.6;financial_score:-30.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,-0.3467,868,1,-1.6976,-1.0394,7,7,buying,1.6922,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,7,,,series_too_short,,no_price_series,,0.5724,,,late,mid,sev1,drug_developer,morningstar,,,drawdown,1,0.8501031050011851149561507466,50,41.25000000000000000000000000,77.0,10.22,5,5,4.6656,-1.6831,3.0,868,2,0.3333,0.0021,0,0,0.0,0.4,0.75,rare_disease,0.7537,highly_crowded,1.0,39,0.1,0.831878,0.9616,12.33,0.093886,-1.3172
LQDA,Liquidia Corporation,17,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.334061,,0,0.914141,1,0.085859,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,smart_money_score:+31.4;clinical_score:-28.6;financial_score:-25.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.8729,0,1,-1.6759,-0.996,3,3,buying,0.0876,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.045959,price_history,,3,0.6666,price_history,,-0.3909,,42.5676,0.5778,,,late,mid,sev1,drug_developer,morningstar,,,,0,0.8687981060154854079809410363,50,41.25000000000000000000000000,65.5,22.04,5.530240101261817174953522406,8.360685941043083900226757365,4.8745,-1.6742,3.0,285,3,0.6667,0.093,0,0,0.0,0.3,0.85,cardiovascular,0.7537,highly_crowded,1.0,77,0.1,0.665939,0.4287,9.16,0.050218,-1.6427
TENX,"Tenax Therapeutics, Inc.",18,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.473799,,0,0.90404,1,0.09596,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,clinical_score:-36.5;financial_score:+18.1;smart_money_score:+12.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|nonpos,0.1,,0.8789,0,1,-1.6444,-0.9334,1,1,buying,-0.7147,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.350051,price_history,,1,1.0005,price_history,,,series_too_short,14.0784,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8540472690718195018429576678,50,41.25000000000000000000000000,55.5,90.00,6.294450377754044539377398045,60.89622641509433962264150944,8.0445,-1.5386,3.0,,4,1.0,0.8119,1,1,0.0,0.4,0.85,cardiovascular,-0.4109,uncrowded,1.0,109,0.1,0.526201,0.0657,19.09,0.355895,-0.3695
