ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.03,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.945614,,0,0.932258,1,0.067742,38,1,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-41.5;smart_money_score:+36.0;financial_score:+11.1,tier=A;reason=high_opt+catalyst_near;cat_days=38;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_31_90|nonpos,0.00031880246913580245,,0.6931,0,1,-1.6341,0.0,6,6,buying,1.1662,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,38,True,specific_days,-0.068056,price_history,,6,0.6165,price_history,,-0.288365,,53.148,,-0.206671,-0.081694,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,50.86,37.45907600000000000000000000,83.0,15.03,5.501736111111111111111111110,58.13333333333333333333333334,6.0682,-1.5899,3.0,1012,7,1.0,0.8779,1,1,0.0,0.3,0.95,oncology,-0.4844,uncrowded,1.0,270,0.00031880246913580245,0.054386,-1.6037,14.44,0.173684,-0.9397,1.6e-05,0.0,0.0,0.0,0.0,1.6e-05,0.0
DNLI,Denali Therapeutics Inc.,2,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.791228,,0,0.622581,1,0.377419,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,financial_score:+27.1;clinical_score:-15.9;catalyst_score:-11.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.007144706586826348,,0.7597,0,1,-0.2864,1.936,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.144177,price_history,,3,0.8916,price_history,,-0.346993,,35.3793,0.5691,-0.206671,-0.140322,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,45.91,41.25000000000000000000000000,60.5,46.50,37.06250000000000000000000000,80.0,35.9479,-0.3295,3.0,887,11,1.0,0.0648,0,0,0.0,0.4,0.6,cns,-0.4844,uncrowded,1.0,226,0.007144706586826348,0.208772,-0.8107,35.46,0.696491,0.5143,2.904357,2.904,0.0,0.0,0.0,0.000357,0.0
CRNX,"Crinetics Pharmaceuticals, Inc.",3,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.787719,,0,0.654839,1,0.345161,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+29.4;clinical_score:-29.3;catalyst_score:-23.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.007144706586826348,,0.7582,0,1,-0.3738,1.7426,5,5,buying,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.715977,price_history,,5,1.1665,price_history,,-0.057862,,70.0966,0.6688,-0.206671,0.148809,late,mid,none,drug_developer,morningstar,,,,0,0.8739125269461077844311377246,93.70,41.25000000000000000000000000,71.5,29.02,35.01562500000000000000000000,80.0,35.3807,-0.3534,3.0,120,7,1.0,0.8035,0,2,0.0,0.5,0.95,oncology,0.6955,highly_crowded,1.0,225,0.007144706586826348,0.212281,-0.7985,27.26,0.563158,0.159,2.614257,2.6139,0.0,0.0,0.0,0.000357,0.0
SVRA,"Savara, Inc.",4,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.903509,,0,0.712903,1,0.287097,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+38.9;financial_score:-27.2;clinical_score:-21.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.007144706586826348,,0.746,0,1,-0.7101,0.9984,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.557969,price_history,,3,1.2432,price_history,,-0.025773,,53.4505,0.6811,-0.206671,0.180898,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,87.75,41.25000000000000000000000000,66.5,58.39,27.14062500000000000000000000,21.72022684310018903591682419,26.9698,-0.7082,3.0,69,9,1.0,0.8441,1,1,0.0,0.4,0.5,respiratory,0.6955,highly_crowded,1.0,258,0.007144706586826348,0.096491,-1.3018,12.87,0.121053,-1.1697,1.497957,1.4976,0.0,0.0,0.0,0.000357,0.0
INBX,"Inhibrx Biosciences, Inc.",5,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.370175,,0,0.687097,1,0.312903,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+23.4;financial_score:-17.3;clinical_score:-11.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.030078054054054053,,0.2188,0,1,-0.5033,1.456,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.206671,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,44.59,31.98279764599366229062924399,25.83662793622051204667773251,31.2182,-0.529,2.0,739,5,1.0,0.013,0,0,0.0,0.4,0.95,oncology,0.6955,highly_crowded,1.0,106,0.030078054054054053,0.629825,0.3314,17.11,0.289474,-0.5549,1.457504,1.456,0.0,0.0,0.0,0.001504,0.0
KALV,"KalVista Pharmaceuticals, Inc.",6,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.850877,,0,0.719355,1,0.280645,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-18.0;momentum_score:+13.7;smart_money_score:+10.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.007144706586826348,,0.7455,0,1,-0.764,0.8789,2,2,selling,-0.3887,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.075022,price_history,,2,0.605,price_history,,-0.383784,,30.1633,0.6376,-0.206671,-0.177113,late,small,sev1,drug_developer,morningstar,,,,0,0.8797717560805306644943558711,57.56,41.25000000000000000000000000,54.5,60.49,25.87673611111111111111111111,40.06408550958015356251021028,25.0071,-0.791,3.0,100,4,1.0,0.6525,0,1,0.0,0.4,0.55,ophthalmology,0.6955,highly_crowded,1.0,243,0.007144706586826348,0.149123,-1.0402,21.71,0.457895,-0.1057,1.318707,1.31835,0.0,0.0,0.0,0.000357,0.0
URGN,UroGen Pharma Ltd.,7,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.914035,,0,0.732258,1,0.267742,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,momentum_score:+38.4;financial_score:-34.3;smart_money_score:+24.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.007144706586826348,,0.7426,0,1,-0.8439,0.7022,4,4,buying,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.501493,price_history,,4,-0.0325,price_history,,-0.306979,,39.7817,0.7699,-0.206671,-0.100308,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,85.47,41.25000000000000000000000000,72.0,73.08,24.00694444444444444444444444,12.86662465868515017853392145,22.8871,-0.8804,3.0,1593,13,1.0,0.0002,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,261,0.007144706586826348,0.085965,-1.366,4.74,0.008772,-2.3751,1.053657,1.0533,0.0,0.0,0.0,0.000357,0.0
REPL,"Replimune Group, Inc.",8,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.394737,,0,0.725806,1,0.274194,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-18.0;financial_score:+11.6;smart_money_score:+9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.030078054054054053,,-1.0428,696,1,-0.784,0.8348,5,5,selling,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.16122,price_history,,5,0.9851,price_history,,-0.423169,,28.8189,0.5897,-0.206671,-0.216498,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014295339696799550814149354,42.52,41.25000000000000000000000000,53.0,66.22,25.40968764146672702580353100,55.10638297872340425531914894,24.2899,-0.8213,2.0,696,7,1.0,0.0064,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,113,0.030078054054054053,0.605263,0.267,18.63,0.35614,-0.3688,0.836304,0.8348,0.0,0.0,0.0,0.001504,0.0
ZBIO,"Zenas BioPharma, Inc.",9,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.924561,,0,0.751613,1,0.248387,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-24.6;smart_money_score:+20.3;financial_score:+5.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.007144706586826348,,0.7321,0,1,-0.9483,0.4712,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.206671,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089584306398879028491359178,50,41.25000000000000000000000000,66.5,37.41,21.56250000000000000000000000,51.56521739130434782608695652,20.0979,-0.9981,3.0,783,5,1.0,0.1031,0,0,0.0,0.4,0.6,autoimmune,0.6955,highly_crowded,1.0,264,0.007144706586826348,0.075439,-1.4364,15.99,0.24386,-0.6939,0.707157,0.7068,0.0,0.0,0.0,0.000357,0.0
FDMT,"4D Molecular Therapeutics, Inc.",10,0.11,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.363158,,0,0.745161,1,0.254839,,0,no_upcoming,9,headwind,deep_drawdown,XS,momentum_headwind|cost_haircut_<=2000bps,financial_score:+23.1;clinical_score:-22.7;smart_money_score:+9.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",mid|none|pos,0.030078054054054053,,-1.0449,832,1,-0.8741,0.6353,1,1,neutral,-0.7775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.091312,price_history,,1,1.1512,price_history,,-0.453653,,21.7851,0.8446,-0.206671,-0.246982,mid,small,none,drug_developer,morningstar,,,,0,0.7762887760857304004512126340,41.33,41.25000000000000000000000000,55.0,68.92,23.29912982244353905739147930,69.14893617021276595744680851,21.5425,-0.9372,2.0,1166,7,1.0,0.0005,0,0,0.0,0.3,0.5,respiratory,0.2236,moderate,1.0,104,0.030078054054054053,0.636842,0.35,25.26,0.514035,0.0352,0.636804,0.6353,0.0,0.0,0.0,0.001504,0.0
BDTX,"Black Diamond Therapeutics, Inc.",11,0.22,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.236842,,0,0.609677,1,0.390323,,0,no_upcoming,9,tailwind,high_beta|deep_drawdown,S,momentum_tailwind|high_risk|cost_haircut_<=2000bps,clinical_score:-11.5;momentum_score:+10.3;catalyst_score:-8.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 0.0, ""cash_total"": 30864000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": null, ""stage_bucket"": ""early"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",early|none|pos,0.04806494736842105,,-1.6027,773,1,-0.2274,2.0666,1,1,buying,-0.7775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1969.35,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.128022,price_history,,1,2.1099,price_history,,-0.44822,,46.8807,0.7908,-0.206671,-0.241549,early,micro,none,drug_developer,morningstar,,,,0,0.7487466695086859213471171267,60.29,41.25000000000000000000000000,55.5,90.00,38.44444444444444444444444444,54.40000000000000000000000000,37.3246,-0.2714,1.0,773,2,0.3333,0.0004,0,0,0.0,0.3,0.85,oncology,0.6955,highly_crowded,1.0,68,0.04806494736842105,0.763158,0.7165,30.90,0.612281,0.2853,0.002403,0.0,0.0,0.0,0.0,0.002403,0.0
FHTX,Foghorn Therapeutics Inc.,12,0.09,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.264912,,0,0.648387,1,0.351613,,0,no_upcoming,9,headwind,deep_drawdown,XS,momentum_headwind|cost_haircut_>2000bps,financial_score:-19.1;smart_money_score:+14.1;momentum_score:+5.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63828000.0, ""cash_total"": 89334000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 16.795262267343485, ""stage_bucket"": ""early"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",early|none|pos,0.04806494736842105,,-1.0376,69,1,-0.3526,1.7896,1,1,neutral,-0.7775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,>2000bps,2036.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.197216,price_history,,1,0.7567,price_history,,-0.387031,,29.9636,0.9327,-0.206671,-0.18036,early,small,sev1,drug_developer,morningstar,,,,0,0.7395520635957748012632037461,43.37,41.25000000000000000000000000,52.5,56.82,35.51308641975308641975308642,19.30486968449931412894375857,35.2161,-0.3603,1.0,69,3,0.6667,0.2774,2,0,0.0,0.3,0.85,oncology,0.6955,highly_crowded,1.0,76,0.04806494736842105,0.735088,0.6283,18.76,0.363158,-0.35,0.002403,0.0,0.0,0.0,0.0,0.002403,0.0
PRTA,Prothena Corporation plc,13,0.43,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.885965,,0,0.783871,1,0.216129,,0,no_upcoming,9,neutral,deep_drawdown,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-24.8;financial_score:+13.3;smart_money_score:+11.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|pos,0.007144706586826348,,0.7264,0,1,-1.0503,0.2455,2,2,neutral,-0.3887,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.193443,price_history,,2,0.5943,price_history,,-0.351062,,33.3696,0.4848,-0.206671,-0.144391,late,small,none,drug_developer,morningstar,,,,0,0.8475046085637615214094038035,47.32,41.25000000000000000000000000,55.0,84.97,19.17361111111111111111111111,57.30434782608695652173913043,17.709,-1.0989,3.0,558,9,1.0,0.0662,0,0,0.0,0.4,0.6,cns,0.6955,highly_crowded,1.0,253,0.007144706586826348,0.114035,-1.2053,20.43,0.405263,-0.2397,0.368607,0.36825,0.0,0.0,0.0,0.000357,0.0
VTYX,"Ventyx Biosciences, Inc.",14,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.531579,,0,0.996774,1,0.003226,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-44.3;smart_money_score:+22.7;financial_score:+17.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.014475529411764708,,0.0666,3,1,-1.6555,-1.094,4,4,buying,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.200141,price_history,,4,1.0016,price_history,,-0.259807,,50.245,1.2298,-0.206671,-0.053136,mid,small,none,drug_developer,morningstar,,,,0,0.7407662748643761301989150090,61.90,41.25000000000000000000000000,72.0,28.38,5,66.34042553191489361702127660,5.0431,-1.6332,2.0,3,3,0.6667,1.5005,1,2,0.0,0.4,0.6,autoimmune,0.6955,highly_crowded,1.0,152,0.014475529411764708,0.468421,-0.0792,15.83,0.233333,-0.7279,0.000724,0.0,0.0,0.0,0.0,0.000724,0.0
VERA,"Vera Therapeutics, Inc.",15,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.208772,,0,0.983871,1,0.016129,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-47.1;financial_score:+23.6;smart_money_score:+19.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.057520273504273495,,-0.5686,601,1,-1.6555,-1.094,5,5,buying,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.052557,price_history,,5,1.0142,price_history,,-0.345651,,29.6868,0.7858,-0.206671,-0.13898,late,mid,none,drug_developer,morningstar,,,,0,0.7847545752030056962792388801,67.00,41.25000000000000000000000000,71.5,10.00,5,75.73333333333333333333333333,3.5354,-1.6968,3.0,601,3,0.6667,0.0108,0,0,0.0,0.4,0.55,infectious_disease,0.6955,highly_crowded,1.0,60,0.057520273504273495,0.791228,0.8107,18.01,0.335088,-0.4259,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
TSHA,"Taysha Gene Therapies, Inc.",16,0.88,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.019298,,0,0.977419,1,0.022581,1267,0,specific_days,9,tailwind,high_beta,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-54.6;momentum_score:+36.9;smart_money_score:+25.4,tier=B;reason=high_opt+catalyst_far;cat_days=1267;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 66368000.0, ""cash_total"": 297344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.76277724204436, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",late|far_271_540|nonpos,0.07241476923076924,,-0.6053,1267,1,-1.6555,-1.094,9,9,buying,2.3324,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,881.38,0.85,1,0,1.0,0,1.0,0,1267,False,specific_days,4.310231,price_history,,9,2.6225,price_history,,-0.199454,,53.5104,0.7836,-0.206671,0.007217,late,small,none,drug_developer,morningstar,,,,0,0.7976474022183304144775248103,96.55,45.56250000000000000000000000,85,23.43,5,65.91304347826086956521739130,3.5302,-1.697,3.0,2809,3,0.6667,0.0,0,0,0.0,0.3,0.5,other,-1.1923,uncrowded,1.0,6,0.07241476923076924,0.980702,2.0685,19.56,0.391228,-0.2761,0.003621,0.0,0.0,0.0,0.0,0.003621,0.0
TRDA,"Entrada Therapeutics, Inc.",17,0.17,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.696491,,0,0.970968,1,0.029032,,0,no_upcoming,9,tailwind,deep_drawdown,S,momentum_tailwind|runway_short|cost_haircut_>2000bps,clinical_score:-26.3;financial_score:-25.9;momentum_score:+24.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 128512000.0, ""cash_total"": 90394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.440674800796813, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 1}",early|none|nonpos,0.007665645645645646,,-1.7814,,0,-1.6555,-1.094,1,1,selling,-0.7775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.161046,price_history,,1,1.2167,price_history,,-0.367266,,46.8885,0.5606,-0.206671,-0.160595,early,small,sev2,drug_developer,morningstar,,,,0,0.7763785017638514214567337622,55.26,41.25000000000000000000000000,49.5,50,5,5.401111111111111111111111112,3.5302,-1.697,0.0,498,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-0.4844,uncrowded,1.0,199,0.007665645645645646,0.303509,-0.5143,4.82,0.012281,-2.2482,0.000383,0.0,0.0,0.0,0.0,0.000383,0.0
