ticker,tier_dev,actionable_rank,size_band,target_weight_pct,tier_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id
IRON,A,1,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,86,3,headwind,,106,37.01,drug_developer,0.60929,v1.3.0,96f655ee
TENX,A,2,L,4.48,high_opt+catalyst_mid,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,specific_days,146,9,tailwind,deep_drawdown_rel_xbi,146,30.20,drug_developer,0.603825,v1.3.0,96f655ee
CRSP,A,3,L,6.4,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,37,9,headwind,,160,28.45,drug_developer,0.740437,v1.3.0,96f655ee
PVLA,A,4,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,25,3,neutral,,181,24.42,drug_developer,0.625683,v1.3.0,96f655ee
ORKA,A,5,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,117,3,tailwind,,186,23.32,drug_developer,0.855191,v1.3.0,96f655ee
PRTA,A,6,M,2.69,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,18,2,headwind,deep_drawdown_rel_xbi,189,22.89,drug_developer,0.718579,v1.3.0,96f655ee
SRRK,A,7,L,6.4,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,117,3,tailwind,,195,21.33,drug_developer,0.647541,v1.3.0,96f655ee
BCAX,A,8,L,4.48,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,147,2,neutral,,196,21.30,drug_developer,0.756831,v1.3.0,96f655ee
CLYM,A,9,L,4.48,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,specific_days,56,3,tailwind,,198,21.22,drug_developer,0.680328,v1.3.0,96f655ee
ATXS,A,10,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,86,9,neutral,,205,20.38,drug_developer,0.893443,v1.3.0,96f655ee
DNTH,A,11,L,5.44,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,146,3,tailwind,,212,19.81,drug_developer,0.948087,v1.3.0,96f655ee
NUVL,A,12,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,25,3,headwind,,213,19.46,drug_developer,0.931694,v1.3.0,96f655ee
PHVS,A,13,L,4.48,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,10,9,neutral,,219,19.02,drug_developer,0.696721,v1.3.0,96f655ee
ARTV,A,14,M,2.69,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,56,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,220,19.00,drug_developer,0.724044,v1.3.0,96f655ee
RAPP,A,15,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,56,2,neutral,,222,18.94,drug_developer,0.806011,v1.3.0,96f655ee
KURA,A,16,L,5.44,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,178,3,headwind,deep_drawdown_rel_xbi,226,18.25,drug_developer,0.713115,v1.3.0,96f655ee
CELC,A,17,L,6.4,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,25,9,tailwind,,228,17.85,drug_developer,0.838798,v1.3.0,96f655ee
CGON,A,18,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,117,3,tailwind,,237,17.29,drug_developer,0.877049,v1.3.0,96f655ee
AURA,A,19,M,2.11,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,147,2,headwind,deep_drawdown_rel_xbi,241,16.89,drug_developer,0.800546,v1.3.0,96f655ee
ACLX,A,20,L,6.4,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,117,3,headwind,,242,16.88,drug_developer,0.92623,v1.3.0,96f655ee
