ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
PRAX,"Praxis Precision Medicines, Inc",1,0.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.648148,,0,0.697605,1,0.302395,10,1,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+39.6;clinical_score:-32.5;smart_money_score:+24.5,tier=A;reason=high_opt+catalyst_near;cat_days=10;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 249068000.0, ""cash_total"": 599331000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.875535998201293, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_0_30|pos,0.057253918032786885,,0.5348,0,1,-0.7107,1.6022,8,8,buying,1.8698,elite_8,14.2053,14.2053,3.66,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,221.16,1.0,0,0,1.0,0,1.0,0,10,True,specific_days,3.113286,price_history,,8,0.4693,price_history,,-0.022587,,60.8941,0.9863,0.0,-0.022587,late,mid,none,drug_developer,morningstar,,,,0,0.8156330562582821346825683653,96.55,44.66680177777777777777777778,81.39438485547196200931674974,55.13,24.38379542113001470279353077,37.65306122448979591836734695,24.5761,-0.8097,3.0,185,11,1.0,1.5842,1,1,0.0,0.8,0.6,cns,0.679,highly_crowded,1.0,193,0.057253918032786885,0.351852,-0.3803,14.27,0.193603,-0.8647
ZBIO,"Zenas BioPharma, Inc.",2,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.425926,,0,0.709581,1,0.290419,65,0,specific_days,9,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+40.5;clinical_score:-33.8;smart_money_score:+12.8,tier=A;reason=high_opt+catalyst_near;cat_days=65;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|near_31_90|pos,0.1,,0.5325,0,1,-0.8017,1.2811,3,3,buying,-0.0451,elite_3,5.4026,5.4026,2.08,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,65,False,specific_days,0.382662,price_history,,3,2.8431,price_history,,-0.041944,,64.7969,1.5048,0.0,-0.041944,late,small,none,drug_developer,morningstar,,,,0,0.8188563049853372434017595308,96.55,45.56250000000000000000000000,68.77105858901155370998366035,25.65,22.24768956101659315269901281,46.95229746511797793849075901,21.6989,-0.9318,3.0,214,8,1.0,1.048,1,1,0.0,0.4,0.6,autoimmune,0.679,highly_crowded,1.0,127,0.1,0.574074,0.1868,16.67,0.291246,-0.5497
ALMS,Alumis Inc.,3,0.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.60101,,0,0.715569,1,0.284431,3,1,specific_days,9,tailwind,high_vol|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,financial_score:-43.0;smart_money_score:+37.0;momentum_score:+34.9,tier=A;reason=high_opt+catalyst_near;cat_days=3;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 297616000.0, ""cash_total"": 377724000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 15.229987635073384, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 7}",late|near_0_30|pos,0.057253918032786885,,0.5302,0,1,-0.8241,1.2019,7,7,buying,1.4868,elite_7,11.134,11.134,10.45,14,fresh,0.0,0,0,0,True,False,True,near,1.0,short,<=400bps,343.6,1.0,0,0,1.0,0,1.0,0,3,True,specific_days,0.332268,price_history,,7,1.0538,price_history,,-0.238332,,89.3245,2.1586,0.0,-0.238332,late,mid,sev2,drug_developer,morningstar,,,,0,0.8324897861091083874068733478,82.96,45.56250000000000000000000000,85,64.62,21.72022684310018903591682419,5,22.2218,-0.9096,3.0,3,6,1.0,3.3832,3,2,0.0909,0.4,0.6,autoimmune,0.679,highly_crowded,1.0,179,0.057253918032786885,0.39899,-0.256,7.60,0.042088,-1.727
RVMD,"Revolution Medicines, Inc.",4,0.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.658249,,0,0.727545,1,0.272455,3,1,specific_days,9,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-37.0;smart_money_score:+26.8;momentum_score:+26.0,tier=A;reason=high_opt+catalyst_near;cat_days=3;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_0_30|pos,0.057253918032786885,,0.5299,0,1,-0.8465,1.123,8,8,buying,1.8698,elite_8,19.5609,19.5609,10.31,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,3,True,specific_days,0.650152,price_history,,8,1.0888,price_history,,0.0,,87.9463,0.4254,0.0,0.0,late,large,none,drug_developer,morningstar,,,,0,0.8914482913444749314043402345,84.20,45.56250000000000000000000000,85,36.71,21.19538962402856542743121193,54.89130434782608695652173913,20.7046,-0.974,3.0,185,12,1.0,0.6487,1,0,0.0,0.3,0.95,oncology,0.679,highly_crowded,1.0,196,0.057253918032786885,0.341751,-0.4077,22.40,0.476431,-0.0591
IMVT,"Immunovant, Inc.",5,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.207071,,0,0.745509,1,0.254491,34,1,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-28.3;financial_score:+20.3;smart_money_score:+16.0,tier=A;reason=high_opt+catalyst_near;cat_days=34;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 312251000.0, ""cash_total"": 994525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.220213866408756, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|near_31_90|pos,0.1,,0.5284,0,1,-0.9129,0.8887,6,6,selling,1.1038,elite_6,9.5664,9.5664,4.38,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,478.91,0.85,1,0,1.0,0,1.0,0,34,True,specific_days,0.025252,price_history,,6,1.487,price_history,,-0.165515,,62.4281,0.5723,0.0,-0.165515,late,mid,none,drug_developer,morningstar,,,,0,0.8930569228932919551205538315,52.58,35.38990400000000000000000000,63.90984620907751607095351315,53.37,19.63663095988237765175383322,68.21428571428571428571428572,19.3547,-1.0313,3.0,93,14,1.0,1.6762,1,2,0.0,0.4,0.6,autoimmune,0.2017,moderate,1.0,62,0.1,0.792929,0.8166,29.42,0.590909,0.2299
PRTA,Prothena Corporation plc,6,0.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.318182,,0,0.751497,1,0.248503,56,1,specific_days,9,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-26.4;momentum_score:+13.3;financial_score:+7.6,tier=A;reason=high_opt+catalyst_near;cat_days=56;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|near_31_90|pos,0.1,,0.5266,0,1,-0.9348,0.8114,2,2,neutral,-0.4281,elite_2,3.2825,3.2825,2.39,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,56,True,specific_days,-0.016681,price_history,,2,1.0253,price_history,,-0.336829,,58.074,0.4848,0.0,-0.336829,late,small,none,drug_developer,morningstar,,,,0,0.8689676817174192042935480107,58.77,43.76484444444444444444444444,52.78006163138796229471990603,75.75,19.12229573618987607645452636,53.07692307692307692307692308,17.7162,-1.1009,3.0,1310,11,1.0,0.1934,1,0,0.0,0.4,0.6,cns,0.679,highly_crowded,1.0,95,0.1,0.681818,0.4728,19.58,0.395623,-0.2647
CNTX,Context Therapeutics Inc.,7,0.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.136364,,0,0.787425,1,0.212575,33,1,specific_days,9,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-26.5;financial_score:+23.0;momentum_score:+11.5,tier=A;reason=high_opt+catalyst_near;cat_days=33;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 17442425.0, ""cash_total"": 76938183.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 52.93175667947548, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 0}",mid|near_31_90|pos,0.1,,-0.0675,0,1,-1.0542,0.3899,0,0,neutral,-1.1941,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1735.81,0.7,1,0,1.0,0,1.0,0,33,True,specific_days,0.134245,price_history,,0,0.6868,price_history,,-0.282051,,47.8408,,0.0,-0.282051,mid,micro,none,drug_developer,morningstar,,,,0,0.7678587220871103250055273049,54.38,34.82617777777777777777777778,,89.47,16.31772268135904499540863177,65.81818181818181818181818182,15.9815,-1.1745,2.0,33,7,1.0,0.7746,1,1,0.0,0.3,0.95,oncology,0.679,highly_crowded,1.0,41,0.1,0.863636,1.0968,16.95,0.314815,-0.4822
CNTA,Centessa Pharmaceuticals plc,8,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.685185,,0,0.949102,1,0.050898,3,1,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+41.9;clinical_score:-40.1;financial_score:-38.4,tier=A;reason=high_opt+catalyst_near;cat_days=3;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|near_0_30|nonpos,0.0566169393939394,,0.4629,0,1,-1.5361,-1.311,7,7,buying,1.4868,elite_7,12.3805,12.3805,3.22,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,3,True,specific_days,0.722875,price_history,,7,0.3636,price_history,,-0.011576,,67.7361,0.5724,0.0,-0.011576,late,mid,sev1,drug_developer,morningstar,,,,0,0.8955277975766215253029223093,87.08,45.56250000000000000000000000,81.34473275649578555620820372,25.04,5,6.734693877551020408163265306,5.3439,-1.6261,3.0,,9,1.0,1.3024,1,2,0.0,0.4,0.95,oncology,0.679,highly_crowded,1.0,204,0.0566169393939394,0.314815,-0.4822,10.72,0.085859,-1.3667
VERA,"Vera Therapeutics, Inc.",9,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.732323,,0,0.937126,1,0.062874,107,0,specific_days,9,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-45.9;smart_money_score:+27.4;financial_score:+18.0,tier=A;reason=high_opt+catalyst_near;cat_days=107;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|near_91_180|nonpos,0.037547915422885575,,0.4904,0,1,-1.5212,-1.2586,5,5,buying,0.7208,elite_5,10.6047,10.6047,4.44,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,107,False,specific_days,0.016722,price_history,,5,1.6489,price_history,,-0.321608,,66.4146,0.7858,0.0,-0.321608,late,mid,none,drug_developer,morningstar,,,,0,0.8297852316602316602316602317,57.43,45.56250000000000000000000000,78.63822124983100358260553164,51.46,5.348666246586851501785339217,69.28571428571428571428571428,4.0579,-1.6807,3.0,107,4,1.0,0.7183,0,1,0.0,0.4,0.55,infectious_disease,0.679,highly_crowded,1.0,218,0.037547915422885575,0.267677,-0.6199,18.00,0.348485,-0.3894
FDMT,"4D Molecular Therapeutics, Inc.",10,0.33,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.56734,,0,0.92515,1,0.07485,34,1,specific_days,9,tailwind,high_beta,M,tier_a_dev|momentum_tailwind|high_risk|cost_haircut_<=2000bps,momentum_score:+42.0;clinical_score:-40.5;financial_score:+15.2,tier=A;reason=high_opt+catalyst_near;cat_days=34;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",late|near_31_90|nonpos,0.05985007981220658,,0.0509,34,1,-1.5026,-1.1927,1,1,neutral,-0.8111,elite_1,1.2427,1.2427,0.49,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,34,True,specific_days,0.087673,price_history,,1,2.1267,price_history,,-0.049715,,59.4579,0.8446,0.0,-0.049715,late,small,none,drug_developer,morningstar,,,,0,0.8203107010793054903801032379,88.34,35.38990400000000000000000000,40.55820624996227399282140782,42.72,5.786862003780718336483931954,61.53846153846153846153846154,4.3225,-1.6694,3.0,458,8,1.0,0.3656,1,0,0.0,0.3,0.55,ophthalmology,0.2017,moderate,1.0,169,0.05985007981220658,0.43266,-0.1696,16.33,0.281145,-0.5794
AVBP,"ArriVent BioPharma, Inc.",11,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.681818,,0,0.919162,1,0.080838,3,1,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-33.5;financial_score:+19.1;smart_money_score:+13.0,tier=A;reason=high_opt+catalyst_near;cat_days=3;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 129930000.0, ""cash_total"": 300266000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.731794042946202, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|near_0_30|nonpos,0.0566169393939394,,0.4951,0,1,-1.4649,-1.0598,4,4,selling,0.3378,elite_4,5.4491,5.4491,1.75,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,986.33,0.85,1,0,1.0,0,1.0,0,3,True,specific_days,-0.350664,price_history,,4,1.6536,price_history,,-0.234312,,69.2358,0.6474,0.0,-0.234312,late,small,none,drug_developer,morningstar,,,,0,0.8829380625654145830910570997,36.23,45.56250000000000000000000000,53.11638963874010283540687839,54.25,6.671130014702793530770846454,59.23076923076923076923076923,5.965,-1.5997,3.0,809,5,1.0,0.2459,1,0,0.0,0.4,0.95,oncology,0.679,highly_crowded,1.0,203,0.0566169393939394,0.318182,-0.4728,17.50,0.335017,-0.4261
ADCT,ADC Therapeutics SA,12,0.33,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.550505,,0,0.901198,1,0.098802,65,0,specific_days,9,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,clinical_score:-38.1;smart_money_score:+34.6;financial_score:+8.5,tier=A;reason=high_opt+catalyst_near;cat_days=65;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_31_90|nonpos,0.05985007981220658,,0.498,0,1,-1.4076,-0.8575,3,3,buying,-0.0451,elite_3,5.9848,5.9848,6.1,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,65,False,specific_days,-0.131508,price_history,,3,1.2459,price_history,,-0.071274,,56.2015,0.7505,0.0,-0.071274,late,small,none,drug_developer,morningstar,,,,0,0.8188606259524088617981479311,41.57,45.56250000000000000000000000,80.70367659227953867388468283,67.79,8.017223272421760134425540846,54.61538461538461538461538461,8.2095,-1.5044,3.0,92,19,1.0,1.6168,1,3,0.0,0.3,0.95,oncology,0.679,highly_crowded,1.0,164,0.05985007981220658,0.449495,-0.1269,15.78,0.260943,-0.6404
KOD,Kodiak Sciences Inc,13,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.577441,,0,0.877246,1,0.122754,64,0,specific_days,9,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,momentum_score:+52.3;financial_score:-39.3;clinical_score:-34.9,tier=A;reason=high_opt+catalyst_near;cat_days=64;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",late|near_31_90|nonpos,0.05985007981220658,,0.5027,0,1,-1.3493,-0.6517,3,3,buying,-0.0451,elite_3,4.4065,4.4065,2.05,14,fresh,0.0,0,0,0,True,False,True,near,1.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,64,False,specific_days,0.671504,price_history,,3,3.1955,price_history,,-0.000435,,67.2511,0.8241,0.0,-0.000435,late,small,sev2,drug_developer,morningstar,,,,0,0.8719901153980650425457512531,96.55,45.44587777777777777777777778,65.04731109149310674581016586,65.62,9.386946019743751312749422388,5,9.2423,-1.4606,3.0,64,7,1.0,2.0156,2,2,0.0,0.3,0.55,ophthalmology,0.679,highly_crowded,1.0,172,0.05985007981220658,0.422559,-0.1954,5.88,0.018519,-2.0854
REPL,"Replimune Group, Inc.",14,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.725589,,0,0.871257,1,0.128743,93,0,specific_days,9,neutral,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed,clinical_score:-32.8;smart_money_score:+17.9;momentum_score:+9.3,tier=A;reason=high_opt+catalyst_near;cat_days=93;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",late|near_91_180|nonpos,0.037547915422885575,,0.5029,0,1,-1.3296,-0.5823,5,5,selling,0.7208,elite_5,6.5172,6.5172,4.72,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,93,False,specific_days,0.171737,price_history,,5,1.7277,price_history,,-0.30459,,68.7201,0.5897,0.0,-0.30459,late,small,sev1,drug_developer,morningstar,,,,0,0.8408371172429852136453603446,52.00,45.56250000000000000000000000,60.60387553583823876797761373,49.78,9.848771266540642722117202270,45.45036160420775805391190006,9.6189,-1.4446,3.0,1130,15,1.0,0.5656,0,1,0.0,0.5,0.95,oncology,0.679,highly_crowded,1.0,216,0.037547915422885575,0.274411,-0.5995,11.59,0.102694,-1.2664
ERAS,"Erasca, Inc.",15,0.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.688552,,0,0.847305,1,0.152695,3,1,specific_days,9,tailwind,high_vol|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+39.6;clinical_score:-39.5;smart_money_score:+10.2,tier=A;reason=high_opt+catalyst_near;cat_days=3;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 73744000.0, ""cash_total"": 288400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.92991972228249, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_0_30|nonpos,0.0566169393939394,,0.5041,0,1,-1.27,-0.3717,3,3,buying,-0.0451,elite_3,5.5468,5.5468,2.96,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,374.33,1.0,0,0,1.0,0,1.0,0,3,True,specific_days,0.606833,price_history,,3,1.6825,price_history,,-0.018576,,73.5332,1.2457,0.0,-0.018576,late,mid,none,drug_developer,morningstar,,,,0,0.8154857073643410852713178295,90.42,45.56250000000000000000000000,60.94345998754932729907982203,61.69,11.25000000000000000000000000,45.77097505668934240362811792,10.8053,-1.3942,3.0,855,7,1.0,0.3907,2,0,0.0,0.3,0.95,oncology,0.679,highly_crowded,1.0,205,0.0566169393939394,0.311448,-0.4918,12.94,0.136364,-1.0968
OLMA,"Olema Pharmaceuticals, Inc.",16,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.722222,,0,0.817365,1,0.182635,93,0,specific_days,9,tailwind,high_vol|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-44.8;momentum_score:+38.1;smart_money_score:+26.5,tier=A;reason=high_opt+catalyst_near;cat_days=93;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 108389000.0, ""cash_total"": 328960000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.41993191190988, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|near_91_180|nonpos,0.037547915422885575,,0.5088,0,1,-1.1683,-0.0128,3,3,buying,-0.0451,elite_3,8.2697,8.2697,4.45,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,486.91,0.85,1,0,1.0,0,1.0,0,93,False,specific_days,3.036597,price_history,,3,1.3309,price_history,,0.0,,90.4517,2.891,0.0,0.0,late,small,none,drug_developer,morningstar,,,,0,0.8188563049853372434017595308,96.55,45.56250000000000000000000000,85,48.04,13.63789119932787229573618988,51.53846153846153846153846154,12.62,-1.3172,3.0,214,6,1.0,0.3705,0,0,0.0,0.4,0.95,oncology,0.679,highly_crowded,1.0,215,0.037547915422885575,0.277778,-0.5895,14.57,0.203704,-0.8285
NAMS,NewAmsterdam Pharma Company N.V,17,0.67,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.274411,,0,0.368263,1,0.631737,65,0,specific_days,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+20.3;catalyst_score:-19.1;momentum_score:+11.5,tier=B;reason=mod_opt+catalyst_near;cat_days=65;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 147783000.0, ""cash_total"": 636241000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 51.66285702685695, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|near_31_90|pos,0.1,,0.5878,0,1,0.5466,1.7181,5,5,buying,0.7208,elite_5,14.6508,14.6508,20.23,14,fresh,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,596.34,0.85,1,0,1.0,0,1.0,0,65,False,specific_days,0.129339,price_history,,5,1.5099,price_history,,-0.003619,,64.1153,0.4954,0.0,-0.003619,late,mid,none,drug_developer,morningstar,,,,0,0.8878761329666387659930646897,76.18,45.56250000000000000000000000,85,23.76,53.91304347826086956521739130,62.85714285714285714285714286,53.66,0.4249,3.0,338,13,1.0,0.8423,1,1,0.0,0.6,0.55,metabolic,0.679,highly_crowded,1.0,82,0.1,0.725589,0.5995,40.90,0.806397,0.8647
