ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.03,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.896127,,0,0.957792,1,0.042208,143,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-42.8;smart_money_score:+35.2;financial_score:+6.7,tier=A;reason=high_opt+catalyst_mid;cat_days=143;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.008127472222222223,,0.732,0,1,-1.7189,0.0,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,143,False,specific_days,0.024907,price_history,,6,0.5223,price_history,,-0.206995,,60.2904,,-0.076291,-0.130704,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,51.17,45.56250000000000000000000000,83.0,14.55,5,54.50000000000000000000000000,4.469,-1.6568,3.0,1117,7,1.0,0.366,0,1,0.0,0.3,0.95,oncology,-0.4815,uncrowded,1.0,255,0.008127472222222223,0.103873,-1.2598,14.04,0.170775,-0.9511,0.000406,0.0,0.0,0.0,0.0,0.000406,0.0
XENE,Xenon Pharmaceuticals Inc.,2,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.860915,,0,0.607143,1,0.392857,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+25.4;clinical_score:-13.1;catalyst_score:-10.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.016933170731707317,,0.8046,0,1,-0.2609,1.5329,8,8,buying,1.9396,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.163337,price_history,,8,0.5951,price_history,,-0.03491,,59.6639,0.341,-0.076291,0.041381,late,mid,none,drug_developer,morningstar,,,,0,0.8874476502082093991671624033,54.36,41.25000000000000000000000000,77.0,41.42,38.51804745405903249857462392,47.02777777777777777777777778,38.2374,-0.2336,3.0,161,12,1.0,0.824,0,2,0.0,0.6,0.6,cns,0.6973,highly_crowded,1.0,245,0.016933170731707317,0.139085,-1.0844,30.19,0.607394,0.2725,2.300197,2.29935,0.0,0.0,0.0,0.000847,0.0
VIR,"Vir Biotechnology, Inc.",3,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.853873,,0,0.659091,1,0.340909,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+15.3;clinical_score:-10.4;catalyst_score:-4.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.016933170731707317,,0.7987,0,1,-0.4033,1.2546,2,2,buying,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.003196,price_history,,2,0.6855,price_history,,-0.182315,,47.7042,0.7493,-0.076291,-0.106024,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,45.75,41.25000000000000000000000000,61.0,77.99,35.24450681987632121398184291,45.19835069444444444444444444,35.5519,-0.3468,3.0,35,14,1.0,3.7069,4,4,0.0,0.4,0.55,infectious_disease,0.6973,highly_crowded,1.0,243,0.016933170731707317,0.146127,-1.0532,28.96,0.582746,0.2089,1.882747,1.8819,0.0,0.0,0.0,0.000847,0.0
DNLI,Denali Therapeutics Inc.,4,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.737676,,0,0.678571,1,0.321429,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:+23.2;clinical_score:-19.9;catalyst_score:-12.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.016933170731707317,,0.7974,0,1,-0.4655,1.133,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.135581,price_history,,3,1.1833,price_history,,-0.20789,,55.8639,0.5691,-0.076291,-0.131599,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,56.23,41.25000000000000000000000000,60.5,46.64,33.81493989055060937873095235,77.00000000000000000000000000,34.2597,-0.4013,3.0,48,11,1.0,1.0325,1,1,0.0,0.4,0.6,cns,-0.4815,uncrowded,1.0,210,0.016933170731707317,0.262324,-0.6362,33.34,0.663732,0.4227,1.700347,1.6995,0.0,0.0,0.0,0.000847,0.0
CLDX,"Celldex Therapeutics, Inc.",5,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.730634,,0,0.685065,1,0.314935,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+22.7;financial_score:+18.5;momentum_score:-17.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.016933170731707317,,0.7973,0,1,-0.4963,1.0727,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.327353,price_history,,4,0.9972,price_history,,-0.266287,,57.161,0.4801,-0.076291,-0.189996,late,small,none,drug_developer,morningstar,,,,0,0.8764361862733712693067007316,30.89,41.25000000000000000000000000,71.5,66.79,33.10600412262620060523661243,67.25000000000000000000000000,34.2036,-0.4036,3.0,,57,1.0,0.9538,1,2,0.0,0.4,0.95,oncology,-0.4815,uncrowded,1.0,208,0.016933170731707317,0.269366,-0.6147,28.62,0.565141,0.164,1.609897,1.60905,0.0,0.0,0.0,0.000847,0.0
RCKT,"Rocket Pharmaceuticals, Inc.",6,0.88,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.882042,,0,0.613636,1,0.386364,654,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,clinical_score:-14.6;smart_money_score:+13.0;catalyst_score:-7.5,tier=B;reason=high_opt+catalyst_far;cat_days=654;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|far_271_540|pos,0.012781999999999998,,0.2816,0,1,-0.2641,1.5267,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,654,False,specific_days,0.138314,price_history,,3,1.3975,price_history,,0.0,,69.078,0.6262,-0.076291,0.076291,mid,small,sev1,drug_developer,morningstar,,,,0,0.7990524420436641908620301598,58.52,45.56250000000000000000000000,66.0,77.63,38.44444444444444444444444444,56.54000000000000000000000000,37.6811,-0.2571,2.0,603,9,1.0,0.1219,0,0,0.0,0.3,0.95,oncology,-1.6603,uncrowded,1.0,251,0.012781999999999998,0.117958,-1.1853,27.65,0.551056,0.1283,1.527339,1.5267,0.0,0.0,0.0,0.000639,0.0
AURA,"Aura Biosciences, Inc.",7,0.34,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.283451,,0,0.646104,1,0.353896,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_tailwind|runway_short|cost_haircut_>2000bps,financial_score:-27.9;momentum_score:+16.0;smart_money_score:+12.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.08364341958041958,,-0.9127,318,1,-0.36,1.3392,2,2,selling,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.160799,price_history,,2,0.529,price_history,,-0.386431,,63.1602,0.5411,-0.076291,-0.31014,mid,small,sev2,drug_developer,morningstar,,,,0,0.8473968865494456266099227237,55.22,41.25000000000000000000000000,52.0,69.74,36.24000000000000000000000000,11.33671111111111111111111111,35.1267,-0.3647,2.0,318,5,1.0,0.0707,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,81,0.08364341958041958,0.716549,0.5726,9.87,0.068662,-1.4858,1.343382,1.3392,0.0,0.0,0.0,0.004182,0.0
STRO,"Sutro Biopharma, Inc.",8,0.11,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.339789,,0,0.691558,1,0.308442,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_<=2000bps,smart_money_score:+27.3;financial_score:-18.3;clinical_score:-7.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 150796000.0, ""cash_total"": 167594000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.336746332793973, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.08364341958041958,,-0.8822,251,1,-0.5471,0.9734,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=2000bps,1967.55,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.208648,price_history,,3,1.5893,price_history,,-0.369231,,56.6655,1.0735,-0.076291,-0.29294,mid,small,sev2,drug_developer,morningstar,,,,0,0.7779025160780774004287487307,35.56,41.25000000000000000000000000,66.5,61.84,31.93777777777777777777777778,20.93604444444444444444444444,30.8244,-0.5461,2.0,809,4,1.0,0.045,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,97,0.08364341958041958,0.660211,0.413,8.58,0.051056,-1.6347,0.977582,0.9734,0.0,0.0,0.0,0.004182,0.0
INBX,"Inhibrx Biosciences, Inc.",9,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.301056,,0,0.724026,1,0.275974,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+23.5;financial_score:-15.8;clinical_score:-13.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.08364341958041958,,0.267,0,1,-0.6384,0.795,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.076291,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,40.79,29.84000000000000000000000000,27.16604444444444444444444444,29.0974,-0.6188,2.0,844,5,1.0,0.0054,0,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,86,0.08364341958041958,0.698944,0.5214,16.65,0.276408,-0.5935,0.799182,0.795,0.0,0.0,0.0,0.004182,0.0
SVRA,"Savara, Inc.",10,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.832746,,0,0.75,1,0.25,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+40.7;financial_score:-28.9;clinical_score:-23.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.016933170731707317,,0.7839,0,1,-0.8532,0.3752,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.467215,price_history,,3,0.0623,price_history,,0.0,,79.7362,0.6811,-0.076291,0.076291,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,88.90,41.25000000000000000000000000,66.5,58.58,24.90285513793254681812201220,19.24742296006944444444444444,23.6741,-0.8474,3.0,174,9,1.0,0.3519,0,1,0.0,0.4,0.5,respiratory,0.6973,highly_crowded,1.0,237,0.016933170731707317,0.167254,-0.9651,11.95,0.110915,-1.2217,0.563647,0.5628,0.0,0.0,0.0,0.000847,0.0
CRNX,"Crinetics Pharmaceuticals, Inc.",11,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.734155,,0,0.756494,1,0.243506,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-30.8;financial_score:+23.7;smart_money_score:+16.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.016933170731707317,,0.7834,0,1,-0.896,0.2914,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.151441,price_history,,5,0.8867,price_history,,-0.08178,,52.1526,0.6688,-0.076291,-0.005489,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,58.63,41.25000000000000000000000000,71.5,22.76,23.91693346783035831761764835,78.50000000000000000000000000,25.041,-0.7898,3.0,31,6,1.0,1.4922,1,1,0.0,0.5,0.95,oncology,0.6973,highly_crowded,1.0,209,0.016933170731707317,0.265845,-0.6254,23.43,0.498239,-0.0044,0.437947,0.4371,0.0,0.0,0.0,0.000847,0.0
REPL,"Replimune Group, Inc.",12,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.315141,,0,0.737013,1,0.262987,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-19.4;financial_score:+12.7;smart_money_score:+7.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.08364341958041958,,-0.9703,801,1,-0.8163,0.4474,5,5,selling,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.050927,price_history,,5,0.8862,price_history,,-0.22757,,65.262,0.5897,-0.076291,-0.151279,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014295339696799550814149354,47.74,41.25000000000000000000000000,53.0,64.47,25.75111111111111111111111111,57.80000000000000000000000000,24.6378,-0.8068,2.0,801,7,1.0,0.0027,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,90,0.08364341958041958,0.684859,0.4813,19.00,0.385563,-0.2909,0.451582,0.4474,0.0,0.0,0.0,0.004182,0.0
TNYA,"Tenaya Therapeutics, Inc.",13,0.22,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.100352,,0,0.62013,1,0.37987,,0,no_upcoming,9,tailwind,,S,momentum_tailwind|runway_short|cost_haircut_<=2000bps,momentum_score:+47.4;financial_score:-35.1;clinical_score:-10.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 54324000.0, ""cash_total"": 65308000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.426330903468081, ""stage_bucket"": ""early"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",early|none|pos,0.09013935532994924,,-1.5166,1514,1,-0.2641,1.5267,1,1,buying,-0.7797,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=2000bps,1908.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,1.51922,price_history,,1,1.5688,price_history,,-0.068063,,55.5222,1.1737,-0.076291,0.008228,early,micro,sev2,drug_developer,morningstar,,,,0,0.7051903292181069958847736626,96.55,41.25000000000000000000000000,55.5,50,38.44444444444444444444444444,14.11361111111111111111111111,36.9811,-0.2866,1.0,1514,2,0.0,0.0,0,0,0.0,0.3,0.5,other,-2.1318,uncrowded,1.0,29,0.09013935532994924,0.899648,1.2795,9.17,0.065141,-1.513,0.004507,0.0,0.0,0.0,0.0,0.004507,0.0
VTYX,"Ventyx Biosciences, Inc.",14,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.625,,0,0.996753,1,0.003247,,0,no_upcoming,9,headwind,high_vol,S,sponsor_confirmed|momentum_headwind|high_risk,clinical_score:-39.9;smart_money_score:+27.1;financial_score:+23.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.047651121212121214,,-0.6983,108,1,-1.7189,-1.3171,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.250598,price_history,,4,1.1254,price_history,,-0.288103,,41.8052,1.2298,-0.076291,-0.211812,mid,small,none,drug_developer,morningstar,,,,0,0.7407662748643761301989150090,38.44,41.25000000000000000000000000,72.0,25.00,5,67.88000000000000000000000000,4.1299,-1.671,2.0,108,3,0.6667,0.6255,0,1,0.0,0.4,0.6,autoimmune,0.6973,highly_crowded,1.0,178,0.047651121212121214,0.375,-0.3186,15.72,0.248239,-0.68,0.002383,0.0,0.0,0.0,0.0,0.002383,0.0
KOD,Kodiak Sciences Inc,15,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.484155,,0,0.970779,1,0.029221,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind|runway_short,momentum_score:+44.7;clinical_score:-35.7;financial_score:-35.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",late|none|nonpos,0.050235292517006806,,0.7041,0,1,-1.7189,-1.3171,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.442831,price_history,,3,1.6716,price_history,,-0.268,,73.3803,0.8241,-0.076291,-0.191709,late,small,sev2,drug_developer,morningstar,,,,0,0.8621078447371488518475346777,85.36,41.25000000000000000000000000,66.5,37.69,5,5.200277777777777777777777778,4.9367,-1.637,3.0,55,4,1.0,2.4507,3,3,0.0,0.3,0.55,ophthalmology,0.6973,highly_crowded,1.0,138,0.050235292517006806,0.515845,0.0397,4.72,0.005282,-2.5568,0.002512,0.0,0.0,0.0,0.0,0.002512,0.0
CNTA,Centessa Pharmaceuticals plc,16,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.431338,,0,0.964286,1,0.035714,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+39.5;clinical_score:-32.5;financial_score:-32.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.050235292517006806,,0.6909,0,1,-1.7189,-1.3171,7,7,buying,1.5511,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.120971,price_history,,7,0.5705,price_history,,-0.219966,,52.7438,0.5724,-0.076291,-0.143675,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882535922099513121957012231,59.11,41.25000000000000000000000000,77.0,27.99,5,5.200277777777777777777777778,4.7448,-1.6451,3.0,,7,1.0,0.1669,1,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,123,0.050235292517006806,0.568662,0.173,12.49,0.132042,-1.1168,0.002512,0.0,0.0,0.0,0.0,0.002512,0.0
TRDA,"Entrada Therapeutics, Inc.",17,0.09,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.103873,,0,0.711039,1,0.288961,,0,no_upcoming,9,headwind,deep_drawdown_rel_xbi,XS,momentum_headwind|runway_short|cost_haircut_>2000bps,financial_score:-28.7;smart_money_score:+15.6;momentum_score:+9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 128512000.0, ""cash_total"": 90394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.440674800796813, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 1}",early|none|pos,0.09013935532994924,,-1.6924,,0,-0.6157,0.8393,1,1,selling,-0.7797,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.02303,price_history,,1,0.6126,price_history,,-0.344011,,63.7729,0.5606,-0.076291,-0.26772,early,small,sev2,drug_developer,morningstar,,,,0,0.7763785017638514214567337622,43.42,41.25000000000000000000000000,49.5,50,30.36111111111111111111111111,5.200277777777777777777777778,28.8978,-0.6272,0.0,603,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-0.4815,uncrowded,1.0,30,0.09013935532994924,0.896127,1.2598,8.12,0.044014,-1.7059,0.004507,0.0,0.0,0.0,0.0,0.004507,0.0
