ticker,tier_dev,actionable_rank,size_band,target_weight_pct,tier_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id
IRON,A,1,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,84,3,headwind,,105,37.00,drug_developer,0.60929,v1.3.0,96f655ee
TENX,A,2,L,4.48,high_opt+catalyst_mid,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,specific_days,144,9,tailwind,deep_drawdown_rel_xbi,146,30.17,drug_developer,0.603825,v1.3.0,96f655ee
CRSP,A,3,L,6.4,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,35,9,headwind,,160,28.37,drug_developer,0.740437,v1.3.0,96f655ee
PVLA,A,4,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,23,3,neutral,,180,24.41,drug_developer,0.625683,v1.3.0,96f655ee
ORKA,A,5,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,115,3,tailwind,,186,23.32,drug_developer,0.855191,v1.3.0,96f655ee
PRTA,A,6,M,2.69,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,16,2,headwind,deep_drawdown_rel_xbi,188,22.94,drug_developer,0.718579,v1.3.0,96f655ee
SRRK,A,7,L,6.4,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,115,3,tailwind,,195,21.31,drug_developer,0.647541,v1.3.0,96f655ee
BCAX,A,8,L,4.48,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,145,2,neutral,,196,21.30,drug_developer,0.756831,v1.3.0,96f655ee
CLYM,A,9,L,4.48,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,specific_days,54,3,tailwind,,198,21.20,drug_developer,0.680328,v1.3.0,96f655ee
ATXS,A,10,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,84,9,neutral,,204,20.38,drug_developer,0.893443,v1.3.0,96f655ee
DNTH,A,11,L,5.44,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,144,3,tailwind,,212,19.82,drug_developer,0.948087,v1.3.0,96f655ee
NUVL,A,12,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,23,3,headwind,,217,19.21,drug_developer,0.931694,v1.3.0,96f655ee
PHVS,A,13,L,4.48,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,8,9,neutral,,219,19.02,drug_developer,0.696721,v1.3.0,96f655ee
ARTV,A,14,M,2.69,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,54,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,221,18.97,drug_developer,0.724044,v1.3.0,96f655ee
RAPP,A,15,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,54,2,neutral,,222,18.92,drug_developer,0.806011,v1.3.0,96f655ee
KURA,A,16,L,5.44,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,176,3,headwind,deep_drawdown_rel_xbi,226,18.25,drug_developer,0.713115,v1.3.0,96f655ee
CELC,A,17,L,6.4,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,23,9,tailwind,,229,17.74,drug_developer,0.838798,v1.3.0,96f655ee
CGON,A,18,L,5.44,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,115,3,tailwind,,236,17.27,drug_developer,0.877049,v1.3.0,96f655ee
AURA,A,19,M,2.11,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,145,2,headwind,deep_drawdown_rel_xbi,241,16.89,drug_developer,0.800546,v1.3.0,96f655ee
ACLX,A,20,L,6.4,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,115,3,headwind,,242,16.88,drug_developer,0.92623,v1.3.0,96f655ee
