ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
NUVB,Nuvation Bio Inc.,1,0.92,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.708191,,0,0.812883,1,0.187117,135,0,specific_days,9,neutral,high_vol|deep_drawdown,L,tier_a_dev|sponsor_confirmed|high_risk,clinical_score:-31.6;financial_score:+19.9;smart_money_score:+6.9,tier=A;reason=high_opt+catalyst_mid;cat_days=135;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.014456981132075471,,0.6036,0,1,-1.1523,0.6036,6,6,selling,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,135,False,specific_days,0.232666,price_history,,6,1.6309,price_history,,-0.367758,,42.3894,1.2485,-0.155568,-0.21219,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,51.41,45.56250000000000000000000000,53.0,52.88,14.50399278291957633064920311,66.00000000000000000000000000,13.7614,-1.2671,3.0,145,12,1.0,0.384,0,1,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,208,0.014456981132075471,0.291809,-0.5481,16.74,0.302048,-0.5185,0.000723,0.0,0.0,0.0,0.0,0.000723,0.0
KOD,Kodiak Sciences Inc,2,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.114334,,0,0.960123,1,0.039877,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,momentum_score:+53.7;clinical_score:-37.9;financial_score:-37.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.5592,0,1,-1.5513,0.5592,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.073522,price_history,,3,1.1558,price_history,,-0.342202,,42.0214,0.8241,-0.155568,-0.186634,late,small,sev2,drug_developer,morningstar,,,,0,0.8621078447371488518475346777,96.55,41.25000000000000000000000000,66.5,41.35,5,5,3.1202,-1.7177,3.0,379,6,1.0,0.0777,0,0,0.0,0.3,0.55,ophthalmology,0.6858,highly_crowded,1.0,34,0.1,0.885666,1.2038,4.72,0.025597,-1.9498,0.005,0.0,0.0,0.0,0.0,0.005,0.0
ACLX,"Arcellx, Inc.",3,1.08,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.807167,,0,0.935583,1,0.064417,256,0,specific_days,9,neutral,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed,smart_money_score:+41.2;clinical_score:-33.8;financial_score:-22.3,tier=B;reason=high_opt+catalyst_far;cat_days=256;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_181_270|nonpos,-0.026918974683544303,,0.5753,0,1,-1.5513,0.5753,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,256,False,specific_days,-0.126661,price_history,,7,1.3209,price_history,,-0.37595,,32.6305,0.5575,-0.155568,-0.220382,late,mid,none,drug_developer,morningstar,,,,0,0.8816242164223572875700154928,46.75,45.56250000000000000000000000,80.0,10.00,5,16.45679012345679012345679013,3.8202,-1.6881,3.0,1261,5,1.0,0.0337,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,237,-0.026918974683544303,0.192833,-0.8675,13.66,0.179181,-0.9185,-0.001346,0.0,0.0,0.0,0.0,-0.001346,0.0
MLTX,MoonLake Immunotherapeutics,4,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.127986,,0,0.917178,1,0.082822,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-35.3;smart_money_score:+14.6;financial_score:+10.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 196007000.0, ""cash_total"": 334517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 20.47990122801737, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 4}",late|none|nonpos,0.1,,0.5819,0,1,-1.5053,0.5819,4,4,selling,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,513.23,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.010339,price_history,,4,0.9253,price_history,,-0.313968,,35.9233,,-0.155568,-0.1584,late,small,none,drug_developer,morningstar,,,,0,0.8277566717165831488171541778,51.73,41.25000000000000000000000000,56.0,42.63,6.094906092567223911405140320,52.13698630136986301369863014,5.8164,-1.6035,3.0,151,2,0.3333,0.8991,0,2,0.1667,0.4,0.5,dermatology,0.6858,crowded,1.0,38,0.1,0.872014,1.136,12.58,0.151877,-1.0284,0.005,0.0,0.0,0.0,0.0,0.005,0.0
CNTA,Centessa Pharmaceuticals plc,5,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.052901,,0,0.953988,1,0.046012,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+38.4;clinical_score:-33.6;financial_score:-33.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,0.5424,0,1,-1.5513,0.5424,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.068674,price_history,,7,1.0471,price_history,,-0.188002,,41.3843,0.5724,-0.155568,-0.032434,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,64.53,41.25000000000000000000000000,77.0,31.73,5,5,5.8171,-1.6035,3.0,12,8,1.0,3.097,4,3,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,16,0.1,0.947099,1.6174,12.85,0.162116,-0.9858,0.005,0.0,0.0,0.0,0.0,0.005,0.0
CGON,"CG Oncology, Inc.",6,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.049488,,0,0.868098,1,0.131902,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,clinical_score:-39.0;smart_money_score:+35.0;financial_score:+11.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.1,,0.589,0,1,-1.3848,0.589,6,6,buying,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.074014,price_history,,6,1.2907,price_history,,-0.393282,,44.869,0.7795,-0.155568,-0.237714,late,mid,none,drug_developer,morningstar,,,,0,0.8570204003356106915977466139,47.64,41.25000000000000000000000000,83.0,14.42,8.964809307954752172734731457,59.00000000000000000000000000,8.2837,-1.499,3.0,500,8,1.0,0.2726,1,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,15,0.1,0.950512,1.6498,16.95,0.312287,-0.4894,0.005,0.0,0.0,0.0,0.0,0.005,0.0
COGT,"Cogent Biosciences, Inc.",7,0.32,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.056314,,0,0.855828,1,0.144172,,0,no_upcoming,9,headwind,high_vol,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+48.3;financial_score:-30.4;clinical_score:-26.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,0.5896,0,1,-1.3437,0.5896,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.207466,price_history,,7,1.1136,price_history,,-0.347155,,46.5011,2.489,-0.155568,-0.191587,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,41.11,41.25000000000000000000000000,85,13.78,9.945203648635103077282902869,6.345679012345679012345679012,10.422,-1.4085,3.0,256,7,1.0,0.6973,0,1,0.0,0.5,0.95,oncology,-0.5032,uncrowded,1.0,17,0.1,0.943686,1.5865,10.77,0.087031,-1.3593,0.005,0.0,0.0,0.0,0.0,0.005,0.0
AURA,"Aura Biosciences, Inc.",8,0.09,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.02901,,0,0.831288,1,0.168712,,0,no_upcoming,9,headwind,,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_>2000bps,financial_score:-24.9;smart_money_score:+22.1;clinical_score:-17.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.5982,0,1,-1.2172,0.5982,2,2,selling,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.244932,price_history,,2,0.8498,price_history,,-0.33816,,39.8522,0.5411,-0.155568,-0.182592,late,small,sev2,drug_developer,morningstar,,,,0,0.8794283854469371149598977101,38.42,41.25000000000000000000000000,52.0,71.47,12.95766647732968024324234020,5,12.4779,-1.3214,3.0,1032,7,1.0,0.0041,0,0,0.0,0.5,0.95,oncology,0.6858,highly_crowded,1.0,9,0.1,0.97099,1.8955,3.87,0.005119,-2.5677,0.005,0.0,0.0,0.0,0.0,0.005,0.0
LQDA,Liquidia Corporation,9,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.523891,,0,0.819018,1,0.180982,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-30.5;momentum_score:+28.5;smart_money_score:+25.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.07643309523809523,,0.6031,0,1,-1.174,0.6031,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.250019,price_history,,3,0.8459,price_history,,-0.229528,,64.85,0.5778,-0.155568,-0.07396,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,68.14,41.25000000000000000000000000,65.5,26.60,13.98558068911238078266712701,9.111111111111111111111111112,13.6122,-1.2734,3.0,62,4,1.0,1.3858,1,2,0.0,0.3,0.5,respiratory,0.6858,highly_crowded,1.0,154,0.07643309523809523,0.476109,-0.0599,12.46,0.141638,-1.073,0.015822,0.012,0.0,0.0,0.0,0.003822,0.0
ABEO,Abeona Therapeutics Inc.,10,0.45,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.401024,,0,0.769939,1,0.230061,,0,no_upcoming,9,neutral,deep_drawdown,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-29.1;financial_score:+23.2;smart_money_score:+8.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.07643309523809523,,0.6099,0,1,-1.0191,0.6099,2,2,neutral,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.103139,price_history,,2,0.9636,price_history,,-0.398618,,35.0153,,-0.155568,-0.24305,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,50.01,41.25000000000000000000000000,55.0,86.86,17.67683517658458351431721741,69.94219653179190751445086705,16.1471,-1.1661,3.0,256,9,1.0,0.1782,0,0,0.0,0.3,0.5,other,-1.6921,uncrowded,1.0,118,0.07643309523809523,0.598976,0.2507,27.02,0.571672,0.1806,0.625272,0.62145,0.0,0.0,0.0,0.003822,0.0
SMMT,Summit Therapeutics Inc.,11,0.92,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.267918,,0,0.726994,1,0.273006,348,0,specific_days,9,tailwind,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,clinical_score:-27.3;smart_money_score:+22.7;momentum_score:+22.1,tier=B;reason=high_opt+catalyst_far;cat_days=348;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|far_271_540|pos,0.08730298850574712,,0.6171,0,1,-0.858,0.6171,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,348,False,specific_days,0.081908,price_history,,5,1.4815,price_history,,-0.404009,,54.1014,0.5984,-0.155568,-0.248441,late,large,none,drug_developer,morningstar,,,,0,0.8151449643947100712105798576,70.87,45.56250000000000000000000000,71.5,10.00,21.51361926930773200277694246,34.45714116000460348751304013,20.5807,-0.9783,3.0,348,11,1.0,0.101,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,79,0.08730298850574712,0.732082,0.6191,12.22,0.131399,-1.1198,1.259265,1.2549,0.0,0.0,0.0,0.004365,0.0
RVMD,"Revolution Medicines, Inc.",12,1.08,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.264505,,0,0.720859,1,0.279141,318,0,specific_days,9,neutral,,L,catalyst_far_lift|sponsor_confirmed,smart_money_score:+28.7;clinical_score:-26.3;catalyst_score:-2.8,tier=B;reason=high_opt+catalyst_far;cat_days=318;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|far_271_540|pos,0.08730298850574712,,0.6177,0,1,-0.8345,0.6177,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,318,False,specific_days,-0.055268,price_history,,8,0.9737,price_history,,-0.335148,,31.6964,0.4254,-0.155568,-0.17958,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,46.45,45.56250000000000000000000000,77.0,10.00,22.07361125032948348127605704,50.65895953757225433526011561,20.8939,-0.965,3.0,500,11,1.0,0.0466,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,78,0.08730298850574712,0.735495,0.6295,21.40,0.448805,-0.1287,1.351665,1.3473,0.0,0.0,0.0,0.004365,0.0
ZBIO,"Zenas BioPharma, Inc.",13,0.27,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.575085,,0,0.714724,1,0.285276,,0,no_upcoming,9,headwind,high_vol|drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+28.3;momentum_score:-18.0;clinical_score:-15.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07643309523809523,,0.6183,0,1,-0.8109,0.6183,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.553377,price_history,,3,1.0483,price_history,,,series_too_short,34.6565,1.5048,-0.155568,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089179366940211019929660023,20.22,41.25000000000000000000000000,66.5,43.27,22.63657322329513181195496008,40.59168908071141135505931903,21.1833,-0.9528,3.0,300,7,1.0,0.376,0,0,0.0,0.4,0.6,autoimmune,0.6858,highly_crowded,1.0,169,0.07643309523809523,0.424915,-0.1893,16.01,0.264505,-0.6295,1.444122,1.4403,0.0,0.0,0.0,0.003822,0.0
PRAX,"Praxis Precision Medicines, Inc",14,1.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.547782,,0,0.708589,1,0.291411,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+25.8;clinical_score:-22.0;momentum_score:+14.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 249068000.0, ""cash_total"": 599331000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.875535998201293, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.07643309523809523,,0.6206,0,1,-0.7871,0.6206,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,221.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.105124,price_history,,8,1.3554,price_history,,-0.168455,,46.5139,0.9863,-0.155568,-0.012887,late,mid,none,drug_developer,morningstar,,,,0,0.8088860789980732177263969171,59.39,41.25000000000000000000000000,71.0,10.00,23.20250518820467699481365157,31.23456790123456790123456790,21.7251,-0.9298,3.0,227,8,1.0,0.3578,0,0,0.0,0.4,0.6,cns,0.6858,highly_crowded,1.0,161,0.07643309523809523,0.452218,-0.1201,15.32,0.24744,-0.6826,1.537572,1.53375,0.0,0.0,0.0,0.003822,0.0
PVLA,"Palvella Therapeutics, Inc.",15,0.55,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.551195,,0,0.634969,1,0.365031,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+29.6;financial_score:-19.0;clinical_score:-12.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.07643309523809523,,0.6353,0,1,-0.4923,0.6353,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.150152,price_history,,4,0.63,price_history,,-0.28641,,44.7603,,-0.155568,-0.130842,late,small,none,drug_developer,morningstar,,,,0,0.8521430369420813425008740240,45.12,41.25000000000000000000000000,72.0,38.78,30.22534813874317365914144958,23.38220637601384458205625404,29.3956,-0.605,3.0,349,6,1.0,0.1525,0,0,0.0,0.7,0.5,other,-3.5944,uncrowded,1.0,162,0.07643309523809523,0.448805,-0.1287,21.97,0.469283,-0.0771,2.697072,2.69325,0.0,0.0,0.0,0.003822,0.0
GOSS,"Gossamer Bio, Inc.",16,0.75,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.489761,,0,0.604294,1,0.395706,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,smart_money_score:+34.7;financial_score:-23.0;clinical_score:-15.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 122952000.0, ""cash_total"": 180224000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.589693538942026, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 6}",late|none|pos,0.07643309523809523,,0.6369,0,1,-0.3642,0.6369,6,6,buying,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1384.72,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.103879,price_history,,6,0.5725,price_history,,-0.362914,,54.2415,0.8648,-0.155568,-0.207346,late,micro,sev1,drug_developer,morningstar,,,,0,0.8153980015717974626698102616,58.64,41.25000000000000000000000000,83.0,90.00,33.27775735908316348691904173,25.26445179517450558915358943,32.3449,-0.4801,3.0,314,7,1.0,0.1148,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,144,0.07643309523809523,0.510239,0.0257,16.56,0.291809,-0.5481,3.003822,3.0,0.0,0.0,0.0,0.003822,0.0
VERA,"Vera Therapeutics, Inc.",17,0.55,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.216724,,0,0.984663,1,0.015337,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,clinical_score:-40.3;smart_money_score:+26.2;financial_score:+17.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.1,,-0.3931,118,1,-1.5513,-0.3931,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.063919,price_history,,5,1.1572,price_history,,-0.329246,,22.566,0.7858,-0.155568,-0.173678,late,mid,none,drug_developer,morningstar,,,,0,0.8240540540540540540540540541,45.68,41.25000000000000000000000000,71.5,10.58,5,63.00000000000000000000000000,3.8519,-1.6867,3.0,118,3,0.6667,0.6057,0,1,0.0,0.4,0.55,infectious_disease,0.6858,highly_crowded,1.0,64,0.1,0.783276,0.7833,17.70,0.33959,-0.4136,0.005,0.0,0.0,0.0,0.0,0.005,0.0
